year,decile,after_tax,before_tax
1990,Fourth decile,35200.0,41000.0
1990,Highest decile,102700.0,140700.0
1990,Lowest decile,13700.0,14100.0
1990,Ninth decile,70800.0,91200.0
1990,Second decile,23900.0,25300.0
1990,Seventh decile,52500.0,65100.0
1990,Sixth decile,46000.0,56500.0
1990,Third decile,29800.0,33100.0
1991,Eighth decile,57900.0,72900.0
1991,Fifth decile,38500.0,46000.0
1991,Fourth decile,33400.0,38700.0
1991,Highest decile,101600.0,139900.0
1991,Lowest decile,13500.0,13700.0
1991,Ninth decile,68600.0,87900.0
1991,Second decile,22900.0,24100.0
1991,Seventh decile,50200.0,62200.0
1991,Sixth decile,43900.0,53500.0
1991,Third decile,28500.0,31400.0
1992,Eighth decile,58000.0,72900.0
1992,Fifth decile,38900.0,46000.0
1992,Fourth decile,33800.0,38700.0
1992,Highest decile,101300.0,138400.0
1992,Lowest decile,12600.0,12800.0
1992,Ninth decile,69100.0,88600.0
1992,Second decile,22800.0,23900.0
1992,Seventh decile,50500.0,61800.0
1992,Sixth decile,44400.0,53600.0
1992,Third decile,28600.0,31200.0
1993,Eighth decile,56900.0,71200.0
1993,Fifth decile,37900.0,44800.0
1993,Fourth decile,32800.0,37600.0
1993,Highest decile,98100.0,132200.0
1993,Lowest decile,13400.0,13700.0
1993,Ninth decile,67400.0,86100.0
1993,Second decile,22300.0,23300.0
1993,Seventh decile,49700.0,61200.0
1993,Sixth decile,43500.0,52700.0
1993,Third decile,27800.0,30400.0
1994,Eighth decile,57400.0,72300.0
1994,Fifth decile,38400.0,45400.0
1994,Fourth decile,33200.0,38000.0
1994,Highest decile,99300.0,135700.0
1994,Lowest decile,13200.0,13400.0
1994,Ninth decile,68200.0,87700.0
1994,Second decile,22500.0,23500.0
1994,Seventh decile,49800.0,61600.0
1994,Sixth decile,43600.0,53000.0
1994,Third decile,28200.0,30700.0
1995,Eighth decile,57000.0,72100.0
1995,Fifth decile,38200.0,45300.0
1995,Fourth decile,33000.0,37900.0
1995,Highest decile,100200.0,137800.0
1995,Lowest decile,13100.0,13300.0
1995,Ninth decile,67800.0,87300.0
1995,Second decile,22300.0,23400.0
1995,Seventh decile,49700.0,61600.0
1995,Sixth decile,43600.0,53000.0
1995,Third decile,28100.0,30700.0
1996,Eighth decile,57400.0,72600.0
1996,Fifth decile,38100.0,45100.0
1996,Fourth decile,32700.0,37500.0
1996,Highest decile,102700.0,142700.0
1996,Lowest decile,12600.0,12900.0
1996,Ninth decile,68500.0,88300.0
1996,Second decile,21900.0,22800.0
1996,Seventh decile,49700.0,61500.0
1996,Sixth decile,43600.0,52900.0
1996,Third decile,27500.0,30100.0
1997,Eighth decile,58000.0,73200.0
1997,Fifth decile,38400.0,45500.0
1997,Fourth decile,32900.0,37700.0
1997,Highest decile,104600.0,144700.0
1997,Lowest decile,12100.0,12800.0
1997,Ninth decile,69300.0,89000.0
1997,Second decile,22000.0,23000.0
1997,Seventh decile,50300.0,62300.0
1997,Sixth decile,44000.0,53500.0
1997,Third decile,27700.0,30200.0
1998,Eighth decile,60400.0,76000.0
1998,Fifth decile,39700.0,47000.0
1998,Fourth decile,34100.0,38900.0
1998,Highest decile,112800.0,156900.0
1998,Lowest decile,12200.0,12900.0
1998,Ninth decile,72100.0,92700.0
1998,Second decile,22700.0,23700.0
1998,Seventh decile,52300.0,64400.0
1998,Sixth decile,45600.0,55300.0
1998,Third decile,28600.0,31300.0
1999,Eighth decile,62500.0,77700.0
1999,Fifth decile,41100.0,48300.0
1999,Fourth decile,35500.0,40300.0
1999,Highest decile,116700.0,162600.0
1999,Lowest decile,12700.0,13400.0
1999,Ninth decile,74600.0,94800.0
1999,Second decile,23600.0,24600.0
1999,Seventh decile,54200.0,66200.0
1999,Sixth decile,47300.0,56900.0
1999,Third decile,29800.0,32500.0
2000,Eighth decile,64000.0,79600.0
2000,Fifth decile,42100.0,49700.0
2000,Fourth decile,36200.0,41400.0
2000,Highest decile,124100.0,173100.0
2000,Lowest decile,12500.0,14000.0
2000,Ninth decile,76400.0,97000.0
2000,Second decile,24000.0,25200.0
2000,Seventh decile,55400.0,67900.0
2000,Sixth decile,48300.0,58100.0
2000,Third decile,30300.0,33100.0
2001,Eighth decile,66600.0,80700.0
2001,Fifth decile,43400.0,50200.0
2001,Fourth decile,37300.0,41900.0
2001,Highest decile,129300.0,175500.0
2001,Lowest decile,13900.0,14200.0
2001,Ninth decile,79500.0,98600.0
2001,Second decile,25100.0,26100.0
2001,Seventh decile,57300.0,68600.0
2001,Sixth decile,49900.0,58900.0
2001,Third decile,31300.0,33800.0
2002,Eighth decile,66900.0,80900.0
2002,Fifth decile,43900.0,50500.0
2002,Fourth decile,37600.0,42200.0
2002,Highest decile,129300.0,174800.0
2002,Lowest decile,13900.0,14300.0
2002,Ninth decile,80300.0,99300.0
2002,Second decile,24800.0,25800.0
2002,Seventh decile,57600.0,68600.0
2002,Sixth decile,50300.0,58900.0
2002,Third decile,31300.0,33900.0
2003,Eighth decile,66800.0,81200.0
2003,Fifth decile,43700.0,50300.0
2003,Fourth decile,37400.0,41900.0
2003,Highest decile,127100.0,172100.0
2003,Lowest decile,14100.0,14500.0
2003,Ninth decile,80200.0,99500.0
2003,Second decile,24700.0,25700.0
2003,Seventh decile,57500.0,68700.0
2003,Sixth decile,50300.0,59000.0
2003,Third decile,31100.0,33600.0
2004,Eighth decile,68000.0,82600.0
2004,Fifth decile,44400.0,51000.0
2004,Fourth decile,38100.0,42500.0
2004,Highest decile,133100.0,180400.0
2004,Lowest decile,13900.0,14300.0
2004,Ninth decile,81900.0,101500.0
2004,Second decile,24900.0,25800.0
2004,Seventh decile,58700.0,70100.0
2004,Sixth decile,51200.0,60100.0
2004,Third decile,31600.0,34100.0
2005,Eighth decile,69600.0,84400.0
2005,Fifth decile,45300.0,51900.0
2005,Fourth decile,39000.0,43400.0
2005,Highest decile,132300.0,178000.0
2005,Lowest decile,14100.0,14700.0
