date,level,net_debt,liabilities,financial_assets,debt_securities,interest,expenditure,revenue,gdp_4q,net_debt_pct_gdp,liabilities_pct_gdp
2008-10-01,Federal,505649,744048,238399,500319,7094,59129,57858,1657041.0,30.52,44.9
2008-10-01,Provincial and territorial,291237,716217,424980,454599,6981,89515,85065,1657041.0,17.58,43.22
2008-10-01,Local,54818,132382,77564,37390,758,34392,31968,1657041.0,3.31,7.99
2008-10-01,CPP and QPP,-136461,6931,143392,0,0,9819,8592,1657041.0,-8.24,0.42
2009-01-01,Federal,528387,810136,281749,553577,6862,68021,59139,1637025.0,32.28,49.49
2009-01-01,Provincial and territorial,308085,729504,421419,454433,7456,92838,81450,1637025.0,18.82,44.56
2009-01-01,Local,53963,134959,80996,37766,744,33768,34907,1637025.0,3.3,8.24
2009-01-01,CPP and QPP,-135950,6290,142240,0,0,10364,17144,1637025.0,-8.3,0.38
2009-04-01,Federal,530913,790006,259093,551541,7208,62301,54823,1604785.0,33.08,49.23
2009-04-01,Provincial and territorial,317006,742468,425462,475145,6797,91075,80969,1604785.0,19.75,46.27
2009-04-01,Local,51734,135777,84043,38756,765,35334,35079,1604785.0,3.22,8.46
2009-04-01,CPP and QPP,-148376,3473,151849,1300,0,10153,14624,1604785.0,-9.25,0.22
2009-07-01,Federal,526461,820948,294487,583784,6936,61755,54833,1573138.0,33.47,52.19
2009-07-01,Provincial and territorial,335471,756502,421031,485634,6913,93280,84193,1573138.0,21.32,48.09
2009-07-01,Local,52579,137422,84843,39521,784,34944,33917,1573138.0,3.34,8.74
2009-07-01,CPP and QPP,-151964,3754,155718,1303,0,10368,11061,1573138.0,-9.66,0.24
2009-10-01,Federal,532079,832388,300309,589320,6697,63813,57506,1571334.0,33.86,52.97
2009-10-01,Provincial and territorial,347058,783223,436165,508383,6815,95487,87829,1571334.0,22.09,49.84
2009-10-01,Local,57838,138721,80883,39891,782,37477,34795,1571334.0,3.68,8.83
2009-10-01,CPP and QPP,-154843,3443,158286,1303,0,10363,9086,1571334.0,-9.85,0.22
2010-01-01,Federal,543520,865390,321870,599153,6818,79818,58600,1593034.0,34.12,54.32
2010-01-01,Provincial and territorial,364545,804303,439758,509790,7090,97351,92848,1593034.0,22.88,50.49
2010-01-01,Local,57888,140821,82933,40113,831,36299,36556,1593034.0,3.63,8.84
2010-01-01,CPP and QPP,-161759,3318,165077,1303,2,10694,16373,1593034.0,-10.15,0.21
2010-04-01,Federal,551492,847285,295793,607231,7109,63432,57877,1619222.0,34.06,52.33
2010-04-01,Provincial and territorial,377432,825164,447732,536194,7075,95618,86446,1619222.0,23.31,50.96
2010-04-01,Local,55563,144412,88849,41753,859,37838,36193,1619222.0,3.43,8.92
2010-04-01,CPP and QPP,-161944,4141,166085,1303,2,10592,14740,1619222.0,-10.0,0.26
2010-07-01,Federal,565755,872071,306316,632731,7147,67118,55180,1643584.0,34.42,53.06
2010-07-01,Provincial and territorial,403029,855984,452955,551574,7509,105475,88201,1643584.0,24.52,52.08
2010-07-01,Local,55472,147725,92253,42755,884,37471,43341,1643584.0,3.38,8.99
2010-07-01,CPP and QPP,-172930,4095,177025,1302,2,10712,11823,1643584.0,-10.52,0.25
2010-10-01,Federal,569595,882187,312592,634698,7198,66012,58123,1666048.0,34.19,52.95
2010-10-01,Provincial and territorial,413427,869498,456071,558268,7550,101114,89350,1666048.0,24.81,52.19
2010-10-01,Local,59326,151368,92042,43648,887,39480,36808,1666048.0,3.56,9.09
2010-10-01,CPP and QPP,-175442,3312,178754,1302,2,10863,9516,1666048.0,-10.53,0.2
2011-01-01,Federal,578341,908333,329992,637666,7080,74715,61843,1689528.0,34.23,53.76
2011-01-01,Provincial and territorial,412679,878011,465332,555636,7870,103548,90088,1689528.0,24.43,51.97
2011-01-01,Local,58139,154058,95919,44057,928,37634,38839,1689528.0,3.44,9.12
2011-01-01,CPP and QPP,-185857,4201,190058,1394,3,11207,16360,1689528.0,-11.0,0.25
2011-04-01,Federal,591906,906976,315070,658251,7671,64372,61606,1716181.0,34.49,52.85
2011-04-01,Provincial and territorial,440683,908294,467611,590164,7834,100488,90088,1716181.0,25.68,52.93
2011-04-01,Local,59759,158696,98937,46081,948,38586,37957,1716181.0,3.48,9.25
2011-04-01,CPP and QPP,-190545,7375,197920,1406,4,11127,16407,1716181.0,-11.1,0.43
2011-07-01,Federal,610063,931189,321126,684321,6993,66941,60363,1746275.0,34.94,53.32
2011-07-01,Provincial and territorial,468997,945364,476367,622559,7927,99444,92487,1746275.0,26.86,54.14
2011-07-01,Local,62955,162181,99226,47607,948,37426,35260,1746275.0,3.61,9.29
2011-07-01,CPP and QPP,-187953,8316,196269,1434,3,11327,12582,1746275.0,-10.76,0.48
2011-10-01,Federal,626914,953736,326822,697528,7112,66218,61891,1774063.0,35.34,53.76
2011-10-01,Provincial and territorial,488735,960301,471566,630581,7988,101835,94366,1774063.0,27.55,54.13
2011-10-01,Local,67925,165384,97459,49143,951,38751,37146,1774063.0,3.83,9.32
2011-10-01,CPP and QPP,-191919,6376,198295,1434,4,11367,10059,1774063.0,-10.82,0.36
2012-01-01,Federal,629224,976705,347481,688471,6762,75186,64855,1793355.0,35.09,54.46
2012-01-01,Provincial and territorial,484887,969321,484434,631755,7991,107592,97414,1793355.0,27.04,54.05
2012-01-01,Local,69950,168047,98097,50419,937,37539,39894,1793355.0,3.9,9.37
2012-01-01,CPP and QPP,-202241,14919,217160,2408,4,12252,17413,1793355.0,-11.28,0.83
2012-04-01,Federal,645295,981896,336601,709333,7227,65721,62984,1808138.0,35.69,54.3
2012-04-01,Provincial and territorial,506707,1001896,495189,673522,8109,100590,92379,1808138.0,28.02,55.41
2012-04-01,Local,67408,170578,103170,51596,941,39373,39323,1808138.0,3.73,9.43
2012-04-01,CPP and QPP,-205728,12183,217911,2929,9,11943,17105,1808138.0,-11.38,0.67
2012-07-01,Federal,644694,989544,344850,723627,6385,65026,61275,1819360.0,35.44,54.39
2012-07-01,Provincial and territorial,495906,1002113,506207,670404,8186,101381,93823,1819360.0,27.26,55.08
2012-07-01,Local,67636,172732,105096,52421,962,38508,36274,1819360.0,3.72,9.49
2012-07-01,CPP and QPP,-208301,16197,224498,6038,7,12218,13622,1819360.0,-11.45,0.89
2012-10-01,Federal,645323,997898,352575,721705,6933,66606,63266,1827201.0,35.32,54.61
2012-10-01,Provincial and territorial,508000,1013248,505248,682128,8137,103075,95653,1827201.0,27.8,55.45
2012-10-01,Local,69623,174103,104480,53374,979,40565,38210,1827201.0,3.81,9.53
2012-10-01,CPP and QPP,-213529,20125,233654,7256,7,12185,11173,1827201.0,-11.69,1.1
2013-01-01,Federal,648883,1016444,367561,730649,6732,73829,65690,1842632.0,35.22,55.16
2013-01-01,Provincial and territorial,503026,1025879,522853,689072,8292,109504,97287,1842632.0,27.3,55.67
2013-01-01,Local,67905,175485,107580,54181,908,38036,40518,1842632.0,3.69,9.52
2013-01-01,CPP and QPP,-227237,26812,254049,9543,7,12838,18585,1842632.0,-12.33,1.46
2013-04-01,Federal,628424,990060,361636,724765,7135,66202,64182,1859534.0,33.79,53.24
2013-04-01,Provincial and territorial,484972,1012669,527697,689528,8203,100887,95325,1859534.0,26.08,54.46
2013-04-01,Local,64822,176714,111892,54676,915,40014,39766,1859534.0,3.49,9.5
2013-04-01,CPP and QPP,-233851,39477,273328,9672,15,12735,18575,1859534.0,-12.58,2.12
2013-07-01,Federal,620053,988271,368218,725562,6904,66656,65525,1879982.0,32.98,52.57
2013-07-01,Provincial and territorial,462087,1005337,543250,687997,8305,104011,99553,1879982.0,24.58,53.48
2013-07-01,Local,63637,177666,114029,54999,932,39213,38472,1879982.0,3.38,9.45
2013-07-01,CPP and QPP,-238248,32224,270472,9421,1,12754,13455,1879982.0,-12.67,1.71
2013-10-01,Federal,620723,973762,353039,706538,6488,66649,66270,1902247.0,32.63,51.19
2013-10-01,Provincial and territorial,463711,1013151,549440,704999,8281,105939,101650,1902247.0,24.38,53.26
2013-10-01,Local,67112,178844,111732,55341,938,41088,40087,1902247.0,3.53,9.4
2013-10-01,CPP and QPP,-248346,39033,287379,9634,8,13168,11180,1902247.0,-13.06,2.05
2014-01-01,Federal,606886,970381,363495,697646,5663,72543,73421,1923899.0,31.54,50.44
2014-01-01,Provincial and territorial,471833,1033179,561346,708339,8699,110151,102539,1923899.0,24.52,53.7
2014-01-01,Local,65349,179755,114406,55556,861,39494,41935,1923899.0,3.4,9.34
2014-01-01,CPP and QPP,-270023,34076,304099,9654,8,13238,19392,1923899.0,-14.04,1.77
2014-04-01,Federal,598965,960880,361915,705397,7226,61266,67052,1949352.0,30.73,49.29
2014-04-01,Provincial and territorial,494446,1068332,573886,748966,8443,103978,101120,1949352.0,25.36,54.8
2014-04-01,Local,62335,181991,119656,56641,875,41381,41668,1949352.0,3.2,9.34
2014-04-01,CPP and QPP,-279093,42332,321425,9590,8,13046,18703,1949352.0,-14.32,2.17
2014-07-01,Federal,593911,961338,367427,706933,6198,66647,67601,1974693.0,30.08,48.68
2014-07-01,Provincial and territorial,487504,1078947,591443,755694,8531,104763,103064,1974693.0,24.69,54.64
2014-07-01,Local,61944,182703,120759,57716,888,40336,38433,1974693.0,3.14,9.25
2014-07-01,CPP and QPP,-287107,39928,327035,9971,8,13378,14410,1974693.0,-14.54,2.02
2014-10-01,Federal,619388,974636,355248,707204,6095,67133,67155,1994898.0,31.05,48.86
2014-10-01,Provincial and territorial,510221,1102726,592505,777967,8576,107803,106518,1994898.0,25.58,55.28
2014-10-01,Local,65331,183758,118427,58914,888,42226,40445,1994898.0,3.27,9.21
2014-10-01,CPP and QPP,-292424,52230,344654,9686,8,13448,11894,1994898.0,-14.66,2.62
2015-01-01,Federal,647844,1029229,381385,742469,5216,73278,73710,2000110.0,32.39,51.46
2015-01-01,Provincial and territorial,515326,1128718,613392,798765,8659,113719,103476,2000110.0,25.76,56.43
2015-01-01,Local,63725,185677,121952,59879,858,41261,43516,2000110.0,3.19,9.28
2015-01-01,CPP and QPP,-323474,58137,381611,9955,7,14261,21181,2000110.0,-16.17,2.91
2015-04-01,Federal,613496,984484,370988,716633,6469,66796,72196,1999239.0,30.69,49.24
2015-04-01,Provincial and territorial,493524,1114392,620868,800946,8622,105900,103005,1999239.0,24.69,55.74
2015-04-01,Local,63071,187772,124701,61676,847,43288,42018,1999239.0,3.15,9.39
2015-04-01,CPP and QPP,-327950,68354,396304,14761,8,13959,19608,1999239.0,-16.4,3.42
2015-07-01,Federal,615408,1010855,395447,737445,6536,70151,69939,1996007.0,30.83,50.64
2015-07-01,Provincial and territorial,469340,1109324,639984,797257,8879,108650,104997,1996007.0,23.51,55.58
2015-07-01,Local,61829,186884,125055,60925,864,42153,40721,1996007.0,3.1,9.36
2015-07-01,CPP and QPP,-330729,65383,396112,14774,8,14335,14999,1996007.0,-16.57,3.28
2015-10-01,Federal,624732,1028335,403603,743013,5560,69373,71676,1990441.0,31.39,51.66
2015-10-01,Provincial and territorial,471689,1122639,650950,817898,8724,110751,109251,1990441.0,23.7,56.4
2015-10-01,Local,67581,186844,119263,61300,858,44003,42694,1990441.0,3.4,9.39
2015-10-01,CPP and QPP,-341823,85977,427800,15162,8,14176,12899,1990441.0,-17.17,4.32
2016-01-01,Federal,639431,1041828,402397,749434,5333,77609,77688,1993971.0,32.07,52.25
2016-01-01,Provincial and territorial,489912,1137654,647742,819144,8916,115234,107846,1993971.0,24.57,57.05
2016-01-01,Local,66027,187474,121447,62101,832,42720,43365,1993971.0,3.31,9.4
2016-01-01,CPP and QPP,-339115,70272,409387,15568,8,14593,21448,1993971.0,-17.01,3.52
2016-04-01,Federal,657974,1053524,395550,776522,6017,70498,72730,1998279.0,32.93,52.72
2016-04-01,Provincial and territorial,512856,1168894,656038,853721,8703,110133,106265,1998279.0,25.66,58.5
2016-04-01,Local,61388,187823,126435,63226,821,44924,44768,1998279.0,3.07,9.4
2016-04-01,CPP and QPP,-348940,76329,425269,14505,35,14526,20510,1998279.0,-17.46,3.82
2016-07-01,Federal,672724,1082627,409903,792801,5587,72881,70341,2006918.0,33.52,53.94
2016-07-01,Provincial and territorial,511826,1178358,666532,858425,8880,111170,108907,2006918.0,25.5,58.71
2016-07-01,Local,60397,188983,128586,63779,819,43627,42743,2006918.0,3.01,9.42
2016-07-01,CPP and QPP,-364012,80074,444086,15844,35,14800,15393,2006918.0,-18.14,3.99
2016-10-01,Federal,645686,1064938,419252,757321,5493,74711,72427,2025535.0,31.88,52.58
2016-10-01,Provincial and territorial,503538,1176309,672771,847620,8817,114051,112637,2025535.0,24.86,58.07
2016-10-01,Local,62453,188279,125826,62714,814,45698,44607,2025535.0,3.08,9.3
2016-10-01,CPP and QPP,-362532,69786,432318,17351,35,14851,12292,2025535.0,-17.9,3.45
2017-01-01,Federal,656401,1082771,426370,759418,5467,84702,79883,2052917.0,31.97,52.74
2017-01-01,Provincial and territorial,471696,1161162,689466,818676,9035,118903,114278,2052917.0,22.98,56.56
2017-01-01,Local,62129,191871,129742,64528,809,44371,45700,2052917.0,3.03,9.35
2017-01-01,CPP and QPP,-384367,65590,449957,19873,35,15487,23049,2052917.0,-18.72,3.19
2017-04-01,Federal,652628,1096590,443962,785376,5674,75398,80682,2084884.0,31.3,52.6
2017-04-01,Provincial and territorial,476776,1197104,720328,861035,8953,114476,112625,2084884.0,22.87,57.42
2017-04-01,Local,54911,193238,138327,64581,809,46974,47077,2084884.0,2.63,9.27
2017-04-01,CPP and QPP,-394570,61712,456282,21870,73,15384,21280,2084884.0,-18.93,2.96
2017-07-01,Federal,621231,1064164,442933,750902,5172,77155,75177,2111467.0,29.42,50.4
2017-07-01,Provincial and territorial,434051,1176001,741950,835161,9239,115679,114537,2111467.0,20.56,55.7
2017-07-01,Local,53917,195790,141873,65256,813,46080,44561,2111467.0,2.55,9.27
2017-07-01,CPP and QPP,-397039,66688,463727,23300,73,15483,16280,2111467.0,-18.8,3.16
2017-10-01,Federal,628608,1086944,458336,758101,5563,77837,76519,2140641.0,29.37,50.78
2017-10-01,Provincial and territorial,450510,1193667,743157,852409,9240,118077,118346,2140641.0,21.05,55.76
2017-10-01,Local,60628,197909,137281,65640,818,49105,45884,2140641.0,2.83,9.25
2017-10-01,CPP and QPP,-410072,78749,488821,23477,73,15640,13626,2140641.0,-19.16,3.68
2018-01-01,Federal,634179,1089213,455034,754120,5977,88475,87613,2165421.0,29.29,50.3
2018-01-01,Provincial and territorial,452319,1219830,767511,864090,9525,129510,120242,2165421.0,20.89,56.33
2018-01-01,Local,61074,202043,140969,66532,822,46700,52358,2165421.0,2.82,9.33
2018-01-01,CPP and QPP,-430593,76676,507269,24056,73,16222,22769,2165421.0,-19.88,3.54
2018-04-01,Federal,631206,1070649,439443,758701,6349,77893,82394,2192933.0,28.78,48.82
2018-04-01,Provincial and territorial,441465,1228383,786918,886318,9555,119649,117505,2192933.0,20.13,56.02
2018-04-01,Local,59720,205201,145481,67913,827,49222,48195,2192933.0,2.72,9.36
2018-04-01,CPP and QPP,-442585,80521,523106,24662,127,16208,22894,2192933.0,-20.18,3.67
2018-07-01,Federal,613629,1062686,449057,749047,6152,81879,82912,2222233.0,27.61,47.82
2018-07-01,Provincial and territorial,424900,1207304,782404,867305,9866,121480,120764,2222233.0,19.12,54.33
2018-07-01,Local,60472,208005,147533,68713,831,47267,46305,2222233.0,2.72,9.36
2018-07-01,CPP and QPP,-443767,86310,530077,25807,127,16185,17760,2222233.0,-19.97,3.88
2018-10-01,Federal,629772,1094186,464414,765347,5720,82092,84173,2235675.0,28.17,48.94
2018-10-01,Provincial and territorial,447152,1224674,777522,890820,9898,126872,125168,2235675.0,20.0,54.78
2018-10-01,Local,67496,209382,141886,68174,833,49193,48679,2235675.0,3.02,9.37
2018-10-01,CPP and QPP,-443338,93956,537294,28235,127,16446,14804,2235675.0,-19.83,4.2
2019-01-01,Federal,644869,1113678,468809,776165,6009,96762,90334,2251136.0,28.65,49.47
2019-01-01,Provincial and territorial,488933,1277571,788638,923185,9983,133562,128482,2251136.0,21.72,56.75
2019-01-01,Local,64590,211553,146963,69560,836,46714,53202,2251136.0,2.87,9.4
2019-01-01,CPP and QPP,-471814,108642,580456,30861,127,16830,24802,2251136.0,-20.96,4.83
2019-04-01,Federal,666494,1111408,444914,796604,7011,81265,84288,2269289.0,29.37,48.98
2019-04-01,Provincial and territorial,492174,1308163,815989,957820,10056,123722,122713,2269289.0,21.69,57.65
2019-04-01,Local,63509,215379,151870,70446,835,49155,49600,2269289.0,2.8,9.49
2019-04-01,CPP and QPP,-481957,105085,587042,31292,159,16849,24264,2269289.0,-21.24,4.63
2019-07-01,Federal,669821,1123015,453194,803381,6364,85530,81880,2285170.0,29.31,49.14
2019-07-01,Provincial and territorial,506168,1326277,820109,963012,10205,127349,123223,2285170.0,22.15,58.04
2019-07-01,Local,62253,217907,155654,72094,833,48178,49853,2285170.0,2.72,9.54
2019-07-01,CPP and QPP,-490950,118304,609254,33991,164,17152,18606,2285170.0,-21.48,5.18
2019-10-01,Federal,665636,1123878,458242,792433,5832,86945,84087,2313563.0,28.77,48.58
2019-10-01,Provincial and territorial,495610,1324306,828696,954832,10124,131017,128213,2313563.0,21.42,57.24
2019-10-01,Local,65495,218233,152738,71387,831,51022,50815,2313563.0,2.83,9.43
2019-10-01,CPP and QPP,-504860,110527,615387,32218,158,17229,15813,2313563.0,-21.82,4.78
2020-01-01,Federal,719282,1198706,479424,844721,5924,105919,89871,2318339.0,31.03,51.71
2020-01-01,Provincial and territorial,534925,1382796,847871,986837,10103,139188,125674,2318339.0,23.07,59.65
2020-01-01,Local,71320,223118,151798,72700,829,49130,51201,2318339.0,3.08,9.62
2020-01-01,CPP and QPP,-487125,135835,622960,39825,187,17815,25914,2318339.0,-21.01,5.86
2020-04-01,Federal,812195,1474932,662737,1156284,5027,178095,80107,2244152.0,36.19,65.72
2020-04-01,Provincial and territorial,589394,1492917,903523,1099010,9938,133808,117766,2244152.0,26.26,66.52
2020-04-01,Local,77904,234196,156292,76761,827,47866,51995,2244152.0,3.47,10.44
2020-04-01,CPP and QPP,-519117,118137,637254,41062,198,17799,22657,2244152.0,-23.13,5.26
2020-07-01,Federal,870542,1499191,628649,1156873,6102,155602,84189,2225154.0,39.12,67.37
2020-07-01,Provincial and territorial,572898,1509092,936194,1103076,9972,136720,136363,2225154.0,25.75,67.82
2020-07-01,Local,70099,238598,168499,76989,823,49276,51526,2225154.0,3.15,10.72
2020-07-01,CPP and QPP,-542953,106473,649426,39943,245,18366,18065,2225154.0,-24.4,4.78
2020-10-01,Federal,883200,1551237,668037,1188613,5409,122846,86404,2220527.0,39.77,69.86
2020-10-01,Provincial and territorial,590735,1520054,929319,1107928,9590,140642,131262,2220527.0,26.6,68.45
2020-10-01,Local,75672,243320,167648,76670,815,53037,53999,2220527.0,3.41,10.96
2020-10-01,CPP and QPP,-568701,104264,672965,37379,241,18212,15624,2220527.0,-25.61,4.7
2021-01-01,Federal,851049,1468915,617866,1166583,5476,146397,108461,2256370.0,37.72,65.1
2021-01-01,Provincial and territorial,536795,1484560,947765,1047350,9853,156967,134345,2256370.0,23.79,65.79
2021-01-01,Local,69350,244928,175578,73196,819,51134,58110,2256370.0,3.07,10.85
2021-01-01,CPP and QPP,-592248,103826,696074,37683,352,18949,26678,2256370.0,-26.25,4.6
2021-04-01,Federal,931534,1538220,606686,1229190,6196,127848,96855,2374391.0,39.23,64.78
2021-04-01,Provincial and territorial,537811,1518565,980754,1099692,9717,141588,135621,2374391.0,22.65,63.96
2021-04-01,Local,53364,242577,189213,72676,819,52558,54980,2374391.0,2.25,10.22
2021-04-01,CPP and QPP,-620974,111676,732650,40889,259,18414,27363,2374391.0,-26.15,4.7
2021-07-01,Federal,932893,1580369,647476,1243949,6308,107113,100001,2453596.0,38.02,64.41
2021-07-01,Provincial and territorial,510919,1515084,1004165,1098447,10009,143529,141782,2453596.0,20.82,61.75
2021-07-01,Local,46843,242098,195255,72508,815,52472,52693,2453596.0,1.91,9.87
2021-07-01,CPP and QPP,-643502,119717,763219,42926,203,18682,22752,2453596.0,-26.23,4.88
2021-10-01,Federal,936568,1605898,669330,1268955,6131,109843,104023,2535818.0,36.93,63.33
2021-10-01,Provincial and territorial,493419,1519014,1025595,1110057,9932,150608,156757,2535818.0,19.46,59.9
2021-10-01,Local,56732,245090,188358,71200,816,56440,55877,2535818.0,2.24,9.67
2021-10-01,CPP and QPP,-661010,137808,798818,44122,200,18688,18723,2535818.0,-26.07,5.43
2022-01-01,Federal,895307,1623230,727923,1228566,6198,122349,112788,2622431.0,34.14,61.9
2022-01-01,Provincial and territorial,406758,1428972,1022214,1013779,10350,167228,158247,2622431.0,15.51,54.49
2022-01-01,Local,55493,250961,195468,66759,816,55437,59375,2622431.0,2.12,9.57
2022-01-01,CPP and QPP,-654465,152914,807379,44265,157,19651,29824,2622431.0,-24.96,5.83
2022-04-01,Federal,849445,1565854,716409,1195948,8037,100036,107932,2724998.0,31.17,57.46
2022-04-01,Provincial and territorial,330645,1357387,1026742,948489,10268,148521,149944,2724998.0,12.13,49.81
2022-04-01,Local,49036,253596,204560,63868,827,56799,56652,2724998.0,1.8,9.31
2022-04-01,CPP and QPP,-635963,141559,777522,46172,145,19233,29632,2724998.0,-23.34,5.19
2022-07-01,Federal,838952,1550504,711552,1192267,8266,112527,109171,2806360.0,29.89,55.25
2022-07-01,Provincial and territorial,299592,1362091,1062499,955121,10921,151413,158221,2806360.0,10.68,48.54
2022-07-01,Local,46557,257435,210878,63904,848,56576,56510,2806360.0,1.66,9.17
2022-07-01,CPP and QPP,-641770,148487,790257,48666,238,19813,24877,2806360.0,-22.87,5.29
2022-10-01,Federal,835846,1557407,721561,1194881,8192,112088,108991,2864159.0,29.18,54.38
2022-10-01,Provincial and territorial,309916,1365506,1055590,964265,11297,160818,160250,2864159.0,10.82,47.68
2022-10-01,Local,53760,252542,198782,63167,872,60770,59716,2864159.0,1.88,8.82
2022-10-01,CPP and QPP,-653768,144721,798489,49696,212,19557,19626,2864159.0,-22.83,5.05
2023-01-01,Federal,855840,1581355,725515,1207451,8955,127565,122183,2897806.0,29.53,54.57
2023-01-01,Provincial and territorial,353438,1410651,1057213,965871,11322,180137,163163,2897806.0,12.2,48.68
2023-01-01,Local,49148,258176,209028,64695,898,58694,67888,2897806.0,1.7,8.91
2023-01-01,CPP and QPP,-689776,142428,832204,55542,224,21176,34542,2897806.0,-23.8,4.92
2023-04-01,Federal,831454,1554498,723044,1218439,10315,108327,114763,2907035.0,28.6,53.47
2023-04-01,Provincial and territorial,323619,1393976,1070357,959246,11878,159619,155326,2907035.0,11.13,47.95
2023-04-01,Local,46603,259499,212896,63852,921,60833,61031,2907035.0,1.6,8.93
2023-04-01,CPP and QPP,-697128,144404,841532,60458,241,20969,35329,2907035.0,-23.98,4.97
2023-07-01,Federal,807062,1535069,728007,1197292,11319,120547,110824,2934263.0,27.5,52.32
2023-07-01,Provincial and territorial,293300,1372802,1079502,933958,12124,164939,161546,2934263.0,10.0,46.79
2023-07-01,Local,45133,261216,216083,60516,940,60512,60211,2934263.0,1.54,8.9
2023-07-01,CPP and QPP,-696660,163672,860332,59621,288,21690,29027,2934263.0,-23.74,5.58
2023-10-01,Federal,855493,1621688,766195,1276169,11455,123891,113020,2965201.0,28.85,54.69
2023-10-01,Provincial and territorial,398542,1461354,1062812,1028826,12286,173593,165149,2965201.0,13.44,49.28
2023-10-01,Local,53218,267037,213819,64568,949,63700,66789,2965201.0,1.79,9.01
2023-10-01,CPP and QPP,-721829,170936,892765,61948,273,21240,23138,2965201.0,-24.34,5.76
2024-01-01,Federal,912683,1695136,782453,1304069,11931,181732,122998,2996171.0,30.46,56.58
2024-01-01,Provincial and territorial,362725,1466836,1104111,1015914,12465,191832,178163,2996171.0,12.11,48.96
2024-01-01,Local,41539,270151,228612,64062,954,62452,81131,2996171.0,1.39,9.02
2024-01-01,CPP and QPP,-767075,189771,956846,71589,324,22880,40260,2996171.0,-25.6,6.33
2024-04-01,Federal,917529,1676164,758635,1316602,13305,122436,123453,3034598.0,30.24,55.24
2024-04-01,Provincial and territorial,351131,1485072,1133941,1055881,12678,171829,167202,3034598.0,11.57,48.94
2024-04-01,Local,37285,282185,244900,63965,959,66603,64650,3034598.0,1.23,9.3
2024-04-01,CPP and QPP,-784323,198854,983177,72965,218,22934,36911,3034598.0,-25.85,6.55
2024-07-01,Federal,949319,1739082,789763,1371989,13546,127461,118735,3068195.0,30.94,56.68
2024-07-01,Provincial and territorial,387444,1542781,1155337,1115041,13735,179711,170488,3068195.0,12.63,50.28
2024-07-01,Local,35981,283628,247647,65534,967,69066,64104,3068195.0,1.17,9.24
2024-07-01,CPP and QPP,-820056,200127,1020183,76799,269,23162,31287,3068195.0,-26.73,6.52
2024-10-01,Federal,972940,1781029,808089,1383743,12140,133687,121550,3108551.0,31.3,57.29
2024-10-01,Provincial and territorial,370014,1550391,1180377,1119558,13064,185497,176075,3108551.0,11.9,49.88
2024-10-01,Local,45170,285514,240344,67127,974,71852,68848,3108551.0,1.45,9.18
2024-10-01,CPP and QPP,-848645,212529,1061174,77493,209,23140,25900,3108551.0,-27.3,6.84
2025-01-01,Federal,987661,1844359,856698,1444512,11885,152060,135305,3155587.0,31.3,58.45
2025-01-01,Provincial and territorial,398242,1592559,1194317,1140750,13253,206414,182477,3155587.0,12.62,50.47
2025-01-01,Local,42296,289575,247279,68488,965,68733,72970,3155587.0,1.34,9.18
2025-01-01,CPP and QPP,-864079,229807,1093886,83161,219,23965,43127,3155587.0,-27.38,7.28
2025-04-01,Federal,994818,1841341,846523,1464377,13060,128077,125372,3186175.0,31.22,57.79
2025-04-01,Provincial and territorial,377285,1581491,1204206,1144398,13407,183819,171479,3186175.0,11.84,49.64
2025-04-01,Local,27451,288933,261482,68659,967,71139,68730,3186175.0,0.86,9.07
2025-04-01,CPP and QPP,-884620,241140,1125760,89435,139,24668,45275,3186175.0,-27.76,7.57
2025-07-01,Federal,1009524,1880500,870976,1493519,13101,130268,123524,3218346.0,31.37,58.43
2025-07-01,Provincial and territorial,387604,1620160,1232556,1169532,13832,187319,180572,3218346.0,12.04,50.34
2025-07-01,Local,28718,292220,263502,69799,965,71181,66329,3218346.0,0.89,9.08
2025-07-01,CPP and QPP,-931287,244491,1175778,91805,239,24313,37984,3218346.0,-28.94,7.6
2025-10-01,Federal,1009433,1903518,894085,1498561,12936,138127,123521,3245257.0,31.1,58.66
2025-10-01,Provincial and territorial,401167,1634105,1232938,1187554,13834,196675,177526,3245257.0,12.36,50.35
2025-10-01,Local,37868,293505,255637,70049,970,75230,71251,3245257.0,1.17,9.04
2025-10-01,CPP and QPP,-937343,243410,1180753,93428,179,24558,28471,3245257.0,-28.88,7.5
2026-01-01,Federal,1018234,1944725,926491,1523310,12222,153906,133136,3271267.0,31.13,59.45
2026-01-01,Provincial and territorial,436503,1665089,1228586,1204578,13515,200921,181975,3271267.0,13.34,50.9
2026-01-01,Local,35281,295476,260195,70235,970,73470,74800,3271267.0,1.08,9.03
2026-01-01,CPP and QPP,-951885,254431,1206316,105259,197,24916,42695,3271267.0,-29.1,7.78
