country_code,country_name,year,personnel,population,per_million
AUS,Australia,1990,41.0,17065128.0,2.4025603558320805
AUS,Australia,1991,54.25,17284036.0,3.1387344946515965
AUS,Australia,1992,382.25,17478635.0,21.869556747423353
AUS,Australia,1993,526.9166666666666,17634808.0,29.87935375688052
AUS,Australia,1994,246.0,17805468.0,13.815980574057363
AUS,Australia,1995,211.91666666666666,18004882.0,11.769955874560393
AUS,Australia,1996,32.416666666666664,18224767.0,1.7787150127442872
AUS,Australia,1997,39.0,18423037.0,2.1169148170304384
AUS,Australia,1998,32.083333333333336,18607584.0,1.7242073626180239
AUS,Australia,1999,48.083333333333336,18812264.0,2.5559567595550083
AUS,Australia,2000,1608.1666666666667,19028802.0,84.51223921856283
AUS,Australia,2001,1627.25,19274701.0,84.42413711112822
AUS,Australia,2002,1268.5833333333333,19495210.0,65.0715397953309
AUS,Australia,2003,800.0833333333334,19720737.0,40.570660890276734
AUS,Australia,2004,227.33333333333334,19932722.0,11.405032053993095
AUS,Australia,2005,73.0,20176844.0,3.6180088422153633
AUS,Australia,2006,92.41666666666667,20450966.0,4.518938942378892
AUS,Australia,2007,108.41666666666667,20827622.0,5.205427036589519
AUS,Australia,2008,109.91666666666667,21249199.0,5.172744001628798
AUS,Australia,2009,113.75,21691653.0,5.2439525931933355
AUS,Australia,2010,104.33333333333333,22031750.0,4.735589925145907
AUS,Australia,2011,105.16666666666667,22340024.0,4.707544927734485
AUS,Australia,2012,97.83333333333333,22733465.0,4.3034941366541934
AUS,Australia,2013,57.083333333333336,23128129.0,2.4681345098573835
AUS,Australia,2014,46.25,23475686.0,1.9701234715782105
AUS,Australia,2015,44.5,23815995.0,1.8684921625151498
AUS,Australia,2016,39.833333333333336,24190907.0,1.646624218485621
AUS,Australia,2017,51.083333333333336,24592588.0,2.0771841228476373
AUS,Australia,2018,32.5,24963258.0,1.301913396079951
AUS,Australia,2019,35.416666666666664,25334826.0,1.3979439474605693
AUS,Australia,2020,32.916666666666664,25649248.0,1.283338469286377
AUS,Australia,2021,27.75,25685412.0,1.080379789119209
AUS,Australia,2022,26.75,26018721.0,1.0281058780714085
AUS,Australia,2023,25.75,26659922.0,0.9658692924908032
AUS,Australia,2024,26.5,27194286.0,0.9744694161118994
AUS,Australia,2025,29.916666666666668,27614411.0,1.0833715289696624
AUS,Australia,2026,24.4,27614411.0,0.8835966119284601
CAN,Canada,1990,1002.0,27691138.0,36.1848617416879
CAN,Canada,1991,1055.6666666666667,28037420.0,37.652061661403465
CAN,Canada,1992,2061.8333333333335,28371264.0,72.67329835333857
CAN,Canada,1993,2848.3333333333335,28684764.0,99.29777819797762
CAN,Canada,1994,2542.0,29000663.0,87.65316848101024
CAN,Canada,1995,2540.5833333333335,29302311.0,86.7024902347577
CAN,Canada,1996,979.3333333333334,29610218.0,33.0741682933011
CAN,Canada,1997,940.9166666666666,29905948.0,31.462526005417605
CAN,Canada,1998,381.75,30155173.0,12.659519479460455
CAN,Canada,1999,365.1666666666667,30401286.0,12.011553283195543
CAN,Canada,2000,381.3333333333333,30685730.0,12.427057571494414
CAN,Canada,2001,418.1666666666667,31020855.0,13.480178630365497
CAN,Canada,2002,273.6666666666667,31359199.0,8.72683854797014
CAN,Canada,2003,250.66666666666666,31642461.0,7.921844848498561
