date,personnel_type,count
1995-06-30,Troops,2860.0
1995-07-31,Experts and staff officers,53.0
1995-07-31,Police,99.0
1995-07-31,Troops,2885.0
1995-08-31,Experts and staff officers,42.0
1995-08-31,Police,87.0
1995-08-31,Troops,2870.0
1995-09-30,Experts and staff officers,41.0
1995-09-30,Police,97.0
1995-09-30,Troops,2133.0
1995-10-31,Experts and staff officers,41.0
1995-10-31,Police,96.0
1995-10-31,Troops,2067.0
1995-11-30,Experts and staff officers,41.0
1995-11-30,Police,95.0
1995-11-30,Troops,1270.0
1995-12-31,Experts and staff officers,41.0
1995-12-31,Police,93.0
1995-12-31,Troops,1029.0
1996-01-31,Experts and staff officers,32.0
1996-01-31,Police,93.0
1996-01-31,Troops,831.0
1996-02-29,Experts and staff officers,19.0
1996-02-29,Police,93.0
1996-02-29,Troops,612.0
1996-03-31,Experts and staff officers,19.0
1996-03-31,Police,50.0
1996-03-31,Troops,626.0
1996-04-30,Experts and staff officers,19.0
1996-04-30,Police,98.0
1996-04-30,Troops,953.0
1996-05-31,Experts and staff officers,19.0
1996-05-31,Police,98.0
1996-05-31,Troops,944.0
1996-06-30,Experts and staff officers,19.0
1996-06-30,Police,79.0
1996-06-30,Troops,939.0
1996-07-31,Experts and staff officers,19.0
1996-07-31,Police,103.0
1996-07-31,Troops,912.0
1996-08-31,Experts and staff officers,18.0
1996-08-31,Police,103.0
1996-08-31,Troops,858.0
1996-09-30,Experts and staff officers,18.0
1996-09-30,Police,101.0
1996-09-30,Troops,915.0
1996-10-31,Experts and staff officers,18.0
1996-10-31,Police,101.0
1996-10-31,Troops,939.0
1996-11-30,Experts and staff officers,18.0
1996-11-30,Police,98.0
1996-11-30,Troops,944.0
1996-12-31,Experts and staff officers,18.0
1996-12-31,Police,98.0
1996-12-31,Troops,928.0
1997-01-31,Experts and staff officers,18.0
1997-01-31,Police,106.0
1997-01-31,Troops,936.0
1997-02-28,Experts and staff officers,33.0
1997-02-28,Police,106.0
1997-02-28,Troops,945.0
1997-03-31,Experts and staff officers,33.0
1997-03-31,Police,106.0
1997-03-31,Troops,928.0
1997-04-30,Experts and staff officers,33.0
1997-04-30,Police,107.0
1997-04-30,Troops,943.0
1997-05-31,Experts and staff officers,18.0
1997-05-31,Police,119.0
1997-05-31,Troops,953.0
1997-06-30,Experts and staff officers,18.0
1997-06-30,Police,77.0
1997-06-30,Troops,946.0
1997-07-31,Experts and staff officers,18.0
1997-07-31,Police,75.0
1997-07-31,Troops,934.0
1997-08-31,Experts and staff officers,17.0
1997-08-31,Police,73.0
1997-08-31,Troops,824.0
1997-09-30,Experts and staff officers,17.0
1997-09-30,Police,73.0
1997-09-30,Troops,781.0
1997-10-31,Experts and staff officers,17.0
1997-10-31,Police,79.0
1997-10-31,Troops,815.0
1997-11-30,Experts and staff officers,17.0
1997-11-30,Police,31.0
1997-11-30,Troops,841.0
1997-12-31,Experts and staff officers,17.0
1997-12-31,Police,48.0
1997-12-31,Troops,189.0
1998-01-31,Experts and staff officers,17.0
1998-01-31,Police,48.0
1998-01-31,Troops,189.0
1998-02-28,Experts and staff officers,16.0
1998-02-28,Police,59.0
1998-02-28,Troops,190.0
1998-03-31,Experts and staff officers,17.0
1998-03-31,Police,59.0
1998-03-31,Troops,190.0
1998-04-30,Experts and staff officers,17.0
1998-04-30,Police,59.0
1998-04-30,Troops,345.0
1998-05-31,Experts and staff officers,17.0
1998-05-31,Police,59.0
1998-05-31,Troops,352.0
1998-06-30,Experts and staff officers,18.0
1998-06-30,Police,59.0
1998-06-30,Troops,344.0
1998-07-31,Experts and staff officers,18.0
1998-07-31,Police,58.0
1998-07-31,Troops,343.0
1998-08-31,Experts and staff officers,18.0
1998-08-31,Police,55.0
1998-08-31,Troops,342.0
1998-09-30,Experts and staff officers,18.0
1998-09-30,Police,64.0
1998-09-30,Troops,345.0
1998-10-31,Experts and staff officers,18.0
1998-10-31,Police,60.0
1998-10-31,Troops,343.0
1998-11-30,Experts and staff officers,18.0
1998-11-30,Police,54.0
1998-11-30,Troops,350.0
1998-12-31,Experts and staff officers,18.0
1998-12-31,Police,54.0
1998-12-31,Troops,350.0
1999-01-31,Experts and staff officers,18.0
1999-01-31,Police,55.0
1999-01-31,Troops,343.0
1999-02-28,Experts and staff officers,18.0
1999-02-28,Police,60.0
1999-02-28,Troops,240.0
1999-03-31,Experts and staff officers,17.0
1999-03-31,Police,50.0
1999-03-31,Troops,238.0
1999-04-30,Experts and staff officers,17.0
1999-04-30,Police,53.0
1999-04-30,Troops,215.0
1999-05-31,Experts and staff officers,17.0
1999-05-31,Police,54.0
1999-05-31,Troops,368.0
