country_code,country_name,year,defence_pct_gdp
AUS,Australia,1950,2.8779014908473295
AUS,Australia,1951,3.7350597609561755
AUS,Australia,1952,5.180595834431848
AUS,Australia,1953,4.799860367698394
AUS,Australia,1954,3.968253968253968
AUS,Australia,1955,3.85961403859614
AUS,Australia,1956,3.6706990488503095
AUS,Australia,1957,3.317213879697972
AUS,Australia,1958,3.2545605306799334
AUS,Australia,1959,3.1032885595182953
AUS,Australia,1960,2.3695451396906027
AUS,Australia,1961,2.4151398541152145
AUS,Australia,1962,2.3636953699697103
AUS,Australia,1963,2.4466346391956812
AUS,Australia,1964,2.6482427970509748
AUS,Australia,1965,2.9522929615320006
AUS,Australia,1966,3.4513829037060253
AUS,Australia,1967,3.793763967223582
AUS,Australia,1968,3.837273584598875
AUS,Australia,1969,3.385919880021919
AUS,Australia,1970,2.966035576823052
AUS,Australia,1971,2.7631517088994406
AUS,Australia,1972,2.6856206048578453
AUS,Australia,1973,2.3793467959466357
AUS,Australia,1974,2.262802699483922
AUS,Australia,1975,2.2673155925373525
AUS,Australia,1976,2.216612106752483
AUS,Australia,1977,2.2472022083370704
AUS,Australia,1978,2.2156885699105797
AUS,Australia,1979,2.192729371032891
AUS,Australia,1980,2.2489569040351713
AUS,Australia,1981,2.2966019447106434
AUS,Australia,1982,2.393265216136917
AUS,Australia,1983,2.519811819165262
AUS,Australia,1984,2.5052336507001263
AUS,Australia,1985,2.5232683787051657
AUS,Australia,1986,2.540429751578668
AUS,Australia,1987,2.372988832413927
AUS,Australia,1988,2.1580613848571693
AUS,Australia,1989,2.045936631690318
AUS,Australia,1990,2.073530228369592
AUS,Australia,1991,2.160888081503335
AUS,Australia,1992,2.164693163810747
AUS,Australia,1993,2.172377406836216
AUS,Australia,1994,2.1106525584137525
AUS,Australia,1995,2.0166377735180157
AUS,Australia,1996,1.9267426065250435
AUS,Australia,1997,1.8617525961647268
AUS,Australia,1998,1.8656421080403667
AUS,Australia,1999,1.8839958514078152
AUS,Australia,2000,1.820957998658883
AUS,Australia,2001,1.8597273264857674
AUS,Australia,2002,1.8649042525656536
AUS,Australia,2003,1.8396081848502148
AUS,Australia,2004,1.8191683833542833
AUS,Australia,2005,1.793347817090834
AUS,Australia,2006,1.814417083729927
AUS,Australia,2007,1.8077702699729175
AUS,Australia,2008,1.7911208333299737
AUS,Australia,2009,1.9173286348837797
AUS,Australia,2010,1.8468010962166517
AUS,Australia,2011,1.749593390017852
AUS,Australia,2012,1.6642139448246034
AUS,Australia,2013,1.6309545857001149
AUS,Australia,2014,1.764997713805468
AUS,Australia,2015,1.9445296717651168
AUS,Australia,2016,2.081320129845761
AUS,Australia,2017,1.9974568637306962
AUS,Australia,2018,1.8883162649716019
AUS,Australia,2019,1.8722862730159746
AUS,Australia,2020,2.001473296500921
AUS,Australia,2021,1.9734660404895847
AUS,Australia,2022,1.877107967877591
AUS,Australia,2023,1.8555831996838017
AUS,Australia,2024,1.9021630715704305
AUS,Australia,2025,1.9178730836910949
CAN,Canada,1950,2.4274509803921567
CAN,Canada,1951,4.662253141831239
CAN,Canada,1952,6.7987683750496615
CAN,Canada,1953,7.37355559765107
CAN,Canada,1954,6.862726621687837
CAN,Canada,1955,6.177777777777778
CAN,Canada,1956,5.685824569934959
CAN,Canada,1957,5.349319639075057
CAN,Canada,1958,4.937795959539354
CAN,Canada,1959,4.399767669033978
CAN,Canada,1960,4.185256540255526
CAN,Canada,1961,4.12831224346052
CAN,Canada,1962,3.9992163886712193
CAN,Canada,1963,3.620650111548967
CAN,Canada,1964,3.402062836590611
CAN,Canada,1965,2.930260659416537
CAN,Canada,1966,2.6832824215495696
CAN,Canada,1967,2.7479267697781857
CAN,Canada,1968,2.5436418804429204
CAN,Canada,1969,2.273784670444378
CAN,Canada,1970,2.1889796959380785
CAN,Canada,1971,2.131485639394894
CAN,Canada,1972,2.011818438219319
CAN,Canada,1973,1.8326018176742458
CAN,Canada,1974,1.7838130850829015
CAN,Canada,1975,1.8635418526560725
CAN,Canada,1976,1.7659279778393353
CAN,Canada,1977,1.8057636000778376
CAN,Canada,1978,1.8488874006133693
CAN,Canada,1979,1.711245917940317
CAN,Canada,1980,1.7644486147778238
