country_code,country_name,year,defence_pct_gdp
AUS,Australia,2000,1.8244056794188
AUS,Australia,2001,1.86297632956383
AUS,Australia,2002,1.86803152019821
AUS,Australia,2003,1.84253577993579
AUS,Australia,2004,1.82208057125111
AUS,Australia,2005,1.79628773763805
AUS,Australia,2006,1.8177309027711
AUS,Australia,2007,1.81127596229823
AUS,Australia,2008,1.79619704962465
AUS,Australia,2009,1.92365517034008
AUS,Australia,2010,1.85259869583961
AUS,Australia,2011,1.75526613878209
AUS,Australia,2012,1.67028165223311
AUS,Australia,2013,1.63819651223089
AUS,Australia,2014,1.77241725032578
AUS,Australia,2015,1.95232628501993
AUS,Australia,2016,2.0896214779767
AUS,Australia,2017,2.00509517581937
AUS,Australia,2018,1.89562007676709
AUS,Australia,2019,1.88000240626833
AUS,Australia,2020,2.00738622102391
AUS,Australia,2021,1.97847691589702
AUS,Australia,2022,1.88329708969124
AUS,Australia,2023,1.86157133456052
AUS,Australia,2024,1.8837883329175
CAN,Canada,2000,1.11434980213748
CAN,Canada,2001,1.13335628281332
CAN,Canada,2002,1.11686914736943
CAN,Canada,2003,1.11193730688338
CAN,Canada,2004,1.10418939142687
CAN,Canada,2005,1.10710542420811
CAN,Canada,2006,1.12252472932052
CAN,Canada,2007,1.18579022996702
CAN,Canada,2008,1.24551836677548
CAN,Canada,2009,1.37755563107525
CAN,Canada,2010,1.19433833839121
CAN,Canada,2011,1.19329189549638
CAN,Canada,2012,1.11840459807104
CAN,Canada,2013,1.00236720047397
CAN,Canada,2014,0.989925299438869
CAN,Canada,2015,1.15270937445521
CAN,Canada,2016,1.16416156719089
CAN,Canada,2017,1.35189646465708
CAN,Canada,2018,1.3176781061648
CAN,Canada,2019,1.28451224366918
CAN,Canada,2020,1.39399340787119
CAN,Canada,2021,1.25420081409628
CAN,Canada,2022,1.16713259486345
CAN,Canada,2023,1.25316567875902
CAN,Canada,2024,1.31303419578919
CHE,Switzerland,2000,1.02928011745958
CHE,Switzerland,2001,0.991880080138388
CHE,Switzerland,2002,0.956388349764947
CHE,Switzerland,2003,0.926630419400856
CHE,Switzerland,2004,0.888925074606932
CHE,Switzerland,2005,0.83306403652778
CHE,Switzerland,2006,0.753808477874928
CHE,Switzerland,2007,0.718232323663411
CHE,Switzerland,2008,0.722484412265189
CHE,Switzerland,2009,0.73179337674355
CHE,Switzerland,2010,0.687220165933277
CHE,Switzerland,2011,0.694782257657599
CHE,Switzerland,2012,0.669001710434324
CHE,Switzerland,2013,0.712636242390875
CHE,Switzerland,2014,0.634898338463689
CHE,Switzerland,2015,0.651341082840214
CHE,Switzerland,2016,0.664750475412517
CHE,Switzerland,2017,0.66568455676088
CHE,Switzerland,2018,0.652876569793988
CHE,Switzerland,2019,0.696324324760463
CHE,Switzerland,2020,0.772558973227674
CHE,Switzerland,2021,0.67289247365512
CHE,Switzerland,2022,0.682061302644033
CHE,Switzerland,2023,0.705659021596424
CHE,Switzerland,2024,0.717812077671144
DEU,Germany,2000,1.34421581953972
DEU,Germany,2001,1.30789826898647
DEU,Germany,2002,1.31344033426945
DEU,Germany,2003,1.2986963477858
DEU,Germany,2004,1.25072808117217
DEU,Germany,2005,1.23275583821682
DEU,Germany,2006,1.17898651377886
DEU,Germany,2007,1.15279236258074
DEU,Germany,2008,1.1888700534429
DEU,Germany,2009,1.2847898688108
DEU,Germany,2010,1.24181027958074
DEU,Germany,2011,1.18233731589884
DEU,Germany,2012,1.21725965761789
DEU,Germany,2013,1.16213791467872
DEU,Germany,2014,1.12769949450115
DEU,Germany,2015,1.11541840455009
