year,category,low,high,peak_month,missions,source
1959,UN-led,1001,1009,1959-01,UNEF I 975–983; UNTSO 17; UNMOGIP 9,https://undocs.org/A/3899 | https://undocs.org/A/4210 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1960,Other non-UN,26,74,1960-01,ICSC Vietnam 20–68; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1960,UN-led,1234,1287,1960-08,UNEF I 932–983; ONUC 100–275; UNTSO 20; UNMOGIP 9,https://undocs.org/A/4210 | https://undocs.org/A/4486 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1961,Other non-UN,26,74,1961-01,ICSC Vietnam 20–68; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1961,UN-led,1257,1340,1961-09,UNEF I 930–940; ONUC 298–371; UNTSO 20; UNMOGIP 9,https://undocs.org/A/4486 | https://undocs.org/A/5494 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1962,Other non-UN,45,93,1962-05,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1962,UN-led,1246,1281,1962-09,UNEF I 930–940; ONUC 275–300; UNTSO 20; UNSF 12; UNMOGIP 9,https://undocs.org/A/4486 | https://undocs.org/A/5494 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-security-force-west-new-guinea.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1963,Other non-UN,45,93,1963-01,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
1963,UN-led,1284,1319,1963-06,UNEF I 930–940; ONUC 275–300; UNYOM 50; UNTSO 20; UNMOGIP 9,https://undocs.org/A/4486 | https://undocs.org/A/5494 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/united-nations-yemen-observation-mission.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-military-observer-group-india-pakistan.html
1964,Other non-UN,45,93,1964-01,ICSC Vietnam 20–68; ICSC Laos 19; ICSC Cambodia 6,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
