year,category,low,high,peak_month,missions,source
1983,UN-led,754,762,1983-01,UNFICYP 514–515; UNDOF 220–227; UNTSO 20,https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1984,UN-led,754,762,1984-01,UNFICYP 514–515; UNDOF 220–227; UNTSO 20,https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1985,UN-led,754,762,1985-01,UNFICYP 514–515; UNDOF 220–227; UNTSO 20,https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1986,Other non-UN,140,140,1986-01,MFO 140,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1986,UN-led,754,762,1986-01,UNFICYP 514–515; UNDOF 220–227; UNTSO 20,https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1987,Other non-UN,140,140,1987-01,MFO 140,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1987,UN-led,815,822,1987-07,UNFICYP 515–575; UNDOF 220–227; UNTSO 20,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/151644 | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html
1988,Other non-UN,140,140,1988-01,MFO 140,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1988,UN-led,1320,1352,1988-08,UNFICYP 575; UNIIMOG 500–525; UNDOF 220–227; UNTSO 20; UNGOMAP 5,https://digitallibrary.un.org/record/151644 | https://digitallibrary.un.org/record/40281 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/vagabond.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-good-offices-mission-afghanistan-pakistan.html
1989,Other non-UN,140,140,1989-01,MFO 140,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1989,UN-led,1340,1412,1989-03,UNFICYP 575; UNIIMOG 500–525; UNDOF 220–227; UNTAG 20–60; UNTSO 20; UNGOMAP 5,https://digitallibrary.un.org/record/151644 | https://digitallibrary.un.org/record/40281 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/vagabond.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/matador.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-good-offices-mission-afghanistan-pakistan.html
1990,Other non-UN,140,140,1990-01,MFO 140,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1990,UN-led,1295,1339,1990-01,UNFICYP 575; UNTAG 353 (incl. 100 police); UNDOF 220–227; ONUCA 120–146; UNTSO 20; UNIIMOG 4–15; UNGOMAP 3,https://digitallibrary.un.org/record/151644 | https://digitallibrary.un.org/record/40281 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/matador.html | https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/central-america/sultan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/jade-untso.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/vagabond.html | https://digitallibrary.un.org/record/228891 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/united-nations-good-offices-mission-afghanistan-pakistan.html
1991,Other non-UN,30,30,1991-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1992,Other non-UN,30,30,1992-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1993,Other non-UN,30,30,1993-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1994,Other non-UN,30,30,1994-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1995,NATO-led (Balkans),1047,1047,1995-12,"IFOR 1,047",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/alliance.html
1995,Other non-UN,30,30,1995-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1996,NATO-led (Balkans),1047,1047,1996-01,"IFOR 1,047",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/alliance.html
1996,Other non-UN,30,30,1996-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1997,NATO-led (Balkans),1200,1200,1997-01,"SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
1997,Other non-UN,30,30,1997-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1998,NATO-led (Balkans),1200,1200,1998-01,"SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
1998,Other non-UN,30,30,1998-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
1999,NATO-led (Balkans),2600,2600,1999-07,"KFOR 1,400; SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/kinetic.html | https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
1999,Other non-UN,30,30,1999-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2000,NATO-led (Balkans),2600,2600,2000-01,"KFOR 1,400; SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/kinetic.html | https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
2000,Other non-UN,30,30,2000-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2001,NATO-led (Balkans),1200,1200,2001-01,"SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
2001,Other non-UN,30,30,2001-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2002,NATO-led (Balkans),1200,1200,2002-01,"SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
2002,Other non-UN,30,30,2002-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2003,NATO-led (Afghanistan),2000,2000,2003-08,"ISAF Kabul 2,000",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2003,NATO-led (Balkans),1200,1200,2003-01,"SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
2003,Other non-UN,30,30,2003-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2004,NATO-led (Afghanistan),2000,2000,2004-01,"ISAF Kabul 2,000",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2004,NATO-led (Balkans),1200,1200,2004-01,"SFOR 1,200",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
2004,Other non-UN,30,30,2004-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2005,NATO-led (Afghanistan),700,700,2005-01,ISAF Kabul 700,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2005,Other non-UN,30,30,2005-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2006,NATO-led (Afghanistan),2830,2830,2006-08,"ISAF Kandahar 2,830",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/operation-athena/joint-task-force-afghanistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2006,Other non-UN,30,30,2006-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2007,NATO-led (Afghanistan),2830,2830,2007-01,"ISAF Kandahar 2,830",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/operation-athena/joint-task-force-afghanistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2007,Other non-UN,30,30,2007-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2008,NATO-led (Afghanistan),2830,2830,2008-01,"ISAF Kandahar 2,830",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/operation-athena/joint-task-force-afghanistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2008,Other non-UN,30,30,2008-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2009,NATO-led (Afghanistan),2830,2830,2009-01,"ISAF Kandahar 2,830",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/operation-athena/joint-task-force-afghanistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2009,Other non-UN,30,30,2009-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2010,NATO-led (Afghanistan),2830,2830,2010-01,"ISAF Kandahar 2,830",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/operation-athena/joint-task-force-afghanistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2010,Other non-UN,30,30,2010-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2011,NATO-led (Afghanistan),2830,2830,2011-01,"ISAF Kandahar 2,830",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/operation-athena/joint-task-force-afghanistan.html | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
2011,Other non-UN,30,30,2011-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2012,NATO-led (Afghanistan),950,950,2012-01,NTM-A 950,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/operation-attention.html
2012,Other non-UN,30,30,2012-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2013,NATO-led (Afghanistan),950,950,2013-01,NTM-A 950,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/operation-attention.html
2013,Other non-UN,30,30,2013-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2014,NATO-led (Afghanistan),950,950,2014-01,NTM-A 950,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/operation-attention.html
2014,Other non-UN,30,30,2014-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2015,Other non-UN,30,30,2015-01,MFO 30,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2016,Other non-UN,40,40,2016-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2017,Other non-UN,40,40,2017-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2018,Other non-UN,40,40,2018-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2019,Other non-UN,40,40,2019-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2020,Other non-UN,40,40,2020-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2021,Other non-UN,40,40,2021-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2022,Other non-UN,40,40,2022-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2023,Other non-UN,40,40,2023-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2024,Other non-UN,40,40,2024-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2025,Other non-UN,40,40,2025-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
2026,Other non-UN,40,40,2026-01,MFO 40,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
