city,season,year,temp,temp_max
Alert,Spring,2009,-23.5,-20.0
Alert,Spring,2010,-18.3,-14.7
Alert,Spring,2011,-20.1,-16.5
Alert,Spring,2012,-22.3,-18.6
Alert,Spring,2013,-21.1,-17.0
Alert,Spring,2015,-22.4,-19.2
Alert,Spring,2016,-21.7,-18.8
Alert,Spring,2017,-21.6,-18.4
Alert,Spring,2018,-21.9,-18.7
Alert,Spring,2019,-19.5,-16.4
Alert,Spring,2020,-18.9,-15.3
Alert,Summer,1951,0.1,2.3
Alert,Summer,1952,0.2,2.5
Alert,Summer,1953,1.1,3.8
Alert,Summer,1954,1.8,4.3
Alert,Summer,1955,-0.2,1.8
Alert,Summer,1956,1.5,4.4
Alert,Summer,1957,1.5,3.9
Alert,Summer,1958,1.3,3.2
Alert,Summer,1959,-0.1,1.7
Alert,Summer,1960,1.3,3.4
Alert,Summer,1961,-0.2,1.8
Alert,Summer,1962,2.1,4.7
Alert,Summer,1963,0.1,2.9
Alert,Summer,1964,0.8,3.1
Alert,Summer,1965,-0.6,1.4
Alert,Summer,1966,1.5,3.9
Alert,Summer,1967,1.0,3.6
Alert,Summer,1968,-0.1,1.7
Alert,Summer,1969,0.8,3.1
Alert,Summer,1970,-0.5,1.3
Alert,Summer,1971,0.9,3.3
Alert,Summer,1972,-0.6,1.1
Alert,Summer,1973,0.4,2.6
Alert,Summer,1974,0.5,3.0
Alert,Summer,1975,0.3,2.7
Alert,Summer,1976,-0.2,2.0
Alert,Summer,1977,-0.5,1.3
Alert,Summer,1978,1.1,3.5
Alert,Summer,1979,-0.9,1.0
Alert,Summer,1980,0.2,2.7
Alert,Summer,1981,1.0,3.4
Alert,Summer,1982,0.6,2.7
Alert,Summer,1983,0.1,2.1
Alert,Summer,1984,0.7,2.8
Alert,Summer,1985,0.5,2.8
Alert,Summer,1986,0.7,2.8
Alert,Summer,1987,0.7,2.7
Alert,Summer,1988,0.7,2.8
Alert,Summer,1989,1.2,3.2
Alert,Summer,1990,0.7,3.1
Alert,Summer,1991,1.4,3.6
Alert,Summer,1992,-0.5,1.7
Alert,Summer,1993,0.5,2.9
Alert,Summer,1994,1.6,4.0
Alert,Summer,1995,0.3,2.1
Alert,Summer,1996,0.0,2.1
Alert,Summer,1997,-0.8,1.1
Alert,Summer,1998,1.6,3.7
Alert,Summer,1999,-0.6,1.3
Alert,Summer,2000,1.0,3.2
Alert,Summer,2001,0.1,2.3
Alert,Summer,2002,1.6,4.2
Alert,Summer,2003,1.6,4.2
Alert,Summer,2004,0.1,2.1
Alert,Summer,2005,0.2,2.1
Alert,Summer,2006,0.1,2.4
Alert,Summer,2008,2.2,4.9
Alert,Summer,2009,2.0,4.9
Alert,Summer,2010,2.2,4.8
Alert,Summer,2011,2.9,5.6
Alert,Summer,2012,3.1,5.9
Alert,Summer,2014,0.7,3.0
Alert,Summer,2015,2.4,5.0
Alert,Summer,2016,4.4,7.6
Alert,Summer,2017,2.0,4.7
Alert,Summer,2018,2.1,4.7
Alert,Summer,2019,4.2,7.2
Alert,Summer,2020,2.3,4.9
Alert,Winter,1951,-32.0,-28.3
Alert,Winter,1952,-31.1,-27.8
Alert,Winter,1953,-27.9,-23.9
Alert,Winter,1954,-30.8,-27.8
Alert,Winter,1955,-29.9,-26.1
Alert,Winter,1956,-30.1,-26.7
Alert,Winter,1957,-28.2,-24.4
Alert,Winter,1958,-29.6,-26.1
Alert,Winter,1959,-28.8,-25.2
Alert,Winter,1960,-28.3,-23.8
Alert,Winter,1961,-30.2,-27.1
Alert,Winter,1962,-29.3,-25.8
Alert,Winter,1963,-28.3,-24.7
Alert,Winter,1964,-29.4,-26.0
Alert,Winter,1965,-28.7,-25.0
Alert,Winter,1966,-28.9,-24.8
Alert,Winter,1967,-30.9,-27.1
Alert,Winter,1968,-30.7,-27.5
Alert,Winter,1969,-28.6,-25.0
Alert,Winter,1970,-30.3,-26.7
Alert,Winter,1971,-30.5,-27.3
Alert,Winter,1972,-31.2,-28.2
Alert,Winter,1973,-30.6,-27.2
Alert,Winter,1974,-30.3,-27.3
Alert,Winter,1975,-31.8,-28.8
Alert,Winter,1976,-27.8,-24.1
Alert,Winter,1977,-29.2,-25.8
Alert,Winter,1978,-28.7,-24.9
Alert,Winter,1979,-31.1,-28.1
Alert,Winter,1980,-29.2,-26.1
Alert,Winter,1981,-28.3,-24.7
Alert,Winter,1982,-27.8,-24.5
Alert,Winter,1983,-30.0,-27.1
Alert,Winter,1984,-30.7,-27.8
Alert,Winter,1985,-30.2,-26.5
Alert,Winter,1986,-28.7,-25.0
Alert,Winter,1987,-29.4,-25.9
Alert,Winter,1988,-29.5,-25.8
Alert,Winter,1989,-29.3,-25.9
Alert,Winter,1990,-29.1,-26.2
Alert,Winter,1991,-31.5,-28.6
Alert,Winter,1992,-31.0,-27.7
Alert,Winter,1993,-28.9,-25.5
Alert,Winter,1994,-30.4,-27.4
Alert,Winter,1995,-30.5,-28.1
Alert,Winter,1996,-29.4,-25.6
Alert,Winter,1997,-29.3,-26.0
Alert,Winter,1998,-29.3,-26.1
Alert,Winter,1999,-29.4,-26.5
Alert,Winter,2000,-32.2,-29.0
Alert,Winter,2001,-29.6,-25.5
Alert,Winter,2002,-30.2,-26.5
Alert,Winter,2003,-27.7,-23.8
Alert,Winter,2004,-29.3,-25.7
Alert,Winter,2005,-28.7,-24.3
Alert,Winter,2006,-26.9,-23.5
Alert,Winter,2007,-29.0,-25.1
Alert,Winter,2008,-28.9,-25.4
Alert,Winter,2009,-28.7,-25.3
Alert,Winter,2010,-27.5,-23.7
Alert,Winter,2011,-26.6,-22.3
Alert,Winter,2012,-29.9,-26.1
Alert,Winter,2013,-29.9,-25.9
Alert,Winter,2014,-27.8,-23.9
Alert,Winter,2015,-27.8,-23.8
Alert,Winter,2016,-26.1,-20.7
Alert,Winter,2017,-27.7,-24.2
Alert,Winter,2018,-26.0,-22.2
Alert,Winter,2019,-28.3,-25.0
Alert,Winter,2020,-30.6,-27.2
Calgary,Autumn,1885,5.4,12.9
Calgary,Autumn,1886,3.8,10.4
Calgary,Autumn,1887,3.8,10.1
Calgary,Autumn,1888,4.8,11.7
Calgary,Autumn,1889,4.9,12.0
Calgary,Autumn,1890,6.4,12.6
Calgary,Autumn,1891,4.3,11.7
Calgary,Autumn,1892,3.8,11.0
Calgary,Autumn,1893,1.8,7.5
Calgary,Autumn,1894,3.8,9.9
Calgary,Autumn,1895,3.9,9.6
Calgary,Autumn,1896,-0.6,4.6
Calgary,Autumn,1897,1.9,7.7
Calgary,Autumn,1898,2.4,8.4
Calgary,Autumn,1899,5.6,11.2
Calgary,Autumn,1900,1.9,7.6
Calgary,Autumn,1901,4.5,10.7
Calgary,Autumn,1902,3.4,9.2
Calgary,Autumn,1903,3.0,9.0
Calgary,Autumn,1904,6.1,12.6
Calgary,Autumn,1905,4.8,11.4
Calgary,Autumn,1906,4.7,10.5
Calgary,Autumn,1907,6.4,12.6
Calgary,Autumn,1908,5.5,11.5
Calgary,Autumn,1909,3.6,9.2
Calgary,Autumn,1910,4.2,9.2
Calgary,Autumn,1911,1.8,7.0
Calgary,Autumn,1912,4.1,9.5
Calgary,Autumn,1913,4.7,10.9
Calgary,Autumn,1914,5.3,10.5
Calgary,Autumn,1915,4.0,9.5
Calgary,Autumn,1916,4.4,9.7
Calgary,Autumn,1917,6.1,11.5
Calgary,Autumn,1918,7.0,13.7
Calgary,Autumn,1919,0.8,6.9
Calgary,Autumn,1920,4.4,11.1
Calgary,Autumn,1921,2.7,8.8
Calgary,Autumn,1922,5.7,12.9
Calgary,Autumn,1923,6.3,13.9
Calgary,Autumn,1924,5.0,11.7
Calgary,Autumn,1925,2.5,7.3
Calgary,Autumn,1926,2.6,7.2
Calgary,Autumn,1927,2.0,7.1
Calgary,Autumn,1928,4.9,12.1
Calgary,Autumn,1929,5.0,11.0
Calgary,Autumn,1930,3.9,9.4
Calgary,Autumn,1931,4.4,10.5
Calgary,Autumn,1932,4.0,9.5
Calgary,Autumn,1933,4.9,10.5
Calgary,Autumn,1934,4.8,10.5
Calgary,Autumn,1935,3.1,9.1
Calgary,Autumn,1936,6.8,12.9
Calgary,Autumn,1937,4.8,10.1
Calgary,Autumn,1938,7.2,14.1
Calgary,Autumn,1939,6.2,12.3
Calgary,Autumn,1940,4.7,10.3
Calgary,Autumn,1941,5.2,11.3
Calgary,Autumn,1942,4.1,9.7
Calgary,Autumn,1943,7.3,14.2
Calgary,Autumn,1944,6.7,13.3
Calgary,Autumn,1945,2.6,7.8
Calgary,Autumn,1946,2.8,8.4
Calgary,Autumn,1947,4.4,9.5
Calgary,Autumn,1948,6.4,13.2
Calgary,Autumn,1949,7.0,13.6
Calgary,Autumn,1950,2.9,8.7
