country_code,country_name,year,source,generation_twh,share_pct,capacity_gw
AUS,Australia,2000,Bioenergy,0.89,0.4104598072222478,0.42
AUS,Australia,2000,Coal,180.26,83.13425264031729,27.75
AUS,Australia,2000,Gas,16.76,7.729557718027949,5.5
AUS,Australia,2000,Hydro,16.47,7.5958123875847425,6.78
AUS,Australia,2000,Other fossil,2.27,1.046903103814048,1.93
AUS,Australia,2000,Solar,0.05,0.023059539731586958,0.03
AUS,Australia,2000,Wind,0.13,0.05995480330212608,0.03
AUS,Australia,2001,Bioenergy,0.8,0.3567287969321324,0.58
AUS,Australia,2001,Coal,179.88,80.21046999018996,28.82
AUS,Australia,2001,Gas,24.5,10.924819406046554,5.85
AUS,Australia,2001,Hydro,16.12,7.188085258182468,6.78
AUS,Australia,2001,Other fossil,2.62,1.1682868099527335,1.7
AUS,Australia,2001,Solar,0.05,0.022295549808258274,0.03
AUS,Australia,2001,Wind,0.29,0.12931418888789797,0.08
AUS,Australia,2002,Bioenergy,1.27,0.5682580876101839,0.58
AUS,Australia,2002,Coal,171.86,76.89829522573717,28.86
AUS,Australia,2002,Gas,30.55,13.669515414559935,8.3
AUS,Australia,2002,Hydro,16.09,7.199427267439258,6.78
AUS,Australia,2002,Other fossil,3.13,1.4005100899369098,1.88
AUS,Australia,2002,Solar,0.06,0.026846838784733096,0.03
AUS,Australia,2002,Wind,0.53,0.23714707593180903,0.11
AUS,Australia,2003,Bioenergy,1.69,0.7479530869661429,0.63
AUS,Australia,2003,Coal,173.61,76.83558309360478,29.75
AUS,Australia,2003,Gas,30.15,13.343660101792432,8.54
AUS,Australia,2003,Hydro,16.21,7.174153573799513,6.78
AUS,Australia,2003,Other fossil,3.53,1.56229254259792,1.62
AUS,Australia,2003,Solar,0.06,0.026554547466253596,0.04
AUS,Australia,2003,Wind,0.7,0.3098030537729586,0.19
AUS,Australia,2004,Bioenergy,2.82,1.230205470488156,0.7
AUS,Australia,2004,Coal,178.96,78.07006063778739,29.75
AUS,Australia,2004,Gas,27.36,11.93561052218296,8.75
AUS,Australia,2004,Hydro,15.69,6.844653841120272,6.86
AUS,Australia,2004,Other fossil,3.53,1.5399380534834008,1.2
AUS,Australia,2004,Solar,0.07,0.030537015224883307,0.05
AUS,Australia,2004,Wind,0.8,0.34899445971295207,0.38
AUS,Australia,2005,Bioenergy,3.87,1.6772124469099419,0.76
AUS,Australia,2005,Coal,182.98,79.30137817456877,29.75
AUS,Australia,2005,Gas,23.26,10.080610210626679,8.38
AUS,Australia,2005,Hydro,15.47,6.704515905348011,7.46
AUS,Australia,2005,Other fossil,3.78,1.638207506284129,1.09
AUS,Australia,2005,Solar,0.08,0.03467105833405565,0.05
AUS,Australia,2005,Wind,1.3,0.5634046979284043,0.74
AUS,Australia,2006,Bioenergy,3.93,1.6513298878104123,0.83
AUS,Australia,2006,Coal,185.76,78.05369973528299,29.75
AUS,Australia,2006,Gas,27.29,11.466868355813268,8.95
AUS,Australia,2006,Hydro,14.95,6.281776545232992,7.46
AUS,Australia,2006,Nuclear,0.0,0.0,0.0
AUS,Australia,2006,Other fossil,3.8,1.596705743938821,1.11
AUS,Australia,2006,Solar,0.1,0.04201857220891634,0.06
AUS,Australia,2006,Wind,2.16,0.907601159712593,0.82
AUS,Australia,2007,Bioenergy,4.28,1.7599407870389407,0.84
AUS,Australia,2007,Coal,185.49,76.27369546445166,30.5
AUS,Australia,2007,Gas,33.4,13.73411735679921,11.23
AUS,Australia,2007,Hydro,13.05,5.366174595994901,7.46
AUS,Australia,2007,Other fossil,4.01,1.648916485052839,1.04
AUS,Australia,2007,Solar,0.11,0.045232123031374645,0.07
AUS,Australia,2007,Wind,2.85,1.1719231876310705,1.25
AUS,Australia,2008,Bioenergy,3.7,1.5078653516994052,0.78
AUS,Australia,2008,Coal,184.24,75.08354389110767,30.5
AUS,Australia,2008,Gas,36.31,14.797457005460918,11.71
AUS,Australia,2008,Hydro,11.82,4.817018501915396,7.46
AUS,Australia,2008,Other fossil,5.71,2.3270030157307033,1.07
AUS,Australia,2008,Solar,0.14,0.057054364658896406,0.09
AUS,Australia,2008,Wind,3.46,1.4100578694270112,1.44
AUS,Australia,2009,Bioenergy,2.79,1.1164465786314526,0.82
AUS,Australia,2009,Coal,182.02,72.83713485394158,30.96
AUS,Australia,2009,Gas,41.12,16.45458183273309,13.81
AUS,Australia,2009,Hydro,12.64,5.058023209283713,7.46
AUS,Australia,2009,Other fossil,6.6,2.641056422569027,1.34
AUS,Australia,2009,Solar,0.29,0.11604641856742695,0.33
AUS,Australia,2009,Wind,4.44,1.7767106842737097,1.7
AUS,Australia,2010,Bioenergy,2.44,0.9722277563055345,0.83
AUS,Australia,2010,Coal,176.02,70.13587281348369,30.47
AUS,Australia,2010,Gas,46.79,18.64366258915408,15.86
AUS,Australia,2010,Hydro,13.75,5.478742479180779,7.46
AUS,Australia,2010,Other fossil,6.0,2.390723990915249,2.18
AUS,Australia,2010,Solar,0.98,0.3904849185161573,1.09
AUS,Australia,2010,Wind,4.99,1.9882854524445153,1.86
AUS,Australia,2011,Bioenergy,2.57,1.002809427189012,0.83
AUS,Australia,2011,Coal,171.98,67.10628999531762,30.35
AUS,Australia,2011,Gas,48.78,19.033869205556424,16.37
AUS,Australia,2011,Hydro,19.57,7.636179179022945,7.46
AUS,Australia,2011,Other fossil,4.91,1.915873263617918,2.12
AUS,Australia,2011,Solar,2.04,0.796004370220072,1.42
AUS,Australia,2011,Wind,6.43,2.5089745590760106,2.13
AUS,Australia,2012,Bioenergy,3.1,1.2367350195483924,0.83
AUS,Australia,2012,Coal,165.38,65.97781855900423,29.59
AUS,Australia,2012,Gas,49.81,19.871539136679168,16.95
AUS,Australia,2012,Hydro,17.04,6.798053139711162,7.46
AUS,Australia,2012,Other fossil,5.2,2.0745232585973032,1.71
AUS,Australia,2012,Solar,2.41,0.9614617410037501,2.51
AUS,Australia,2012,Wind,7.72,3.079869145455996,2.56
AUS,Australia,2013,Bioenergy,3.33,1.334348453277769,0.82
AUS,Australia,2013,Coal,155.45,62.2896297483571,29.59
AUS,Australia,2013,Gas,52.72,21.12518031735855,17.27
AUS,Australia,2013,Hydro,19.09,7.649463054976759,7.46
AUS,Australia,2013,Other fossil,5.86,2.3481327135758936,2.14
AUS,Australia,2013,Solar,3.85,1.5427151787145377,3.31
AUS,Australia,2013,Wind,9.26,3.710530533739381,3.22
AUS,Australia,2014,Bioenergy,3.55,1.4334746618211185,0.82
AUS,Australia,2014,Coal,155.23,62.68120331112457,28.29
AUS,Australia,2014,Gas,53.66,21.66767615586513,17.8
AUS,Australia,2014,Hydro,14.48,5.846961437512618,7.46
AUS,Australia,2014,Other fossil,6.0,2.4227740763173835,1.99
AUS,Australia,2014,Solar,4.95,1.9987886129618413,4.14
AUS,Australia,2014,Wind,9.78,3.9491217443973348,3.8
