country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,low_carbon_share_energy,fossil_share_energy,coal_share_elec,oil_share_elec,gas_share_elec,nuclear_share_elec,renewables_share_elec,hydro_share_elec,low_carbon_share_elec,fossil_share_elec,primary_energy_consumption
AUS,Australia,1965,47.6074104309082,47.13413238525391,0.0069457199424505,0.0,5.251513957977295,5.033539772033691,0.0,0.0,0.0,5.251513957977295,94.7484893798828,,,,,,,,,425.760009765625
AUS,Australia,1966,47.078426361083984,48.1258659362793,0.0088361054658889,0.0,4.786874294281006,4.587331295013428,0.0,0.0,0.0,4.786874294281006,95.21312713623048,,,,,,,,,446.1015319824219
AUS,Australia,1967,45.63180160522461,49.68890380859375,0.0083313817158341,0.0,4.670965671539307,4.478845596313477,0.0,0.0,0.0,4.670965671539307,95.32903289794922,,,,,,,,,473.093017578125
AUS,Australia,1968,44.31673049926758,51.0314826965332,0.0608845651149749,0.0,4.590899467468262,4.414737224578857,0.0,0.0,0.0,4.590899467468262,95.40910339355467,,,,,,,,,501.6937561035156
AUS,Australia,1969,44.0196647644043,50.38813018798828,0.7922580242156982,0.0,4.799949169158936,4.6313557624816895,0.0,0.0,0.0,4.799949169158936,95.2000503540039,,,,,,,,,522.4282836914062
AUS,Australia,1970,40.77251434326172,51.06724166870117,3.045073270797729,0.0,5.115169525146484,4.971639633178711,0.0,0.0,0.0,5.115169525146484,94.88482666015624,,,,,,,,,570.1016235351562
AUS,Australia,1971,38.9741325378418,51.20335006713867,4.328051090240479,0.0,5.494464874267578,5.356734275817871,0.0,0.0,0.0,5.494464874267578,94.50553894042967,,,,,,,,,598.8076171875
AUS,Australia,1972,38.93082427978516,49.84463119506836,5.941334247589111,0.0,5.283210754394531,5.1429877281188965,0.0,0.0,0.0,5.283210754394531,94.71678924560548,,,,,,,,,626.0950317382812
AUS,Australia,1973,37.921478271484375,49.74926376342773,7.055400848388672,0.0,5.273860454559326,5.115533351898193,0.0,0.0,0.0,5.273860454559326,94.72614288330078,,,,,,,,,669.3558959960938
AUS,Australia,1974,37.225074768066406,49.58305358886719,7.5702080726623535,0.0,5.621664047241211,5.432680130004883,0.0,0.0,0.0,5.621664047241211,94.37833404541016,,,,,,,,,711.9010620117188
AUS,Australia,1975,37.79006576538086,48.26745223999024,7.99639892578125,0.0,5.9460859298706055,5.734199523925781,0.0,0.0,0.0,5.9460859298706055,94.05391693115234,,,,,,,,,723.9002075195312
AUS,Australia,1976,37.74741363525391,47.66408157348633,9.11928653717041,0.0,5.469220161437988,5.266613006591797,0.0,0.0,0.0,5.469220161437988,94.53077697753906,,,,,,,,,749.0881958007812
AUS,Australia,1977,37.5463752746582,47.55517959594727,9.925616264343262,0.0,4.972825527191162,4.801721096038818,0.0,0.0,0.0,4.972825527191162,95.02717590332033,,,,,,,,,785.968505859375
AUS,Australia,1978,37.333003997802734,47.11399841308594,10.354828834533691,0.0,5.198166370391846,5.041638851165772,0.0,0.0,0.0,5.198166370391846,94.80183410644533,,,,,,,,,811.2208862304688
AUS,Australia,1979,37.62224960327149,46.01288604736328,11.49087905883789,0.0,4.873986721038818,4.718241691589356,0.0,0.0,0.0,4.873986721038818,95.12601470947266,,,,,,,,,841.2914428710938
AUS,Australia,1980,38.57934188842773,43.68783950805664,13.14621925354004,0.0,4.5865983963012695,4.443676948547363,0.0,0.0,0.0,4.5865983963012695,95.41339874267578,,,,,,,,,844.2469482421875
AUS,Australia,1981,38.95077896118164,42.3741455078125,14.023962020874023,0.0,4.651113033294678,4.503500938415527,0.0,0.0,0.0,4.651113033294678,95.34888458251952,,,,,,,,,857.7938842773438
AUS,Australia,1982,39.72180938720703,42.101318359375,13.801481246948242,0.0,4.375391006469727,4.185147285461426,0.0,0.0,0.0,4.375391006469727,95.6246109008789,,,,,,,,,849.91943359375
AUS,Australia,1983,40.09621047973633,40.59186172485352,15.139310836791992,0.0,4.172614574432373,4.012151718139648,0.0,0.0,0.0,4.172614574432373,95.82738494873048,,,,,,,,,841.571533203125
AUS,Australia,1984,40.95669174194336,40.26754760742188,14.421299934387209,0.0,4.354459285736084,4.195866584777832,0.0,0.0,0.0,4.354459285736084,95.64553833007812,,,,,,,,,871.3554077148438
AUS,Australia,1985,41.1897087097168,39.33073806762695,14.987467765808104,0.0,4.49208402633667,4.332646369934082,0.0,0.0,0.0,4.49208402633667,95.50791931152344,72.2663803100586,3.773661136627197,9.299524307250977,0.0,11.640787124633787,11.272072792053224,11.640787124633787,85.33956909179688,896.2931518554688
AUS,Australia,1986,41.48806381225586,37.989444732666016,16.082496643066406,0.0,4.439996242523193,4.28200626373291,0.0,0.0,0.0,4.439996242523193,95.56000518798828,71.48085021972656,2.911362171173096,10.64179801940918,0.0,11.183613777160645,10.828475952148438,11.183613777160645,85.03401184082031,912.4112548828124
AUS,Australia,1987,42.06770324707031,37.75411987304688,15.976890563964844,0.0,4.201287746429443,4.044213771820068,0.0,0.0,0.0,4.201287746429443,95.79871368408205,73.88579559326172,2.060891628265381,10.300040245056152,0.0,10.36983871459961,10.02377986907959,10.36983871459961,86.24673461914062,937.5381469726562
AUS,Australia,1988,42.27705001831055,37.7887077331543,15.632369041442873,0.0,4.301873207092285,4.068463325500488,0.0,0.0,0.0,4.301873207092285,95.69812774658205,73.93112182617188,1.7046327590942385,10.265460014343262,0.0,10.507794380187988,9.997939109802246,10.507794380187988,85.90121459960938,981.3142700195312
AUS,Australia,1989,42.25067138671875,37.40081405639648,16.24720001220703,0.0,4.101315021514893,3.8548696041107178,0.0,0.0,0.0,4.101315021514893,95.898681640625,74.9902572631836,1.996922731399536,9.989896774291992,0.0,9.947415351867676,9.412525177001951,9.947415351867676,86.97708129882812,1029.712890625
AUS,Australia,1990,42.3840446472168,37.47718048095703,16.001731872558594,0.0,4.137041091918945,3.9106507301330566,0.0,0.0,0.0,4.137041091918945,95.86296081542967,79.2548828125,2.2318804264068604,8.072738647460938,0.0,9.970221519470217,9.48227882385254,9.970221519470217,89.55950164794922,1051.079345703125
AUS,Australia,1991,43.537635803222656,36.62089920043945,15.447440147399902,0.0,4.394022464752197,4.176598072052002,0.0014541450655087,0.0,0.0,4.394022464752197,95.6059799194336,80.53857421875,1.822572946548462,7.091828346252441,0.0,10.368502616882324,9.909567832946776,10.368502616882324,89.45297241210938,1043.9398193359375
AUS,Australia,1992,43.115970611572266,36.763404846191406,15.732108116149902,0.0,4.388519287109375,4.187353610992432,0.0031783070880919,0.0,0.0,4.388519287109375,95.61148071289062,80.54646301269531,1.481717824935913,7.41261625289917,0.0,10.299596786499023,9.876982688903809,10.299596786499023,89.4407958984375,1060.4202880859375
