country_code,country_name,year,pm25
CAN,Canada,1990,9.41496241512797
CAN,Canada,1991,9.45065315145438
CAN,Canada,1992,9.39143051308687
CAN,Canada,1993,9.33220787471936
CAN,Canada,1994,9.27298523635185
CAN,Canada,1995,9.40358934737194
CAN,Canada,1996,9.15453995961682
CAN,Canada,1997,9.09531732124931
CAN,Canada,1998,9.0360946828818
CAN,Canada,1999,8.97687204451429
CAN,Canada,2000,8.82273603145294
CAN,Canada,2001,8.95315956066693
CAN,Canada,2002,8.74794195914844
CAN,Canada,2003,8.85367536363244
CAN,Canada,2004,8.1008824990639
CAN,Canada,2005,8.59618989296122
CAN,Canada,2006,8.18328321464726
CAN,Canada,2007,7.96325997909105
CAN,Canada,2008,7.68853022085733
CAN,Canada,2009,7.36586254245046
CAN,Canada,2010,7.13816180330072
CAN,Canada,2011,7.40657220393887
CAN,Canada,2012,6.91602708094203
CAN,Canada,2013,7.14435049587253
CAN,Canada,2014,7.45981587623436
CAN,Canada,2015,7.38952733509424
CAN,Canada,2016,6.17415187643932
CAN,Canada,2017,6.91213506169854
CAN,Canada,2018,7.13787719799952
CAN,Canada,2019,6.44637527905843
CAN,Canada,2020,6.02639529210685
CAN,Canada,2021,7.83769210708607
CAN,Canada,2022,6.38948485769886
CAN,Canada,2023,6.55039237938261
CHN,China,1990,43.0610514012891
CHN,China,1991,42.8436840276615
CHN,China,1992,43.0680146380149
CHN,China,1993,43.2923452483683
CHN,China,1994,43.5166758587217
CHN,China,1995,42.8576105011138
CHN,China,1996,43.9653370794285
CHN,China,1997,44.1896676897818
CHN,China,1998,44.4139983001352
CHN,China,1999,44.6383289104886
CHN,China,2000,45.3043575048227
CHN,China,2001,45.6987498614813
CHN,China,2002,46.1289083082357
CHN,China,2003,45.7397469955709
CHN,China,2004,45.2550277984542
CHN,China,2005,46.1328560526843
CHN,China,2006,49.9470246016505
CHN,China,2007,51.6734727828923
CHN,China,2008,51.0882384725316
CHN,China,2009,49.9422205183624
CHN,China,2010,48.9504008620935
CHN,China,2011,52.7272298089351
CHN,China,2012,48.6578207635684
CHN,China,2013,51.7497809466197
CHN,China,2014,52.5096572089248
CHN,China,2015,49.4732216422362
CHN,China,2016,45.2806085850562
CHN,China,2017,43.0911018824937
CHN,China,2018,38.5057526966035
CHN,China,2019,37.20244673057
CHN,China,2020,33.6907047751319
CHN,China,2021,31.918522723712
CHN,China,2022,31.8957749766111
CHN,China,2023,31.991575365069
IND,India,1990,51.2032665473841
IND,India,1991,50.1661937890725
IND,India,1992,50.1221696951975
IND,India,1993,50.0781456013225
IND,India,1994,50.0341215074474
IND,India,1995,48.0040000846993
IND,India,1996,49.9460733196973
IND,India,1997,49.9020492258223
IND,India,1998,49.8580251319472
IND,India,1999,49.8140010380722
IND,India,2000,50.7630256086335
IND,India,2001,50.4537854823933
IND,India,2002,51.2544544512511
IND,India,2003,52.5149836233186
IND,India,2004,50.8446162251344
IND,India,2005,51.3369278641143
IND,India,2006,49.2546056005498
IND,India,2007,49.4513350486064
IND,India,2008,51.2664820637014
IND,India,2009,52.2626731220367
IND,India,2010,51.7188200456979
IND,India,2011,55.0258281992835
IND,India,2012,53.0196291324327
IND,India,2013,52.2693789873114
IND,India,2014,51.6872206933655
IND,India,2015,51.4355933740253
IND,India,2016,54.4218755239322
IND,India,2017,55.1724251484484
IND,India,2018,56.6795240921875
IND,India,2019,53.5981486621548
IND,India,2020,52.1933674059995
IND,India,2021,55.6234726382873
IND,India,2022,50.6577446303517
IND,India,2023,54.0522242217331
USA,United States,1990,15.907266687794
USA,United States,1991,15.9474992603446
USA,United States,1992,15.8054964560141
USA,United States,1993,15.6634936516837
USA,United States,1994,15.5214908473533
USA,United States,1995,15.7439587967843
USA,United States,1996,15.2374852386924
USA,United States,1997,15.0954824343619
USA,United States,1998,14.9534796300315
USA,United States,1999,14.8114768257011
USA,United States,2000,14.4872386444898
USA,United States,2001,13.7495654068876
USA,United States,2002,13.6341124128111
USA,United States,2003,13.320015301999
USA,United States,2004,12.5754470787138
USA,United States,2005,13.339296619319
USA,United States,2006,11.747869941365
USA,United States,2007,10.8781443891663
USA,United States,2008,10.3399672229591
USA,United States,2009,9.36878793839054
USA,United States,2010,9.30051691603125
USA,United States,2011,9.43462500241397
USA,United States,2012,8.71315206553226
USA,United States,2013,8.42665114273588
USA,United States,2014,8.40808065839595
USA,United States,2015,8.05235034259419
USA,United States,2016,7.38419160282327
USA,United States,2017,7.69344314182502
USA,United States,2018,7.75750644568182
USA,United States,2019,7.26916299261301
USA,United States,2020,7.73512626395484
USA,United States,2021,8.231389869812
USA,United States,2022,7.4282378905124
USA,United States,2023,6.96804491055748
