city,year,month,temp
Alert,1967,4,-20.0
Alert,1967,5,-5.2
Alert,1967,6,-2.0
Alert,1967,7,4.5
Alert,1967,8,0.6
Alert,1967,9,-8.9
Alert,1967,10,-15.4
Alert,1967,11,-27.7
Alert,1967,12,-26.5
Alert,1968,1,-31.4
Alert,1968,2,-34.2
Alert,1968,3,-30.9
Alert,1968,4,-25.4
Alert,1968,5,-10.2
Alert,1968,6,-1.1
Alert,1968,7,1.2
Alert,1968,8,-0.5
Alert,1968,9,-9.3
Alert,1968,10,-15.8
Alert,1968,11,-28.4
Alert,1968,12,-27.6
Alert,1969,1,-27.9
Alert,1969,2,-30.3
Alert,1969,3,-32.9
Alert,1969,4,-24.4
Alert,1969,5,-9.4
Alert,1969,6,-2.4
Alert,1969,7,3.1
Alert,1969,8,1.8
Alert,1969,9,-9.1
Alert,1969,10,-16.6
Alert,1969,11,-26.4
Alert,1969,12,-26.4
Alert,1970,1,-30.9
Alert,1970,2,-33.5
Alert,1970,3,-29.5
Alert,1970,4,-25.9
Alert,1970,5,-11.1
Alert,1970,6,-2.3
Alert,1970,7,2.0
Alert,1970,8,-1.3
Alert,1970,9,-8.5
Alert,1970,10,-16.4
Alert,1970,11,-24.2
Alert,1970,12,-28.2
Alert,1971,1,-32.3
Alert,1971,2,-30.9
Alert,1971,3,-27.6
Alert,1971,4,-20.4
Alert,1971,5,-10.9
Alert,1971,6,-0.5
Alert,1971,7,3.1
Alert,1971,8,0.0
Alert,1971,9,-9.2
Alert,1971,10,-17.7
Alert,1971,11,-25.6
Alert,1971,12,-31.0
Alert,1972,1,-28.8
Alert,1972,2,-33.8
Alert,1972,3,-29.6
Alert,1972,4,-25.0
Alert,1972,5,-12.8
Alert,1972,6,-2.9
Alert,1972,7,1.1
Alert,1972,8,0.0
Alert,1972,9,-9.2
Alert,1972,10,-17.2
Alert,1972,11,-23.7
Alert,1972,12,-30.3
Alert,1973,1,-27.8
Alert,1973,2,-33.8
Alert,1973,3,-34.0
Alert,1973,4,-25.0
Alert,1973,5,-11.8
Alert,1973,6,-0.7
Alert,1973,7,2.2
Alert,1973,8,-0.2
Alert,1973,9,-11.0
Alert,1973,10,-16.4
Alert,1973,11,-24.1
Alert,1973,12,-26.2
Alert,1974,1,-32.1
Alert,1974,2,-32.7
Alert,1974,3,-32.4
Alert,1974,4,-23.9
Alert,1974,5,-11.4
Alert,1974,6,-2.3
Alert,1974,7,2.2
Alert,1974,8,1.5
Alert,1974,9,-10.0
Alert,1974,10,-18.2
Alert,1974,11,-23.8
Alert,1974,12,-29.7
Alert,1975,1,-35.1
Alert,1975,2,-30.7
Alert,1975,3,-32.7
Alert,1975,4,-23.1
Alert,1975,5,-12.2
Alert,1975,6,-2.8
Alert,1975,7,3.1
Alert,1975,8,0.7
Alert,1975,9,-10.2
Alert,1975,10,-18.5
Alert,1975,11,-25.5
Alert,1975,12,-27.4
Alert,1976,1,-27.2
Alert,1976,2,-28.9
Alert,1976,3,-30.0
Alert,1976,4,-25.9
