year,geo,geo_level,age_group,households,owners,owners_single_detached,rate_pct,single_detached_share_of_owners_pct,source
2021,Quebec,province,70 to 74 years,289495.0,187335.0,129795.0,64.7,69.3,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Quebec,province,75 to 84 years,336170.0,202830.0,135280.0,60.3,66.7,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Quebec,province,85 years and over,103640.0,55745.0,34525.0,53.8,61.9,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Quebec,province,All ages (15 and over),3749035.0,2245600.0,1541855.0,59.9,68.7,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,15 to 19 years,1930.0,230.0,170.0,11.9,73.9,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,20 to 24 years,15630.0,3785.0,2915.0,24.2,77.0,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,25 to 29 years,29670.0,13575.0,11130.0,45.8,82.0,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,30 to 34 years,39090.0,23585.0,19945.0,60.3,84.6,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,35 to 39 years,42210.0,28755.0,24810.0,68.1,86.3,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,40 to 44 years,40415.0,29080.0,25710.0,72.0,88.4,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,45 to 49 years,36295.0,26590.0,23715.0,73.3,89.2,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,50 to 54 years,36000.0,27070.0,23995.0,75.2,88.6,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,55 to 59 years,42345.0,33150.0,29680.0,78.3,89.5,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,60 to 64 years,43610.0,35680.0,32075.0,81.8,89.9,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,65 to 69 years,38545.0,31950.0,28045.0,82.9,87.8,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,70 to 74 years,30695.0,25245.0,21465.0,82.2,85.0,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,75 to 84 years,37550.0,28960.0,23390.0,77.1,80.8,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,85 years and over,15600.0,9995.0,7310.0,64.1,73.1,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Saskatchewan,province,All ages (15 and over),449580.0,317655.0,274355.0,70.7,86.4,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,15 to 19 years,55.0,10.0,,18.2,,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,20 to 24 years,370.0,70.0,25.0,18.9,35.7,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,25 to 29 years,1085.0,420.0,170.0,38.7,40.5,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,30 to 34 years,1715.0,910.0,550.0,53.1,60.4,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,35 to 39 years,1825.0,1130.0,770.0,61.9,68.1,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,40 to 44 years,1525.0,920.0,700.0,60.3,76.1,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,45 to 49 years,1560.0,1085.0,795.0,69.6,73.3,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,50 to 54 years,1490.0,1075.0,770.0,72.1,71.6,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,55 to 59 years,1790.0,1245.0,925.0,69.6,74.3,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,60 to 64 years,1860.0,1375.0,1060.0,73.9,77.1,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,65 to 69 years,1605.0,1170.0,890.0,72.9,76.1,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,70 to 74 years,1115.0,825.0,625.0,74.0,75.8,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,75 to 84 years,930.0,670.0,455.0,72.0,67.9,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,85 years and over,255.0,155.0,95.0,60.8,61.3,"Statistics Canada, 2021 Census, table 98-10-0231-01"
2021,Yukon,province,All ages (15 and over),17180.0,11060.0,7825.0,64.4,70.8,"Statistics Canada, 2021 Census, table 98-10-0231-01"
