year,motivation,count
2023,Korean,1.0
2024,Korean,3.0
2014,Language,12.0
2015,Language,18.0
2016,Language,13.0
2017,Language,23.0
2018,Language,14.0
2019,Language,25.0
2020,Language,37.0
2021,Language,33.0
2022,Language,63.0
2023,Language,51.0
2024,Language,48.0
2023,Latin American,2.0
2024,Latin American,6.0
2023,Lesbian,4.0
2024,Lesbian,6.0
2014,Man,5.0
2015,Man,2.0
2016,Man,1.0
2017,Man,2.0
2018,Man,4.0
2019,Man,6.0
2020,Man,3.0
2021,Man,4.0
2022,Man,3.0
2023,Man,0.0
2024,Man,9.0
2023,Mennonite or Amish,0.0
2024,Mennonite or Amish,0.0
2014,Mental disability (Psychological and Cognitive),4.0
2015,Mental disability (Psychological and Cognitive),2.0
2016,Mental disability (Psychological and Cognitive),7.0
2017,Mental disability (Psychological and Cognitive),6.0
2018,Mental disability (Psychological and Cognitive),5.0
2019,Mental disability (Psychological and Cognitive),1.0
2020,Mental disability (Psychological and Cognitive),6.0
2021,Mental disability (Psychological and Cognitive),4.0
2022,Mental disability (Psychological and Cognitive),8.0
2023,Mental disability (Psychological and Cognitive),6.0
2024,Mental disability (Psychological and Cognitive),9.0
2014,Mental or Physical Disability,10.0
2015,Mental or Physical Disability,8.0
2016,Mental or Physical Disability,11.0
2017,Mental or Physical Disability,10.0
2018,Mental or Physical Disability,9.0
2019,Mental or Physical Disability,3.0
2020,Mental or Physical Disability,8.0
2021,Mental or Physical Disability,16.0
2022,Mental or Physical Disability,15.0
2023,Mental or Physical Disability,13.0
2024,Mental or Physical Disability,26.0
2023,Middle Adults (30 to 49 years old),0.0
2024,Middle Adults (30 to 49 years old),0.0
2014,Multiple races or ethnicities,51.0
2015,Multiple races or ethnicities,55.0
2016,Multiple races or ethnicities,77.0
2017,Multiple races or ethnicities,118.0
2018,Multiple races or ethnicities,73.0
2019,Multiple races or ethnicities,72.0
2020,Multiple races or ethnicities,102.0
2021,Multiple races or ethnicities,109.0
2022,Multiple races or ethnicities,124.0
2023,Multiple races or ethnicities,126.0
2024,Multiple races or ethnicities,78.0
2014,Muslim (Islam),99.0
2015,Muslim (Islam),159.0
2016,Muslim (Islam),139.0
2017,Muslim (Islam),349.0
2018,Muslim (Islam),166.0
2019,Muslim (Islam),182.0
2020,Muslim (Islam),84.0
2021,Muslim (Islam),142.0
2022,Muslim (Islam),109.0
2023,Muslim (Islam),220.0
2024,Muslim (Islam),229.0
2023,Non-binary,4.0
2024,Non-binary,3.0
2023,Older Adults (50 to 64 years old),0.0
2024,Older Adults (50 to 64 years old),0.0
2023,Other Christian Religion,9.0
2024,Other Christian Religion,11.0
2023,"Other East or Southeast Asian not mentioned above (e.g., Thai)",1.0
2024,"Other East or Southeast Asian not mentioned above (e.g., Thai)",6.0
2023,"Other South Asian not mentioned (e.g., Sri Lankan)",0.0
2024,"Other South Asian not mentioned (e.g., Sri Lankan)",4.0
2014,Other disability,4.0
2015,Other disability,3.0
2016,Other disability,0.0
2017,Other disability,1.0
2018,Other disability,1.0
2019,Other disability,1.0
2020,Other disability,0.0
2021,Other disability,6.0
2022,Other disability,0.0
2023,Other disability,1.0
2024,Other disability,5.0
2014,Other language,5.0
2015,Other language,1.0
2016,Other language,1.0
2017,Other language,5.0
2018,Other language,4.0
2019,Other language,0.0
2020,Other language,6.0
2021,Other language,2.0
2022,Other language,7.0
2023,Other language,12.0
2024,Other language,11.0
2014,Other race or ethnicity,66.0
2015,Other race or ethnicity,100.0
2016,Other race or ethnicity,64.0
2017,Other race or ethnicity,92.0
2018,Other race or ethnicity,107.0
2019,Other race or ethnicity,117.0
2020,Other race or ethnicity,154.0
2021,Other race or ethnicity,192.0
2022,Other race or ethnicity,298.0
2023,Other race or ethnicity,351.0
2024,Other race or ethnicity,462.0
2014,Other religion,82.0
2015,Other religion,77.0
2016,Other religion,73.0
2017,Other religion,94.0
2018,Other religion,75.0
2019,Other religion,74.0
2020,Other religion,72.0
2021,Other religion,97.0
2022,Other religion,80.0
2023,Other religion,105.0
2024,Other religion,109.0
2014,Other sex or gender,15.0
2015,Other sex or gender,6.0
2016,Other sex or gender,19.0
2017,Other sex or gender,21.0
2018,Other sex or gender,28.0
2019,Other sex or gender,35.0
2020,Other sex or gender,30.0
2021,Other sex or gender,33.0
2022,Other sex or gender,47.0
2023,Other sex or gender,82.0
2024,Other sex or gender,72.0
2014,Other sexual orientation,12.0
2015,Other sexual orientation,14.0
2016,Other sexual orientation,23.0
2017,Other sexual orientation,27.0
2018,Other sexual orientation,29.0
2019,Other sexual orientation,28.0
2020,Other sexual orientation,43.0
2021,Other sexual orientation,90.0
2022,Other sexual orientation,130.0
2023,Other sexual orientation,315.0
2024,Other sexual orientation,224.0
2014,Other similar factor,27.0
2015,Other similar factor,44.0
2016,Other similar factor,35.0
2017,Other similar factor,48.0
2018,Other similar factor,73.0
2019,Other similar factor,58.0
2020,Other similar factor,101.0
2021,Other similar factor,82.0
2022,Other similar factor,103.0
2023,Other similar factor,69.0
2024,Other similar factor,89.0
2023,Pansexual,1.0
2024,Pansexual,0.0
2014,Physical disability,2.0
2015,Physical disability,3.0
2016,Physical disability,4.0
2017,Physical disability,3.0
2018,Physical disability,3.0
2019,Physical disability,1.0
2020,Physical disability,2.0
2021,Physical disability,5.0
2022,Physical disability,7.0
2023,Physical disability,5.0
2024,Physical disability,6.0
2023,Polynesian or Pacific Islander,0.0
2024,Polynesian or Pacific Islander,0.0
2014,Race or ethnicity,611.0
2015,Race or ethnicity,641.0
2016,Race or ethnicity,666.0
2017,Race or ethnicity,878.0
2018,Race or ethnicity,793.0
2019,Race or ethnicity,884.0
2020,Race or ethnicity,1619.0
2021,Race or ethnicity,1745.0
2022,Race or ethnicity,2002.0
2023,Race or ethnicity,2198.0
2024,Race or ethnicity,2377.0
2014,Religion,429.0
2015,Religion,469.0
2016,Religion,460.0
2017,Religion,842.0
2018,Religion,657.0
2019,Religion,613.0
2020,Religion,530.0
2021,Religion,886.0
2022,Religion,768.0
2023,Religion,1345.0
2024,Religion,1342.0
2023,Retired / Senior (65 to 79 years old),0.0
2024,Retired / Senior (65 to 79 years old),1.0
2023,Roma or Sinti,0.0
2024,Roma or Sinti,0.0
2014,Seniors (65 years old and over),1.0
2015,Seniors (65 years old and over),0.0
2016,Seniors (65 years old and over),0.0
2017,Seniors (65 years old and over),0.0
2018,Seniors (65 years old and over),1.0
2019,Seniors (65 years old and over),0.0
2020,Seniors (65 years old and over),0.0
2021,Seniors (65 years old and over),0.0
2022,Seniors (65 years old and over),1.0
2023,Seniors (65 years old and over),0.0
2024,Seniors (65 years old and over),0.0
2023,Seventh Day Adventist – Jehovah’s witness,1.0
2024,Seventh Day Adventist – Jehovah’s witness,0.0
2014,Sex and gender,22.0
2015,Sex and gender,12.0
2016,Sex and gender,24.0
2017,Sex and gender,32.0
2018,Sex and gender,54.0
2019,Sex and gender,56.0
2020,Sex and gender,49.0
2021,Sex and gender,60.0
2022,Sex and gender,90.0
2023,Sex and gender,129.0
2024,Sex and gender,139.0
2014,Sexual orientation,155.0
2015,Sexual orientation,141.0
2016,Sexual orientation,176.0
2017,Sexual orientation,204.0
2018,Sexual orientation,186.0
2019,Sexual orientation,265.0
2020,Sexual orientation,258.0
2021,Sexual orientation,438.0
2022,Sexual orientation,509.0
2023,Sexual orientation,889.0
2024,Sexual orientation,658.0
2023,Sikh,1.0
2024,Sikh,7.0
2014,South Asian,49.0
2015,South Asian,48.0
2016,South Asian,72.0
2017,South Asian,67.0
2018,South Asian,84.0
2019,South Asian,81.0
2020,South Asian,135.0
2021,South Asian,166.0
2022,South Asian,196.0
2023,South Asian,241.0
2024,South Asian,229.0
2014,Total police-reported hate crime,1295.0
2015,Total police-reported hate crime,1362.0
2016,Total police-reported hate crime,1409.0
2017,Total police-reported hate crime,2073.0
2018,Total police-reported hate crime,1817.0
2019,Total police-reported hate crime,1951.0
2020,Total police-reported hate crime,2646.0
2021,Total police-reported hate crime,3355.0
2022,Total police-reported hate crime,3612.0
2023,Total police-reported hate crime,4828.0
2024,Total police-reported hate crime,4882.0
2023,Traditional Indigenous Spirituality,0.0
2024,Traditional Indigenous Spirituality,1.0
2023,Transgender Man (identifies as man),3.0
2024,Transgender Man (identifies as man),5.0
2023,Transgender Target not specified,7.0
2024,Transgender Target not specified,8.0
2023,Transgender Woman (identifies as woman),6.0
2024,Transgender Woman (identifies as woman),9.0
2014,Unknown age,3.0
2015,Unknown age,1.0
2016,Unknown age,2.0
2017,Unknown age,2.0
2018,Unknown age,2.0
2019,Unknown age,6.0
2020,Unknown age,2.0
2021,Unknown age,10.0
2022,Unknown age,3.0
2023,Unknown age,5.0
2024,Unknown age,4.0
2014,Unknown disability,4.0
2015,Unknown disability,2.0
2016,Unknown disability,0.0
2017,Unknown disability,1.0
2014,Unknown language,4.0
2015,Unknown language,1.0
2016,Unknown language,1.0
2017,Unknown language,0.0
2014,Unknown motivation,23.0
2015,Unknown motivation,25.0
2016,Unknown motivation,19.0
2017,Unknown motivation,32.0
2018,Unknown motivation,22.0
2019,Unknown motivation,39.0
2020,Unknown motivation,39.0
2021,Unknown motivation,81.0
2022,Unknown motivation,57.0
2023,Unknown motivation,81.0
2024,Unknown motivation,108.0
2014,Unknown race or ethnicity,11.0
2015,Unknown race or ethnicity,25.0
2016,Unknown race or ethnicity,16.0
2017,Unknown race or ethnicity,41.0
2014,Unknown religion,33.0
2015,Unknown religion,36.0
2016,Unknown religion,36.0
2017,Unknown religion,37.0
2014,Unknown sex or gender,9.0
2015,Unknown sex or gender,4.0
2016,Unknown sex or gender,12.0
2017,Unknown sex or gender,6.0
2014,Unknown sexual orientation,4.0
2015,Unknown sexual orientation,4.0
2016,Unknown sexual orientation,6.0
2017,Unknown sexual orientation,15.0
2014,White,49.0
2015,White,38.0
2016,White,36.0
2017,White,46.0
2018,White,42.0
2019,White,48.0
2020,White,85.0
2021,White,57.0
2022,White,91.0
2023,White,84.0
2024,White,83.0
2014,Woman,2.0
2015,Woman,4.0
2016,Woman,4.0
2017,Woman,9.0
2018,Woman,22.0
2019,Woman,15.0
2020,Woman,16.0
2021,Woman,23.0
2022,Woman,40.0
2023,Woman,27.0
2024,Woman,33.0
2023,Young Adults (18 to 29 years old),0.0
2024,Young Adults (18 to 29 years old),2.0
2023,Youth (12 to 17 years old),0.0
2024,Youth (12 to 17 years old),0.0
2014,Youth (15 to 24 years old),0.0
2015,Youth (15 to 24 years old),0.0
2016,Youth (15 to 24 years old),0.0
2017,Youth (15 to 24 years old),0.0
2018,Youth (15 to 24 years old),1.0
2019,Youth (15 to 24 years old),0.0
2020,Youth (15 to 24 years old),0.0
2021,Youth (15 to 24 years old),2.0
2022,Youth (15 to 24 years old),1.0
2023,Youth (15 to 24 years old),2.0
2024,Youth (15 to 24 years old),1.0
