year,age_group,sex,deaths_number
2025,0 to 19 years,Female,32
2025,0 to 19 years,Male,54
2025,20 to 29 years,Female,223
2025,20 to 29 years,Male,449
2025,30 to 39 years,Female,367
2025,30 to 39 years,Male,982
2025,40 to 49 years,Female,316
2025,40 to 49 years,Male,987
2025,50 to 59 years,Female,261
2025,50 to 59 years,Male,745
2025,60 years or more,Female,170
2025,60 years or more,Male,610
