pruid,region,year,deaths_rate,deaths_number
10,Newfoundland and Labrador,2025,4.4,24.0
11,Prince Edward Island,2025,7.1,13.0
12,Nova Scotia,2025,7.1,78.0
13,New Brunswick,2025,8.3,72.0
24,Quebec,2025,6.5,591.0
35,Ontario,2025,8.6,1398.0
46,Manitoba,2025,15.3,231.0
47,Saskatchewan,2025,17.4,221.0
48,Alberta,2025,22.8,1145.0
59,British Columbia,2025,32.3,1841.0
60,Yukon,2025,29.0,14.0
61,Northwest Territories,2025,4.4,2.0
62,Nunavut,2025,,
