year,level,field,women,men,total,pct_women
2017,College,Business & public admin,27627.0,20844.0,48471.0,57.0
2017,College,Education,3075.0,729.0,3804.0,80.8
2017,College,Health,20283.0,5088.0,25371.0,79.9
2017,College,Humanities,6177.0,3417.0,9594.0,64.4
2017,College,Math & computer science,1947.0,5181.0,7128.0,27.3
2017,College,Physical & life sciences,1416.0,1122.0,2538.0,55.8
2017,College,Protective & transport services,4728.0,5139.0,9867.0,47.9
2017,College,Social sciences & law,17193.0,4071.0,21264.0,80.9
2017,Doctorate,Agriculture & natural resources,168.0,153.0,321.0,52.3
2017,Doctorate,Architecture & engineering,411.0,1344.0,1755.0,23.4
2017,Doctorate,Arts & communications,69.0,72.0,141.0,48.9
2017,Doctorate,Business & public admin,108.0,132.0,240.0,45.0
2017,Doctorate,Education,300.0,129.0,429.0,69.9
2017,Doctorate,Health,387.0,255.0,642.0,60.3
2017,Doctorate,Humanities,252.0,261.0,513.0,49.1
2017,Doctorate,Math & computer science,96.0,357.0,453.0,21.2
2017,Doctorate,Physical & life sciences,858.0,1026.0,1884.0,45.5
2017,Doctorate,Protective & transport services,3.0,3.0,6.0,50.0
2017,Doctorate,Social sciences & law,915.0,555.0,1470.0,62.2
2017,Master's,Agriculture & natural resources,1263.0,663.0,1926.0,65.6
2017,Master's,Architecture & engineering,2283.0,5520.0,7803.0,29.3
2017,Master's,Arts & communications,732.0,510.0,1242.0,58.9
2017,Master's,Business & public admin,7167.0,7068.0,14235.0,50.3
2017,Master's,Education,4242.0,1329.0,5571.0,76.1
2017,Master's,Health,8049.0,3567.0,11616.0,69.3
2017,Master's,Humanities,1302.0,864.0,2166.0,60.1
2017,Master's,Math & computer science,1215.0,1638.0,2853.0,42.6
2017,Master's,Physical & life sciences,1698.0,1482.0,3180.0,53.4
2017,Master's,Protective & transport services,48.0,66.0,114.0,42.1
2017,Master's,Social sciences & law,7185.0,4113.0,11298.0,63.6
2018,All credentials,Agriculture & natural resources,7701.0,5067.0,12768.0,60.3
2018,All credentials,Architecture & engineering,14010.0,60666.0,74676.0,18.8
2018,All credentials,Arts & communications,13230.0,8238.0,21468.0,61.6
2018,All credentials,Business & public admin,72339.0,60822.0,133161.0,54.3
2018,All credentials,Education,22602.0,6510.0,29112.0,77.6
2018,All credentials,Health,62763.0,17346.0,80109.0,78.3
2018,All credentials,Humanities,28668.0,16542.0,45210.0,63.4
2018,All credentials,Math & computer science,6885.0,16353.0,23238.0,29.6
2018,All credentials,Physical & life sciences,19908.0,14688.0,34596.0,57.5
2018,All credentials,Protective & transport services,8562.0,10200.0,18762.0,45.6
2018,All credentials,Social sciences & law,58368.0,22440.0,80808.0,72.2
2018,Bachelor's,Agriculture & natural resources,2217.0,1458.0,3675.0,60.3
2018,Bachelor's,Architecture & engineering,4485.0,14991.0,19476.0,23.0
2018,Bachelor's,Arts & communications,5697.0,3015.0,8712.0,65.4
2018,Bachelor's,Business & public admin,24738.0,21474.0,46212.0,53.5
2018,Bachelor's,Education,13311.0,4086.0,17397.0,76.5
2018,Bachelor's,Health,19857.0,5475.0,25332.0,78.4
2018,Bachelor's,Humanities,8322.0,4524.0,12846.0,64.8
2018,Bachelor's,Math & computer science,2283.0,5799.0,8082.0,28.2
2018,Bachelor's,Physical & life sciences,10956.0,7302.0,18258.0,60.0
2018,Bachelor's,Protective & transport services,1014.0,759.0,1773.0,57.2
2018,Bachelor's,Social sciences & law,29145.0,12909.0,42054.0,69.3
2018,College,Agriculture & natural resources,2736.0,1941.0,4677.0,58.5
2018,College,Architecture & engineering,4899.0,24924.0,29823.0,16.4
2018,College,Arts & communications,4443.0,3333.0,7776.0,57.1
2018,College,Business & public admin,31140.0,27720.0,58860.0,52.9
2018,College,Education,2973.0,744.0,3717.0,80.0
2018,College,Health,21600.0,5316.0,26916.0,80.2
2018,College,Humanities,7143.0,4146.0,11289.0,63.3
2018,College,Math & computer science,2619.0,6540.0,9159.0,28.6
2018,College,Physical & life sciences,1848.0,1305.0,3153.0,58.6
2018,College,Protective & transport services,4851.0,5202.0,10053.0,48.3
2018,College,Social sciences & law,16866.0,4218.0,21084.0,80.0
2018,Doctorate,Agriculture & natural resources,177.0,159.0,336.0,52.7
2018,Doctorate,Architecture & engineering,408.0,1242.0,1650.0,24.7
2018,Doctorate,Arts & communications,108.0,66.0,174.0,62.1
2018,Doctorate,Business & public admin,138.0,123.0,261.0,52.9
2018,Doctorate,Education,351.0,141.0,492.0,71.3
2018,Doctorate,Health,417.0,255.0,672.0,62.1
2018,Doctorate,Humanities,252.0,267.0,519.0,48.6
2018,Doctorate,Math & computer science,120.0,354.0,474.0,25.3
2018,Doctorate,Physical & life sciences,825.0,972.0,1797.0,45.9
2018,Doctorate,Social sciences & law,969.0,495.0,1464.0,66.2
2018,Master's,Agriculture & natural resources,1365.0,768.0,2133.0,64.0
2018,Master's,Architecture & engineering,2565.0,6564.0,9129.0,28.1
2018,Master's,Arts & communications,744.0,528.0,1272.0,58.5
2018,Master's,Business & public admin,7644.0,7269.0,14913.0,51.3
2018,Master's,Education,4473.0,1332.0,5805.0,77.1
2018,Master's,Health,8088.0,3753.0,11841.0,68.3
2018,Master's,Humanities,1269.0,858.0,2127.0,59.7
2018,Master's,Math & computer science,1299.0,1785.0,3084.0,42.1
2018,Master's,Physical & life sciences,1836.0,1503.0,3339.0,55.0
2018,Master's,Protective & transport services,60.0,57.0,117.0,51.3
2018,Master's,Social sciences & law,7188.0,4191.0,11379.0,63.2
2019,All credentials,Agriculture & natural resources,7947.0,5409.0,13356.0,59.5
2019,All credentials,Architecture & engineering,14877.0,61230.0,76107.0,19.5
2019,All credentials,Arts & communications,13674.0,8439.0,22113.0,61.8
