year,geo,age_group,gender,level,pct
2002,Canada,55–64,Men,Master's/Doctoral,9.0
2003,Canada,55–64,Men,Master's/Doctoral,10.0
2004,Canada,55–64,Men,Master's/Doctoral,9.0
2005,Canada,55–64,Men,Master's/Doctoral,10.0
2006,Canada,55–64,Men,Master's/Doctoral,9.0
2007,Canada,55–64,Men,Master's/Doctoral,9.0
2008,Canada,55–64,Men,Master's/Doctoral,10.0
2009,Canada,55–64,Men,Master's/Doctoral,9.0
2010,Canada,55–64,Men,Master's/Doctoral,10.0
2011,Canada,55–64,Men,Master's/Doctoral,9.0
2012,Canada,55–64,Men,Master's/Doctoral,9.0
2013,Canada,55–64,Men,Master's/Doctoral,9.0
2014,Canada,55–64,Men,Master's/Doctoral,9.0
2015,Canada,55–64,Men,Master's/Doctoral,9.0
2016,Canada,55–64,Men,Master's/Doctoral,9.0
2017,Canada,55–64,Men,Master's/Doctoral,8.0
2018,Canada,55–64,Men,Master's/Doctoral,8.0
2019,Canada,55–64,Men,Master's/Doctoral,9.0
2020,Canada,55–64,Men,Master's/Doctoral,9.0
2021,Canada,55–64,Men,Master's/Doctoral,9.0
2022,Canada,55–64,Men,Master's/Doctoral,9.0
2023,Canada,55–64,Men,Master's/Doctoral,10.0
2024,Canada,55–64,Men,Master's/Doctoral,10.0
2025,Canada,55–64,Men,Master's/Doctoral,11.0
2000,Canada,55–64,Men,Tertiary (all),28.0
2001,Canada,55–64,Men,Tertiary (all),31.0
2002,Canada,55–64,Men,Tertiary (all),32.0
2003,Canada,55–64,Men,Tertiary (all),34.0
2004,Canada,55–64,Men,Tertiary (all),34.0
2005,Canada,55–64,Men,Tertiary (all),36.0
2006,Canada,55–64,Men,Tertiary (all),37.0
2007,Canada,55–64,Men,Tertiary (all),38.0
2008,Canada,55–64,Men,Tertiary (all),39.0
2009,Canada,55–64,Men,Tertiary (all),39.0
2010,Canada,55–64,Men,Tertiary (all),41.0
2011,Canada,55–64,Men,Tertiary (all),41.0
2012,Canada,55–64,Men,Tertiary (all),42.0
2013,Canada,55–64,Men,Tertiary (all),42.0
2014,Canada,55–64,Men,Tertiary (all),42.0
2015,Canada,55–64,Men,Tertiary (all),42.0
2016,Canada,55–64,Men,Tertiary (all),42.0
2017,Canada,55–64,Men,Tertiary (all),43.0
2018,Canada,55–64,Men,Tertiary (all),44.0
2019,Canada,55–64,Men,Tertiary (all),46.0
2020,Canada,55–64,Men,Tertiary (all),46.0
2021,Canada,55–64,Men,Tertiary (all),48.0
2022,Canada,55–64,Men,Tertiary (all),49.0
2023,Canada,55–64,Men,Tertiary (all),49.0
2024,Canada,55–64,Men,Tertiary (all),51.0
2025,Canada,55–64,Men,Tertiary (all),50.0
2000,Canada,55–64,Men,Trades and other non-tertiary,16.0
2001,Canada,55–64,Men,Trades and other non-tertiary,16.0
2002,Canada,55–64,Men,Trades and other non-tertiary,16.0
2003,Canada,55–64,Men,Trades and other non-tertiary,17.0
2004,Canada,55–64,Men,Trades and other non-tertiary,17.0
2005,Canada,55–64,Men,Trades and other non-tertiary,17.0
2006,Canada,55–64,Men,Trades and other non-tertiary,17.0
2007,Canada,55–64,Men,Trades and other non-tertiary,18.0
2008,Canada,55–64,Men,Trades and other non-tertiary,17.0
2009,Canada,55–64,Men,Trades and other non-tertiary,17.0
2010,Canada,55–64,Men,Trades and other non-tertiary,16.0
2011,Canada,55–64,Men,Trades and other non-tertiary,16.0
2012,Canada,55–64,Men,Trades and other non-tertiary,16.0
2013,Canada,55–64,Men,Trades and other non-tertiary,16.0
2014,Canada,55–64,Men,Trades and other non-tertiary,16.0
2015,Canada,55–64,Men,Trades and other non-tertiary,15.0
2016,Canada,55–64,Men,Trades and other non-tertiary,16.0
2017,Canada,55–64,Men,Trades and other non-tertiary,16.0
2018,Canada,55–64,Men,Trades and other non-tertiary,15.0
2019,Canada,55–64,Men,Trades and other non-tertiary,15.0
2020,Canada,55–64,Men,Trades and other non-tertiary,15.0
2021,Canada,55–64,Men,Trades and other non-tertiary,14.0
2022,Canada,55–64,Men,Trades and other non-tertiary,15.0
2023,Canada,55–64,Men,Trades and other non-tertiary,15.0
2024,Canada,55–64,Men,Trades and other non-tertiary,14.0
2025,Canada,55–64,Men,Trades and other non-tertiary,15.0
2000,Canada,55–64,Total,Bachelor's,8.0
2001,Canada,55–64,Total,Bachelor's,9.0
2002,Canada,55–64,Total,Bachelor's,10.0
2003,Canada,55–64,Total,Bachelor's,11.0
2004,Canada,55–64,Total,Bachelor's,11.0
2005,Canada,55–64,Total,Bachelor's,11.0
2006,Canada,55–64,Total,Bachelor's,12.0
2007,Canada,55–64,Total,Bachelor's,13.0
2008,Canada,55–64,Total,Bachelor's,13.0
2009,Canada,55–64,Total,Bachelor's,13.0
2010,Canada,55–64,Total,Bachelor's,13.0
2011,Canada,55–64,Total,Bachelor's,14.0
2012,Canada,55–64,Total,Bachelor's,14.0
2013,Canada,55–64,Total,Bachelor's,14.0
2014,Canada,55–64,Total,Bachelor's,14.0
2015,Canada,55–64,Total,Bachelor's,14.0
2016,Canada,55–64,Total,Bachelor's,14.0
2017,Canada,55–64,Total,Bachelor's,15.0
2018,Canada,55–64,Total,Bachelor's,15.0
2019,Canada,55–64,Total,Bachelor's,16.0
2020,Canada,55–64,Total,Bachelor's,16.0
2021,Canada,55–64,Total,Bachelor's,17.0
2022,Canada,55–64,Total,Bachelor's,17.0
2023,Canada,55–64,Total,Bachelor's,18.0
2024,Canada,55–64,Total,Bachelor's,19.0
2025,Canada,55–64,Total,Bachelor's,18.0
2000,Canada,55–64,Total,Below high school,36.0
2001,Canada,55–64,Total,Below high school,33.0
2002,Canada,55–64,Total,Below high school,31.0
2003,Canada,55–64,Total,Below high school,29.0
2004,Canada,55–64,Total,Below high school,27.0
2005,Canada,55–64,Total,Below high school,25.0
2006,Canada,55–64,Total,Below high school,24.0
2007,Canada,55–64,Total,Below high school,22.0
2008,Canada,55–64,Total,Below high school,21.0
2009,Canada,55–64,Total,Below high school,20.0
2010,Canada,55–64,Total,Below high school,18.0
2011,Canada,55–64,Total,Below high school,17.0
2012,Canada,55–64,Total,Below high school,16.0
2013,Canada,55–64,Total,Below high school,16.0
2014,Canada,55–64,Total,Below high school,15.0
2015,Canada,55–64,Total,Below high school,15.0
2016,Canada,55–64,Total,Below high school,15.0
2017,Canada,55–64,Total,Below high school,14.0
2018,Canada,55–64,Total,Below high school,13.0
2019,Canada,55–64,Total,Below high school,13.0
2020,Canada,55–64,Total,Below high school,12.0
2021,Canada,55–64,Total,Below high school,11.0
2022,Canada,55–64,Total,Below high school,11.0
2023,Canada,55–64,Total,Below high school,10.0
2024,Canada,55–64,Total,Below high school,10.0
2025,Canada,55–64,Total,Below high school,10.0
2000,Canada,55–64,Total,College/CEGEP,14.0
2001,Canada,55–64,Total,College/CEGEP,15.0
2002,Canada,55–64,Total,College/CEGEP,16.0
2003,Canada,55–64,Total,College/CEGEP,16.0
2004,Canada,55–64,Total,College/CEGEP,17.0
2005,Canada,55–64,Total,College/CEGEP,18.0
2006,Canada,55–64,Total,College/CEGEP,18.0
2007,Canada,55–64,Total,College/CEGEP,18.0
2008,Canada,55–64,Total,College/CEGEP,19.0
2009,Canada,55–64,Total,College/CEGEP,20.0
2010,Canada,55–64,Total,College/CEGEP,20.0
2011,Canada,55–64,Total,College/CEGEP,21.0
2012,Canada,55–64,Total,College/CEGEP,22.0
2013,Canada,55–64,Total,College/CEGEP,22.0
2014,Canada,55–64,Total,College/CEGEP,23.0
2015,Canada,55–64,Total,College/CEGEP,23.0
2016,Canada,55–64,Total,College/CEGEP,24.0
2017,Canada,55–64,Total,College/CEGEP,24.0
2018,Canada,55–64,Total,College/CEGEP,25.0
2019,Canada,55–64,Total,College/CEGEP,26.0
2020,Canada,55–64,Total,College/CEGEP,25.0
2021,Canada,55–64,Total,College/CEGEP,26.0
2022,Canada,55–64,Total,College/CEGEP,27.0
2023,Canada,55–64,Total,College/CEGEP,27.0
2024,Canada,55–64,Total,College/CEGEP,27.0
2025,Canada,55–64,Total,College/CEGEP,26.0
2000,Canada,55–64,Total,High school,24.0
2001,Canada,55–64,Total,High school,25.0
2002,Canada,55–64,Total,High school,24.0
2003,Canada,55–64,Total,High school,25.0
2004,Canada,55–64,Total,High school,25.0
2005,Canada,55–64,Total,High school,25.0
2006,Canada,55–64,Total,High school,25.0
2007,Canada,55–64,Total,High school,26.0
2008,Canada,55–64,Total,High school,27.0
2009,Canada,55–64,Total,High school,27.0
2010,Canada,55–64,Total,High school,27.0
2011,Canada,55–64,Total,High school,28.0
2012,Canada,55–64,Total,High school,27.0
2013,Canada,55–64,Total,High school,28.0
2014,Canada,55–64,Total,High school,29.0
2015,Canada,55–64,Total,High school,28.0
2016,Canada,55–64,Total,High school,28.0
2017,Canada,55–64,Total,High school,28.0
2018,Canada,55–64,Total,High school,28.0
2019,Canada,55–64,Total,High school,27.0
2020,Canada,55–64,Total,High school,27.0
2021,Canada,55–64,Total,High school,26.0
2022,Canada,55–64,Total,High school,25.0
2023,Canada,55–64,Total,High school,25.0
2024,Canada,55–64,Total,High school,24.0
2025,Canada,55–64,Total,High school,24.0
2000,Canada,55–64,Total,Master's/Doctoral,6.0
2001,Canada,55–64,Total,Master's/Doctoral,6.0
2002,Canada,55–64,Total,Master's/Doctoral,7.0
2003,Canada,55–64,Total,Master's/Doctoral,7.0
2004,Canada,55–64,Total,Master's/Doctoral,7.0
2005,Canada,55–64,Total,Master's/Doctoral,7.0
2006,Canada,55–64,Total,Master's/Doctoral,7.0
2007,Canada,55–64,Total,Master's/Doctoral,7.0
2008,Canada,55–64,Total,Master's/Doctoral,8.0
2009,Canada,55–64,Total,Master's/Doctoral,8.0
2010,Canada,55–64,Total,Master's/Doctoral,8.0
2011,Canada,55–64,Total,Master's/Doctoral,8.0
2012,Canada,55–64,Total,Master's/Doctoral,8.0
2013,Canada,55–64,Total,Master's/Doctoral,8.0
2014,Canada,55–64,Total,Master's/Doctoral,8.0
2015,Canada,55–64,Total,Master's/Doctoral,8.0
2016,Canada,55–64,Total,Master's/Doctoral,8.0
2017,Canada,55–64,Total,Master's/Doctoral,7.0
2018,Canada,55–64,Total,Master's/Doctoral,8.0
2019,Canada,55–64,Total,Master's/Doctoral,8.0
2020,Canada,55–64,Total,Master's/Doctoral,8.0
2021,Canada,55–64,Total,Master's/Doctoral,8.0
2022,Canada,55–64,Total,Master's/Doctoral,9.0
2023,Canada,55–64,Total,Master's/Doctoral,9.0
2024,Canada,55–64,Total,Master's/Doctoral,10.0
2025,Canada,55–64,Total,Master's/Doctoral,10.0
2000,Canada,55–64,Total,Tertiary (all),28.0
2001,Canada,55–64,Total,Tertiary (all),30.0
2002,Canada,55–64,Total,Tertiary (all),32.0
2003,Canada,55–64,Total,Tertiary (all),34.0
2004,Canada,55–64,Total,Tertiary (all),35.0
2005,Canada,55–64,Total,Tertiary (all),36.0
2006,Canada,55–64,Total,Tertiary (all),37.0
2007,Canada,55–64,Total,Tertiary (all),39.0
2008,Canada,55–64,Total,Tertiary (all),40.0
2009,Canada,55–64,Total,Tertiary (all),40.0
2010,Canada,55–64,Total,Tertiary (all),42.0
2011,Canada,55–64,Total,Tertiary (all),42.0
2012,Canada,55–64,Total,Tertiary (all),44.0
2013,Canada,55–64,Total,Tertiary (all),44.0
2014,Canada,55–64,Total,Tertiary (all),45.0
2015,Canada,55–64,Total,Tertiary (all),45.0
2016,Canada,55–64,Total,Tertiary (all),46.0
2017,Canada,55–64,Total,Tertiary (all),46.0
2018,Canada,55–64,Total,Tertiary (all),47.0
2019,Canada,55–64,Total,Tertiary (all),49.0
2020,Canada,55–64,Total,Tertiary (all),50.0
2021,Canada,55–64,Total,Tertiary (all),51.0
2022,Canada,55–64,Total,Tertiary (all),53.0
2023,Canada,55–64,Total,Tertiary (all),54.0
2024,Canada,55–64,Total,Tertiary (all),55.0
2025,Canada,55–64,Total,Tertiary (all),55.0
2000,Canada,55–64,Total,Trades and other non-tertiary,12.0
2001,Canada,55–64,Total,Trades and other non-tertiary,12.0
2002,Canada,55–64,Total,Trades and other non-tertiary,13.0
2003,Canada,55–64,Total,Trades and other non-tertiary,13.0
2004,Canada,55–64,Total,Trades and other non-tertiary,13.0
2005,Canada,55–64,Total,Trades and other non-tertiary,13.0
2006,Canada,55–64,Total,Trades and other non-tertiary,13.0
2007,Canada,55–64,Total,Trades and other non-tertiary,14.0
2008,Canada,55–64,Total,Trades and other non-tertiary,13.0
2009,Canada,55–64,Total,Trades and other non-tertiary,13.0
2010,Canada,55–64,Total,Trades and other non-tertiary,13.0
2011,Canada,55–64,Total,Trades and other non-tertiary,13.0
2012,Canada,55–64,Total,Trades and other non-tertiary,12.0
2013,Canada,55–64,Total,Trades and other non-tertiary,12.0
2014,Canada,55–64,Total,Trades and other non-tertiary,12.0
2015,Canada,55–64,Total,Trades and other non-tertiary,11.0
2016,Canada,55–64,Total,Trades and other non-tertiary,11.0
2017,Canada,55–64,Total,Trades and other non-tertiary,12.0
2018,Canada,55–64,Total,Trades and other non-tertiary,11.0
2019,Canada,55–64,Total,Trades and other non-tertiary,11.0
2020,Canada,55–64,Total,Trades and other non-tertiary,11.0
2021,Canada,55–64,Total,Trades and other non-tertiary,11.0
2022,Canada,55–64,Total,Trades and other non-tertiary,11.0
2023,Canada,55–64,Total,Trades and other non-tertiary,11.0
2024,Canada,55–64,Total,Trades and other non-tertiary,10.0
2025,Canada,55–64,Total,Trades and other non-tertiary,11.0
2000,Canada,55–64,Women,Bachelor's,7.0
2001,Canada,55–64,Women,Bachelor's,8.0
2002,Canada,55–64,Women,Bachelor's,9.0
2003,Canada,55–64,Women,Bachelor's,10.0
2004,Canada,55–64,Women,Bachelor's,11.0
2005,Canada,55–64,Women,Bachelor's,10.0
2006,Canada,55–64,Women,Bachelor's,11.0
2007,Canada,55–64,Women,Bachelor's,12.0
2008,Canada,55–64,Women,Bachelor's,12.0
2009,Canada,55–64,Women,Bachelor's,13.0
2010,Canada,55–64,Women,Bachelor's,13.0
2011,Canada,55–64,Women,Bachelor's,13.0
2012,Canada,55–64,Women,Bachelor's,14.0
2013,Canada,55–64,Women,Bachelor's,15.0
2014,Canada,55–64,Women,Bachelor's,14.0
2015,Canada,55–64,Women,Bachelor's,15.0
2016,Canada,55–64,Women,Bachelor's,15.0
2017,Canada,55–64,Women,Bachelor's,15.0
2018,Canada,55–64,Women,Bachelor's,15.0
2019,Canada,55–64,Women,Bachelor's,16.0
2020,Canada,55–64,Women,Bachelor's,17.0
2021,Canada,55–64,Women,Bachelor's,17.0
2022,Canada,55–64,Women,Bachelor's,18.0
2023,Canada,55–64,Women,Bachelor's,18.0
2024,Canada,55–64,Women,Bachelor's,19.0
2025,Canada,55–64,Women,Bachelor's,20.0
2000,Canada,55–64,Women,Below high school,37.0
2001,Canada,55–64,Women,Below high school,34.0
2002,Canada,55–64,Women,Below high school,33.0
2003,Canada,55–64,Women,Below high school,30.0
2004,Canada,55–64,Women,Below high school,28.0
2005,Canada,55–64,Women,Below high school,26.0
2006,Canada,55–64,Women,Below high school,25.0
2007,Canada,55–64,Women,Below high school,23.0
2008,Canada,55–64,Women,Below high school,21.0
2009,Canada,55–64,Women,Below high school,20.0
2010,Canada,55–64,Women,Below high school,18.0
2011,Canada,55–64,Women,Below high school,17.0
2012,Canada,55–64,Women,Below high school,16.0
2013,Canada,55–64,Women,Below high school,15.0
2014,Canada,55–64,Women,Below high school,14.0
2015,Canada,55–64,Women,Below high school,14.0
2016,Canada,55–64,Women,Below high school,14.0
2017,Canada,55–64,Women,Below high school,13.0
2018,Canada,55–64,Women,Below high school,12.0
2019,Canada,55–64,Women,Below high school,11.0
2020,Canada,55–64,Women,Below high school,11.0
2021,Canada,55–64,Women,Below high school,10.0
2022,Canada,55–64,Women,Below high school,10.0
2023,Canada,55–64,Women,Below high school,9.0
2024,Canada,55–64,Women,Below high school,9.0
2025,Canada,55–64,Women,Below high school,9.0
2000,Canada,55–64,Women,College/CEGEP,17.0
2001,Canada,55–64,Women,College/CEGEP,18.0
2002,Canada,55–64,Women,College/CEGEP,19.0
2003,Canada,55–64,Women,College/CEGEP,19.0
2004,Canada,55–64,Women,College/CEGEP,20.0
2005,Canada,55–64,Women,College/CEGEP,21.0
2006,Canada,55–64,Women,College/CEGEP,21.0
2007,Canada,55–64,Women,College/CEGEP,22.0
2008,Canada,55–64,Women,College/CEGEP,22.0
2009,Canada,55–64,Women,College/CEGEP,23.0
2010,Canada,55–64,Women,College/CEGEP,24.0
2011,Canada,55–64,Women,College/CEGEP,24.0
2012,Canada,55–64,Women,College/CEGEP,26.0
2013,Canada,55–64,Women,College/CEGEP,26.0
2014,Canada,55–64,Women,College/CEGEP,26.0
2015,Canada,55–64,Women,College/CEGEP,27.0
2016,Canada,55–64,Women,College/CEGEP,28.0
2017,Canada,55–64,Women,College/CEGEP,28.0
2018,Canada,55–64,Women,College/CEGEP,29.0
2019,Canada,55–64,Women,College/CEGEP,30.0
2020,Canada,55–64,Women,College/CEGEP,29.0
2021,Canada,55–64,Women,College/CEGEP,30.0
2022,Canada,55–64,Women,College/CEGEP,32.0
2023,Canada,55–64,Women,College/CEGEP,32.0
2024,Canada,55–64,Women,College/CEGEP,31.0
2025,Canada,55–64,Women,College/CEGEP,30.0
2000,Canada,55–64,Women,High school,26.0
2001,Canada,55–64,Women,High school,27.0
2002,Canada,55–64,Women,High school,27.0
2003,Canada,55–64,Women,High school,28.0
2004,Canada,55–64,Women,High school,28.0
2005,Canada,55–64,Women,High school,28.0
2006,Canada,55–64,Women,High school,27.0
2007,Canada,55–64,Women,High school,28.0
2008,Canada,55–64,Women,High school,29.0
2009,Canada,55–64,Women,High school,30.0
2010,Canada,55–64,Women,High school,30.0
2011,Canada,55–64,Women,High school,30.0
2012,Canada,55–64,Women,High school,30.0
2013,Canada,55–64,Women,High school,30.0
2014,Canada,55–64,Women,High school,31.0
2015,Canada,55–64,Women,High school,30.0
2016,Canada,55–64,Women,High school,30.0
2017,Canada,55–64,Women,High school,30.0
2018,Canada,55–64,Women,High school,30.0
2019,Canada,55–64,Women,High school,29.0
2020,Canada,55–64,Women,High school,28.0
2021,Canada,55–64,Women,High school,28.0
2022,Canada,55–64,Women,High school,26.0
2023,Canada,55–64,Women,High school,26.0
2024,Canada,55–64,Women,High school,25.0
2025,Canada,55–64,Women,High school,24.0
2000,Canada,55–64,Women,Master's/Doctoral,3.0
2001,Canada,55–64,Women,Master's/Doctoral,4.0
2002,Canada,55–64,Women,Master's/Doctoral,4.0
2003,Canada,55–64,Women,Master's/Doctoral,4.0
2004,Canada,55–64,Women,Master's/Doctoral,4.0
2005,Canada,55–64,Women,Master's/Doctoral,5.0
2006,Canada,55–64,Women,Master's/Doctoral,5.0
2007,Canada,55–64,Women,Master's/Doctoral,5.0
2008,Canada,55–64,Women,Master's/Doctoral,6.0
2009,Canada,55–64,Women,Master's/Doctoral,6.0
2010,Canada,55–64,Women,Master's/Doctoral,6.0
2011,Canada,55–64,Women,Master's/Doctoral,6.0
2012,Canada,55–64,Women,Master's/Doctoral,7.0
2013,Canada,55–64,Women,Master's/Doctoral,7.0
2014,Canada,55–64,Women,Master's/Doctoral,7.0
2015,Canada,55–64,Women,Master's/Doctoral,7.0
2016,Canada,55–64,Women,Master's/Doctoral,7.0
2017,Canada,55–64,Women,Master's/Doctoral,7.0
2018,Canada,55–64,Women,Master's/Doctoral,7.0
2019,Canada,55–64,Women,Master's/Doctoral,7.0
2020,Canada,55–64,Women,Master's/Doctoral,7.0
2021,Canada,55–64,Women,Master's/Doctoral,7.0
2022,Canada,55–64,Women,Master's/Doctoral,8.0
2023,Canada,55–64,Women,Master's/Doctoral,8.0
2024,Canada,55–64,Women,Master's/Doctoral,9.0
2025,Canada,55–64,Women,Master's/Doctoral,10.0
2000,Canada,55–64,Women,Tertiary (all),28.0
2001,Canada,55–64,Women,Tertiary (all),30.0
2002,Canada,55–64,Women,Tertiary (all),32.0
2003,Canada,55–64,Women,Tertiary (all),33.0
2004,Canada,55–64,Women,Tertiary (all),35.0
2005,Canada,55–64,Women,Tertiary (all),36.0
2006,Canada,55–64,Women,Tertiary (all),38.0
2007,Canada,55–64,Women,Tertiary (all),39.0
2008,Canada,55–64,Women,Tertiary (all),40.0
2009,Canada,55–64,Women,Tertiary (all),42.0
2010,Canada,55–64,Women,Tertiary (all),43.0
2011,Canada,55–64,Women,Tertiary (all),43.0
2012,Canada,55–64,Women,Tertiary (all),46.0
2013,Canada,55–64,Women,Tertiary (all),47.0
2014,Canada,55–64,Women,Tertiary (all),47.0
2015,Canada,55–64,Women,Tertiary (all),49.0
2016,Canada,55–64,Women,Tertiary (all),49.0
2017,Canada,55–64,Women,Tertiary (all),50.0
2018,Canada,55–64,Women,Tertiary (all),51.0
2019,Canada,55–64,Women,Tertiary (all),53.0
2020,Canada,55–64,Women,Tertiary (all),53.0
2021,Canada,55–64,Women,Tertiary (all),55.0
2022,Canada,55–64,Women,Tertiary (all),57.0
2023,Canada,55–64,Women,Tertiary (all),58.0
2024,Canada,55–64,Women,Tertiary (all),59.0
2025,Canada,55–64,Women,Tertiary (all),60.0
2000,Canada,55–64,Women,Trades and other non-tertiary,9.0
2001,Canada,55–64,Women,Trades and other non-tertiary,9.0
2002,Canada,55–64,Women,Trades and other non-tertiary,9.0
2003,Canada,55–64,Women,Trades and other non-tertiary,9.0
2004,Canada,55–64,Women,Trades and other non-tertiary,9.0
2005,Canada,55–64,Women,Trades and other non-tertiary,10.0
2006,Canada,55–64,Women,Trades and other non-tertiary,10.0
2007,Canada,55–64,Women,Trades and other non-tertiary,10.0
2008,Canada,55–64,Women,Trades and other non-tertiary,9.0
2009,Canada,55–64,Women,Trades and other non-tertiary,9.0
2010,Canada,55–64,Women,Trades and other non-tertiary,9.0
2011,Canada,55–64,Women,Trades and other non-tertiary,9.0
2012,Canada,55–64,Women,Trades and other non-tertiary,8.0
2013,Canada,55–64,Women,Trades and other non-tertiary,8.0
2014,Canada,55–64,Women,Trades and other non-tertiary,8.0
2015,Canada,55–64,Women,Trades and other non-tertiary,7.0
2016,Canada,55–64,Women,Trades and other non-tertiary,7.0
2017,Canada,55–64,Women,Trades and other non-tertiary,8.0
2018,Canada,55–64,Women,Trades and other non-tertiary,7.0
2019,Canada,55–64,Women,Trades and other non-tertiary,7.0
2020,Canada,55–64,Women,Trades and other non-tertiary,7.0
2021,Canada,55–64,Women,Trades and other non-tertiary,7.0
2022,Canada,55–64,Women,Trades and other non-tertiary,7.0
2023,Canada,55–64,Women,Trades and other non-tertiary,7.0
2024,Canada,55–64,Women,Trades and other non-tertiary,7.0
2025,Canada,55–64,Women,Trades and other non-tertiary,7.0
2000,Manitoba,25–34,Men,Bachelor's,14.0
2001,Manitoba,25–34,Men,Bachelor's,16.0
2002,Manitoba,25–34,Men,Bachelor's,15.0
2003,Manitoba,25–34,Men,Bachelor's,15.0
2004,Manitoba,25–34,Men,Bachelor's,15.0
2005,Manitoba,25–34,Men,Bachelor's,17.0
2006,Manitoba,25–34,Men,Bachelor's,16.0
2007,Manitoba,25–34,Men,Bachelor's,18.0
2008,Manitoba,25–34,Men,Bachelor's,17.0
2009,Manitoba,25–34,Men,Bachelor's,16.0
2010,Manitoba,25–34,Men,Bachelor's,18.0
2011,Manitoba,25–34,Men,Bachelor's,16.0
2012,Manitoba,25–34,Men,Bachelor's,18.0
2013,Manitoba,25–34,Men,Bachelor's,19.0
2014,Manitoba,25–34,Men,Bachelor's,19.0
2015,Manitoba,25–34,Men,Bachelor's,20.0
2016,Manitoba,25–34,Men,Bachelor's,19.0
2017,Manitoba,25–34,Men,Bachelor's,21.0
2018,Manitoba,25–34,Men,Bachelor's,22.0
2019,Manitoba,25–34,Men,Bachelor's,21.0
2020,Manitoba,25–34,Men,Bachelor's,21.0
2021,Manitoba,25–34,Men,Bachelor's,22.0
2022,Manitoba,25–34,Men,Bachelor's,22.0
2023,Manitoba,25–34,Men,Bachelor's,22.0
2024,Manitoba,25–34,Men,Bachelor's,22.0
2025,Manitoba,25–34,Men,Bachelor's,21.0
2000,Manitoba,25–34,Men,Below high school,14.0
2001,Manitoba,25–34,Men,Below high school,14.0
2002,Manitoba,25–34,Men,Below high school,14.0
2003,Manitoba,25–34,Men,Below high school,12.0
2004,Manitoba,25–34,Men,Below high school,14.0
2005,Manitoba,25–34,Men,Below high school,13.0
2006,Manitoba,25–34,Men,Below high school,15.0
2007,Manitoba,25–34,Men,Below high school,14.0
2008,Manitoba,25–34,Men,Below high school,14.0
2009,Manitoba,25–34,Men,Below high school,14.0
2010,Manitoba,25–34,Men,Below high school,11.0
2011,Manitoba,25–34,Men,Below high school,11.0
2012,Manitoba,25–34,Men,Below high school,11.0
2013,Manitoba,25–34,Men,Below high school,11.0
2014,Manitoba,25–34,Men,Below high school,11.0
2015,Manitoba,25–34,Men,Below high school,8.0
2016,Manitoba,25–34,Men,Below high school,9.0
2017,Manitoba,25–34,Men,Below high school,9.0
2018,Manitoba,25–34,Men,Below high school,8.0
2019,Manitoba,25–34,Men,Below high school,9.0
2020,Manitoba,25–34,Men,Below high school,9.0
2021,Manitoba,25–34,Men,Below high school,6.0
2022,Manitoba,25–34,Men,Below high school,6.0
2023,Manitoba,25–34,Men,Below high school,8.0
2024,Manitoba,25–34,Men,Below high school,6.0
2025,Manitoba,25–34,Men,Below high school,6.0
2000,Manitoba,25–34,Men,College/CEGEP,18.0
2001,Manitoba,25–34,Men,College/CEGEP,16.0
2002,Manitoba,25–34,Men,College/CEGEP,19.0
2003,Manitoba,25–34,Men,College/CEGEP,20.0
2004,Manitoba,25–34,Men,College/CEGEP,18.0
2005,Manitoba,25–34,Men,College/CEGEP,18.0
2006,Manitoba,25–34,Men,College/CEGEP,20.0
2007,Manitoba,25–34,Men,College/CEGEP,16.0
2008,Manitoba,25–34,Men,College/CEGEP,17.0
2009,Manitoba,25–34,Men,College/CEGEP,18.0
2010,Manitoba,25–34,Men,College/CEGEP,19.0
2011,Manitoba,25–34,Men,College/CEGEP,20.0
2012,Manitoba,25–34,Men,College/CEGEP,19.0
2013,Manitoba,25–34,Men,College/CEGEP,15.0
2014,Manitoba,25–34,Men,College/CEGEP,17.0
2015,Manitoba,25–34,Men,College/CEGEP,17.0
2016,Manitoba,25–34,Men,College/CEGEP,18.0
2017,Manitoba,25–34,Men,College/CEGEP,19.0
2018,Manitoba,25–34,Men,College/CEGEP,20.0
2019,Manitoba,25–34,Men,College/CEGEP,21.0
2020,Manitoba,25–34,Men,College/CEGEP,19.0
2021,Manitoba,25–34,Men,College/CEGEP,22.0
2022,Manitoba,25–34,Men,College/CEGEP,19.0
2023,Manitoba,25–34,Men,College/CEGEP,22.0
2024,Manitoba,25–34,Men,College/CEGEP,21.0
2025,Manitoba,25–34,Men,College/CEGEP,22.0
2000,Manitoba,25–34,Men,High school,36.0
2001,Manitoba,25–34,Men,High school,36.0
2002,Manitoba,25–34,Men,High school,38.0
2003,Manitoba,25–34,Men,High school,37.0
2004,Manitoba,25–34,Men,High school,39.0
2005,Manitoba,25–34,Men,High school,38.0
2006,Manitoba,25–34,Men,High school,34.0
2007,Manitoba,25–34,Men,High school,38.0
2008,Manitoba,25–34,Men,High school,37.0
2009,Manitoba,25–34,Men,High school,36.0
2010,Manitoba,25–34,Men,High school,36.0
2011,Manitoba,25–34,Men,High school,35.0
2012,Manitoba,25–34,Men,High school,33.0
2013,Manitoba,25–34,Men,High school,37.0
2014,Manitoba,25–34,Men,High school,37.0
2015,Manitoba,25–34,Men,High school,36.0
2016,Manitoba,25–34,Men,High school,35.0
2017,Manitoba,25–34,Men,High school,33.0
2018,Manitoba,25–34,Men,High school,35.0
2019,Manitoba,25–34,Men,High school,34.0
