year,geography,level,tuition
2017,Saskatchewan,International graduate,5615.0
2018,Saskatchewan,International graduate,6280.0
2019,Saskatchewan,International graduate,6496.0
2020,Saskatchewan,International graduate,6535.0
2021,Saskatchewan,International graduate,7610.0
2022,Saskatchewan,International graduate,7999.0
2023,Saskatchewan,International graduate,9280.0
2024,Saskatchewan,International graduate,9892.0
2025,Saskatchewan,International graduate,10360.0
2006,Saskatchewan,International undergraduate,10374.0
2007,Saskatchewan,International undergraduate,10204.0
2008,Saskatchewan,International undergraduate,10465.0
2009,Saskatchewan,International undergraduate,12618.0
2010,Saskatchewan,International undergraduate,13815.0
2011,Saskatchewan,International undergraduate,14755.0
2012,Saskatchewan,International undergraduate,16081.0
2013,Saskatchewan,International undergraduate,16659.0
2014,Saskatchewan,International undergraduate,17371.0
2015,Saskatchewan,International undergraduate,18096.0
2016,Saskatchewan,International undergraduate,18671.0
2017,Saskatchewan,International undergraduate,19176.0
2018,Saskatchewan,International undergraduate,20167.0
2019,Saskatchewan,International undergraduate,20607.0
2020,Saskatchewan,International undergraduate,20545.0
2021,Saskatchewan,International undergraduate,22008.0
2022,Saskatchewan,International undergraduate,24887.0
2023,Saskatchewan,International undergraduate,28090.0
2024,Saskatchewan,International undergraduate,31772.0
2025,Saskatchewan,International undergraduate,33064.0
2018,Yukon,Canadian undergraduate,3510.0
2019,Yukon,Canadian undergraduate,3810.0
2020,Yukon,Canadian undergraduate,3930.0
2021,Yukon,Canadian undergraduate,4005.0
2022,Yukon,Canadian undergraduate,4200.0
2023,Yukon,Canadian undergraduate,4275.0
2024,Yukon,Canadian undergraduate,4350.0
2025,Yukon,Canadian undergraduate,4470.0
