year,geography,field,tuition
2006,Alberta,"Agriculture, natural resources and conservation",4415.0
2007,Alberta,"Agriculture, natural resources and conservation",4734.0
2008,Alberta,"Agriculture, natural resources and conservation",4841.0
2009,Alberta,"Agriculture, natural resources and conservation",5063.0
2010,Alberta,"Agriculture, natural resources and conservation",5139.0
2011,Alberta,"Agriculture, natural resources and conservation",5156.0
2012,Alberta,"Agriculture, natural resources and conservation",5218.0
2013,Alberta,"Agriculture, natural resources and conservation",5218.0
2014,Alberta,"Agriculture, natural resources and conservation",5273.0
2015,Alberta,"Agriculture, natural resources and conservation",5184.0
2016,Alberta,"Agriculture, natural resources and conservation",5210.0
2017,Alberta,"Agriculture, natural resources and conservation",5193.0
2018,Alberta,"Agriculture, natural resources and conservation",5173.0
2019,Alberta,"Agriculture, natural resources and conservation",5237.0
2020,Alberta,"Agriculture, natural resources and conservation",5599.0
2021,Alberta,"Agriculture, natural resources and conservation",5952.0
2022,Alberta,"Agriculture, natural resources and conservation",6387.0
2023,Alberta,"Agriculture, natural resources and conservation",6734.0
2024,Alberta,"Agriculture, natural resources and conservation",6881.0
2025,Alberta,"Agriculture, natural resources and conservation",7019.0
2017,Alberta,Architecture,5525.0
2018,Alberta,Architecture,5331.0
2019,Alberta,Architecture,5380.0
2020,Alberta,Architecture,5765.0
2021,Alberta,Architecture,6164.0
2022,Alberta,Architecture,6605.0
2023,Alberta,Architecture,7074.0
2024,Alberta,Architecture,7194.0
2025,Alberta,Architecture,7332.0
2006,Alberta,"Business, management and public administration",4532.0
2007,Alberta,"Business, management and public administration",4720.0
2008,Alberta,"Business, management and public administration",4842.0
2009,Alberta,"Business, management and public administration",5043.0
2010,Alberta,"Business, management and public administration",5119.0
2011,Alberta,"Business, management and public administration",5640.0
2012,Alberta,"Business, management and public administration",6094.0
2013,Alberta,"Business, management and public administration",6091.0
2014,Alberta,"Business, management and public administration",6111.0
2015,Alberta,"Business, management and public administration",5828.0
2016,Alberta,"Business, management and public administration",5868.0
2017,Alberta,"Business, management and public administration",5842.0
2018,Alberta,"Business, management and public administration",5797.0
2019,Alberta,"Business, management and public administration",5726.0
2020,Alberta,"Business, management and public administration",6132.0
2021,Alberta,"Business, management and public administration",6639.0
2022,Alberta,"Business, management and public administration",7188.0
2023,Alberta,"Business, management and public administration",7544.0
2024,Alberta,"Business, management and public administration",7919.0
2025,Alberta,"Business, management and public administration",8046.0
2007,Alberta,Dentistry,17761.0
2008,Alberta,Dentistry,18578.0
2009,Alberta,Dentistry,19340.0
2010,Alberta,Dentistry,19630.0
2011,Alberta,Dentistry,19699.0
2012,Alberta,Dentistry,19984.0
2013,Alberta,Dentistry,19984.0
2014,Alberta,Dentistry,20184.0
2015,Alberta,Dentistry,20184.0
2016,Alberta,Dentistry,20184.0
2017,Alberta,Dentistry,20184.0
2018,Alberta,Dentistry,20184.0
2019,Alberta,Dentistry,20184.0
2020,Alberta,Dentistry,21597.0
2021,Alberta,Dentistry,23109.0
2022,Alberta,Dentistry,32353.0
2023,Alberta,Dentistry,33713.0
2024,Alberta,Dentistry,34387.0
2025,Alberta,Dentistry,35205.0
2006,Alberta,Education,4589.0
2007,Alberta,Education,4816.0
2008,Alberta,Education,4873.0
2009,Alberta,Education,5073.0
2010,Alberta,Education,5149.0
2011,Alberta,Education,5166.0
2012,Alberta,Education,5221.0
2013,Alberta,Education,5230.0
2014,Alberta,Education,5286.0
2015,Alberta,Education,5284.0
2016,Alberta,Education,5269.0
2017,Alberta,Education,5271.0
2018,Alberta,Education,5277.0
2019,Alberta,Education,5302.0
2020,Alberta,Education,5670.0
2021,Alberta,Education,6059.0
2022,Alberta,Education,6529.0
2023,Alberta,Education,6872.0
2024,Alberta,Education,6993.0
2025,Alberta,Education,7093.0
2006,Alberta,Engineering,4562.0
2007,Alberta,Engineering,4711.0
2008,Alberta,Engineering,4925.0
2009,Alberta,Engineering,4485.0
2010,Alberta,Engineering,5401.0
2011,Alberta,Engineering,5815.0
2012,Alberta,Engineering,5886.0
2013,Alberta,Engineering,5871.0
2014,Alberta,Engineering,5920.0
2015,Alberta,Engineering,6365.0
2016,Alberta,Engineering,6420.0
2017,Alberta,Engineering,6380.0
2018,Alberta,Engineering,6394.0
2019,Alberta,Engineering,6077.0
2020,Alberta,Engineering,6594.0
2021,Alberta,Engineering,7202.0
2022,Alberta,Engineering,8821.0
2023,Alberta,Engineering,9259.0
2024,Alberta,Engineering,9619.0
2025,Alberta,Engineering,9812.0
2006,Alberta,Humanities,4610.0
2007,Alberta,Humanities,4838.0
2008,Alberta,Humanities,4850.0
2009,Alberta,Humanities,5063.0
2010,Alberta,Humanities,5139.0
2011,Alberta,Humanities,5157.0
2012,Alberta,Humanities,5023.0
2013,Alberta,Humanities,5014.0
2014,Alberta,Humanities,5076.0
2015,Alberta,Humanities,5076.0
2016,Alberta,Humanities,5050.0
2017,Alberta,Humanities,5039.0
2018,Alberta,Humanities,5017.0
2019,Alberta,Humanities,5032.0
2020,Alberta,Humanities,5448.0
2021,Alberta,Humanities,5977.0
2022,Alberta,Humanities,6380.0
2023,Alberta,Humanities,6727.0
2024,Alberta,Humanities,6932.0
2025,Alberta,Humanities,7070.0
2006,Alberta,Law,9328.0
2007,Alberta,Law,9539.0
2008,Alberta,Law,10229.0
2009,Alberta,Law,8295.0
2010,Alberta,Law,10666.0
2011,Alberta,Law,10893.0
2012,Alberta,Law,11132.0
2013,Alberta,Law,11170.0
2014,Alberta,Law,11331.0
2015,Alberta,Law,11372.0
2016,Alberta,Law,11031.0
2017,Alberta,Law,11025.0
2018,Alberta,Law,11019.0
2019,Alberta,Law,11048.0
2020,Alberta,Law,11803.0
2021,Alberta,Law,12659.0
2022,Alberta,Law,15091.0
2023,Alberta,Law,15837.0
2024,Alberta,Law,16152.0
2025,Alberta,Law,16474.0
2006,Alberta,"Mathematics, computer and information sciences",4562.0
2007,Alberta,"Mathematics, computer and information sciences",4706.0
2008,Alberta,"Mathematics, computer and information sciences",4871.0
2009,Alberta,"Mathematics, computer and information sciences",5057.0
2010,Alberta,"Mathematics, computer and information sciences",5133.0
2011,Alberta,"Mathematics, computer and information sciences",5150.0
2012,Alberta,"Mathematics, computer and information sciences",5201.0
2013,Alberta,"Mathematics, computer and information sciences",5199.0
2014,Alberta,"Mathematics, computer and information sciences",5259.0
2015,Alberta,"Mathematics, computer and information sciences",5283.0
2016,Alberta,"Mathematics, computer and information sciences",5244.0
2017,Alberta,"Mathematics, computer and information sciences",5246.0
2018,Alberta,"Mathematics, computer and information sciences",5256.0
2019,Alberta,"Mathematics, computer and information sciences",5290.0
2020,Alberta,"Mathematics, computer and information sciences",5669.0
2021,Alberta,"Mathematics, computer and information sciences",6065.0
2022,Alberta,"Mathematics, computer and information sciences",6487.0
2023,Alberta,"Mathematics, computer and information sciences",6813.0
2024,Alberta,"Mathematics, computer and information sciences",6961.0
2025,Alberta,"Mathematics, computer and information sciences",7186.0
2006,Alberta,Medicine,11313.0
2007,Alberta,Medicine,11610.0
2008,Alberta,Medicine,12197.0
2009,Alberta,Medicine,10196.0
2010,Alberta,Medicine,12920.0
2011,Alberta,Medicine,12967.0
2012,Alberta,Medicine,13274.0
2013,Alberta,Medicine,13277.0
2014,Alberta,Medicine,13317.0
2015,Alberta,Medicine,13328.0
2016,Alberta,Medicine,13326.0
2017,Alberta,Medicine,13300.0
2018,Alberta,Medicine,13313.0
2019,Alberta,Medicine,13305.0
2020,Alberta,Medicine,14237.0
2021,Alberta,Medicine,15422.0
2022,Alberta,Medicine,17099.0
2023,Alberta,Medicine,18026.0
2024,Alberta,Medicine,19022.0
2025,Alberta,Medicine,19371.0
2007,Alberta,Nursing,5622.0
2008,Alberta,Nursing,5870.0
2009,Alberta,Nursing,6056.0
2010,Alberta,Nursing,6147.0
2011,Alberta,Nursing,6167.0
2012,Alberta,Nursing,5628.0
2013,Alberta,Nursing,5655.0
2014,Alberta,Nursing,5725.0
2015,Alberta,Nursing,5784.0
2016,Alberta,Nursing,5847.0
2017,Alberta,Nursing,5845.0
2018,Alberta,Nursing,5828.0
2019,Alberta,Nursing,5868.0
2020,Alberta,Nursing,6279.0
2021,Alberta,Nursing,6750.0
2022,Alberta,Nursing,7231.0
2023,Alberta,Nursing,7637.0
2024,Alberta,Nursing,7840.0
2025,Alberta,Nursing,7993.0
2006,Alberta,"Other health, parks, recreation and fitness",4562.0
2007,Alberta,"Other health, parks, recreation and fitness",7603.0
2008,Alberta,"Other health, parks, recreation and fitness",7185.0
2009,Alberta,"Other health, parks, recreation and fitness",5034.0
2010,Alberta,"Other health, parks, recreation and fitness",5109.0
2011,Alberta,"Other health, parks, recreation and fitness",5126.0
2012,Alberta,"Other health, parks, recreation and fitness",5087.0
2013,Alberta,"Other health, parks, recreation and fitness",5208.0
2014,Alberta,"Other health, parks, recreation and fitness",5199.0
2015,Alberta,"Other health, parks, recreation and fitness",5187.0
2016,Alberta,"Other health, parks, recreation and fitness",5165.0
2017,Alberta,"Other health, parks, recreation and fitness",5161.0
2018,Alberta,"Other health, parks, recreation and fitness",5160.0
2019,Alberta,"Other health, parks, recreation and fitness",5210.0
2020,Alberta,"Other health, parks, recreation and fitness",5574.0
2021,Alberta,"Other health, parks, recreation and fitness",5956.0
2022,Alberta,"Other health, parks, recreation and fitness",6364.0
2023,Alberta,"Other health, parks, recreation and fitness",6718.0
2024,Alberta,"Other health, parks, recreation and fitness",6858.0
2025,Alberta,"Other health, parks, recreation and fitness",6995.0
2024,Alberta,"Other, field of study",6544.0
2025,Alberta,"Other, field of study",6670.0
2016,Alberta,"Personal, protective and transportation services",4942.0
2017,Alberta,"Personal, protective and transportation services",4523.0
2018,Alberta,"Personal, protective and transportation services",4523.0
2019,Alberta,"Personal, protective and transportation services",4744.0
2020,Alberta,"Personal, protective and transportation services",5120.0
2021,Alberta,"Personal, protective and transportation services",5509.0
2022,Alberta,"Personal, protective and transportation services",6051.0
2023,Alberta,"Personal, protective and transportation services",7160.0
2024,Alberta,"Personal, protective and transportation services",7166.0
2025,Alberta,"Personal, protective and transportation services",7278.0
2007,Alberta,Pharmacy,4686.0
2008,Alberta,Pharmacy,4900.0
2009,Alberta,Pharmacy,5101.0
2010,Alberta,Pharmacy,5177.0
2011,Alberta,Pharmacy,8582.0
2012,Alberta,Pharmacy,9889.0
2013,Alberta,Pharmacy,9889.0
2014,Alberta,Pharmacy,9987.0
2015,Alberta,Pharmacy,9987.0
2016,Alberta,Pharmacy,9987.0
2017,Alberta,Pharmacy,9987.0
2018,Alberta,Pharmacy,10611.0
2019,Alberta,Pharmacy,10611.0
2020,Alberta,Pharmacy,11352.0
2021,Alberta,Pharmacy,12146.0
2022,Alberta,Pharmacy,16461.0
2023,Alberta,Pharmacy,17132.0
2024,Alberta,Pharmacy,17473.0
2025,Alberta,Pharmacy,17820.0
2006,Alberta,Physical and life sciences and technologies,4598.0
2007,Alberta,Physical and life sciences and technologies,4780.0
2008,Alberta,Physical and life sciences and technologies,4899.0
2009,Alberta,Physical and life sciences and technologies,5100.0
2010,Alberta,Physical and life sciences and technologies,5177.0
2011,Alberta,Physical and life sciences and technologies,5194.0
2012,Alberta,Physical and life sciences and technologies,5267.0
2013,Alberta,Physical and life sciences and technologies,5268.0
2014,Alberta,Physical and life sciences and technologies,5320.0
2015,Alberta,Physical and life sciences and technologies,5325.0
2016,Alberta,Physical and life sciences and technologies,5320.0
2017,Alberta,Physical and life sciences and technologies,5319.0
2018,Alberta,Physical and life sciences and technologies,5318.0
2019,Alberta,Physical and life sciences and technologies,5305.0
2020,Alberta,Physical and life sciences and technologies,5680.0
2021,Alberta,Physical and life sciences and technologies,6072.0
2022,Alberta,Physical and life sciences and technologies,6512.0
2023,Alberta,Physical and life sciences and technologies,6868.0
2024,Alberta,Physical and life sciences and technologies,7016.0
2025,Alberta,Physical and life sciences and technologies,7154.0
2006,Alberta,"Social and behavioural sciences, and legal studies",4644.0
2007,Alberta,"Social and behavioural sciences, and legal studies",4793.0
2008,Alberta,"Social and behavioural sciences, and legal studies",4873.0
2009,Alberta,"Social and behavioural sciences, and legal studies",5072.0
2010,Alberta,"Social and behavioural sciences, and legal studies",5148.0
2011,Alberta,"Social and behavioural sciences, and legal studies",5165.0
2012,Alberta,"Social and behavioural sciences, and legal studies",5136.0
2013,Alberta,"Social and behavioural sciences, and legal studies",5124.0
2014,Alberta,"Social and behavioural sciences, and legal studies",5165.0
2015,Alberta,"Social and behavioural sciences, and legal studies",5170.0
2016,Alberta,"Social and behavioural sciences, and legal studies",5247.0
2017,Alberta,"Social and behavioural sciences, and legal studies",5284.0
2018,Alberta,"Social and behavioural sciences, and legal studies",5250.0
2019,Alberta,"Social and behavioural sciences, and legal studies",5344.0
2020,Alberta,"Social and behavioural sciences, and legal studies",5732.0
2021,Alberta,"Social and behavioural sciences, and legal studies",6125.0
2022,Alberta,"Social and behavioural sciences, and legal studies",6550.0
2023,Alberta,"Social and behavioural sciences, and legal studies",6901.0
2024,Alberta,"Social and behavioural sciences, and legal studies",7075.0
2025,Alberta,"Social and behavioural sciences, and legal studies",7245.0
2006,Alberta,"Total, field of study",4763.0
2007,Alberta,"Total, field of study",5122.0
2008,Alberta,"Total, field of study",5308.0
2009,Alberta,"Total, field of study",5240.0
2010,Alberta,"Total, field of study",5505.0
2011,Alberta,"Total, field of study",5663.0
2012,Alberta,"Total, field of study",5670.0
2013,Alberta,"Total, field of study",5675.0
2014,Alberta,"Total, field of study",5738.0
2015,Alberta,"Total, field of study",5739.0
2016,Alberta,"Total, field of study",5742.0
2017,Alberta,"Total, field of study",5736.0
2018,Alberta,"Total, field of study",5713.0
2019,Alberta,"Total, field of study",5692.0
2020,Alberta,"Total, field of study",6111.0
2021,Alberta,"Total, field of study",6582.0
2022,Alberta,"Total, field of study",7203.0
2023,Alberta,"Total, field of study",7561.0
2024,Alberta,"Total, field of study",7909.0
2025,Alberta,"Total, field of study",8067.0
2009,Alberta,Veterinary medicine,10410.0
2010,Alberta,Veterinary medicine,10566.0
2011,Alberta,Veterinary medicine,10603.0
2012,Alberta,Veterinary medicine,10756.0
2013,Alberta,Veterinary medicine,10756.0
2014,Alberta,Veterinary medicine,10864.0
2015,Alberta,Veterinary medicine,10864.0
2016,Alberta,Veterinary medicine,10864.0
2017,Alberta,Veterinary medicine,10864.0
2018,Alberta,Veterinary medicine,10864.0
2019,Alberta,Veterinary medicine,10864.0
2020,Alberta,Veterinary medicine,11625.0
2021,Alberta,Veterinary medicine,12438.0
2022,Alberta,Veterinary medicine,13309.0
2023,Alberta,Veterinary medicine,14041.0
2024,Alberta,Veterinary medicine,14322.0
2025,Alberta,Veterinary medicine,14608.0
2006,Alberta,"Visual and performing arts, and communications technologies",4435.0
2007,Alberta,"Visual and performing arts, and communications technologies",4665.0
2008,Alberta,"Visual and performing arts, and communications technologies",4798.0
2009,Alberta,"Visual and performing arts, and communications technologies",4747.0
2010,Alberta,"Visual and performing arts, and communications technologies",4818.0
2011,Alberta,"Visual and performing arts, and communications technologies",4834.0
2012,Alberta,"Visual and performing arts, and communications technologies",4940.0
2013,Alberta,"Visual and performing arts, and communications technologies",4934.0
2014,Alberta,"Visual and performing arts, and communications technologies",4980.0
2015,Alberta,"Visual and performing arts, and communications technologies",4977.0
2016,Alberta,"Visual and performing arts, and communications technologies",4975.0
2017,Alberta,"Visual and performing arts, and communications technologies",4970.0
2018,Alberta,"Visual and performing arts, and communications technologies",5003.0
2019,Alberta,"Visual and performing arts, and communications technologies",5026.0
2020,Alberta,"Visual and performing arts, and communications technologies",5426.0
2021,Alberta,"Visual and performing arts, and communications technologies",5837.0
2022,Alberta,"Visual and performing arts, and communications technologies",6257.0
2023,Alberta,"Visual and performing arts, and communications technologies",6609.0
2024,Alberta,"Visual and performing arts, and communications technologies",6784.0
2025,Alberta,"Visual and performing arts, and communications technologies",6940.0
2006,British Columbia,"Agriculture, natural resources and conservation",4181.0
2007,British Columbia,"Agriculture, natural resources and conservation",4367.0
2008,British Columbia,"Agriculture, natural resources and conservation",4351.0
2009,British Columbia,"Agriculture, natural resources and conservation",4214.0
2010,British Columbia,"Agriculture, natural resources and conservation",4510.0
2011,British Columbia,"Agriculture, natural resources and conservation",4731.0
2012,British Columbia,"Agriculture, natural resources and conservation",4631.0
2013,British Columbia,"Agriculture, natural resources and conservation",4700.0
2014,British Columbia,"Agriculture, natural resources and conservation",4975.0
2015,British Columbia,"Agriculture, natural resources and conservation",5064.0
2016,British Columbia,"Agriculture, natural resources and conservation",4983.0
2017,British Columbia,"Agriculture, natural resources and conservation",5088.0
2018,British Columbia,"Agriculture, natural resources and conservation",5257.0
2019,British Columbia,"Agriculture, natural resources and conservation",5372.0
2020,British Columbia,"Agriculture, natural resources and conservation",5518.0
2021,British Columbia,"Agriculture, natural resources and conservation",5626.0
2022,British Columbia,"Agriculture, natural resources and conservation",5753.0
2023,British Columbia,"Agriculture, natural resources and conservation",5930.0
2024,British Columbia,"Agriculture, natural resources and conservation",5984.0
2025,British Columbia,"Agriculture, natural resources and conservation",6104.0
2008,British Columbia,Architecture,4342.0
2009,British Columbia,Architecture,4430.0
2010,British Columbia,Architecture,4518.0
2011,British Columbia,Architecture,4608.0
2012,British Columbia,Architecture,4700.0
2013,British Columbia,Architecture,4794.0
2014,British Columbia,Architecture,4890.0
2015,British Columbia,Architecture,5306.0
2016,British Columbia,Architecture,5396.0
2017,British Columbia,Architecture,5527.0
2018,British Columbia,Architecture,5670.0
2019,British Columbia,Architecture,6786.0
2020,British Columbia,Architecture,6949.0
2021,British Columbia,Architecture,7091.0
2022,British Columbia,Architecture,7284.0
2023,British Columbia,Architecture,7458.0
2024,British Columbia,Architecture,7654.0
2025,British Columbia,Architecture,7807.0
2006,British Columbia,"Business, management and public administration",4743.0
2007,British Columbia,"Business, management and public administration",4914.0
2008,British Columbia,"Business, management and public administration",4567.0
2009,British Columbia,"Business, management and public administration",4385.0
2010,British Columbia,"Business, management and public administration",4300.0
2011,British Columbia,"Business, management and public administration",4626.0
2012,British Columbia,"Business, management and public administration",4449.0
2013,British Columbia,"Business, management and public administration",4500.0
2014,British Columbia,"Business, management and public administration",4700.0
2015,British Columbia,"Business, management and public administration",5020.0
2016,British Columbia,"Business, management and public administration",5188.0
2017,British Columbia,"Business, management and public administration",5398.0
2018,British Columbia,"Business, management and public administration",5547.0
2019,British Columbia,"Business, management and public administration",5720.0
2020,British Columbia,"Business, management and public administration",5853.0
2021,British Columbia,"Business, management and public administration",6070.0
2022,British Columbia,"Business, management and public administration",6176.0
2023,British Columbia,"Business, management and public administration",6370.0
2024,British Columbia,"Business, management and public administration",6504.0
2025,British Columbia,"Business, management and public administration",6634.0
2007,British Columbia,Dentistry,10920.0
2008,British Columbia,Dentistry,11133.0
2009,British Columbia,Dentistry,11356.0
2010,British Columbia,Dentistry,15457.0
2011,British Columbia,Dentistry,15766.0
2012,British Columbia,Dentistry,16082.0
2013,British Columbia,Dentistry,16403.0
2014,British Columbia,Dentistry,16731.0
2015,British Columbia,Dentistry,27111.0
2016,British Columbia,Dentistry,27653.0
2017,British Columbia,Dentistry,28206.0
2018,British Columbia,Dentistry,28770.0
2019,British Columbia,Dentistry,29346.0
2020,British Columbia,Dentistry,29932.0
2021,British Columbia,Dentistry,30531.0
2022,British Columbia,Dentistry,31141.0
2023,British Columbia,Dentistry,31764.0
2024,British Columbia,Dentistry,32400.0
2025,British Columbia,Dentistry,33048.0
2006,British Columbia,Education,4556.0
2007,British Columbia,Education,4678.0
2008,British Columbia,Education,4512.0
2009,British Columbia,Education,4437.0
2010,British Columbia,Education,4467.0
2011,British Columbia,Education,4610.0
2012,British Columbia,Education,4636.0
2013,British Columbia,Education,4739.0
2014,British Columbia,Education,4891.0
2015,British Columbia,Education,5050.0
2016,British Columbia,Education,5229.0
2017,British Columbia,Education,5211.0
2018,British Columbia,Education,5283.0
2019,British Columbia,Education,5348.0
2020,British Columbia,Education,5442.0
2021,British Columbia,Education,5576.0
2022,British Columbia,Education,5673.0
2023,British Columbia,Education,5901.0
2024,British Columbia,Education,6001.0
2025,British Columbia,Education,6121.0
2006,British Columbia,Engineering,4395.0
2007,British Columbia,Engineering,4400.0
2008,British Columbia,Engineering,4484.0
2009,British Columbia,Engineering,4675.0
2010,British Columbia,Engineering,4649.0
2011,British Columbia,Engineering,4742.0
2012,British Columbia,Engineering,4879.0
2013,British Columbia,Engineering,4976.0
2014,British Columbia,Engineering,5140.0
2015,British Columbia,Engineering,5438.0
2016,British Columbia,Engineering,5509.0
2017,British Columbia,Engineering,5631.0
2018,British Columbia,Engineering,5842.0
2019,British Columbia,Engineering,5915.0
2020,British Columbia,Engineering,6039.0
2021,British Columbia,Engineering,6218.0
2022,British Columbia,Engineering,6321.0
2023,British Columbia,Engineering,6445.0
2024,British Columbia,Engineering,6574.0
2025,British Columbia,Engineering,6705.0
2006,British Columbia,Humanities,4675.0
2007,British Columbia,Humanities,4816.0
2008,British Columbia,Humanities,4470.0
2009,British Columbia,Humanities,4380.0
2010,British Columbia,Humanities,4372.0
2011,British Columbia,Humanities,4530.0
2012,British Columbia,Humanities,4509.0
2013,British Columbia,Humanities,4577.0
2014,British Columbia,Humanities,4695.0
2015,British Columbia,Humanities,4791.0
2016,British Columbia,Humanities,4836.0
2017,British Columbia,Humanities,4972.0
2018,British Columbia,Humanities,5077.0
2019,British Columbia,Humanities,5164.0
2020,British Columbia,Humanities,5258.0
2021,British Columbia,Humanities,5364.0
2022,British Columbia,Humanities,5468.0
2023,British Columbia,Humanities,5557.0
2024,British Columbia,Humanities,5990.0
2025,British Columbia,Humanities,6109.0
2006,British Columbia,Law,7437.0
2007,British Columbia,Law,7592.0
2008,British Columbia,Law,9104.0
2009,British Columbia,Law,9193.0
2010,British Columbia,Law,9376.0
2011,British Columbia,Law,9564.0
2012,British Columbia,Law,9536.0
2013,British Columbia,Law,9642.0
2014,British Columbia,Law,10115.0
2015,British Columbia,Law,10014.0
2016,British Columbia,Law,11112.0
2017,British Columbia,Law,12894.0
2018,British Columbia,Law,13095.0
2019,British Columbia,Law,13376.0
2020,British Columbia,Law,13562.0
2021,British Columbia,Law,13648.0
2022,British Columbia,Law,13937.0
2023,British Columbia,Law,13952.0
2024,British Columbia,Law,14315.0
2025,British Columbia,Law,14602.0
2006,British Columbia,"Mathematics, computer and information sciences",4447.0
2007,British Columbia,"Mathematics, computer and information sciences",4547.0
2008,British Columbia,"Mathematics, computer and information sciences",4479.0
2009,British Columbia,"Mathematics, computer and information sciences",4517.0
2010,British Columbia,"Mathematics, computer and information sciences",4545.0
2011,British Columbia,"Mathematics, computer and information sciences",4667.0
2012,British Columbia,"Mathematics, computer and information sciences",4719.0
2013,British Columbia,"Mathematics, computer and information sciences",4848.0
2014,British Columbia,"Mathematics, computer and information sciences",4894.0
2015,British Columbia,"Mathematics, computer and information sciences",4940.0
2016,British Columbia,"Mathematics, computer and information sciences",5032.0
2017,British Columbia,"Mathematics, computer and information sciences",5090.0
2018,British Columbia,"Mathematics, computer and information sciences",5186.0
2019,British Columbia,"Mathematics, computer and information sciences",5293.0
2020,British Columbia,"Mathematics, computer and information sciences",5401.0
2021,British Columbia,"Mathematics, computer and information sciences",5573.0
2022,British Columbia,"Mathematics, computer and information sciences",5673.0
2023,British Columbia,"Mathematics, computer and information sciences",5795.0
2024,British Columbia,"Mathematics, computer and information sciences",5909.0
2025,British Columbia,"Mathematics, computer and information sciences",6027.0
2006,British Columbia,Medicine,10701.0
2007,British Columbia,Medicine,10920.0
2008,British Columbia,Medicine,11133.0
2009,British Columbia,Medicine,11356.0
2010,British Columbia,Medicine,15457.0
2011,British Columbia,Medicine,15766.0
2012,British Columbia,Medicine,16082.0
2013,British Columbia,Medicine,16403.0
2014,British Columbia,Medicine,16731.0
2015,British Columbia,Medicine,17066.0
2016,British Columbia,Medicine,17407.0
2017,British Columbia,Medicine,17755.0
2018,British Columbia,Medicine,18110.0
2019,British Columbia,Medicine,18473.0
2020,British Columbia,Medicine,18842.0
2021,British Columbia,Medicine,19219.0
2022,British Columbia,Medicine,19603.0
2023,British Columbia,Medicine,19995.0
2024,British Columbia,Medicine,20395.0
2025,British Columbia,Medicine,20803.0
2007,British Columbia,Nursing,5557.0
2008,British Columbia,Nursing,4436.0
2009,British Columbia,Nursing,4028.0
2010,British Columbia,Nursing,4081.0
2011,British Columbia,Nursing,4285.0
2012,British Columbia,Nursing,4287.0
2013,British Columbia,Nursing,4380.0
2014,British Columbia,Nursing,4379.0
2015,British Columbia,Nursing,4340.0
2016,British Columbia,Nursing,4382.0
2017,British Columbia,Nursing,4613.0
2018,British Columbia,Nursing,4700.0
2019,British Columbia,Nursing,4816.0
2020,British Columbia,Nursing,4916.0
2021,British Columbia,Nursing,5041.0
2022,British Columbia,Nursing,5106.0
2023,British Columbia,Nursing,5292.0
2024,British Columbia,Nursing,5415.0
2025,British Columbia,Nursing,5523.0
2006,British Columbia,"Other health, parks, recreation and fitness",5057.0
2007,British Columbia,"Other health, parks, recreation and fitness",5599.0
2008,British Columbia,"Other health, parks, recreation and fitness",4477.0
2009,British Columbia,"Other health, parks, recreation and fitness",4568.0
2010,British Columbia,"Other health, parks, recreation and fitness",4556.0
2011,British Columbia,"Other health, parks, recreation and fitness",4638.0
2012,British Columbia,"Other health, parks, recreation and fitness",4755.0
2013,British Columbia,"Other health, parks, recreation and fitness",4850.0
2014,British Columbia,"Other health, parks, recreation and fitness",4890.0
2015,British Columbia,"Other health, parks, recreation and fitness",4947.0
2016,British Columbia,"Other health, parks, recreation and fitness",4992.0
2017,British Columbia,"Other health, parks, recreation and fitness",5029.0
2018,British Columbia,"Other health, parks, recreation and fitness",5129.0
2019,British Columbia,"Other health, parks, recreation and fitness",5176.0
2020,British Columbia,"Other health, parks, recreation and fitness",5289.0
2021,British Columbia,"Other health, parks, recreation and fitness",5409.0
2022,British Columbia,"Other health, parks, recreation and fitness",5566.0
2023,British Columbia,"Other health, parks, recreation and fitness",5614.0
2024,British Columbia,"Other health, parks, recreation and fitness",5728.0
2025,British Columbia,"Other health, parks, recreation and fitness",5896.0
2024,British Columbia,"Other, field of study",5772.0
2025,British Columbia,"Other, field of study",5887.0
2016,British Columbia,"Personal, protective and transportation services",5334.0
2017,British Columbia,"Personal, protective and transportation services",6157.0
2018,British Columbia,"Personal, protective and transportation services",6086.0
2019,British Columbia,"Personal, protective and transportation services",5085.0
2020,British Columbia,"Personal, protective and transportation services",5010.0
2021,British Columbia,"Personal, protective and transportation services",5246.0
2022,British Columbia,"Personal, protective and transportation services",5368.0
2023,British Columbia,"Personal, protective and transportation services",5454.0
2024,British Columbia,"Personal, protective and transportation services",6372.0
2025,British Columbia,"Personal, protective and transportation services",6499.0
2007,British Columbia,Pharmacy,6090.0
2008,British Columbia,Pharmacy,6198.0
2009,British Columbia,Pharmacy,6322.0
2010,British Columbia,Pharmacy,6661.0
2011,British Columbia,Pharmacy,6794.0
2012,British Columbia,Pharmacy,6930.0
2013,British Columbia,Pharmacy,7069.0
2014,British Columbia,Pharmacy,7210.0
2015,British Columbia,Pharmacy,12016.0
2016,British Columbia,Pharmacy,12256.0
2017,British Columbia,Pharmacy,12501.0
2018,British Columbia,Pharmacy,12751.0
2019,British Columbia,Pharmacy,13006.0
2020,British Columbia,Pharmacy,13266.0
2021,British Columbia,Pharmacy,13532.0
2022,British Columbia,Pharmacy,13802.0
2023,British Columbia,Pharmacy,19539.0
2024,British Columbia,Pharmacy,19930.0
2025,British Columbia,Pharmacy,20328.0
2006,British Columbia,Physical and life sciences and technologies,4414.0
2007,British Columbia,Physical and life sciences and technologies,4523.0
2008,British Columbia,Physical and life sciences and technologies,4433.0
2009,British Columbia,Physical and life sciences and technologies,4480.0
