lat,lon,size_ha,province,cause,year
49.9154,-126.0275,0.0,British Columbia,Other / unknown,2023
50.5689,-123.3583,0.0,British Columbia,Other / unknown,2023
54.5151,-110.8128,0.0,Alberta,Human,2023
53.5759,-123.5415,0.0,British Columbia,Other / unknown,2023
55.9283,-110.7203,0.0,Alberta,Human,2023
58.7131,-118.6672,0.0,Alberta,Human,2023
50.8706,-118.8295,0.0,British Columbia,Other / unknown,2023
58.9213,-122.1254,0.0,British Columbia,Other / unknown,2023
52.1763,-121.9596,0.0,British Columbia,Other / unknown,2023
50.2827,-120.2154,0.0,British Columbia,Other / unknown,2023
53.5416,-123.3733,0.0,British Columbia,Other / unknown,2023
56.1373,-129.2965,0.0,British Columbia,Other / unknown,2023
52.4363,-121.7775,0.0,British Columbia,Other / unknown,2023
54.0954,-124.3983,0.0,British Columbia,Other / unknown,2023
50.6929,-118.6358,0.0,British Columbia,Other / unknown,2023
55.3635,-115.5165,0.0,Alberta,Human,2023
53.6823,-123.3523,0.0,British Columbia,Other / unknown,2023
49.3234,-120.0188,0.0,British Columbia,Other / unknown,2023
58.7138,-118.7547,0.0,Alberta,Human,2023
56.6289,-120.3723,0.0,British Columbia,Other / unknown,2023
50.0036,-120.3782,0.0,British Columbia,Other / unknown,2023
56.024,-113.7334,0.0,Alberta,Human,2023
52.9435,-114.9441,0.0,Alberta,Human,2023
51.07,-118.2495,0.0,British Columbia,Other / unknown,2023
51.3018,-119.0003,0.0,British Columbia,Other / unknown,2023
55.6709,-111.0893,0.0,Alberta,Human,2023
52.5524,-119.1265,0.0,British Columbia,Other / unknown,2023
49.2415,-115.9216,0.0,British Columbia,Other / unknown,2023
50.9667,-116.9102,0.0,British Columbia,Other / unknown,2023
50.9771,-118.3432,0.0,British Columbia,Other / unknown,2023
49.0836,-117.4863,0.0,British Columbia,Other / unknown,2023
53.8212,-128.55,0.0,British Columbia,Other / unknown,2023
53.6892,-125.0707,0.0,British Columbia,Other / unknown,2023
49.5118,-115.4993,0.0,British Columbia,Other / unknown,2023
58.3207,-116.122,0.0,Alberta,Human,2023
59.308,-123.228,0.0,British Columbia,Other / unknown,2023
49.7262,-120.629,0.0,British Columbia,Other / unknown,2023
50.4275,-126.7895,0.0,British Columbia,Unknown,2023
49.5654,-119.8905,0.0,British Columbia,Other / unknown,2023
54.0945,-115.6105,0.0,Alberta,Human,2023
51.1355,-114.9013,0.0,Alberta,Other / unknown,2023
52.4816,-122.5164,0.0,British Columbia,Other / unknown,2023
58.9641,-122.1416,0.0,British Columbia,Other / unknown,2023
56.7807,-121.7103,0.0,British Columbia,Other / unknown,2023
50.5178,-117.3858,0.0,British Columbia,Other / unknown,2023
51.1274,-115.3897,0.0,Alberta,Human,2023
54.1533,-123.1185,0.0,British Columbia,Other / unknown,2023
50.7742,-117.7462,0.0,British Columbia,Other / unknown,2023
54.4621,-115.335,0.0,Alberta,Other / unknown,2023
52.4704,-121.4505,0.0,British Columbia,Other / unknown,2023
55.02,-112.2307,0.0,Alberta,Other / unknown,2023
50.5354,-119.2129,0.0,British Columbia,Other / unknown,2023
51.0441,-118.9941,0.0,British Columbia,Other / unknown,2023
58.6938,-118.7122,0.0,Alberta,Human,2023
53.3493,-122.9594,0.0,British Columbia,Other / unknown,2023
49.9486,-114.4426,0.0,Alberta,Human,2023
50.7286,-118.5026,0.0,British Columbia,Other / unknown,2023
55.313,-126.5314,0.0,British Columbia,Other / unknown,2023
53.7303,-122.8505,0.0,British Columbia,Other / unknown,2023
54.502,-126.4935,0.0,British Columbia,Other / unknown,2023
54.8903,-127.7427,0.0,British Columbia,Other / unknown,2023
50.9461,-116.3797,0.0,British Columbia,Other / unknown,2023
54.341,-124.2137,0.0,British Columbia,Other / unknown,2023
50.9008,-114.6926,0.0,Alberta,Human,2023
51.0748,-115.0799,0.0,Alberta,Human,2023
54.2727,-122.3692,0.0,British Columbia,Other / unknown,2023
52.2471,-120.7768,0.0,British Columbia,Other / unknown,2023
49.2973,-119.7647,0.0,British Columbia,Other / unknown,2023
49.776,-117.0069,0.0,British Columbia,Other / unknown,2023
49.7895,-117.7287,0.0,British Columbia,Other / unknown,2023
54.2044,-121.7007,0.0,British Columbia,Other / unknown,2023
57.1621,-122.9453,0.0,British Columbia,Other / unknown,2023
50.099,-123.408,0.0,British Columbia,Other / unknown,2023
53.341,-117.1328,0.0,Alberta,Other / unknown,2023
50.2761,-118.2958,0.0,British Columbia,Other / unknown,2023
53.7819,-121.5664,0.0,British Columbia,Other / unknown,2023
51.8167,-118.4939,0.0,British Columbia,Other / unknown,2023
50.7385,-122.8344,0.0,British Columbia,Other / unknown,2023
53.5977,-125.9421,0.0,British Columbia,Other / unknown,2023
49.5812,-120.552,0.0,British Columbia,Other / unknown,2023
57.1931,-111.135,0.0,Alberta,Other / unknown,2023
55.6434,-123.5503,0.0,British Columbia,Other / unknown,2023
55.3148,-121.8058,0.0,British Columbia,Other / unknown,2023
54.9261,-122.2274,0.0,British Columbia,Other / unknown,2023
50.5205,-116.1344,0.0,British Columbia,Other / unknown,2023
55.1134,-121.0078,0.0,British Columbia,Other / unknown,2023
55.1469,-127.851,0.0,British Columbia,Other / unknown,2023
49.337,-117.1966,0.0,British Columbia,Other / unknown,2023
53.7501,-125.9026,0.0,British Columbia,Other / unknown,2023
49.4774,-120.4256,0.0,British Columbia,Other / unknown,2023
49.3715,-117.6633,0.0,British Columbia,Other / unknown,2023
54.2969,-124.3701,0.0,British Columbia,Other / unknown,2023
53.7635,-124.81,0.0,British Columbia,Other / unknown,2023
49.7531,-119.6589,0.0,British Columbia,Other / unknown,2023
53.6611,-126.7934,0.0,British Columbia,Other / unknown,2023
50.6175,-118.7802,0.0,British Columbia,Other / unknown,2023
49.6708,-120.9433,0.0,British Columbia,Other / unknown,2023
49.5436,-121.7689,0.0,British Columbia,Other / unknown,2023
58.0172,-116.5064,0.0,Alberta,Human,2023
53.5858,-125.2489,0.0,British Columbia,Other / unknown,2023
49.9975,-121.4306,0.0,British Columbia,Other / unknown,2023
51.3194,-117.0092,0.0,British Columbia,Other / unknown,2023
50.3042,-118.461,0.0,British Columbia,Other / unknown,2023
51.615,-122.351,0.0,British Columbia,Other / unknown,2023
49.3909,-115.803,0.0,British Columbia,Other / unknown,2023
53.5957,-123.2263,0.0,British Columbia,Other / unknown,2023
54.4968,-121.9236,0.0,British Columbia,Other / unknown,2023
52.5036,-121.331,0.0,British Columbia,Other / unknown,2023
52.4545,-125.8922,0.0,British Columbia,Other / unknown,2023
54.4035,-126.7908,0.0,British Columbia,Other / unknown,2023
56.06,-113.7349,0.0,Alberta,Human,2023
53.6808,-121.8662,0.0,British Columbia,Other / unknown,2023
49.2445,-117.0361,0.0,British Columbia,Other / unknown,2023
51.9858,-117.6749,0.0,British Columbia,Other / unknown,2023
54.9828,-123.5808,0.0,British Columbia,Other / unknown,2023
50.5904,-121.8216,0.0,British Columbia,Other / unknown,2023
54.2009,-124.3816,0.0,British Columbia,Other / unknown,2023
53.7123,-123.0184,0.0,British Columbia,Other / unknown,2023
51.2717,-114.9881,0.0,Alberta,Human,2023
49.2548,-119.5866,0.0,British Columbia,Other / unknown,2023
55.1734,-128.0068,0.0,British Columbia,Other / unknown,2023
49.9173,-118.9858,0.0,British Columbia,Other / unknown,2023
50.8128,-114.6327,0.0,Alberta,Human,2023
49.7344,-125.6806,0.0,British Columbia,Other / unknown,2023
54.3337,-122.6901,0.0,British Columbia,Other / unknown,2023
50.593,-126.051,0.0,British Columbia,Other / unknown,2023
50.0245,-114.0477,0.0,Alberta,Human,2023
51.2693,-115.0047,0.0,Alberta,Human,2023
49.4579,-119.69,0.0,British Columbia,Other / unknown,2023
55.4844,-122.7979,0.0,British Columbia,Other / unknown,2023
