cmauid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,population
001,St. John's,6.0,1.6,0.8,1.4,0.5,0.7,0.3,0.2,0.2,0.1,0.0,90.6,3.4,208820
010,Grand Falls-Windsor,2.8,1.1,0.4,0.5,0.4,0.0,0.0,0.1,0.0,0.0,0.0,90.7,6.5,13605
011,Gander,2.4,0.7,0.1,0.5,0.4,0.3,0.0,0.1,0.0,0.1,0.0,88.5,9.1,13075
015,Corner Brook,2.2,0.6,0.2,0.4,0.4,0.2,0.1,0.2,0.0,0.0,0.0,70.8,27.0,28975
105,Charlottetown,14.3,3.9,3.7,2.0,0.7,1.3,0.6,1.1,0.4,0.1,0.2,83.6,2.1,77385
110,Summerside,8.2,2.7,1.0,0.7,2.3,0.4,0.1,0.6,0.0,0.1,0.1,89.8,2.0,17675
205,Halifax,16.0,3.7,2.1,4.5,1.0,2.1,0.5,0.4,0.4,0.5,0.2,80.0,4.1,461140
210,Kentville,6.1,1.0,0.4,2.2,1.4,0.4,0.2,0.1,0.0,0.0,0.1,89.3,4.6,26600
215,Truro,4.9,1.2,0.4,1.9,0.5,0.4,0.1,0.0,0.0,0.1,0.0,89.5,5.7,45320
220,New Glasgow,4.5,0.5,0.3,2.2,0.7,0.2,0.3,0.2,0.0,0.0,0.0,91.6,3.9,33780
225,Cape Breton,5.1,2.1,0.6,1.3,0.4,0.2,0.1,0.1,0.1,0.1,0.0,87.2,7.6,96640
305,Moncton,10.6,2.1,0.6,3.4,1.0,1.2,0.6,0.6,0.1,0.5,0.1,86.8,2.6,154250
310,Saint John,7.4,1.5,1.2,1.8,0.6,0.9,0.3,0.3,0.2,0.3,0.0,90.0,2.6,128385
320,Fredericton,9.0,1.8,1.2,2.0,0.7,1.5,0.5,0.4,0.4,0.2,0.1,86.2,4.8,107165
328,Bathurst,2.8,0.5,0.3,1.3,0.3,0.1,0.1,0.1,0.0,0.1,0.0,93.2,4.1,30545
329,Miramichi,2.7,0.6,0.2,0.6,0.8,0.2,0.1,0.1,0.0,0.1,0.0,89.8,7.6,27040
330,Campbellton,2.3,0.7,0.2,0.4,0.3,0.4,0.0,0.0,0.0,0.0,0.0,89.4,8.3,12655
13330,Campbellton (New Brunswick part),2.6,0.8,0.2,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,89.2,8.2,11335
24330,Campbellton (Quebec part),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,9.1,1325
335,Edmundston,3.0,0.2,0.1,1.7,0.2,0.6,0.1,0.1,0.0,0.0,0.0,93.9,3.1,20925
403,Matane,1.3,0.1,0.0,0.6,0.1,0.2,0.1,0.1,0.0,0.0,0.0,96.4,2.3,18020
404,Rimouski,2.3,0.1,0.3,1.2,0.0,0.4,0.3,0.1,0.0,0.0,0.0,96.0,1.7,52475
405,Rivière-du-Loup,2.3,0.1,0.2,0.9,0.0,0.4,0.4,0.2,0.0,0.0,0.0,96.1,1.6,28680
406,Baie-Comeau,1.5,0.1,0.1,0.9,0.0,0.0,0.1,0.1,0.0,0.0,0.0,94.0,4.5,25720
408,Saguenay,1.9,0.1,0.2,0.8,0.0,0.3,0.3,0.1,0.0,0.0,0.0,94.2,3.9,157900
410,Alma,1.3,0.0,0.2,0.6,0.1,0.1,0.1,0.1,0.0,0.0,0.0,95.5,3.2,29325
411,Dolbeau-Mistassini,1.3,0.0,0.1,0.7,0.0,0.2,0.2,0.1,0.0,0.0,0.0,92.4,6.3,14725
412,Sept-Îles,2.1,0.0,0.1,0.8,0.4,0.2,0.3,0.0,0.0,0.1,0.0,79.5,18.4,27155
421,Québec,7.2,0.2,0.4,3.1,0.1,1.4,1.2,0.4,0.1,0.0,0.0,90.9,1.8,817105
423,Sainte-Marie,3.8,0.4,0.2,1.1,0.0,0.2,1.5,0.0,0.0,0.0,0.0,94.5,1.7,12640
