hood_id,name,population,auto_theft,bike_theft,break_enter,theft_from_mv,robbery,assault,theft_over,shooting,homicide,year
174,South Eglinton-Davisville,28902,58.8194580078125,20.7598094940186,128.018829345703,100.339073181152,24.2197780609131,435.955993652344,20.7598094940186,0.0,0.0,2025
173,North Toronto,20582,68.0205993652344,72.8792114257813,174.910110473633,63.1619873046875,53.4447593688965,626.76123046875,24.2930717468262,0.0,0.0,2025
172,Dovercourt Village,13129,129.484344482422,175.184707641602,236.118515014648,144.717803955078,68.550537109375,974.940979003906,22.8501796722412,0.0,0.0,2025
171,Junction-Wallace Emerson,27777,108.003021240234,154.804336547852,230.406448364258,201.605651855469,36.0010070800781,720.020141601563,32.4009056091309,3.60010075569153,0.0,2025
170,Yonge-Bay Corridor,16661,162.055099487305,822.279602050781,552.187744140625,402.13671875,300.102020263672,3361.14282226563,210.071426391602,12.0040817260742,12.0040817260742,2025
169,Bay-Cloverhill,24089,16.6050891876221,236.622528076172,286.437805175781,145.294525146484,74.722900390625,601.934509277344,87.1767196655273,0.0,0.0,2025
156,Bendale-Glen Andrew,20648,464.936065673828,58.1170082092285,145.292526245117,290.585052490234,222.781860351563,871.755126953125,82.3324279785156,14.5292520523071,9.68616771697998,2025
155,Downsview,23055,333.983947753906,34.6996307373047,164.8232421875,203.860336303711,125.786163330078,811.103881835938,82.41162109375,8.67490768432617,0.0,2025
154,Oakdale-Beverley Heights,24522,452.654754638672,24.4678249359131,154.962890625,273.224029541016,159.040863037109,1162.2216796875,77.4814453125,16.3118839263916,4.0779709815979,2025
153,Avondale,16527,66.5577545166016,66.5577545166016,108.912689208984,108.912689208984,30.2535247802734,508.259216308594,18.1521148681641,0.0,0.0,2025
152,East Willowdale,17619,181.622116088867,5.6756911277771,198.649185180664,192.973495483398,56.756908416748,295.135925292969,51.0812187194824,5.6756911277771,0.0,2025
151,Yonge-Doris,24085,99.6470794677734,45.6715812683105,58.1274642944336,224.205932617188,70.5833511352539,510.691314697266,58.1274642944336,0.0,0.0,2025
150,Fenside-Parkwoods,23679,266.058532714844,8.44630241394043,118.248237609863,139.363998413086,33.7852096557617,553.232849121094,29.5620594024658,8.44630241394043,0.0,2025
149,Parkwoods-O'Connor Hills,14974,307.199157714844,0.0,200.347274780273,207.025512695313,66.7824249267578,520.902893066406,46.7476959228516,6.67824220657349,0.0,2025
148,East L'Amoreaux,23908,167.308013916016,4.18270015716553,234.231216430664,79.471305847168,87.8367080688477,288.606323242188,16.7308006286621,0.0,0.0,2025
147,L'Amoreaux West,24118,228.045440673828,33.1702461242676,161.704956054688,128.534698486328,87.0718994140625,398.04296875,41.4628067016602,4.14628076553345,0.0,2025
146,Malvern East,28466,224.829620361328,21.0777778625488,80.7981414794922,186.187026977539,80.7981414794922,505.866638183594,35.1296272277832,0.0,0.0,2025
145,Malvern West,18267,366.781616210938,10.9487056732178,43.7948226928711,208.025405883789,125.910110473633,635.02490234375,65.6922302246094,27.3717632293701,0.0,2025
144,Morningside Heights,26743,362.711730957031,7.47859239578247,149.571853637695,243.054260253906,138.353958129883,486.108520507813,67.3073348999023,18.6964817047119,0.0,2025
143,West Rouge,22634,446.231323242188,0.0,75.1082458496094,172.307144165039,44.1813201904297,278.342315673828,44.1813201904297,4.41813182830811,0.0,2025
142,Woburn North,28743,316.598815917969,3.47910785675049,180.913619995117,281.807739257813,76.5403747558594,768.882873535156,62.6239433288574,13.916431427002,0.0,2025
141,Golfdale-Cedarbrae-Woburn,30270,247.770065307617,19.821605682373,89.1972274780273,181.698043823242,99.108024597168,637.594970703125,52.8576164245605,9.91080284118652,0.0,2025
140,Guildwood,10767,74.3011016845703,27.8629150390625,55.725830078125,204.328033447266,55.725830078125,399.368438720703,27.8629150390625,18.5752754211426,0.0,2025
139,Scarborough Village,18730,277.629486083984,32.0341682434082,245.595306396484,298.985595703125,106.780563354492,763.481018066406,21.3561134338379,5.33902835845947,5.33902835845947,2025
138,Eglinton East,25914,270.124267578125,23.153507232666,150.497802734375,559.543090820313,65.6016082763672,825.808471679688,61.7426872253418,15.4356718063354,0.0,2025
136,West Hill,31546,148.988784790039,53.8895568847656,193.368408203125,389.906799316406,98.2691955566406,1328.21911621094,63.3994789123535,15.8498697280884,6.33994817733765,2025
135,Morningside,19325,217.335052490234,0.0,77.6196670532227,108.667526245117,56.921085357666,646.830505371094,36.2225112915039,15.5239324569702,0.0,2025
134,Highland Creek,13551,243.524459838867,14.7590579986572,118.072463989258,214.00634765625,44.2771759033203,575.603271484375,95.9338760375977,7.37952899932861,7.37952899932861,2025
133,Centennial Scarborough,14695,149.710784912109,6.80503559112549,190.541000366211,108.880569458008,20.4151077270508,292.616546630859,34.0251770019531,6.80503559112549,0.0,2025
130,Milliken,26329,607.694946289063,11.3942804336548,254.472259521484,398.7998046875,197.500854492188,334.232208251953,125.33708190918,18.9904670715332,0.0,2025
129,Agincourt North,29974,326.950012207031,16.6811237335205,93.4142913818359,106.75919342041,106.75919342041,276.906646728516,53.3795967102051,6.67244958877563,0.0,2025
128,Agincourt South-Malvern West,28477,273.905242919922,14.046422958374,259.858825683594,242.300811767578,94.8133544921875,467.043579101563,38.6276626586914,21.0696353912354,7.02321147918701,2025
126,Dorset Park,27531,355.962371826172,29.0581531524658,192.51025390625,334.168762207031,112.600341796875,671.969787597656,72.645378112793,18.1613445281982,0.0,2025
125,Ionview,14254,140.311492919922,0.0,91.2024688720703,203.45166015625,91.2024688720703,813.806640625,42.093448638916,7.01557445526123,7.01557445526123,2025
