dauid,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,name,population
24720015,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7,0.0,StatCan area #24720015,305
24720016,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9,0.0,StatCan area #24720016,380
24720017,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2,3.3,StatCan area #24720017,305
24720018,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,StatCan area #24720018,480
24720019,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9,0.0,StatCan area #24720019,410
24720020,9.5,0.0,0.0,3.8,0.0,3.8,0.0,0.0,0.0,0.0,0.0,87.6,2.9,StatCan area #24720020,525
24720021,5.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,2.9,StatCan area #24720021,695
24720022,22.7,0.0,0.0,16.3,0.0,2.8,3.5,0.0,0.0,0.0,0.0,77.3,0.0,StatCan area #24720022,705
24720023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,6.1,StatCan area #24720023,490
24720024,13.3,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,81.3,5.3,StatCan area #24720024,375
24720025,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,0.0,StatCan area #24720025,275
24720026,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,2.9,StatCan area #24720026,515
24720027,10.8,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,89.2,0.0,StatCan area #24720027,510
24720028,18.4,0.0,0.0,7.8,0.0,4.9,0.0,4.9,0.0,0.0,0.0,82.5,0.0,StatCan area #24720028,515
24720029,15.5,0.0,0.0,8.2,0.0,4.1,2.1,0.0,0.0,0.0,0.0,83.5,0.0,StatCan area #24720029,485
24720030,5.9,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,0.0,StatCan area #24720030,425
24720031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,2.7,StatCan area #24720031,560
24720032,7.6,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,0.0,StatCan area #24720032,460
24720033,5.4,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,2.2,StatCan area #24720033,465
24720034,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,4.0,StatCan area #24720034,505
24720035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8,0.0,StatCan area #24720035,470
24720036,7.4,0.0,0.0,1.9,0.0,0.0,5.6,0.0,0.0,0.0,0.0,91.7,0.0,StatCan area #24720036,540
24720037,8.7,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7,8.7,StatCan area #24720037,520
24720038,21.6,0.0,0.0,6.2,0.0,5.2,0.0,0.0,0.0,0.0,0.0,76.3,3.1,StatCan area #24720038,485
24720039,8.7,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.7,2.6,StatCan area #24720039,575
24720040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,7.4,StatCan area #24720040,605
24720041,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,StatCan area #24720041,340
24720042,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,StatCan area #24720042,400
24720044,13.9,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,86.1,0.0,StatCan area #24720044,360
24720045,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,0.0,StatCan area #24720045,360
24720046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.9,4.1,StatCan area #24720046,490
24720047,11.2,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,88.8,0.0,StatCan area #24720047,580
24720048,2.9,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,96.1,0.0,StatCan area #24720048,510
