ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous,population
8300016.02,8300016.02,30.0,0.0,1.3,2.1,18.4,0.7,3.2,2.8,0.0,0.0,0.0,63.8,6.0,4215
8300016.03,8300016.03,20.1,1.6,0.8,4.5,9.1,1.2,1.2,1.6,0.0,0.0,0.0,72.0,7.8,3860
7050001.01,7050001.01,12.6,1.5,2.9,2.9,1.5,1.3,0.0,1.0,0.0,0.3,0.0,79.2,8.2,2980
7050001.02,7050001.02,31.4,10.1,7.5,4.7,6.8,0.0,0.6,0.3,0.0,0.0,0.0,63.1,5.4,3620
7050002.01,7050002.01,23.2,10.6,4.0,2.4,2.5,1.3,0.4,0.8,0.6,0.5,0.2,73.3,3.6,4160
7050002.02,7050002.02,39.4,24.1,3.0,3.2,6.5,0.4,0.5,0.9,0.3,0.0,0.0,55.9,4.8,6265
7050003.00,7050003.00,33.1,16.5,0.6,3.4,8.5,1.5,0.5,0.5,0.7,0.2,0.0,62.1,4.9,5540
7050004.01,7050004.01,14.9,2.9,1.5,1.5,4.6,0.0,1.2,1.9,0.0,0.0,0.0,69.8,15.3,2585
7050004.02,7050004.02,53.7,25.3,4.6,7.6,9.8,2.2,0.7,1.0,0.3,0.6,0.3,41.4,4.9,9465
7050004.03,7050004.03,54.9,22.2,6.3,8.4,12.3,1.0,0.9,1.4,0.0,0.5,0.0,42.7,2.3,4990
7050005.00,7050005.00,12.1,3.0,1.7,1.7,3.2,0.0,0.5,0.2,0.0,0.0,0.0,79.2,8.7,4035
7050006.01,7050006.01,27.3,6.9,5.6,2.7,3.1,5.6,1.4,0.0,0.6,0.0,0.6,68.3,4.4,3205
7050006.02,7050006.02,40.6,16.7,10.2,6.9,1.7,1.3,0.4,0.8,0.0,0.6,0.0,51.8,7.8,3535
7050007.00,7050007.00,28.7,9.2,2.7,7.0,3.5,3.2,0.5,0.0,0.0,0.0,0.0,55.9,15.5,2005
7050008.01,7050008.01,11.7,4.0,0.5,2.4,2.1,0.0,0.6,0.5,0.0,0.0,0.5,78.4,9.8,5560
7050008.02,7050008.02,15.5,5.2,2.9,1.7,1.6,0.6,0.4,1.1,0.7,0.5,0.0,79.1,5.3,5275
7050009.01,7050009.01,33.6,3.9,1.5,2.1,16.4,0.0,2.4,4.4,0.0,0.0,0.2,50.1,16.1,4005
7050009.02,7050009.02,34.7,13.2,3.7,8.2,2.7,2.1,0.0,3.3,0.4,0.0,0.0,52.3,13.0,4740
7050010.00,7050010.00,34.7,10.9,0.0,6.2,9.1,0.0,2.1,3.4,1.4,0.0,0.0,50.0,15.3,2810
7050011.00,7050011.00,25.7,10.5,1.4,5.0,1.5,0.8,2.4,0.6,1.8,0.0,0.0,63.3,11.1,3565
7050012.00,7050012.00,16.5,6.0,1.4,3.4,1.0,1.5,0.6,1.6,0.0,0.0,0.0,70.3,13.2,4670
7050013.00,7050013.00,20.9,4.7,3.5,3.5,0.0,2.3,0.0,2.3,2.3,0.0,0.0,70.9,9.3,430
7050014.00,7050014.00,35.5,5.7,7.2,2.2,13.6,0.0,0.0,4.7,0.0,0.0,0.0,33.3,31.2,1395
7050015.00,7050015.00,25.6,5.2,0.9,5.4,7.9,0.7,0.0,2.7,0.0,0.0,0.0,56.1,18.3,2210
7050016.00,7050016.00,37.7,13.8,1.8,7.0,8.2,0.8,0.3,3.9,0.0,0.0,0.0,50.0,12.3,6480
7050017.00,7050017.00,21.1,5.3,1.2,4.4,5.8,0.0,0.0,2.1,0.0,0.0,0.0,52.1,26.6,2160
7050018.00,7050018.00,16.7,5.1,0.0,2.0,3.1,0.0,0.3,5.8,0.0,0.0,0.0,39.7,43.5,4840
7050019.00,7050019.00,20.3,2.2,0.7,2.9,9.2,0.0,0.2,3.2,0.0,0.0,0.0,51.6,28.2,4245
7050020.00,7050020.00,20.5,0.7,0.4,5.9,9.7,0.0,0.7,2.5,0.0,0.0,0.0,61.6,18.0,3415
7050021.00,7050021.00,14.4,0.6,0.9,2.2,7.1,0.0,1.3,1.5,0.0,0.0,0.0,67.0,18.5,2320
7050022.01,7050022.01,25.4,6.2,0.0,6.9,7.3,0.0,0.4,1.5,0.0,0.0,0.0,63.5,11.1,2260
7050022.02,7050022.02,14.6,1.4,0.0,3.0,6.8,0.0,0.9,1.4,0.0,0.0,0.0,70.2,15.2,4745
7050023.01,7050023.01,14.6,1.8,0.5,3.6,6.1,0.0,0.9,0.5,0.0,0.0,0.0,78.2,7.2,2775
7050023.02,7050023.02,30.0,9.7,0.5,5.8,10.6,0.3,0.8,1.8,0.0,0.0,0.0,58.8,11.2,3970
7050024.00,7050024.00,18.3,4.9,0.3,4.4,6.8,0.0,0.3,0.9,0.0,0.0,0.0,68.4,13.3,2865
7050025.01,7050025.01,36.3,10.0,0.0,7.3,12.4,2.2,1.3,1.6,0.0,0.0,0.0,47.6,16.1,4265
7050025.02,7050025.02,30.0,16.7,1.0,6.1,4.7,0.0,0.0,0.7,0.0,0.0,0.0,60.2,10.1,2965
7050026.00,7050026.00,24.8,6.1,0.4,3.4,10.3,0.8,1.3,1.7,0.0,0.0,0.0,59.7,15.3,3825
7050027.00,7050027.00,21.2,1.6,0.7,3.8,10.9,0.0,0.7,2.5,0.0,0.0,0.3,58.4,20.4,3450
7050028.01,7050028.01,19.7,5.0,1.4,2.8,5.4,2.2,1.0,0.0,1.4,0.0,0.0,69.9,10.7,2895
