ctuid,name,english,french,mandarin,punjabi,cantonese,spanish,arabic,tagalog,italian,vietnamese,portuguese,urdu,other,population
5350804.08,5350804.08,85.5,0.3,0.1,0.4,0.4,0.1,0.3,0.6,0.0,0.0,0.0,1.5,10.8,3610
5350804.10,5350804.10,86.9,0.5,0.4,0.0,0.3,0.9,0.4,0.9,0.4,0.0,0.2,0.7,8.4,4860
5350804.11,5350804.11,77.6,0.3,0.3,0.3,0.3,1.0,0.6,1.9,0.1,0.2,0.1,2.4,14.9,5895
5350804.12,5350804.12,67.2,0.5,0.7,0.6,0.8,0.5,0.6,1.1,0.1,0.1,0.2,5.9,21.7,8870
5350804.13,5350804.13,72.2,0.4,0.6,1.1,0.4,0.8,1.3,0.8,0.2,0.0,0.0,4.5,17.7,4930
5350805.04,5350805.04,83.5,0.8,1.2,0.0,0.6,0.6,0.7,0.7,0.0,0.0,0.2,1.2,10.5,8025
5350805.06,5350805.06,78.7,0.5,0.6,0.5,0.6,0.7,0.6,0.9,0.2,0.1,0.2,2.8,13.6,6155
5350805.09,5350805.09,72.7,0.8,0.9,0.9,0.5,0.3,1.1,1.2,0.0,0.2,0.4,2.9,18.1,5650
5350805.10,5350805.10,79.8,0.5,0.8,0.6,0.5,0.9,0.6,1.2,0.1,0.1,0.2,1.9,12.8,6465
5350805.16,5350805.16,65.3,0.5,1.3,1.9,0.3,0.1,0.3,0.9,0.1,0.1,0.1,4.4,24.7,7545
5350805.17,5350805.17,71.0,0.8,0.7,1.6,0.6,0.4,1.0,1.0,0.4,0.1,0.3,3.0,19.1,5570
5350805.18,5350805.18,80.6,0.5,0.8,0.5,0.5,1.0,0.7,1.2,0.0,0.0,0.0,1.3,12.9,3010
5350805.19,5350805.19,77.4,0.6,1.1,0.8,1.7,1.1,0.6,1.1,0.6,0.3,0.3,2.0,12.4,1790
5350805.20,5350805.20,75.7,0.6,0.6,0.1,0.3,0.7,0.7,1.9,0.1,0.1,0.2,2.9,16.1,4710
