geography,geo_level,year,group,count,share,source
Canada,national,2011,No religion / secular,7850605,23.9,2011 National Household Survey (voluntary)
Canada,national,2021,No religion / secular,12577475,34.62,2021 Census
Canada,national,1871,Other religions,69329,1.88,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1881,Other religions,77293,1.79,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1891,Other religions,95464,1.98,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1901,Other religions,121335,2.26,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1911,Other religions,174869,2.43,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1921,Other religions,189117,2.15,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1931,Other religions,215508,2.08,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1941,Other religions,217298,1.89,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1951,Other religions,228122,1.63,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1961,Other religions,435444,2.39,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1971,Other religions,526535,2.44,1871–1971 Censuses (StatCan Table 17-10-0073-01)
Canada,national,1981,Other religions,209975,0.87,"1981 Census (StatCan 95F0303X, Table 15)"
Canada,national,1991,Other religions,249745,0.93,"1991 Census (StatCan, major religious denominations)"
Canada,national,2001,Other religions,349070,1.18,"2001 Census (StatCan, major religious denominations)"
Canada,national,2011,Other religions,130835,0.4,2011 National Household Survey (voluntary)
Canada,national,2021,Other religions,229015,0.63,2021 Census
Canada,national,1981,Sikh,67655,0.28,"1981 Census (StatCan 95F0303X, Table 15)"
Canada,national,1991,Sikh,147440,0.55,"1991 Census (StatCan, major religious denominations)"
Canada,national,2001,Sikh,278415,0.94,"2001 Census (StatCan, major religious denominations)"
Canada,national,2011,Sikh,454965,1.38,2011 National Household Survey (voluntary)
Canada,national,2021,Sikh,771790,2.12,2021 Census
