ctuid,name,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,population
5350528.15,5350528.15,43.5,17.5,22.1,9.5,3.4,3.2,0.0,0.0,0.7,4205
5350528.16,5350528.16,37.8,14.5,29.8,9.6,4.4,3.7,0.0,0.0,0.2,5155
5350528.18,5350528.18,45.8,15.9,17.3,10.2,7.2,2.3,0.0,0.0,1.0,6635
5350528.19,5350528.19,41.2,17.1,19.8,13.1,3.9,4.4,0.0,0.0,0.3,5065
5350528.20,5350528.20,32.2,11.8,10.8,12.4,30.1,1.5,0.0,0.0,1.4,5735
5350528.21,5350528.21,33.0,10.2,7.4,24.4,22.2,1.7,0.0,0.0,0.9,4345
5350528.22,5350528.22,23.1,5.7,6.5,20.1,44.3,0.2,0.0,0.0,0.0,6180
5350528.24,5350528.24,34.4,18.8,21.5,14.3,6.4,4.2,0.0,0.0,0.3,4985
5350528.26,5350528.26,40.6,22.1,15.6,13.6,4.3,3.2,0.0,0.0,0.6,6780
5350528.31,5350528.31,33.2,7.1,3.9,15.7,37.3,2.2,0.2,0.0,0.0,6100
5350528.32,5350528.32,47.2,10.5,16.8,10.8,7.4,6.6,0.0,0.0,0.5,4195
5350528.33,5350528.33,45.0,12.0,22.1,10.2,7.1,2.5,0.0,0.0,1.2,6225
5350528.34,5350528.34,54.3,17.1,7.8,12.1,3.1,4.7,0.0,0.0,0.9,5805
5350528.35,5350528.35,49.8,16.3,14.0,12.2,2.4,5.0,0.0,0.0,0.0,3070
5350528.39,5350528.39,52.4,13.6,14.4,13.4,3.0,2.2,0.2,0.0,0.8,6895
5350528.40,5350528.40,50.2,11.2,14.4,13.5,6.2,4.1,0.0,0.0,0.3,6070
5350528.42,5350528.42,33.4,9.9,27.9,18.1,4.8,5.2,0.3,0.0,0.5,5030
5350528.43,5350528.43,38.8,15.1,25.9,14.7,1.5,3.2,0.2,0.0,0.7,4750
5350528.44,5350528.44,65.7,13.2,8.1,6.5,2.5,2.5,0.0,0.0,1.1,1780
5350528.45,5350528.45,46.4,15.2,19.3,11.3,1.6,5.3,0.3,0.0,0.7,5415
5350528.46,5350528.46,34.3,11.7,31.8,14.4,3.1,4.2,0.0,0.0,0.5,6860
5350528.47,5350528.47,49.7,13.9,19.8,10.4,1.8,3.3,0.0,0.0,0.7,5040
5350528.49,5350528.49,47.1,10.5,15.8,16.0,7.7,2.7,0.0,0.0,0.0,4565
5350528.50,5350528.50,15.0,6.0,1.6,24.4,51.8,1.4,0.0,0.0,0.0,3505
5350528.51,5350528.51,7.2,3.0,4.3,22.5,61.2,1.3,0.0,0.0,0.3,4290
5350528.52,5350528.52,27.5,6.4,16.2,19.0,28.2,1.8,0.0,0.0,0.8,6535
5350528.53,5350528.53,27.1,10.6,19.9,16.9,22.9,1.0,0.0,0.0,1.4,2510
5350528.54,5350528.54,19.8,8.4,18.9,32.4,17.6,2.6,0.0,0.0,0.0,2905
5350528.55,5350528.55,28.1,5.8,21.8,23.6,17.1,3.3,0.0,0.0,0.0,4790
5350528.56,5350528.56,40.3,18.3,20.3,9.7,7.9,3.0,0.0,0.0,0.0,3495
