ctuid,name,canadian_born,naturalized,non_citizens,npr,population
5220201.00,5220201.00,88.0,9.8,2.3,0.5,6605
5220202.00,5220202.00,94.1,4.2,1.6,0.0,3205
5220300.00,5220300.00,90.2,8.4,1.4,0.0,4225
5220301.00,5220301.00,96.3,2.7,0.7,0.0,1470
5220302.00,5220302.00,91.3,6.7,2.0,0.3,4470
5220303.00,5220303.00,92.8,5.2,1.9,0.0,3865
5220304.00,5220304.00,92.8,5.7,1.4,0.2,4755
5220400.00,5220400.00,92.5,6.0,1.7,0.0,2410
5220401.00,5220401.00,93.2,4.8,2.1,0.7,4840
5220402.00,5220402.00,96.0,4.0,0.0,0.0,250
5220403.00,5220403.00,88.2,9.4,2.4,0.2,4240
5220404.00,5220404.00,95.4,2.9,1.7,0.0,2065
5220406.00,5220406.00,93.6,5.6,0.7,0.0,4385
5220500.00,5220500.00,91.0,7.8,1.2,0.0,5725
5220501.00,5220501.00,93.2,5.6,1.2,0.0,3285
5220600.00,5220600.00,95.1,4.0,0.8,0.0,4535
5220700.00,5220700.00,92.6,4.9,2.6,0.2,4945
5430001.00,5430001.00,92.3,5.5,2.2,0.4,6930
5430002.01,5430002.01,87.9,8.4,3.6,0.4,5625
5430002.02,5430002.02,77.9,17.6,4.3,0.5,3125
5430002.04,5430002.04,75.1,18.0,7.0,1.2,6460
5430002.05,5430002.05,59.4,21.0,19.7,5.1,5315
5430002.06,5430002.06,84.9,13.3,1.8,0.0,830
5430003.00,5430003.00,86.2,8.1,5.6,1.5,5235
5430004.00,5430004.00,89.3,10.7,0.0,0.0,1025
5430005.00,5430005.00,88.8,5.2,5.9,2.8,3810
5430006.00,5430006.00,73.2,7.5,19.0,12.1,1605
5430007.00,5430007.00,84.7,7.7,7.7,3.0,3370
5430008.00,5430008.00,90.1,5.6,4.4,2.4,2970
5430009.00,5430009.00,82.0,13.4,4.7,1.3,5240
5430010.00,5430010.00,85.4,10.0,4.5,0.3,4760
5430011.01,5430011.01,70.1,20.7,9.0,1.2,4100
5430011.02,5430011.02,82.9,11.6,5.5,1.1,4190
5430011.03,5430011.03,84.2,13.8,2.1,0.0,4525
5430012.00,5430012.00,87.4,9.1,3.3,0.6,6290
5430013.00,5430013.00,90.0,8.7,1.4,0.2,4705
5430014.01,5430014.01,84.6,13.1,2.3,0.3,5485
5430014.02,5430014.02,84.8,11.9,3.3,0.5,6790
5430014.03,5430014.03,84.5,12.4,3.1,0.6,5760
5430014.04,5430014.04,84.2,11.4,4.4,0.4,4740
5430100.00,5430100.00,89.2,8.9,1.9,0.7,4270
5430101.00,5430101.00,89.8,8.7,1.3,0.0,3030
5430102.00,5430102.00,95.4,3.1,0.0,0.0,325
5430110.01,5430110.01,92.6,5.9,1.5,0.0,5955
5430110.02,5430110.02,87.6,10.3,2.2,0.7,6835
5430200.00,5430200.00,90.2,7.5,2.0,0.0,1740
5430201.00,5430201.00,85.4,11.4,3.3,0.4,9185
5430202.00,5430202.00,90.8,7.9,1.3,0.3,7675
8250001.01,8250001.01,80.3,13.4,6.2,0.5,5140
8250001.02,8250001.02,82.7,14.2,3.0,0.2,6085
