ctuid,name,population,share_0_14,share_15_64,share_65_plus,share_85_plus,median_age
9320001.00,9320001.00,3105,12.2,72.1,15.5,1.4,40.4
9320002.00,9320002.00,1225,12.7,69.4,18.0,1.6,42.8
9320003.00,9320003.00,7960,17.2,65.7,17.1,2.4,37.2
9320004.00,9320004.00,7590,19.0,65.5,15.5,2.3,36.8
9320005.01,9320005.01,4020,15.9,69.5,14.7,2.1,34.8
9320005.02,9320005.02,7530,10.9,49.3,39.8,12.2,56.4
9320006.00,9320006.00,7360,12.4,58.4,29.1,6.4,46.0
9320007.01,9320007.01,4140,12.4,60.1,27.5,5.0,46.4
9320007.02,9320007.02,5735,10.2,50.8,38.8,5.8,57.2
9320008.03,9320008.03,6405,19.7,66.5,13.8,1.2,34.8
9320008.04,9320008.04,6745,18.2,65.7,16.2,1.1,36.4
9320008.05,9320008.05,4815,18.6,68.3,13.1,0.8,35.2
9320008.06,9320008.06,3470,17.3,66.0,16.9,1.9,38.0
9320009.01,9320009.01,7150,18.0,64.5,17.3,1.4,38.4
9320009.02,9320009.02,5935,18.7,62.1,19.2,1.9,40.0
9320011.00,9320011.00,7360,20.9,66.5,12.7,1.0,38.0
9320012.01,9320012.01,5635,22.2,66.2,11.6,0.8,37.2
9320012.02,9320012.02,4485,22.2,65.6,12.3,0.6,38.0
9320013.01,9320013.01,120,20.8,66.7,12.5,0.0,32.4
9320013.02,9320013.02,3520,19.0,62.4,18.6,1.8,39.2
9320014.01,9320014.01,6770,18.1,64.2,17.8,2.0,41.6
9320014.02,9320014.02,5135,20.5,67.1,12.3,0.9,35.2
9320100.00,9320100.00,3405,19.1,69.3,11.6,1.0,37.2
9320101.00,9320101.00,2880,12.3,64.2,23.4,3.1,41.2
9320102.00,9320102.00,5385,16.0,72.4,11.6,1.0,35.2
9320103.00,9320103.00,1990,14.8,73.1,12.3,1.3,33.2
9320104.00,9320104.00,5340,18.7,68.0,13.3,0.9,38.0
9320105.00,9320105.00,4530,18.7,62.9,18.3,1.4,40.8
9320106.03,9320106.03,230,15.2,63.0,21.7,0.0,42.0
9320106.04,9320106.04,4705,17.5,66.7,15.7,1.1,42.0
9320106.05,9320106.05,4190,16.3,64.3,19.2,1.8,41.2
9320106.06,9320106.06,4980,23.8,65.0,11.2,0.6,36.8
9320200.00,9320200.00,3920,15.7,66.8,17.5,1.5,42.8
9320201.01,9320201.01,4820,19.6,65.6,14.8,1.2,38.8
9320201.02,9320201.02,4460,19.7,65.9,14.3,1.2,38.4
9320202.00,9320202.00,7925,19.9,63.1,17.0,2.3,39.6
9320203.00,9320203.00,3075,18.5,67.8,13.5,1.1,39.2
9320204.00,9320204.00,3790,17.9,62.7,19.4,1.6,42.8
9320205.00,9320205.00,8650,20.3,66.5,13.1,0.8,38.4
9320206.01,9320206.01,2830,15.5,68.9,15.5,1.1,46.4
9320206.02,9320206.02,330,9.1,65.2,27.3,1.5,56.8
9320207.00,9320207.00,2055,16.8,64.5,19.0,1.0,46.0
5680001.01,5680001.01,8090,15.3,62.5,22.2,4.8,46.4
5680001.02,5680001.02,6100,16.5,67.5,16.1,3.1,39.6
5680001.04,5680001.04,6210,20.5,70.9,8.6,0.8,36.0
5680001.05,5680001.05,4965,18.9,68.5,12.6,2.6,36.8
5680001.06,5680001.06,845,18.3,63.3,18.9,0.6,46.0
5680001.07,5680001.07,8200,25.5,66.4,8.0,0.5,35.2
5680002.00,5680002.00,1330,13.5,63.9,22.6,5.3,42.8
5680003.00,5680003.00,2365,18.8,67.4,13.5,0.8,37.2
5680004.01,5680004.01,4780,17.2,72.4,10.5,0.9,38.0
5680004.03,5680004.03,3670,19.5,71.7,8.9,0.8,35.6
5680004.04,5680004.04,5975,17.2,70.5,12.3,0.9,38.8
5680004.05,5680004.05,6375,18.0,68.1,13.8,1.2,38.4
5680004.06,5680004.06,6280,19.9,72.4,7.9,0.5,36.4
5680004.07,5680004.07,3610,19.9,66.8,13.3,3.9,36.4
5680005.00,5680005.00,7035,15.4,64.2,20.5,3.7,42.8
5680006.00,5680006.00,4165,5.4,55.8,38.8,6.1,58.8
5680007.00,5680007.00,3660,11.1,65.8,23.2,5.3,44.0
5680008.00,5680008.00,5945,18.3,69.0,12.8,1.1,38.0
5680009.00,5680009.00,6070,16.6,70.1,13.3,1.0,38.0
5680010.00,5680010.00,4220,15.8,61.1,23.1,7.2,42.4
5680011.01,5680011.01,7480,16.4,63.3,20.3,3.8,41.6
5680011.02,5680011.02,2310,17.5,63.2,19.5,1.9,41.6
5680012.01,5680012.01,3130,17.9,67.4,14.9,1.3,37.2
5680012.02,5680012.02,6005,16.8,70.3,12.8,1.2,36.4
5680013.00,5680013.00,6715,11.7,65.8,22.4,3.5,43.2
5680014.00,5680014.00,5065,12.1,63.3,24.6,3.9,47.2
5680015.01,5680015.01,4100,18.2,75.6,6.2,0.4,30.4
5680015.02,5680015.02,2455,13.4,67.6,18.7,4.3,34.4
5680015.03,5680015.03,3895,14.4,73.2,12.5,1.3,34.8
5680016.00,5680016.00,5560,14.5,67.8,17.7,2.8,40.0
5680100.00,5680100.00,5520,16.7,69.1,14.1,0.8,40.4
5680101.00,5680101.00,5620,16.1,66.1,17.9,1.1,44.8
5680102.01,5680102.01,3080,12.5,68.2,19.2,1.5,49.6
5680102.02,5680102.02,305,11.5,65.6,23.0,3.3,47.2
5680102.03,5680102.03,2630,15.6,68.1,16.2,1.3,43.6
5680102.04,5680102.04,925,19.5,71.9,8.6,1.1,31.8
5680103.03,5680103.03,715,15.4,69.9,14.7,0.7,40.8
5680103.04,5680103.04,3305,23.0,69.0,8.0,0.5,34.4
5680103.05,5680103.05,4145,15.4,70.9,13.8,1.1,42.8
5680103.06,5680103.06,6880,24.2,66.1,9.7,0.6,35.6
5680103.07,5680103.07,3870,24.7,66.0,9.3,0.8,35.2
5680103.08,5680103.08,3705,13.6,67.5,18.8,2.8,46.4
5680104.00,5680104.00,3860,7.5,45.7,46.9,6.5,63.6
5680200.00,5680200.00,5130,18.3,64.8,16.9,1.1,44.0
5680201.00,5680201.00,8380,18.7,66.9,14.3,0.7,42.0
5680202.01,5680202.01,5530,17.0,65.3,17.8,1.2,44.4
5680202.02,5680202.02,2655,17.1,60.6,22.4,2.8,42.4
5220001.00,5220001.00,1365,15.4,58.6,25.6,1.8,46.4
5220002.00,5220002.00,3090,15.2,55.0,29.8,4.5,50.0
5220003.00,5220003.00,2260,9.5,63.1,27.2,2.9,50.4
5220004.00,5220004.00,4290,11.7,60.3,28.3,4.0,50.4
5220005.00,5220005.00,1310,8.4,61.5,30.2,6.1,50.8
5220006.00,5220006.00,6040,13.7,69.0,17.4,2.0,40.0
5220007.00,5220007.00,7610,13.9,57.0,29.2,7.0,48.8
5220008.00,5220008.00,3270,19.9,65.1,15.0,1.2,37.2
5220009.00,5220009.00,2345,13.6,59.5,26.9,2.8,50.4
5220011.00,5220011.00,4010,15.8,63.2,21.1,2.4,42.8
5220012.00,5220012.00,7170,14.2,60.6,25.1,5.6,45.2
5220015.00,5220015.00,80,12.5,56.3,25.0,6.3,44.0
5220200.00,5220200.00,2375,15.6,62.5,21.7,1.7,48.0
5220201.00,5220201.00,6650,19.5,60.7,19.8,1.8,42.4
5220202.00,5220202.00,3165,16.7,63.5,19.4,0.9,45.6
5220300.00,5220300.00,4235,11.8,55.5,32.7,3.5,56.0
5220301.00,5220301.00,1630,30.4,69.3,0.3,0.0,28.0
5220302.00,5220302.00,4590,14.7,64.1,21.2,1.5,46.4
5220303.00,5220303.00,3860,15.9,62.6,21.5,1.7,48.8
5220304.00,5220304.00,4775,16.0,62.6,21.4,1.6,46.8
5220400.00,5220400.00,2485,17.1,59.6,23.5,4.2,44.0
5220401.00,5220401.00,5080,15.1,61.9,23.1,4.5,44.0
5220402.00,5220402.00,255,7.8,51.0,43.1,7.8,62.0
5220403.00,5220403.00,4100,14.9,56.2,29.0,4.0,49.6
5220404.00,5220404.00,2045,18.3,65.5,16.1,1.2,40.4
5220406.00,5220406.00,4275,15.9,64.6,19.4,2.1,42.0
5220500.00,5220500.00,5915,15.0,64.1,21.1,1.4,48.0
5220501.00,5220501.00,3310,16.8,63.3,19.9,1.2,46.4
5220600.00,5220600.00,4540,18.4,65.3,16.4,1.3,42.4
5220700.00,5220700.00,5015,16.9,60.5,22.5,2.5,46.4
5430001.00,5430001.00,6865,17.0,68.2,14.8,1.3,39.2
5430002.01,5430002.01,5815,15.3,60.4,24.3,3.0,44.4
5430002.02,5430002.02,3255,19.8,67.6,12.4,0.8,39.2
5430002.04,5430002.04,6480,23.1,64.9,12.0,2.5,35.6
5430002.05,5430002.05,5340,31.0,64.0,5.1,0.2,29.8
5430002.06,5430002.06,815,15.3,63.2,22.1,4.3,48.0
5430003.00,5430003.00,5235,15.2,67.1,17.8,2.4,40.8
5430004.00,5430004.00,930,13.4,58.1,29.0,2.2,53.2
5430005.00,5430005.00,4030,15.5,70.8,13.6,1.0,36.8
5430006.00,5430006.00,1865,9.1,73.7,17.4,4.3,34.0
5430007.00,5430007.00,3435,15.0,72.9,12.1,1.6,36.0
5430008.00,5430008.00,3000,14.0,70.3,15.7,1.0,40.0
5430009.00,5430009.00,5485,14.7,58.6,26.7,4.5,46.0
5430010.00,5430010.00,4760,17.6,68.0,14.3,1.1,37.2
5430011.01,5430011.01,4405,23.3,63.3,13.3,1.8,36.8
5430011.02,5430011.02,4005,17.5,63.2,19.4,2.1,40.8
5430011.03,5430011.03,4540,18.5,66.2,15.5,1.1,39.2
5430012.00,5430012.00,6315,14.6,63.2,22.2,2.7,44.0
5430013.00,5430013.00,4840,15.7,62.1,22.2,2.8,46.0
5430014.01,5430014.01,5420,13.5,64.2,22.3,2.6,47.6
5430014.02,5430014.02,7005,14.3,57.2,28.6,6.1,48.4
5430014.03,5430014.03,5825,14.4,57.2,28.4,5.2,48.4
5430014.04,5430014.04,4730,17.8,57.7,24.4,2.1,43.2
5430100.00,5430100.00,4295,19.9,62.9,17.3,1.0,42.4
5430101.00,5430101.00,3065,15.8,62.8,21.2,2.8,45.2
5430102.00,5430102.00,285,12.3,66.7,21.1,3.5,51.2
5430110.01,5430110.01,6330,15.2,60.9,23.9,5.5,45.6
5430110.02,5430110.02,6925,17.3,62.0,20.7,2.1,42.4
5430200.00,5430200.00,1820,16.5,64.6,19.2,1.1,46.0
5430201.00,5430201.00,9275,17.3,62.8,19.9,1.9,44.0
5430202.00,5430202.00,7765,16.9,63.7,19.4,1.7,45.2
8250001.01,8250001.01,5000,15.0,67.8,17.2,1.2,40.8
8250001.02,8250001.02,6260,15.0,57.3,27.8,4.3,48.8
8250001.03,8250001.03,2040,16.7,63.5,20.1,2.2,44.4
8250001.04,8250001.04,5550,15.1,66.9,17.8,1.1,43.2
8250001.05,8250001.05,2855,20.7,57.1,22.1,1.9,44.0
8250001.06,8250001.06,3650,15.2,57.3,27.4,1.8,50.8
8250001.07,8250001.07,5895,17.9,64.6,17.5,2.4,41.2
8250001.08,8250001.08,5135,15.7,61.0,23.5,4.4,43.2
8250001.09,8250001.09,5895,18.7,60.5,20.9,1.3,42.8
8250001.10,8250001.10,2670,15.0,62.0,22.8,0.7,46.0
8250001.11,8250001.11,4860,14.4,63.3,22.4,5.6,45.2
8250001.13,8250001.13,4475,17.2,67.4,15.4,0.7,41.6
8250001.14,8250001.14,2450,15.3,62.9,21.8,1.8,46.4
8250001.17,8250001.17,4270,15.5,59.8,24.8,1.1,49.2
8250001.22,8250001.22,4075,16.6,66.0,17.4,0.7,46.4
8250001.23,8250001.23,3085,19.4,65.5,15.1,0.5,42.0
8250001.25,8250001.25,6755,16.4,67.4,16.1,2.4,42.0
8250001.28,8250001.28,4155,16.7,71.0,12.3,0.6,39.2
8250001.29,8250001.29,4450,13.7,68.2,18.1,2.1,46.0
8250001.30,8250001.30,6245,17.1,72.9,10.0,0.6,40.4
8250001.32,8250001.32,5580,20.3,69.7,10.1,0.7,39.6
8250001.33,8250001.33,3040,18.8,74.7,6.6,0.5,38.8
8250001.35,8250001.35,4585,23.7,71.2,5.1,0.1,35.6
8250001.37,8250001.37,4665,19.9,65.8,14.3,2.8,39.6
8250001.38,8250001.38,5640,19.7,73.0,7.2,0.4,36.8
8250001.39,8250001.39,6910,21.5,68.6,9.9,0.5,37.2
8250001.40,8250001.40,2170,12.4,66.4,21.4,3.5,42.4
8250001.41,8250001.41,2730,22.5,71.1,6.4,0.4,37.6
8250001.42,8250001.42,6935,23.6,70.7,5.8,0.1,34.8
8250001.43,8250001.43,5035,22.9,70.8,6.4,0.3,38.0
8250001.44,8250001.44,2665,22.3,70.2,7.1,0.4,39.6
8250001.45,8250001.45,3895,23.6,66.6,9.9,0.4,37.6
8250001.46,8250001.46,4800,23.1,70.9,5.9,0.9,34.8
8250001.47,8250001.47,3390,21.1,73.6,5.3,0.1,32.8
8250001.48,8250001.48,7975,22.2,71.6,6.3,0.1,32.8
8250001.49,8250001.49,4300,12.3,59.1,28.7,2.2,52.8
8250001.50,8250001.50,2160,10.4,59.3,30.3,7.9,53.2
8250002.02,8250002.02,7245,20.4,70.1,9.5,0.4,38.0
8250002.04,8250002.04,750,7.3,74.0,19.3,2.7,46.8
8250002.06,8250002.06,3830,13.3,63.1,23.6,1.4,50.8
8250002.07,8250002.07,4680,12.8,68.3,18.9,1.2,47.6
8250002.08,8250002.08,4345,14.7,73.3,12.1,0.7,42.0
8250002.09,8250002.09,3625,17.4,72.3,10.3,0.4,39.2
8250002.10,8250002.10,4005,21.2,67.4,11.1,0.2,38.8
8250002.11,8250002.11,3775,14.4,67.8,17.7,0.9,48.0
8250002.12,8250002.12,1890,16.9,74.6,8.7,0.3,40.8
8250002.14,8250002.14,4785,14.7,73.6,11.7,0.5,40.4
8250002.15,8250002.15,4275,15.9,68.0,16.1,0.8,42.4
8250002.17,8250002.17,2525,15.0,59.6,25.5,7.1,45.6
8250002.18,8250002.18,6690,22.9,69.8,7.2,0.3,36.0
8250002.22,8250002.22,5060,20.1,66.5,13.4,0.6,40.0
8250002.24,8250002.24,3930,19.2,72.3,8.5,0.5,36.0
8250002.25,8250002.25,4615,21.3,69.2,9.2,0.5,37.6
8250002.26,8250002.26,3595,29.5,66.8,3.6,0.3,34.0
8250002.27,8250002.27,4215,27.2,68.0,5.1,0.1,35.6
8250002.28,8250002.28,5230,24.3,71.5,4.3,0.0,34.0
8250002.29,8250002.29,4470,25.1,70.4,4.5,0.2,33.2
8250002.30,8250002.30,5100,24.9,70.8,4.3,0.2,34.4
8250002.31,8250002.31,4380,25.6,70.5,3.9,0.1,32.4
8250002.32,8250002.32,3495,27.8,68.5,3.7,0.0,34.0
8250002.33,8250002.33,2940,34.5,61.4,4.3,0.2,34.0
8250002.34,8250002.34,5010,33.0,63.4,3.6,0.1,35.2
8250002.35,8250002.35,3405,22.3,69.5,8.2,0.4,34.0
8250002.36,8250002.36,3445,21.9,67.9,10.2,2.9,34.0
8250002.37,8250002.37,3320,29.2,66.9,3.9,0.0,34.4
8250002.38,8250002.38,14185,25.1,65.6,9.3,1.3,34.0
8250002.39,8250002.39,6665,25.0,67.6,7.3,0.4,36.0
8250002.40,8250002.40,9200,25.2,67.0,7.8,0.1,36.0
8250003.00,8250003.00,3295,14.0,63.6,22.3,3.0,48.0
8250004.00,8250004.00,3085,14.9,59.2,25.9,3.6,48.8
8250005.00,8250005.00,2105,16.2,64.8,18.8,2.1,41.6
8250006.00,8250006.00,6090,15.5,70.5,14.0,2.1,39.6
8250007.01,8250007.01,5705,14.6,67.0,18.5,1.5,42.0
8250007.02,8250007.02,5940,15.8,64.9,19.3,1.6,42.0
8250007.03,8250007.03,5620,16.9,58.4,24.7,1.7,46.4
8250007.05,8250007.05,670,16.4,53.7,29.1,5.2,51.6
8250007.06,8250007.06,3400,12.1,55.1,32.6,5.1,50.0
8250007.07,8250007.07,1590,11.9,44.7,43.4,13.2,60.4
8250008.00,8250008.00,2850,16.7,66.0,17.5,1.8,42.4
8250009.00,8250009.00,2500,13.6,70.2,16.2,1.8,41.2
8250010.00,8250010.00,7205,10.7,70.0,19.4,3.7,41.6
8250011.00,8250011.00,3185,14.1,68.0,17.9,3.0,44.0
8250012.00,8250012.00,3905,15.5,70.0,14.6,2.9,39.6
8250013.00,8250013.00,4700,14.3,73.7,12.0,1.9,37.6
8250014.00,8250014.00,5005,14.2,57.7,28.0,8.8,49.6
8250015.00,8250015.00,3540,19.4,62.3,18.4,3.1,42.4
8250016.00,8250016.00,4545,18.6,62.3,19.3,3.0,42.8
8250017.01,8250017.01,5135,17.2,65.0,17.7,4.1,39.2
8250017.03,8250017.03,3485,14.8,69.6,15.5,1.9,39.2
8250017.04,8250017.04,4515,12.1,61.5,26.4,4.2,51.6
8250017.05,8250017.05,3540,13.3,64.5,22.2,2.7,47.6
8250017.06,8250017.06,5240,15.0,63.5,21.6,3.2,48.4
8250018.01,8250018.01,2995,16.0,66.8,17.2,3.0,41.2
8250018.02,8250018.02,2125,16.5,63.5,20.0,2.6,43.2
8250019.00,8250019.00,5050,17.0,71.4,11.7,1.3,37.6
8250020.00,8250020.00,5165,17.0,73.4,9.5,1.2,36.0
8250021.01,8250021.01,2775,17.8,73.0,9.2,0.7,36.0
8250021.02,8250021.02,1945,16.5,71.7,11.6,1.3,37.6
8250022.01,8250022.01,5065,16.4,62.3,21.3,6.7,43.2
8250022.02,8250022.02,3290,16.9,65.0,18.1,5.2,38.0
8250023.00,8250023.00,5240,24.5,67.0,8.7,1.0,38.4
8250024.00,8250024.00,7130,13.8,77.1,9.0,0.9,35.2
8250025.00,8250025.00,5355,12.8,77.6,9.7,0.5,36.0
8250026.00,8250026.00,3395,9.9,82.9,7.2,0.4,33.6
8250027.01,8250027.01,3135,6.1,84.5,9.6,1.0,34.0
8250027.02,8250027.02,1760,12.8,67.3,19.6,0.9,45.6
8250027.03,8250027.03,1770,5.4,85.0,9.6,0.8,34.4
8250028.00,8250028.00,4035,17.8,62.6,19.6,2.0,45.6
8250029.00,8250029.00,7160,13.5,69.4,17.0,2.5,41.2
8250030.00,8250030.00,4875,11.4,76.3,12.3,0.5,36.4
8250031.01,8250031.01,5245,5.1,87.6,7.3,0.6,32.8
8250031.02,8250031.02,4560,5.0,80.3,14.7,3.1,34.8
8250032.00,8250032.00,2215,14.9,74.5,10.6,0.9,37.6
8250033.01,8250033.01,3165,12.8,69.4,17.7,1.1,42.4
8250033.02,8250033.02,5315,14.5,68.9,16.7,2.1,42.0
8250034.00,8250034.00,4380,11.2,77.1,11.6,0.8,38.4
8250035.01,8250035.01,6900,14.3,64.9,20.9,1.7,44.4
8250035.02,8250035.02,1680,8.9,69.3,21.7,2.4,48.8
8250036.01,8250036.01,3540,15.7,70.5,14.0,0.8,40.8
8250036.02,8250036.02,3365,14.3,71.6,14.3,1.9,42.4
8250037.00,8250037.00,4150,20.2,70.2,9.4,0.8,36.4
8250038.02,8250038.02,3815,17.7,66.3,16.1,0.7,40.4
8250038.03,8250038.03,4195,19.1,64.2,16.7,1.4,40.0
8250038.04,8250038.04,6120,18.0,67.6,14.5,2.0,40.4
8250038.05,8250038.05,4730,18.1,67.5,14.3,1.2,40.0
8250038.06,8250038.06,6560,19.9,68.1,12.1,0.7,38.8
8250038.07,8250038.07,4560,18.9,66.6,14.7,0.8,39.2
8250038.08,8250038.08,4740,17.3,66.2,16.6,0.9,40.8
8250038.10,8250038.10,5365,18.5,65.5,15.9,1.2,38.8
8250038.11,8250038.11,5185,20.3,66.3,13.4,1.0,36.4
8250038.12,8250038.12,5060,19.3,63.0,17.6,1.7,40.0
8250038.13,8250038.13,5250,19.4,64.9,15.7,0.7,37.6
8250038.14,8250038.14,5640,21.3,65.2,13.6,0.9,37.2
8250038.15,8250038.15,6020,18.3,65.4,16.4,2.2,39.2
8250038.17,8250038.17,6040,23.3,66.6,10.1,0.4,35.2
8250038.18,8250038.18,6130,19.7,69.2,10.9,0.7,36.0
8250038.20,8250038.20,6835,16.8,72.3,10.9,0.6,38.8
8250038.21,8250038.21,5270,15.6,70.0,14.5,1.1,42.0
8250038.22,8250038.22,4560,12.6,63.5,23.8,2.1,48.4
8250038.23,8250038.23,5005,21.2,64.9,13.8,0.7,37.2
8250038.24,8250038.24,5810,19.3,69.1,11.6,1.2,37.6
8250038.25,8250038.25,4910,19.2,65.3,15.5,0.7,38.8
8250038.27,8250038.27,5715,14.7,68.3,17.0,1.3,40.8
8250038.28,8250038.28,4180,23.8,67.9,8.3,0.5,33.2
8250038.30,8250038.30,5415,21.1,70.1,8.8,0.4,34.8
8250038.35,8250038.35,10065,28.0,67.3,4.7,0.3,31.0
8250038.36,8250038.36,13230,25.2,67.5,7.4,1.7,32.0
8250038.37,8250038.37,6645,22.9,72.8,4.1,0.2,31.6
8250038.38,8250038.38,7410,23.8,69.2,7.2,0.7,32.8
8250038.39,8250038.39,3650,22.5,68.5,9.0,0.4,32.8
8250038.40,8250038.40,4670,22.7,69.2,8.0,0.5,32.4
8250038.41,8250038.41,3860,26.3,68.1,5.6,0.1,31.4
8250038.42,8250038.42,3675,21.1,69.5,9.5,0.3,34.0
8250038.43,8250038.43,4970,22.4,70.4,7.2,0.5,32.8
8250038.44,8250038.44,4270,24.1,69.2,6.8,0.4,31.6
8250038.45,8250038.45,4270,22.1,69.0,9.0,0.7,34.0
8250038.46,8250038.46,4210,25.2,68.1,6.8,0.1,32.4
8250038.47,8250038.47,4985,22.8,69.2,8.0,0.4,33.2
8250038.48,8250038.48,4530,20.2,72.0,7.9,0.4,34.4
8250038.49,8250038.49,4520,20.7,69.8,9.4,0.4,34.4
8250039.00,8250039.00,6755,17.0,71.6,11.3,1.2,36.8
8250040.00,8250040.00,5940,16.8,67.8,15.3,1.9,39.6
8250041.00,8250041.00,6860,11.4,67.9,20.8,6.3,38.8
8250042.01,8250042.01,5345,4.6,73.2,22.3,3.1,40.4
8250042.02,8250042.02,980,4.6,88.8,6.6,0.0,33.2
8250043.00,8250043.00,7565,7.1,73.0,19.8,3.9,37.2
8250044.00,8250044.00,9320,4.3,88.4,7.3,0.8,32.4
8250045.01,8250045.01,3470,8.6,83.9,7.6,0.4,34.0
8250045.02,8250045.02,6250,6.1,83.5,10.5,1.1,34.0
8250046.01,8250046.01,7335,10.2,82.2,7.6,0.6,33.2
8250046.02,8250046.02,4580,12.3,79.5,8.2,0.7,35.2
8250047.00,8250047.00,5300,15.8,74.3,9.9,1.2,35.2
8250048.00,8250048.00,6320,16.5,65.8,17.6,3.2,39.2
8250049.01,8250049.01,4195,17.4,65.3,17.4,2.5,42.8
8250049.04,8250049.04,3380,15.1,62.6,22.5,1.8,44.8
8250049.05,8250049.05,4170,11.4,63.3,25.2,2.8,48.8
8250049.06,8250049.06,4260,17.8,61.2,20.9,1.8,43.6
8250049.07,8250049.07,2080,12.0,57.0,31.0,7.7,52.8
8250050.01,8250050.01,4000,15.5,66.9,17.5,3.5,39.2
8250050.07,8250050.07,3105,12.6,67.1,20.5,1.3,45.2
8250050.10,8250050.10,8060,24.3,67.5,8.3,0.5,37.6
8250050.12,8250050.12,6600,20.5,67.5,12.0,0.8,42.0
8250050.13,8250050.13,3315,24.4,66.5,8.9,0.6,37.6
8250050.14,8250050.14,4255,16.3,69.9,13.6,0.8,44.8
8250050.15,8250050.15,3575,27.7,66.0,6.2,0.3,36.8
8250050.16,8250050.16,5570,24.4,68.3,7.3,1.6,37.6
8250050.17,8250050.17,5430,15.8,64.9,19.2,2.1,47.2
8250050.18,8250050.18,2355,21.9,70.3,7.9,0.2,38.4
8250050.19,8250050.19,7035,26.1,68.0,5.9,0.1,37.2
8250050.20,8250050.20,65,7.7,69.2,15.4,0.0,36.0
8250050.21,8250050.21,2335,20.6,69.4,10.1,0.9,40.4
8250050.22,8250050.22,4040,25.0,68.6,6.4,0.4,38.4
8250051.00,8250051.00,5030,14.2,70.4,15.4,1.2,40.4
8250052.01,8250052.01,3870,16.3,61.4,22.4,1.6,46.0
8250052.02,8250052.02,3545,18.1,61.5,20.3,1.1,42.8
8250052.03,8250052.03,3625,14.5,53.8,31.7,3.3,51.6
8250052.04,8250052.04,4615,13.3,59.4,27.2,6.8,44.4
8250052.06,8250052.06,3935,12.7,60.9,26.7,2.0,52.8
8250052.07,8250052.07,4085,14.1,63.3,22.6,5.4,48.0
8250052.09,8250052.09,6045,25.2,70.1,4.8,0.1,35.6
8250052.10,8250052.10,4810,19.4,66.8,13.7,1.6,38.8
8250052.11,8250052.11,5090,23.1,67.9,8.9,0.4,39.2
8250052.12,8250052.12,4050,23.3,68.0,8.8,0.2,39.6
8250053.00,8250053.00,6080,13.2,62.3,24.5,7.6,43.2
8250054.00,8250054.00,3870,17.2,67.8,14.9,1.3,39.2
8250055.00,8250055.00,3130,13.7,60.5,25.6,10.5,47.2
8250056.00,8250056.00,5735,16.1,72.7,11.2,0.6,37.6
8250057.00,8250057.00,6020,16.0,67.4,16.5,3.0,38.4
8250058.00,8250058.00,6610,12.0,75.6,12.6,0.8,37.2
8250059.00,8250059.00,6875,10.2,76.9,12.9,2.4,37.6
8250060.00,8250060.00,5085,15.1,75.2,9.6,1.0,37.2
8250061.00,8250061.00,3270,20.3,62.1,17.7,2.3,39.6
8250062.00,8250062.00,5450,14.6,73.5,12.0,1.2,37.6
8250063.00,8250063.00,4800,17.6,72.6,9.8,0.9,37.2
8250064.00,8250064.00,6135,16.1,72.6,11.3,1.2,36.8
8250065.00,8250065.00,3830,13.1,76.9,10.2,1.3,32.8
8250066.02,8250066.02,5420,12.7,69.0,18.3,3.6,36.4
8250066.03,8250066.03,4030,15.4,71.5,13.3,2.1,31.8
8250066.04,8250066.04,340,4.4,94.1,2.9,0.0,21.6
8250067.00,8250067.00,3295,10.6,77.1,12.4,2.3,31.0
8250068.00,8250068.00,2745,17.1,64.5,18.6,4.0,41.2
8250069.00,8250069.00,2210,17.0,66.1,17.0,2.7,42.4
8250070.00,8250070.00,2335,15.4,65.5,19.1,2.8,41.6
8250071.00,8250071.00,3145,17.5,68.5,13.8,2.1,39.2
8250072.00,8250072.00,6365,15.9,71.5,12.6,3.1,38.0
8250073.00,8250073.00,2435,10.7,72.3,17.2,2.3,40.4
8250074.00,8250074.00,3470,17.4,67.4,15.3,2.7,40.0
8250075.01,8250075.01,3015,16.1,69.8,14.3,2.3,40.8
8250075.02,8250075.02,4245,17.6,70.3,12.2,1.3,37.6
8250076.01,8250076.01,2790,17.2,63.8,19.0,2.3,42.0
8250076.02,8250076.02,3230,15.9,63.2,20.9,4.6,42.0
8250076.03,8250076.03,4335,16.1,59.2,24.7,3.6,45.2
8250076.04,8250076.04,3910,17.1,67.1,15.9,1.4,40.4
8250076.05,8250076.05,3255,17.5,66.2,16.3,1.5,40.0
8250076.06,8250076.06,4385,19.3,65.7,14.9,1.1,38.4
8250076.09,8250076.09,4795,17.7,67.2,15.1,1.4,39.6
8250076.13,8250076.13,7715,17.2,72.3,10.5,0.5,38.8
8250076.14,8250076.14,5815,14.3,64.7,21.1,1.8,46.8
8250076.15,8250076.15,2155,17.4,67.5,15.1,0.7,40.8
8250076.19,8250076.19,3315,13.7,69.1,17.0,1.1,46.0
8250076.20,8250076.20,3700,16.4,67.7,15.9,1.6,42.0
8250076.23,8250076.23,4630,23.2,71.3,5.6,0.3,36.0
8250076.24,8250076.24,5500,20.2,72.3,7.6,0.5,37.2
8250076.25,8250076.25,3850,27.5,67.5,4.8,0.1,34.0
8250076.26,8250076.26,7335,27.3,64.9,7.7,2.4,34.0
8250076.27,8250076.27,4315,26.9,67.9,5.2,0.2,34.8
8250076.28,8250076.28,3715,29.1,62.9,7.9,2.7,34.8
8250076.29,8250076.29,2920,25.7,70.2,4.1,0.3,32.4
8250076.30,8250076.30,7250,24.1,68.1,7.8,0.4,35.6
