ctuid,name,population,share_0_14,share_15_64,share_65_plus,share_85_plus,median_age
4620203.00,4620203.00,2800,15.2,71.6,13.2,1.4,40.0
4620204.00,4620204.00,2665,14.8,73.0,12.2,1.3,38.8
4620205.00,4620205.00,2095,14.1,73.3,12.9,1.2,40.0
4620206.00,4620206.00,2530,13.0,71.3,15.6,1.6,40.0
4620207.00,4620207.00,3380,13.6,72.2,14.2,2.4,37.6
4620208.00,4620208.00,2500,13.0,75.4,11.6,1.2,36.8
4620209.00,4620209.00,6035,13.2,72.2,14.6,1.6,37.2
4620210.00,4620210.00,4165,10.8,79.6,9.6,0.7,34.0
4620211.00,4620211.00,2245,10.9,78.2,10.9,0.7,35.2
4620212.00,4620212.00,2520,13.5,77.6,9.1,1.0,35.2
4620213.00,4620213.00,2585,14.7,72.9,12.4,3.3,36.0
4620214.00,4620214.00,2765,11.8,77.4,10.8,1.1,33.6
4620215.00,4620215.00,3010,12.5,74.1,13.5,1.8,36.8
4620216.00,4620216.00,2200,11.4,82.0,6.4,0.2,33.6
4620217.00,4620217.00,2520,11.1,77.4,11.3,1.2,36.8
4620218.00,4620218.00,2875,9.2,81.2,9.6,1.2,34.4
4620219.00,4620219.00,2830,8.7,80.6,10.8,1.2,35.6
4620220.00,4620220.00,5685,12.8,70.7,16.6,4.0,37.6
4620221.00,4620221.00,6145,15.1,69.7,15.3,2.8,37.2
4620222.00,4620222.00,3775,16.6,67.2,16.2,2.1,37.2
4620223.01,4620223.01,4050,17.7,70.2,12.1,1.2,34.8
4620223.02,4620223.02,3350,17.0,69.3,14.0,2.2,36.8
4620224.00,4620224.00,6055,17.1,67.1,15.8,2.6,37.6
4620225.00,4620225.00,1410,14.2,69.5,16.3,2.8,39.2
4620226.00,4620226.00,2950,11.7,78.3,10.2,1.2,34.8
4620227.00,4620227.00,1560,16.7,74.4,9.0,1.0,35.2
4620228.00,4620228.00,1630,13.8,71.5,15.0,4.3,36.4
4620230.00,4620230.00,1855,14.6,74.4,11.1,1.1,36.0
4620231.00,4620231.00,1610,14.6,76.1,9.0,1.2,36.0
4620232.00,4620232.00,4675,11.6,75.7,12.7,0.7,38.0
4620233.00,4620233.00,2015,8.9,78.7,12.2,2.7,32.8
4620234.00,4620234.00,2145,11.7,70.4,17.7,1.9,36.4
4620235.00,4620235.00,1870,11.8,79.4,9.1,1.1,33.6
4620236.00,4620236.00,1775,13.0,73.8,13.0,1.1,34.4
4620237.00,4620237.00,3420,12.7,77.5,9.8,0.4,34.4
4620238.00,4620238.00,2340,15.4,74.6,9.8,1.1,34.8
4620239.00,4620239.00,4610,14.3,75.6,10.1,1.0,34.8
4620240.00,4620240.00,3120,15.7,68.9,15.4,2.6,38.8
4620241.00,4620241.00,2795,16.6,70.5,12.7,2.1,36.0
4620242.00,4620242.00,6080,14.0,72.6,13.4,1.7,36.0
4620243.00,4620243.00,3675,14.4,73.3,12.4,1.6,35.2
4620244.00,4620244.00,2065,13.6,74.6,11.9,1.0,35.2
4620245.00,4620245.00,2885,13.7,74.4,12.1,1.2,34.8
4620247.00,4620247.00,2150,13.5,77.7,8.8,0.9,35.2
4620249.00,4620249.00,4190,14.0,70.4,15.8,2.1,39.2
4620250.00,4620250.00,3990,14.9,69.9,15.0,2.4,38.8
4620251.01,4620251.01,3670,14.0,59.0,27.1,8.4,44.4
4620251.02,4620251.02,2645,14.4,72.8,12.9,1.7,38.4
4620252.00,4620252.00,5185,17.1,69.7,13.3,2.0,38.4
4620253.00,4620253.00,3595,18.8,70.9,10.3,1.9,35.6
4620254.00,4620254.00,4030,16.1,68.1,15.6,2.1,40.4
4620256.00,4620256.00,3875,18.3,68.5,13.2,1.3,37.6
4620257.00,4620257.00,4500,20.0,63.9,16.1,2.0,37.2
4620258.00,4620258.00,5315,27.8,63.3,8.8,1.0,32.8
4620259.00,4620259.00,6350,23.6,65.9,10.6,1.0,34.4
4620260.00,4620260.00,2340,19.7,67.5,12.8,1.5,37.2
4620261.00,4620261.00,2860,20.3,65.7,13.8,1.9,37.2
4620262.00,4620262.00,4865,20.9,65.0,14.2,2.0,37.2
4620263.00,4620263.00,4140,18.1,62.9,19.1,3.3,40.8
4620264.01,4620264.01,5365,16.6,58.8,24.6,3.6,43.6
4620264.02,4620264.02,5435,11.0,62.4,26.4,3.8,46.4
4620265.00,4620265.00,4560,14.7,70.9,14.4,2.2,36.8
4620266.00,4620266.00,3195,12.8,71.7,15.3,1.3,36.4
4620267.00,4620267.00,6455,17.0,67.5,15.5,2.8,38.8
4620268.01,4620268.01,6525,16.7,61.7,21.6,4.2,42.4
4620268.02,4620268.02,6170,19.8,68.6,11.8,1.5,36.8
4620268.03,4620268.03,490,7.1,78.6,14.3,0.0,36.4
4620269.00,4620269.00,4525,19.6,68.8,11.6,1.5,35.2
4620270.00,4620270.00,4740,13.3,70.5,16.2,1.6,39.2
4620271.00,4620271.00,3480,16.1,68.7,15.1,1.4,39.6
4620272.00,4620272.00,3710,18.3,64.4,17.5,1.2,41.2
4620273.00,4620273.00,4750,16.3,63.3,20.5,4.3,42.4
4620274.00,4620274.00,3130,18.5,61.7,19.8,3.0,41.6
4620275.00,4620275.00,4155,16.8,65.3,17.9,1.9,43.2
4620276.00,4620276.00,5125,17.3,66.0,16.7,1.9,41.2
4620277.00,4620277.00,4350,14.3,58.6,27.1,9.5,44.8
4620278.00,4620278.00,4230,17.1,65.7,17.1,1.8,40.8
4620279.00,4620279.00,4955,12.4,59.4,28.2,8.1,48.0
4620280.00,4620280.00,4620,20.1,66.9,13.1,1.5,38.8
4620281.00,4620281.00,3755,12.8,68.8,18.5,2.1,42.8
4620282.00,4620282.00,6545,16.8,63.5,19.8,4.0,42.4
4620283.01,4620283.01,4060,13.8,54.1,32.0,10.7,50.8
4620283.02,4620283.02,2890,15.4,61.2,23.4,4.7,44.8
4620284.00,4620284.00,3485,16.2,61.0,22.8,3.6,44.8
