cmauid,name,unemployment,dwelling_value,median_income,value_to_income,crime_severity
605,Steinbach,5.7,300000.0,72500.0,4.14,
607,Portage la Prairie,7.0,226000.0,69000.0,3.28,
610,Brandon,7.4,300000.0,77500.0,3.87,
640,Thompson,8.9,200000.0,96000.0,2.08,
705,Regina,9.5,348000.0,90000.0,3.87,100.31
710,Yorkton,7.2,250000.0,77500.0,3.23,
715,Moose Jaw,9.3,258000.0,75500.0,3.42,
720,Swift Current,6.8,300000.0,80000.0,3.75,
725,Saskatoon,8.2,376000.0,89000.0,4.22,106.71
735,North Battleford,9.9,246000.0,78000.0,3.15,
745,Prince Albert,10.5,266000.0,78000.0,3.41,
750,Estevan,7.7,268000.0,96000.0,2.79,
755,Weyburn,7.3,296000.0,82000.0,3.61,
805,Medicine Hat,11.4,300000.0,80000.0,3.75,
806,Brooks,8.8,266000.0,91000.0,2.92,
810,Lethbridge,8.9,320000.0,84000.0,3.81,105.51
820,Okotoks,9.2,452000.0,117000.0,3.86,
821,High River,9.9,348000.0,82000.0,4.24,
825,Calgary,12.3,460000.0,100000.0,4.6,62.32
826,Strathmore,9.8,340000.0,91000.0,3.74,
828,Canmore,9.7,850000.0,106000.0,8.02,
830,Red Deer,12.3,340000.0,85000.0,4.0,118.65
831,Sylvan Lake,14.6,360000.0,93000.0,3.87,
832,Lacombe,12.3,340000.0,89000.0,3.82,
833,Camrose,12.7,300000.0,76000.0,3.95,
835,Edmonton,11.9,400000.0,96000.0,4.17,101.12
840,Lloydminster,10.9,318000.0,95000.0,3.35,
47840,Lloydminster (Saskatchewan part),11.2,300000.0,92000.0,3.26,
48840,Lloydminster (Alberta part),10.7,340000.0,98000.0,3.47,
850,Grande Prairie,11.9,328000.0,102000.0,3.22,
860,Wood Buffalo,8.9,472000.0,182000.0,2.59,
865,Wetaskiwin,12.0,250000.0,69500.0,3.6,
905,Cranbrook,7.2,400000.0,84000.0,4.76,
907,Nelson,9.0,584000.0,74500.0,7.84,
910,Trail,7.1,348000.0,76000.0,4.58,
913,Penticton,8.2,552000.0,71000.0,7.77,
915,Kelowna,8.0,750000.0,85000.0,8.82,108.82
918,Vernon,8.2,600000.0,79000.0,7.59,
920,Salmon Arm,7.9,500000.0,75000.0,6.67,
925,Kamloops,7.6,552000.0,87000.0,6.34,129.87
930,Chilliwack,6.8,750000.0,82000.0,9.15,141.72
932,Abbotsford - Mission,7.6,850000.0,91000.0,9.34,94.96
933,Vancouver,8.6,1050000.0,90000.0,11.67,81.2
934,Squamish,6.8,1000000.0,111000.0,9.01,
935,Victoria,6.9,850000.0,85000.0,10.0,71.04
936,Ladysmith,7.5,600000.0,80000.0,7.5,
937,Duncan,7.5,600000.0,75500.0,7.95,
938,Nanaimo,8.3,600000.0,77500.0,7.74,106.71
939,Parksville,7.8,660000.0,73500.0,8.98,
940,Port Alberni,9.3,448000.0,67000.0,6.69,
943,Courtenay,8.0,645000.0,76500.0,8.43,
944,Campbell River,8.9,548000.0,78500.0,6.98,
945,Powell River,8.1,500000.0,66500.0,7.52,
950,Williams Lake,8.1,348000.0,81000.0,4.3,
952,Quesnel,10.9,300000.0,73000.0,4.11,
955,Prince Rupert,9.8,400000.0,92000.0,4.35,
965,Terrace,8.1,400000.0,90000.0,4.44,
970,Prince George,9.0,400000.0,91000.0,4.4,
975,Dawson Creek,9.2,300000.0,85000.0,3.53,
977,Fort St. John,8.8,368000.0,106000.0,3.47,
990,Whitehorse,5.3,500000.0,109000.0,4.59,
995,Yellowknife,5.8,448000.0,148000.0,3.03,
