name,province,Latitude,Longitude,elevation_m
Glossy Mountain,British Columbia,50.635833,-121.146389,1933.1
Meslilloet Mountain,British Columbia,49.571667,-122.827223,1928.5
Snow Peak,British Columbia,58.461944,-130.453056,1925.3
Mount Kathleen,British Columbia,49.766389,-120.0575,1922.4
Mount Bratnober,Yukon,60.7397222,-136.6647222,1922.1
Seltat Peak,British Columbia,59.599722,-136.354167,1921.6
Mount Brundage,British Columbia,58.276389,-133.345833,1920.2
Satah Mountain,British Columbia,52.4758333,-124.6891667,1913.9
Mount Dyer,British Columbia,50.992222,-125.641944,1909.5
Mount Bryde,Yukon,60.106667,-133.189444,1907.6
ShÃ  TlÃ¨n,Yukon,60.106667,-133.189444,1907.6
Sentinel Mountain,British Columbia,59.438333,-133.4375,1900.8
Mount Heger,British Columbia,51.656389,-120.479167,1900.2
Sunday Peak,British Columbia,59.75,-134.1,1899.4
Terrace Mountain,British Columbia,50.096666,-119.626111,1899.0
Kaketsa Mountain,British Columbia,58.224167,-131.821389,1895.6
Mount Gottfriedsen,British Columbia,49.941111,-119.946111,1893.7
Chuwhels Mountain,British Columbia,50.541667,-120.588889,1893.1
Clarke Peak,Yukon,63.0375,-135.0825,1891.5
Outlook Peak,Nunavut,79.75,-91.383333,1886.6
Streak Mountain,Yukon,60.5763217,-133.6555185,1881.8
Mimenuh Mountain,British Columbia,50.179722,-121.219167,1855.9
Kisimngiuqtuq Peak,Nunavut,70.797222,-71.65,1855.5
Notchtop Peak,British Columbia,56.468889,-127.624167,1853.4
Mount Davidson,British Columbia,53.148333,-124.89,1851.8
Hayes Peak,Yukon,60.3966667,-133.3066667,1847.6
Plateau Mountain,Yukon,63.1023919,-133.9289807,1847.0
Samatosum Mountain,British Columbia,51.16,-119.756389,1844.8
Qiajivik Mountain,Nunavut,72.180556,-75.911111,1839.3
Mount Catt,British Columbia,54.343611,-128.786389,1838.5
Mount Cridge,British Columbia,50.954444,-125.456111,1835.1
Quintette Mountain,British Columbia,54.858611,-120.879444,1833.7
Mount Lokken,Yukon,61.9941667,-134.405,1832.1
TsÃ¤l KÃ­na,Yukon,61.9941667,-134.405,1832.1
Mount Harper,Yukon,64.6752778,-139.8719444,1831.2
Big Interior Mountain,British Columbia,49.460556,-125.573889,1828.2
Mount Edwards,Yukon,63.7238889,-134.2658333,1824.0
Mount Barner,British Columbia,50.456389,-124.580278,1821.4
Mount Skonseng,Yukon,60.9581195,-127.1952917,1821.0
Mount Gething,British Columbia,56.040833,-122.4475,1820.6
Cap Mountain,Yukon,60.7644444,-134.7280556,1817.8
Lizard Head Mountain,British Columbia,51.769444,-120.189167,1817.2
Crown Mountain,British Columbia,49.944444,-125.813333,1816.3
Mount Haldane,Yukon,63.860555,-135.844722,1808.4
NÃ¡tthÊ¼Ã¤n,Yukon,63.860555,-135.844722,1808.4
Slate Mountain,Yukon,60.9994315,-133.7809808,1808.4
Jubilee Mountain,Yukon,60.1966667,-134.1191667,1806.5
Mount Nansen,Yukon,62.1065709,-137.3033088,1804.8
Dromedary Mountain,Yukon,62.8852778,-134.7305556,1798.9
Gnawed Mountain,British Columbia,50.423056,-120.984444,1794.4
Matchlee Mountain,British Columbia,49.631945,-125.966945,1786.8
Mount McMaster,British Columbia,59.352222,-133.178334,1784.8
Pink Mountain,British Columbia,57.071945,-122.873889,1784.4
