ctuid,name,median_income
5430007.00,0007.00 - Brantford,60400.0
5430008.00,0008.00 - Brantford,52000.0
5430009.00,0009.00 - Brantford,73500.0
5430010.00,0010.00 - Brantford,72500.0
5430011.01,0011.01 - Brantford,91000.0
5430011.02,0011.02 - Brantford,75500.0
5430011.03,0011.03 - Brantford,102000.0
5430012.00,0012.00 - Brantford,67000.0
5430013.00,0013.00 - Brantford,96000.0
5430014.01,0014.01 - Brantford,101000.0
5430014.02,0014.02 - Brantford,89000.0
5430014.03,0014.03 - Brantford,79500.0
5430014.04,0014.04 - Brantford,94000.0
5430100.00,0100.00 - Brantford,124000.0
5430101.00,0101.00 - Brantford,117000.0
5430102.00,0102.00 - Brantford,106000.0
5430110.01,0110.01 - Brantford,95000.0
5430110.02,0110.02 - Brantford,99000.0
5430200.00,0200.00 - Brantford,118000.0
5430201.00,0201.00 - Brantford,120000.0
5430202.00,0202.00 - Brantford,98000.0
8250001.01,0001.01 - Calgary,92000.0
8250001.02,0001.02 - Calgary,123000.0
8250001.03,0001.03 - Calgary,119000.0
8250001.04,0001.04 - Calgary,96000.0
8250001.05,0001.05 - Calgary,142000.0
8250001.06,0001.06 - Calgary,131000.0
8250001.07,0001.07 - Calgary,91000.0
8250001.08,0001.08 - Calgary,84000.0
8250001.09,0001.09 - Calgary,95000.0
8250001.10,0001.10 - Calgary,109000.0
8250001.11,0001.11 - Calgary,96000.0
8250001.13,0001.13 - Calgary,104000.0
8250001.14,0001.14 - Calgary,121000.0
8250001.17,0001.17 - Calgary,127000.0
8250001.22,0001.22 - Calgary,134000.0
8250001.23,0001.23 - Calgary,141000.0
8250001.25,0001.25 - Calgary,97000.0
8250001.28,0001.28 - Calgary,102000.0
8250001.29,0001.29 - Calgary,115000.0
8250001.30,0001.30 - Calgary,123000.0
8250001.32,0001.32 - Calgary,134000.0
8250001.33,0001.33 - Calgary,176000.0
8250001.35,0001.35 - Calgary,121000.0
8250001.37,0001.37 - Calgary,90000.0
8250001.38,0001.38 - Calgary,110000.0
8250001.39,0001.39 - Calgary,103000.0
8250001.40,0001.40 - Calgary,61600.0
8250001.41,0001.41 - Calgary,146000.0
8250001.42,0001.42 - Calgary,121000.0
