year,dimension,category,employees
2010,First official language,French,81081
2010,First official language,Unknown,3710
2011,First official language,English,197402
2011,First official language,French,81316
2011,First official language,Unknown,3634
2012,First official language,English,195161
2012,First official language,French,79519
2012,First official language,Unknown,3412
2013,First official language,English,184410
2013,First official language,French,74985
2013,First official language,Unknown,3422
2014,First official language,English,180765
2014,First official language,French,73626
2014,First official language,Unknown,2747
2015,First official language,English,181668
2015,First official language,French,73157
2015,First official language,Unknown,2209
2016,First official language,English,183905
2016,First official language,French,73417
2016,First official language,Unknown,1657
2017,First official language,English,184589
2017,First official language,French,76126
2017,First official language,Unknown,1981
2018,First official language,English,192091
2018,First official language,French,78832
2018,First official language,Unknown,2648
2019,First official language,English,202425
2019,First official language,French,83005
2019,First official language,Unknown,2553
2020,First official language,English,210740
2020,First official language,French,86441
2020,First official language,Unknown,3269
2021,First official language,English,225103
2021,First official language,French,90726
2021,First official language,Unknown,3772
2022,First official language,English,238033
2022,First official language,French,94109
2022,First official language,Unknown,3815
2023,First official language,English,253967
2023,First official language,French,99975
2023,First official language,Unknown,3305
2024,First official language,English,261416
2024,First official language,French,102752
2024,First official language,Unknown,3604
2025,First official language,English,252891
2025,First official language,French,100931
2025,First official language,Unknown,4143
2026,First official language,English,243432
2026,First official language,French,97343
2026,First official language,Unknown,4507
2010,Region,Alberta,16520
2010,Region,British Columbia,26035
2010,Region,Manitoba,11963
2010,Region,National Capital Region (NCR),114950
2010,Region,New Brunswick,8565
2010,Region,Newfoundland and Labrador,5489
2010,Region,Northwest Territories,768
2010,Region,Nova Scotia,12088
2010,Region,Nunavut,253
2010,Region,Ontario (minus the NCR),40851
2010,Region,Outside of Canada,1563
2010,Region,Prince Edward Island,3381
2010,Region,Quebec (minus the NCR),33446
2010,Region,Saskatchewan,6683
2010,Region,Yukon,425
2011,Region,Alberta,16228
2011,Region,British Columbia,25650
2011,Region,Manitoba,11614
2011,Region,National Capital Region (NCR),116357
2011,Region,New Brunswick,8672
2011,Region,Newfoundland and Labrador,5222
2011,Region,Northwest Territories,746
2011,Region,Nova Scotia,11844
2011,Region,Nunavut,277
2011,Region,Ontario (minus the NCR),40764
2011,Region,Outside of Canada,1640
2011,Region,Prince Edward Island,3257
2011,Region,Quebec (minus the NCR),33043
2011,Region,Saskatchewan,6597
2011,Region,Yukon,441
2012,Region,Alberta,15651
2012,Region,British Columbia,25377
2012,Region,Manitoba,11518
2012,Region,National Capital Region (NCR),114656
2012,Region,New Brunswick,8173
2012,Region,Newfoundland and Labrador,5162
2012,Region,Northwest Territories,680
2012,Region,Nova Scotia,11630
2012,Region,Nunavut,287
2012,Region,Ontario (minus the NCR),40767
2012,Region,Outside of Canada,1582
2012,Region,Prince Edward Island,3289
2012,Region,Quebec (minus the NCR),32421
2012,Region,Saskatchewan,6476
2012,Region,Yukon,423
2013,Region,Alberta,14758
2013,Region,British Columbia,23797
2013,Region,Manitoba,10693
2013,Region,National Capital Region (NCR),108433
2013,Region,New Brunswick,7877
