year,sector,employment
1997,"Finance, insurance, real estate, rental and leasing",39300.0
1997,"Forestry, fishing, mining, quarrying, oil and gas",12400.0
1997,Health care and social assistance,677800.0
1997,"Information, culture and recreation",79300.0
1997,Manufacturing,9400.0
1997,Other services (except public administration),3800.0
1997,"Professional, scientific and technical services",9100.0
1997,Public administration,777500.0
1997,Transportation and warehousing,135800.0
1997,Utilities,80600.0
1997,Wholesale and retail trade,23400.0
1998,Accommodation and food services,2400.0
1998,"Business, building and other support services",5100.0
1998,Construction,20900.0
1998,Educational services,775100.0
1998,"Finance, insurance, real estate, rental and leasing",38800.0
1998,"Forestry, fishing, mining, quarrying, oil and gas",10800.0
1998,Health care and social assistance,700000.0
1998,"Information, culture and recreation",75900.0
1998,Manufacturing,5400.0
1998,Other services (except public administration),2900.0
1998,"Professional, scientific and technical services",6500.0
1998,Public administration,762900.0
1998,Transportation and warehousing,144300.0
1998,Utilities,79900.0
1998,Wholesale and retail trade,18800.0
1999,"Business, building and other support services",3800.0
1999,Construction,12500.0
1999,Educational services,837600.0
1999,"Finance, insurance, real estate, rental and leasing",40800.0
1999,"Forestry, fishing, mining, quarrying, oil and gas",9600.0
1999,Health care and social assistance,703300.0
1999,"Information, culture and recreation",82700.0
1999,Manufacturing,4900.0
1999,"Professional, scientific and technical services",5700.0
1999,Public administration,768800.0
1999,Transportation and warehousing,131000.0
1999,Utilities,83600.0
1999,Wholesale and retail trade,17000.0
2000,"Business, building and other support services",4000.0
2000,Construction,19300.0
2000,Educational services,849800.0
2000,"Finance, insurance, real estate, rental and leasing",50000.0
2000,"Forestry, fishing, mining, quarrying, oil and gas",13400.0
2000,Health care and social assistance,741800.0
2000,"Information, culture and recreation",92500.0
2000,Manufacturing,3000.0
2000,"Professional, scientific and technical services",8000.0
2000,Public administration,771400.0
2000,Transportation and warehousing,138300.0
2000,Utilities,85400.0
2000,Wholesale and retail trade,19100.0
2001,"Business, building and other support services",5900.0
2001,Construction,19200.0
2001,Educational services,847500.0
2001,"Finance, insurance, real estate, rental and leasing",49900.0
2001,"Forestry, fishing, mining, quarrying, oil and gas",10400.0
2001,Health care and social assistance,762700.0
2001,"Information, culture and recreation",96300.0
2001,Manufacturing,3300.0
2001,"Professional, scientific and technical services",8700.0
2001,Public administration,783400.0
2001,Transportation and warehousing,142900.0
2001,Utilities,93400.0
2001,Wholesale and retail trade,19700.0
2002,"Business, building and other support services",6100.0
2002,Construction,21000.0
2002,Educational services,878100.0
2002,"Finance, insurance, real estate, rental and leasing",46800.0
2002,"Forestry, fishing, mining, quarrying, oil and gas",12000.0
2002,Health care and social assistance,791400.0
2002,"Information, culture and recreation",89200.0
2002,Manufacturing,2900.0
2002,"Professional, scientific and technical services",8600.0
2002,Public administration,792400.0
2002,Transportation and warehousing,137600.0
2002,Utilities,93100.0
2002,Wholesale and retail trade,20000.0
2003,"Business, building and other support services",5900.0
2003,Construction,21100.0
2003,Educational services,897100.0
2003,"Finance, insurance, real estate, rental and leasing",39100.0
2003,"Forestry, fishing, mining, quarrying, oil and gas",9700.0
2003,Health care and social assistance,796000.0
2003,"Information, culture and recreation",92800.0
2003,Manufacturing,3600.0
2003,"Professional, scientific and technical services",7500.0
2003,Public administration,821000.0
2003,Transportation and warehousing,132300.0
2003,Utilities,97000.0
2003,Wholesale and retail trade,18000.0
2004,"Business, building and other support services",6500.0
2004,Construction,22100.0
2004,Educational services,905900.0
2004,"Finance, insurance, real estate, rental and leasing",47000.0
2004,"Forestry, fishing, mining, quarrying, oil and gas",10600.0
2004,Health care and social assistance,821500.0
2004,"Information, culture and recreation",103800.0
2004,Manufacturing,4200.0
2004,"Professional, scientific and technical services",9800.0
2004,Public administration,830400.0
2004,Transportation and warehousing,151200.0
2004,Utilities,100600.0
2004,Wholesale and retail trade,22300.0
2005,"Business, building and other support services",6600.0
2005,Construction,17100.0
2005,Educational services,964400.0
