country_code,country_name,year,naturalisations,nat_per_100k
AUS,Australia,1995,192129.0,1067.093913750726
AUS,Australia,1996,186993.0,1026.0378088784346
AUS,Australia,1997,185957.0,1009.3721246936648
AUS,Australia,1998,112343.0,603.7484500943272
AUS,Australia,1999,76474.0,406.5114119172472
AUS,Australia,2000,162035.0,851.5249672575288
AUS,Australia,2001,181267.0,940.4400099384161
AUS,Australia,2002,195532.0,1002.97457683195
AUS,Australia,2003,181566.0,920.6856721429833
AUS,Australia,2004,202634.0,1016.5897061123915
AUS,Australia,2005,216248.0,1071.7632549471068
AUS,Australia,2006,239077.0,1169.0254631492712
AUS,Australia,2007,314596.0,1510.474887627594
AUS,Australia,2008,266511.0,1254.2166883561117
AUS,Australia,2009,197239.0,909.2852444209761
AUS,Australia,2010,239117.0,1085.3291272822178
AUS,Australia,2011,189862.0,849.8737512546987
AUS,Australia,2012,167261.0,735.7479381167807
AUS,Australia,2013,246113.0,1064.1284472254545
AUS,Australia,2014,325944.0,1388.432269881272
AUS,Australia,2015,273043.0,1146.4690011901664
AUS,Australia,2016,266163.0,1100.2605235099288
AUS,Australia,2017,275499.0,1120.2521670350434
AUS,Australia,2018,161143.0,645.52070887542
AUS,Australia,2019,255333.0,1007.8340384102106
AUS,Australia,2020,409180.0,1595.2904350256197
AUS,Australia,2021,238771.0,929.5977031631807
AUS,Australia,2022,334437.0,1285.370637549786
AUS,Australia,2023,385290.0,1445.2030279758508
CAN,Canada,1995,341554.0,1165.6213736861916
CAN,Canada,1996,286746.0,968.4021914327008
CAN,Canada,1997,282275.0,943.8757801625283
CAN,Canada,1998,268381.0,889.9998683476298
CAN,Canada,1999,316323.0,1040.492168653655
CAN,Canada,2000,427244.0,1392.3214471351994
CAN,Canada,2001,333837.0,1076.1695639917082
CAN,Canada,2002,281934.0,899.0471982399805
CAN,Canada,2003,309017.0,976.5896527454044
CAN,Canada,2004,386577.0,1210.3676884362023
CAN,Canada,2005,397476.0,1232.7615414227305
CAN,Canada,2006,521617.0,1601.4672842962798
CAN,Canada,2007,399746.0,1215.4440256808941
CAN,Canada,2008,353213.0,1062.3810692826828
CAN,Canada,2009,312704.0,929.8345477673566
CAN,Canada,2010,287130.0,844.3534301780909
CAN,Canada,2011,358872.0,1045.0790365920066
CAN,Canada,2012,223835.0,644.8087258535214
CAN,Canada,2013,254913.0,726.6413674961074
CAN,Canada,2014,518480.0,1463.2246832751284
CAN,Canada,2015,502152.0,1406.411035382713
CAN,Canada,2016,294427.0,815.3432644519148
CAN,Canada,2017,211560.0,578.9015346117089
CAN,Canada,2018,352627.0,951.1790642258356
CAN,Canada,2019,500392.0,1330.1754894766523
CAN,Canada,2020,221605.0,582.731887479115
CAN,Canada,2021,274374.0,717.5077819314421
CAN,Canada,2022,748662.0,1922.1038840125111
CAN,Canada,2023,758326.0,1893.491307467476
CHE,Switzerland,1995,28324.0,402.2902878653745
CHE,Switzerland,1996,32537.0,460.091772308519
CHE,Switzerland,1997,33426.0,471.52550760300676
CHE,Switzerland,1998,37072.0,521.4063964266671
CHE,Switzerland,1999,35829.0,501.5263877012163
CHE,Switzerland,2000,50354.0,700.8943174304903
CHE,Switzerland,2001,48195.0,666.6109716738403
CHE,Switzerland,2002,64193.0,881.1966582806582
CHE,Switzerland,2003,62414.0,850.4427237440082
CHE,Switzerland,2004,71922.0,973.2834886750004
CHE,Switzerland,2005,77340.0,1039.9193773391967
CHE,Switzerland,2006,93669.0,1251.6010964286963
CHE,Switzerland,2007,88701.0,1174.6738926174762
CHE,Switzerland,2008,91669.0,1198.6518778583034
CHE,Switzerland,2009,91141.0,1176.9497552309704
CHE,Switzerland,2010,67447.0,861.9525159973107
CHE,Switzerland,2011,61812.0,781.2043832982113
CHE,Switzerland,2012,57069.0,713.6425154820123
CHE,Switzerland,2013,58367.0,721.5292806118072
CHE,Switzerland,2014,66699.0,814.5299670311915
CHE,Switzerland,2015,81824.0,987.9266820857152
CHE,Switzerland,2016,83200.0,993.6300194737153
CHE,Switzerland,2017,89086.0,1054.0426699984855
CHE,Switzerland,2018,85324.0,1002.12242209574
CHE,Switzerland,2019,80581.0,939.6894328814919
CHE,Switzerland,2020,68141.0,788.8363353012277
CHE,Switzerland,2021,74281.0,853.3586932621184
CHE,Switzerland,2022,83132.0,947.1478467573756
CHE,Switzerland,2023,80104.0,901.1767813552797
DEU,Germany,1995,121008.0,148.15240877870605
DEU,Germany,1996,149132.0,182.05738592074982
DEU,Germany,1997,140798.0,171.6320997592594
DEU,Germany,1998,187111.0,228.05289077828928
DEU,Germany,1999,266928.0,325.12449445490677
DEU,Germany,2000,376762.0,458.2837721453789
DEU,Germany,2001,359753.0,436.858928529686
DEU,Germany,2002,312149.0,378.41519596157013
DEU,Germany,2003,285027.0,345.34421231757375
DEU,Germany,2004,259061.0,313.95145635538984
DEU,Germany,2005,238844.0,289.61522247603483
DEU,Germany,2006,253567.0,307.8149118126004
DEU,Germany,2007,230813.0,280.5678607049792
DEU,Germany,2008,192971.0,235.0149458476465
DEU,Germany,2009,194946.0,238.02259929015185
DEU,Germany,2010,199488.0,243.94165934084342
DEU,Germany,2011,209727.0,261.2607217867614
DEU,Germany,2012,221357.0,275.231252529427
DEU,Germany,2013,221412.0,274.5493694293694
DEU,Germany,2014,213335.0,263.4334578458309
DEU,Germany,2015,210809.0,258.0704443718445
DEU,Germany,2016,216796.0,263.2659430111736
DEU,Germany,2017,220502.0,266.7674784527026
DEU,Germany,2018,220845.0,266.3806970664603
DEU,Germany,2019,254000.0,305.68172548717183
DEU,Germany,2020,216310.0,260.1103107734406
DEU,Germany,2021,259840.0,312.3224150061497
DEU,Germany,2022,333910.0,401.44118720697793
DEU,Germany,2023,397440.0,477.1917553357762
DNK,Denmark,1995,8822.0,168.57197069652784
DNK,Denmark,1996,12216.0,232.10769979673478
DNK,Denmark,1997,8892.0,168.25005000008514
DNK,Denmark,1998,17037.0,321.1971451405004
DNK,Denmark,1999,21391.0,401.95054341586365
DNK,Denmark,2000,31773.0,595.0427895938584
DNK,Denmark,2001,20060.0,374.3387257890458
DNK,Denmark,2002,28054.0,521.8444953999596
DNK,Denmark,2003,10725.0,198.95840405864013
DNK,Denmark,2004,23126.0,427.9008526746949
DNK,Denmark,2005,16567.0,305.6962427058777
DNK,Denmark,2006,15917.0,292.7387116186205
DNK,Denmark,2007,8255.0,151.15066764467528
DNK,Denmark,2008,12152.0,221.20200865694957
DNK,Denmark,2009,13310.0,240.98806918946715
DNK,Denmark,2010,5984.0,107.86485096570946
DNK,Denmark,2011,7769.0,139.46503159819136
DNK,Denmark,2012,7050.0,126.08261147312419
DNK,Denmark,2013,3479.0,61.95978864926592
DNK,Denmark,2014,9443.0,167.32598266139215
DNK,Denmark,2015,15704.0,276.3094391238612
DNK,Denmark,2016,29519.0,515.3447706969785
DNK,Denmark,2017,14440.0,250.477885439325
DNK,Denmark,2018,5638.0,97.31367314066676
DNK,Denmark,2019,3548.0,61.02068270930455
DNK,Denmark,2020,14111.0,241.98289125569073
DNK,Denmark,2021,12900.0,220.2593152189113
DNK,Denmark,2022,10249.0,173.62249296421487
DNK,Denmark,2023,6671.0,112.17511088032995
FIN,Finland,1995,1046.0,20.478523980038332
FIN,Finland,1996,1536.0,29.973228989029913
FIN,Finland,1997,2863.0,55.7021772099688
FIN,Finland,1998,7932.0,153.91487490632576
FIN,Finland,1999,8794.0,170.2457509223742
FIN,Finland,2000,5996.0,115.83767193326237
FIN,Finland,2001,5522.0,106.43776956396367
FIN,Finland,2002,6185.0,118.92863089975422
FIN,Finland,2003,9191.0,176.30875343898944
FIN,Finland,2004,13978.0,267.3592223056166
FIN,Finland,2005,11652.0,222.10802089782572
FIN,Finland,2006,9090.0,172.608002479175
FIN,Finland,2007,9888.0,186.96395347078308
FIN,Finland,2008,13747.0,258.72327675749557
FIN,Finland,2009,6985.0,130.83290455978428
FIN,Finland,2010,8640.0,161.09328643728773
FIN,Finland,2011,9070.0,168.32854763085456
FIN,Finland,2012,18174.0,335.68705853799366
FIN,Finland,2013,17860.0,328.3708759670026
FIN,Finland,2014,16520.0,302.48033877797945
FIN,Finland,2015,15842.0,289.11233461403907
FIN,Finland,2016,18750.0,341.20047611569373
FIN,Finland,2017,24438.0,443.664679694725
FIN,Finland,2018,18422.0,334.00265613880816
FIN,Finland,2019,19298.0,349.4997651045728
FIN,Finland,2020,15634.0,282.7358427269668
FIN,Finland,2021,13286.0,239.7754780395007
FIN,Finland,2022,20202.0,363.5999745145251
FIN,Finland,2023,24448.0,437.8293278671526
FRA,France,1995,151111.0,253.79193136111553
FRA,France,1996,216578.0,362.446318690889
FRA,France,1997,229672.0,382.9905069808321
FRA,France,1998,230958.0,383.7105423158175
FRA,France,1999,283222.0,468.1201704684537
FRA,France,2000,291089.0,477.8322360040054
FRA,France,2001,248957.0,405.7028070210833
FRA,France,2002,250288.0,404.91720866104265
FRA,France,2003,283817.0,455.93198570502693
FRA,France,2004,168826.0,269.2273860062996
FRA,France,2005,305968.0,484.27328950001214
FRA,France,2006,271992.0,427.5101975969385
FRA,France,2007,214293.0,334.74447134185993
FRA,France,2008,279857.0,434.72853703284983
FRA,France,2009,277661.0,429.1087829346682
FRA,France,2010,283508.0,435.9903424174599
FRA,France,2011,226591.0,346.783167584495
FRA,France,2012,192069.0,292.5309901773988
FRA,France,2013,195881.0,296.7986936317944
FRA,France,2014,212554.0,320.53592900369097
FRA,France,2015,228114.0,342.7797494125768
FRA,France,2016,239909.0,359.55372289450304
FRA,France,2017,229917.0,343.5800999491617
FRA,France,2018,219509.0,326.8528880430472
FRA,France,2019,219265.0,325.4056001641149
FRA,France,2020,172495.0,255.16592848845235
FRA,France,2021,260018.0,383.26536911921295
FRA,France,2022,226810.0,332.6417925422505
FRA,France,2023,190741.0,278.97414458249943
GBR,United Kingdom,1995,42271.0,72.85712980723738
GBR,United Kingdom,1996,44791.0,77.00420943508298
GBR,United Kingdom,1997,38556.0,66.11456421403628
GBR,United Kingdom,1998,55634.0,95.12176360270371
GBR,United Kingdom,1999,107260.0,182.78032146774473
GBR,United Kingdom,2000,161032.0,273.433733869809
GBR,United Kingdom,2001,176457.0,298.47424900337325
GBR,United Kingdom,2002,235327.0,396.37039141961446
GBR,United Kingdom,2003,252390.0,423.13537731800903
GBR,United Kingdom,2004,284657.0,474.5239894608755
GBR,United Kingdom,2005,313011.0,518.2197852142224
GBR,United Kingdom,2006,301113.0,494.87056184694615
GBR,United Kingdom,2007,324398.0,529.0035398610784
GBR,United Kingdom,2008,254492.0,411.75274740342905
GBR,United Kingdom,2009,411052.0,660.0459532981022
GBR,United Kingdom,2010,387181.0,616.8606386557514
GBR,United Kingdom,2011,352917.0,557.89383328583
GBR,United Kingdom,2012,386323.0,606.3678171744283
GBR,United Kingdom,2013,414410.0,646.1224235242759
GBR,United Kingdom,2014,250622.0,387.84568006313935
GBR,United Kingdom,2015,235427.0,361.7112480218784
GBR,United Kingdom,2016,297589.0,453.6002804621528
GBR,United Kingdom,2017,245607.0,372.3349099508823
GBR,United Kingdom,2018,313012.0,472.20722011857526
GBR,United Kingdom,2019,317724.0,476.86258029657205
GBR,United Kingdom,2020,259866.0,389.37069223853763
GBR,United Kingdom,2021,347767.0,519.2257159067157
GBR,United Kingdom,2022,349269.0,516.3951150275002
GBR,United Kingdom,2023,409577.0,597.6957651110528
ITA,Italy,1995,12602.0,22.169328032749384
ITA,Italy,1996,15282.0,26.876406045196997
ITA,Italy,1997,17130.0,30.11054313373096
ITA,Italy,1998,21096.0,37.071177363442196
ITA,Italy,1999,19800.0,34.78791503673718
ITA,Italy,2000,16837.0,29.568627842158566
ITA,Italy,2001,18445.0,32.37272259125137
ITA,Italy,2002,19170.0,33.57866368619388
ITA,Italy,2003,23978.0,41.77411302571828
ITA,Italy,2004,28505.0,49.2925775857476
ITA,Italy,2005,28659.0,49.27047411781198
ITA,Italy,2006,53090.0,90.90775061947492
ITA,Italy,2007,82638.0,140.645470429723
ITA,Italy,2008,107298.0,181.21239635466821
ITA,Italy,2009,118351.0,198.7240328988173
ITA,Italy,2010,131597.0,219.99047900959633
ITA,Italy,2011,112013.0,186.60485565115778
ITA,Italy,2012,130253.0,216.39857369959458
ITA,Italy,2013,200076.0,331.73710674924246
ITA,Italy,2014,257843.0,427.453544269632
ITA,Italy,2015,353464.0,586.8608967301047
ITA,Italy,2016,399590.0,664.7068413935685
ITA,Italy,2017,290751.0,484.5668125923007
ITA,Italy,2018,222881.0,372.23003385544564
ITA,Italy,2019,251633.0,421.29059377290605
ITA,Italy,2020,261391.0,439.7645573599665
ITA,Italy,2021,241196.0,407.8861115739553
ITA,Italy,2022,424298.0,718.9826044871944
ITA,Italy,2023,424450.0,719.5992907661941
JPN,Japan,1995,27615.0,22.00889441469013
JPN,Japan,1996,28369.0,22.55858520798047
JPN,Japan,1997,29468.0,23.376726401548506
JPN,Japan,1998,28977.0,22.924841772151897
JPN,Japan,1999,31514.0,24.88648119338867
JPN,Japan,2000,30899.0,24.360035634603406
JPN,Japan,2001,29963.0,23.565265947824994
JPN,Japan,2002,27969.0,21.945937463219426
JPN,Japan,2003,34133.0,26.725285394384503
JPN,Japan,2004,31489.0,24.64680144958164
JPN,Japan,2005,29367.0,22.983728956821864
JPN,Japan,2006,26986.0,21.106887543604422
JPN,Japan,2007,27966.0,21.84826681041554
JPN,Japan,2008,24952.0,19.484160139931127
JPN,Japan,2009,27814.0,21.721711559036915
JPN,Japan,2010,24556.0,19.173889279300383
JPN,Japan,2011,19274.0,15.07748390478202
JPN,Japan,2012,19801.0,15.514499055857211
JPN,Japan,2013,15822.0,12.414767154458787
JPN,Japan,2014,17081.0,13.420440617241269
JPN,Japan,2015,17529.0,13.787055316538332
JPN,Japan,2016,17614.0,13.860996568982342
JPN,Japan,2017,19034.0,14.990706612481492
JPN,Japan,2018,16456.0,12.976792234112184
JPN,Japan,2019,16458.0,12.996612257468431
JPN,Japan,2020,17602.0,13.94096355961065
JPN,Japan,2021,15762.0,12.541215959921832
JPN,Japan,2022,13505.0,10.79320774206022
JPN,Japan,2023,16708.0,13.418285827638313
KOR,South Korea,2001,3122.0,6.590646382393778
KOR,South Korea,2002,7410.0,15.552610051192223
KOR,South Korea,2003,15057.0,31.43927221749286
KOR,South Korea,2004,18107.0,37.65817676898334
KOR,South Korea,2005,33326.0,69.1632325964327
KOR,South Korea,2006,15968.0,32.96565452803331
KOR,South Korea,2007,19526.0,40.10793112872953
KOR,South Korea,2008,29843.0,60.83615868226145
KOR,South Korea,2009,26756.0,54.26318150046539
KOR,South Korea,2010,17323.0,34.9577447780721
KOR,South Korea,2011,39137.0,78.37331780325299
KOR,South Korea,2012,25054.0,49.90851268030606
KOR,South Korea,2013,27912.0,55.34922212153259
KOR,South Korea,2014,28400.0,55.964275401854536
KOR,South Korea,2015,27868.0,54.627127222145305
KOR,South Korea,2016,25708.0,50.19348448038663
KOR,South Korea,2017,26586.0,51.76209273054502
KOR,South Korea,2018,29516.0,57.218119246856325
KOR,South Korea,2019,25749.0,49.74227478266997
KOR,South Korea,2020,32130.0,61.98366359102558
KOR,South Korea,2021,28113.0,54.304134328876295
KOR,South Korea,2022,27732.0,53.66870766576363
KOR,South Korea,2023,30293.0,58.57951228499953
NLD,Netherlands,1995,126410.0,817.7110481747662
NLD,Netherlands,1996,165397.0,1064.9819471339554
NLD,Netherlands,1997,118752.0,760.7114373840935
NLD,Netherlands,1998,117133.0,745.7276464583873
NLD,Netherlands,1999,119556.0,756.1050760658554
NLD,Netherlands,2000,92536.0,581.0550655416878
NLD,Netherlands,2001,85534.0,533.0489873602315
NLD,Netherlands,2002,80995.0,501.5502885671242
NLD,Netherlands,2003,50974.0,314.1636439186155
NLD,Netherlands,2004,45687.0,280.60201529574874
NLD,Netherlands,2005,52198.0,319.843273242161
NLD,Netherlands,2006,51711.0,316.3506698019301
NLD,Netherlands,2007,53477.0,326.44361121095153
NLD,Netherlands,2008,47755.0,290.38174543173966
NLD,Netherlands,2009,53831.0,325.6487385535052
NLD,Netherlands,2010,49398.0,297.30260985685925
NLD,Netherlands,2011,53423.0,320.03093019296506
NLD,Netherlands,2012,63545.0,379.26078256697923
NLD,Netherlands,2013,53615.0,319.05273561165296
NLD,Netherlands,2014,67150.0,398.16168483288
NLD,Netherlands,2015,57198.0,337.6520660690134
NLD,Netherlands,2016,58639.0,344.3213084620753
NLD,Netherlands,2017,56908.0,332.1873604892473
NLD,Netherlands,2018,57316.0,332.62099962255445
NLD,Netherlands,2019,69925.0,403.1450444667398
NLD,Netherlands,2020,111742.0,640.6673737923917
NLD,Netherlands,2021,125803.0,717.5194449976856
NLD,Netherlands,2022,106620.0,602.3394634263794
NLD,Netherlands,2023,113718.0,636.1092786940982
NOR,Norway,1995,24079.0,552.3740222940808
NOR,Norway,1996,24992.0,570.4196162996857
NOR,Norway,1997,24336.0,552.4434202912632
NOR,Norway,1998,18956.0,427.75931385203626
NOR,Norway,1999,16585.0,371.7015549160192
NOR,Norway,2000,19710.0,438.8809804213658
NOR,Norway,2001,22294.0,493.9129340541824
NOR,Norway,2002,18667.0,411.33419961706943
NOR,Norway,2003,16330.0,357.7331591036298
NOR,Norway,2004,16927.0,368.6265628028424
