year,gender,age_group,uom,value
1971,Men,All ages,Persons,11026469.0
1971,Men,0 to 4 years,Persons,938835.0
1971,Men,0 years,Persons,184005.0
1971,Men,1 year,Persons,186295.0
1971,Men,2 years,Persons,183656.0
1971,Men,3 years,Persons,185523.0
1971,Men,4 years,Persons,199356.0
1971,Men,5 to 9 years,Persons,1159468.0
1971,Men,5 years,Persons,210314.0
1971,Men,6 years,Persons,230278.0
1971,Men,7 years,Persons,236028.0
1971,Men,8 years,Persons,242499.0
1971,Men,9 years,Persons,240349.0
1971,Men,10 to 14 years,Persons,1190275.0
1971,Men,10 years,Persons,242224.0
1971,Men,11 years,Persons,241271.0
1971,Men,12 years,Persons,237523.0
1971,Men,13 years,Persons,236684.0
1971,Men,14 years,Persons,232573.0
1971,Men,15 to 19 years,Persons,1100056.0
1971,Men,15 years,Persons,230502.0
1971,Men,16 years,Persons,229976.0
1971,Men,17 years,Persons,221264.0
1971,Men,18 years,Persons,213084.0
1971,Men,19 years,Persons,205230.0
1971,Men,20 to 24 years,Persons,991602.0
1971,Men,20 years,Persons,200554.0
1971,Men,21 years,Persons,196591.0
1971,Men,22 years,Persons,195606.0
1971,Men,23 years,Persons,198443.0
1971,Men,24 years,Persons,200408.0
1971,Men,25 to 29 years,Persons,838454.0
1971,Men,25 years,Persons,176630.0
1971,Men,26 years,Persons,167740.0
1971,Men,27 years,Persons,173058.0
1971,Men,28 years,Persons,162828.0
1971,Men,29 years,Persons,158198.0
1971,Men,30 to 34 years,Persons,685790.0
1971,Men,30 years,Persons,145368.0
1971,Men,31 years,Persons,141091.0
1971,Men,32 years,Persons,136197.0
1971,Men,33 years,Persons,134129.0
1971,Men,34 years,Persons,129005.0
1971,Men,35 to 39 years,Persons,661274.0
1971,Men,35 years,Persons,132010.0
1971,Men,36 years,Persons,129665.0
1971,Men,37 years,Persons,130124.0
1971,Men,38 years,Persons,134150.0
1971,Men,39 years,Persons,135325.0
1971,Men,40 to 44 years,Persons,655406.0
1971,Men,40 years,Persons,133101.0
1971,Men,41 years,Persons,133763.0
1971,Men,42 years,Persons,129925.0
1971,Men,43 years,Persons,130967.0
1971,Men,44 years,Persons,127650.0
1971,Men,45 to 49 years,Persons,623256.0
1971,Men,45 years,Persons,127398.0
1971,Men,46 years,Persons,125802.0
1971,Men,47 years,Persons,124791.0
1971,Men,48 years,Persons,121530.0
1971,Men,49 years,Persons,123735.0
1971,Men,50 to 54 years,Persons,526548.0
1971,Men,50 years,Persons,116297.0
1971,Men,51 years,Persons,112740.0
1971,Men,52 years,Persons,101595.0
1971,Men,53 years,Persons,98328.0
1971,Men,54 years,Persons,97588.0
1971,Men,55 to 59 years,Persons,478899.0
1971,Men,55 years,Persons,97366.0
1971,Men,56 years,Persons,100559.0
1971,Men,57 years,Persons,98478.0
1971,Men,58 years,Persons,93075.0
1971,Men,59 years,Persons,89421.0
1971,Men,60 to 64 years,Persons,386266.0
1971,Men,60 years,Persons,84626.0
1971,Men,61 years,Persons,80849.0
1971,Men,62 years,Persons,77039.0
1971,Men,63 years,Persons,74018.0
1971,Men,64 years,Persons,69734.0
1971,Men,65 to 69 years,Persons,299341.0
1971,Men,65 years,Persons,66207.0
1971,Men,66 years,Persons,63317.0
1971,Men,67 years,Persons,60485.0
1971,Men,68 years,Persons,56816.0
1971,Men,69 years,Persons,52516.0
1971,Men,70 to 74 years,Persons,207978.0
1971,Men,70 years,Persons,48631.0
1971,Men,71 years,Persons,45379.0
1971,Men,72 years,Persons,41243.0
1971,Men,73 years,Persons,37537.0
1971,Men,74 years,Persons,35188.0
1971,Men,75 to 79 years,Persons,141292.0
1971,Men,75 years,Persons,33180.0
1971,Men,76 years,Persons,30222.0
1971,Men,77 years,Persons,28164.0
1971,Men,78 years,Persons,26026.0
1971,Men,79 years,Persons,23700.0
1971,Men,80 to 84 years,Persons,86512.0
1971,Men,80 years,Persons,21078.0
1971,Men,81 years,Persons,19105.0
1971,Men,82 years,Persons,17667.0
1971,Men,83 years,Persons,15545.0
1971,Men,84 years,Persons,13117.0
1971,Men,85 to 89 years,Persons,41058.0
1971,Men,85 years,Persons,11614.0
1971,Men,86 years,Persons,9908.0
1971,Men,87 years,Persons,8033.0
1971,Men,88 years,Persons,6416.0
1971,Men,89 years,Persons,5087.0
1971,Men,0 to 14 years,Persons,3288578.0
1971,Men,0 to 15 years,Persons,3519080.0
1971,Men,0 to 16 years,Persons,3749056.0
1971,Men,0 to 17 years,Persons,3970320.0
1971,Men,15 to 49 years,Persons,5555838.0
1971,Men,15 to 64 years,Persons,6947551.0
1971,Men,16 to 64 years,Persons,6717049.0
1971,Men,17 to 64 years,Persons,6487073.0
1971,Men,18 years and older,Persons,7056149.0
1971,Men,18 to 64 years,Persons,6265809.0
1971,Men,18 to 24 years,Persons,1409916.0
1971,Men,25 to 44 years,Persons,2840924.0
1971,Men,45 to 64 years,Persons,2014969.0
1971,Men,65 years and older,Persons,790340.0
1971,Men,90 years and older,Persons,14159.0
1971,Men,Median age,Years,25.8
1971,Men,Average age,Years,30.1
1971,Total,All ages,Persons,21962032.0
1971,Total,0 to 4 years,Persons,1836149.0
1971,Total,0 years,Persons,360077.0
1971,Total,1 year,Persons,364890.0
1971,Total,2 years,Persons,359388.0
1971,Total,3 years,Persons,363410.0
1971,Total,4 years,Persons,388384.0
1971,Total,5 to 9 years,Persons,2267794.0
1971,Total,5 years,Persons,413863.0
1971,Total,6 years,Persons,447784.0
1971,Total,7 years,Persons,462480.0
1971,Total,8 years,Persons,473810.0
1971,Total,9 years,Persons,469857.0
1971,Total,10 to 14 years,Persons,2329323.0
1971,Total,10 years,Persons,474243.0
1971,Total,11 years,Persons,471279.0
1971,Total,12 years,Persons,465151.0
1971,Total,13 years,Persons,462670.0
1971,Total,14 years,Persons,455980.0
1971,Total,15 to 19 years,Persons,2164092.0
1971,Total,15 years,Persons,451099.0
1971,Total,16 years,Persons,450902.0
1971,Total,17 years,Persons,435274.0
1971,Total,18 years,Persons,420213.0
1971,Total,19 years,Persons,406604.0
1971,Total,20 to 24 years,Persons,1976914.0
1971,Total,20 years,Persons,398116.0
1971,Total,21 years,Persons,390470.0
1971,Total,22 years,Persons,389478.0
1971,Total,23 years,Persons,393755.0
1971,Total,24 years,Persons,405095.0
1971,Total,25 to 29 years,Persons,1643264.0
1971,Total,25 years,Persons,348432.0
1971,Total,26 years,Persons,335028.0
1971,Total,27 years,Persons,332891.0
1971,Total,28 years,Persons,321645.0
1971,Total,29 years,Persons,305268.0
1971,Total,30 to 34 years,Persons,1342744.0
1971,Total,30 years,Persons,285955.0
1971,Total,31 years,Persons,274617.0
1971,Total,32 years,Persons,267709.0
1971,Total,33 years,Persons,261129.0
1971,Total,34 years,Persons,253334.0
1971,Total,35 to 39 years,Persons,1286302.0
1971,Total,35 years,Persons,257323.0
1971,Total,36 years,Persons,253296.0
1971,Total,37 years,Persons,252455.0
1971,Total,38 years,Persons,261488.0
1971,Total,39 years,Persons,261740.0
1971,Total,40 to 44 years,Persons,1284154.0
1971,Total,40 years,Persons,258550.0
1971,Total,41 years,Persons,260450.0
1971,Total,42 years,Persons,254766.0
1971,Total,43 years,Persons,257563.0
1971,Total,44 years,Persons,252825.0
1971,Total,45 to 49 years,Persons,1252545.0
1971,Total,45 years,Persons,254046.0
1971,Total,46 years,Persons,252360.0
1971,Total,47 years,Persons,251008.0
1971,Total,48 years,Persons,245653.0
1971,Total,49 years,Persons,249478.0
1971,Total,50 to 54 years,Persons,1065664.0
1971,Total,50 years,Persons,235290.0
1971,Total,51 years,Persons,227094.0
1971,Total,52 years,Persons,206699.0
1971,Total,53 years,Persons,199407.0
1971,Total,54 years,Persons,197174.0
1971,Total,55 to 59 years,Persons,964984.0
1971,Total,55 years,Persons,196381.0
1971,Total,56 years,Persons,202895.0
1971,Total,57 years,Persons,197764.0
1971,Total,58 years,Persons,187622.0
1971,Total,59 years,Persons,180322.0
1971,Total,60 to 64 years,Persons,785693.0
1971,Total,60 years,Persons,171294.0
1971,Total,61 years,Persons,162285.0
1971,Total,62 years,Persons,156573.0
1971,Total,63 years,Persons,151322.0
1971,Total,64 years,Persons,144219.0
1971,Total,65 to 69 years,Persons,626521.0
1971,Total,65 years,Persons,138237.0
1971,Total,66 years,Persons,132620.0
1971,Total,67 years,Persons,126127.0
1971,Total,68 years,Persons,119030.0
1971,Total,69 years,Persons,110507.0
1971,Total,70 to 74 years,Persons,462065.0
1971,Total,70 years,Persons,104901.0
1971,Total,71 years,Persons,99037.0
1971,Total,72 years,Persons,91913.0
1971,Total,73 years,Persons,85232.0
1971,Total,74 years,Persons,80982.0
1971,Total,75 to 79 years,Persons,328583.0
1971,Total,75 years,Persons,76691.0
1971,Total,76 years,Persons,70340.0
1971,Total,77 years,Persons,65556.0
1971,Total,78 years,Persons,60673.0
1971,Total,79 years,Persons,55323.0
1971,Total,80 to 84 years,Persons,206174.0
1971,Total,80 years,Persons,49602.0
1971,Total,81 years,Persons,45232.0
1971,Total,82 years,Persons,42372.0
1971,Total,83 years,Persons,37229.0
1971,Total,84 years,Persons,31739.0
1971,Total,85 to 89 years,Persons,101117.0
1971,Total,85 years,Persons,28223.0
1971,Total,86 years,Persons,23969.0
1971,Total,87 years,Persons,19816.0
1971,Total,88 years,Persons,16149.0
1971,Total,89 years,Persons,12960.0
1971,Total,0 to 14 years,Persons,6433266.0
1971,Total,0 to 15 years,Persons,6884365.0
1971,Total,0 to 16 years,Persons,7335267.0
1971,Total,0 to 17 years,Persons,7770541.0
1971,Total,15 to 49 years,Persons,10950015.0
1971,Total,15 to 64 years,Persons,13766356.0
1971,Total,16 to 64 years,Persons,13315257.0
1971,Total,17 to 64 years,Persons,12864355.0
1971,Total,18 years and older,Persons,14191491.0
1971,Total,18 to 64 years,Persons,12429081.0
1971,Total,18 to 24 years,Persons,2803731.0
1971,Total,25 to 44 years,Persons,5556464.0
1971,Total,45 to 64 years,Persons,4068886.0
1971,Total,65 years and older,Persons,1762410.0
1971,Total,90 years and older,Persons,37950.0
1971,Total,Median age,Years,26.2
1971,Total,Average age,Years,30.7
1971,Women,All ages,Persons,10935563.0
1971,Women,0 to 4 years,Persons,897314.0
1971,Women,0 years,Persons,176072.0
1971,Women,1 year,Persons,178595.0
1971,Women,2 years,Persons,175732.0
1971,Women,3 years,Persons,177887.0
1971,Women,4 years,Persons,189028.0
1971,Women,5 to 9 years,Persons,1108326.0
1971,Women,5 years,Persons,203549.0
1971,Women,6 years,Persons,217506.0
1971,Women,7 years,Persons,226452.0
1971,Women,8 years,Persons,231311.0
1971,Women,9 years,Persons,229508.0
1971,Women,10 to 14 years,Persons,1139048.0
1971,Women,10 years,Persons,232019.0
1971,Women,11 years,Persons,230008.0
1971,Women,12 years,Persons,227628.0
1971,Women,13 years,Persons,225986.0
1971,Women,14 years,Persons,223407.0
1971,Women,15 to 19 years,Persons,1064036.0
1971,Women,15 years,Persons,220597.0
1971,Women,16 years,Persons,220926.0
1971,Women,17 years,Persons,214010.0
1971,Women,18 years,Persons,207129.0
1971,Women,19 years,Persons,201374.0
1971,Women,20 to 24 years,Persons,985312.0
1971,Women,20 years,Persons,197562.0
1971,Women,21 years,Persons,193879.0
1971,Women,22 years,Persons,193872.0
1971,Women,23 years,Persons,195312.0
1971,Women,24 years,Persons,204687.0
1971,Women,25 to 29 years,Persons,804810.0
1971,Women,25 years,Persons,171802.0
1971,Women,26 years,Persons,167288.0
1971,Women,27 years,Persons,159833.0
1971,Women,28 years,Persons,158817.0
1971,Women,29 years,Persons,147070.0
1971,Women,30 to 34 years,Persons,656954.0
1971,Women,30 years,Persons,140587.0
1971,Women,31 years,Persons,133526.0
1971,Women,32 years,Persons,131512.0
1971,Women,33 years,Persons,127000.0
1971,Women,34 years,Persons,124329.0
1971,Women,35 to 39 years,Persons,625028.0
1971,Women,35 years,Persons,125313.0
1971,Women,36 years,Persons,123631.0
1971,Women,37 years,Persons,122331.0
1971,Women,38 years,Persons,127338.0
1971,Women,39 years,Persons,126415.0
1971,Women,40 to 44 years,Persons,628748.0
1971,Women,40 years,Persons,125449.0
1971,Women,41 years,Persons,126687.0
1971,Women,42 years,Persons,124841.0
1971,Women,43 years,Persons,126596.0
1971,Women,44 years,Persons,125175.0
1971,Women,45 to 49 years,Persons,629289.0
1971,Women,45 years,Persons,126648.0
1971,Women,46 years,Persons,126558.0
1971,Women,47 years,Persons,126217.0
1971,Women,48 years,Persons,124123.0
1971,Women,49 years,Persons,125743.0
1971,Women,50 to 54 years,Persons,539116.0
1971,Women,50 years,Persons,118993.0
1971,Women,51 years,Persons,114354.0
1971,Women,52 years,Persons,105104.0
1971,Women,53 years,Persons,101079.0
1971,Women,54 years,Persons,99586.0
1971,Women,55 to 59 years,Persons,486085.0
1971,Women,55 years,Persons,99015.0
1971,Women,56 years,Persons,102336.0
1971,Women,57 years,Persons,99286.0
1971,Women,58 years,Persons,94547.0
1971,Women,59 years,Persons,90901.0
1971,Women,60 to 64 years,Persons,399427.0
1971,Women,60 years,Persons,86668.0
1971,Women,61 years,Persons,81436.0
1971,Women,62 years,Persons,79534.0
1971,Women,63 years,Persons,77304.0
1971,Women,64 years,Persons,74485.0
1971,Women,65 to 69 years,Persons,327180.0
1971,Women,65 years,Persons,72030.0
1971,Women,66 years,Persons,69303.0
1971,Women,67 years,Persons,65642.0
1971,Women,68 years,Persons,62214.0
1971,Women,69 years,Persons,57991.0
1971,Women,70 to 74 years,Persons,254087.0
1971,Women,70 years,Persons,56270.0
1971,Women,71 years,Persons,53658.0
1971,Women,72 years,Persons,50670.0
1971,Women,73 years,Persons,47695.0
1971,Women,74 years,Persons,45794.0
1971,Women,75 to 79 years,Persons,187291.0
1971,Women,75 years,Persons,43511.0
1971,Women,76 years,Persons,40118.0
1971,Women,77 years,Persons,37392.0
1971,Women,78 years,Persons,34647.0
1971,Women,79 years,Persons,31623.0
1971,Women,80 to 84 years,Persons,119662.0
1971,Women,80 years,Persons,28524.0
1971,Women,81 years,Persons,26127.0
1971,Women,82 years,Persons,24705.0
1971,Women,83 years,Persons,21684.0
1971,Women,84 years,Persons,18622.0
1971,Women,85 to 89 years,Persons,60059.0
1971,Women,85 years,Persons,16609.0
1971,Women,86 years,Persons,14061.0
1971,Women,87 years,Persons,11783.0
1971,Women,88 years,Persons,9733.0
1971,Women,89 years,Persons,7873.0
1971,Women,0 to 14 years,Persons,3144688.0
1971,Women,0 to 15 years,Persons,3365285.0
1971,Women,0 to 16 years,Persons,3586211.0
1971,Women,0 to 17 years,Persons,3800221.0
1971,Women,15 to 49 years,Persons,5394177.0
1971,Women,15 to 64 years,Persons,6818805.0
1971,Women,16 to 64 years,Persons,6598208.0
1971,Women,17 to 64 years,Persons,6377282.0
1971,Women,18 years and older,Persons,7135342.0
1971,Women,18 to 64 years,Persons,6163272.0
1971,Women,18 to 24 years,Persons,1393815.0
1971,Women,25 to 44 years,Persons,2715540.0
1971,Women,45 to 64 years,Persons,2053917.0
1971,Women,65 years and older,Persons,972070.0
1971,Women,90 years and older,Persons,23791.0
1971,Women,Median age,Years,26.6
1971,Women,Average age,Years,31.3
1972,Men,All ages,Persons,11143941.0
1972,Men,0 to 4 years,Persons,921965.0
1972,Men,0 years,Persons,178358.0
1972,Men,1 year,Persons,185303.0
1972,Men,2 years,Persons,187604.0
1972,Men,3 years,Persons,184486.0
1972,Men,4 years,Persons,186214.0
1972,Men,5 to 9 years,Persons,1119235.0
1972,Men,5 years,Persons,199713.0
1972,Men,6 years,Persons,210565.0
1972,Men,7 years,Persons,230061.0
1972,Men,8 years,Persons,236256.0
1972,Men,9 years,Persons,242640.0
1972,Men,10 to 14 years,Persons,1201022.0
1972,Men,10 years,Persons,240437.0
1972,Men,11 years,Persons,243663.0
1972,Men,12 years,Persons,242227.0
1972,Men,13 years,Persons,237962.0
1972,Men,14 years,Persons,236733.0
1972,Men,15 to 19 years,Persons,1129532.0
1972,Men,15 years,Persons,232782.0
1972,Men,16 years,Persons,230743.0
1972,Men,17 years,Persons,230477.0
1972,Men,18 years,Persons,221683.0
1972,Men,19 years,Persons,213847.0
1972,Men,20 to 24 years,Persons,1002087.0
1972,Men,20 years,Persons,206259.0
1972,Men,21 years,Persons,201866.0
1972,Men,22 years,Persons,198019.0
1972,Men,23 years,Persons,196654.0
1972,Men,24 years,Persons,199289.0
1972,Men,25 to 29 years,Persons,885832.0
1972,Men,25 years,Persons,202188.0
1972,Men,26 years,Persons,177688.0
1972,Men,27 years,Persons,169024.0
1972,Men,28 years,Persons,173188.0
1972,Men,29 years,Persons,163744.0
1972,Men,30 to 34 years,Persons,713542.0
1972,Men,30 years,Persons,157616.0
1972,Men,31 years,Persons,145634.0
1972,Men,32 years,Persons,140682.0
1972,Men,33 years,Persons,136025.0
1972,Men,34 years,Persons,133585.0
1972,Men,35 to 39 years,Persons,653739.0
1972,Men,35 years,Persons,128800.0
1972,Men,36 years,Persons,131724.0
1972,Men,37 years,Persons,129361.0
1972,Men,38 years,Persons,129860.0
1972,Men,39 years,Persons,133994.0
1972,Men,40 to 44 years,Persons,660165.0
1972,Men,40 years,Persons,134766.0
1972,Men,41 years,Persons,132705.0
1972,Men,42 years,Persons,133360.0
1972,Men,43 years,Persons,129152.0
1972,Men,44 years,Persons,130182.0
1972,Men,45 to 49 years,Persons,623286.0
1972,Men,45 years,Persons,126978.0
1972,Men,46 years,Persons,126710.0
1972,Men,47 years,Persons,125011.0
1972,Men,48 years,Persons,123779.0
1972,Men,49 years,Persons,120808.0
1972,Men,50 to 54 years,Persons,548221.0
1972,Men,50 years,Persons,122982.0
1972,Men,51 years,Persons,115470.0
1972,Men,52 years,Persons,112067.0
1972,Men,53 years,Persons,100491.0
1972,Men,54 years,Persons,97211.0
1972,Men,55 to 59 years,Persons,480194.0
1972,Men,55 years,Persons,96510.0
1972,Men,56 years,Persons,96192.0
1972,Men,57 years,Persons,99121.0
1972,Men,58 years,Persons,96837.0
1972,Men,59 years,Persons,91534.0
1972,Men,60 to 64 years,Persons,398901.0
1972,Men,60 years,Persons,88144.0
1972,Men,61 years,Persons,83381.0
1972,Men,62 years,Persons,79464.0
1972,Men,63 years,Persons,75484.0
1972,Men,64 years,Persons,72428.0
1972,Men,65 to 69 years,Persons,306648.0
1972,Men,65 years,Persons,67921.0
1972,Men,66 years,Persons,64291.0
1972,Men,67 years,Persons,61284.0
1972,Men,68 years,Persons,58409.0
1972,Men,69 years,Persons,54743.0
1972,Men,70 to 74 years,Persons,214655.0
1972,Men,70 years,Persons,50371.0
1972,Men,71 years,Persons,46632.0
1972,Men,72 years,Persons,43264.0
1972,Men,73 years,Persons,39054.0
1972,Men,74 years,Persons,35334.0
1972,Men,75 to 79 years,Persons,141484.0
1972,Men,75 years,Persons,32941.0
1972,Men,76 years,Persons,30853.0
1972,Men,77 years,Persons,27978.0
1972,Men,78 years,Persons,25929.0
1972,Men,79 years,Persons,23783.0
1972,Men,80 to 84 years,Persons,86812.0
1972,Men,80 years,Persons,21486.0
1972,Men,81 years,Persons,19009.0
1972,Men,82 years,Persons,17107.0
1972,Men,83 years,Persons,15655.0
1972,Men,84 years,Persons,13555.0
1972,Men,85 to 89 years,Persons,41562.0
1972,Men,85 years,Persons,11299.0
1972,Men,86 years,Persons,9934.0
1972,Men,87 years,Persons,8346.0
1972,Men,88 years,Persons,6685.0
1972,Men,89 years,Persons,5298.0
1972,Men,0 to 14 years,Persons,3242222.0
1972,Men,0 to 15 years,Persons,3475004.0
1972,Men,0 to 16 years,Persons,3705747.0
1972,Men,0 to 17 years,Persons,3936224.0
1972,Men,15 to 49 years,Persons,5668183.0
1972,Men,15 to 64 years,Persons,7095499.0
1972,Men,16 to 64 years,Persons,6862717.0
1972,Men,17 to 64 years,Persons,6631974.0
1972,Men,18 years and older,Persons,7207717.0
1972,Men,18 to 64 years,Persons,6401497.0
1972,Men,18 to 24 years,Persons,1437617.0
1972,Men,25 to 44 years,Persons,2913278.0
1972,Men,45 to 64 years,Persons,2050602.0
1972,Men,65 years and older,Persons,806220.0
1972,Men,90 years and older,Persons,15059.0
1972,Men,Median age,Years,26.0
1972,Men,Average age,Years,30.3
1972,Total,All ages,Persons,22218463.0
1972,Total,0 to 4 years,Persons,1801915.0
1972,Total,0 years,Persons,346631.0
1972,Total,1 year,Persons,362556.0
1972,Total,2 years,Persons,367215.0
1972,Total,3 years,Persons,360803.0
1972,Total,4 years,Persons,364710.0
1972,Total,5 to 9 years,Persons,2187938.0
1972,Total,5 years,Persons,389323.0
1972,Total,6 years,Persons,413934.0
1972,Total,7 years,Persons,447714.0
1972,Total,8 years,Persons,462718.0
1972,Total,9 years,Persons,474249.0
1972,Total,10 to 14 years,Persons,2349140.0
1972,Total,10 years,Persons,470061.0
1972,Total,11 years,Persons,476900.0
1972,Total,12 years,Persons,473175.0
1972,Total,13 years,Persons,466030.0
1972,Total,14 years,Persons,462974.0
1972,Total,15 to 19 years,Persons,2221277.0
1972,Total,15 years,Persons,456826.0
1972,Total,16 years,Persons,452085.0
1972,Total,17 years,Persons,452676.0
1972,Total,18 years,Persons,436957.0
1972,Total,19 years,Persons,422733.0
1972,Total,20 to 24 years,Persons,1989767.0
1972,Total,20 years,Persons,409124.0
1972,Total,21 years,Persons,400826.0
1972,Total,22 years,Persons,393073.0
1972,Total,23 years,Persons,391447.0
1972,Total,24 years,Persons,395297.0
1972,Total,25 to 29 years,Persons,1751659.0
1972,Total,25 years,Persons,407203.0
1972,Total,26 years,Persons,350150.0
1972,Total,27 years,Persons,336669.0
1972,Total,28 years,Persons,334336.0
1972,Total,29 years,Persons,323301.0
1972,Total,30 to 34 years,Persons,1393880.0
1972,Total,30 years,Persons,304951.0
1972,Total,31 years,Persons,286544.0
1972,Total,32 years,Persons,274433.0
1972,Total,33 years,Persons,267485.0
1972,Total,34 years,Persons,260467.0
1972,Total,35 to 39 years,Persons,1277301.0
1972,Total,35 years,Persons,253120.0
1972,Total,36 years,Persons,257094.0
1972,Total,37 years,Persons,253063.0
1972,Total,38 years,Persons,252411.0
1972,Total,39 years,Persons,261613.0
1972,Total,40 to 44 years,Persons,1289466.0
1972,Total,40 years,Persons,261010.0
1972,Total,41 years,Persons,258222.0
1972,Total,42 years,Persons,260111.0
1972,Total,43 years,Persons,253666.0
1972,Total,44 years,Persons,256457.0
1972,Total,45 to 49 years,Persons,1251305.0
1972,Total,45 years,Persons,251870.0
1972,Total,46 years,Persons,253330.0
1972,Total,47 years,Persons,251406.0
1972,Total,48 years,Persons,249696.0
1972,Total,49 years,Persons,245003.0
1972,Total,50 to 54 years,Persons,1112092.0
1972,Total,50 years,Persons,248713.0
1972,Total,51 years,Persons,234278.0
1972,Total,52 years,Persons,226405.0
1972,Total,53 years,Persons,205018.0
1972,Total,54 years,Persons,197678.0
1972,Total,55 to 59 years,Persons,972171.0
1972,Total,55 years,Persons,195709.0
1972,Total,56 years,Persons,194721.0
1972,Total,57 years,Persons,200854.0
1972,Total,58 years,Persons,195463.0
1972,Total,59 years,Persons,185424.0
1972,Total,60 to 64 years,Persons,813135.0
1972,Total,60 years,Persons,178782.0
1972,Total,61 years,Persons,170016.0
1972,Total,62 years,Persons,160599.0
1972,Total,63 years,Persons,154608.0
1972,Total,64 years,Persons,149130.0
1972,Total,65 to 69 years,Persons,644955.0
1972,Total,65 years,Persons,141502.0
1972,Total,66 years,Persons,135237.0
1972,Total,67 years,Persons,129462.0
1972,Total,68 years,Persons,122941.0
1972,Total,69 years,Persons,115813.0
1972,Total,70 to 74 years,Persons,474403.0
1972,Total,70 years,Persons,107163.0
1972,Total,71 years,Persons,101946.0
1972,Total,72 years,Persons,95683.0
1972,Total,73 years,Persons,88251.0
1972,Total,74 years,Persons,81360.0
1972,Total,75 to 79 years,Persons,333623.0
1972,Total,75 years,Persons,77012.0
1972,Total,76 years,Persons,72556.0
1972,Total,77 years,Persons,66183.0
1972,Total,78 years,Persons,61341.0
1972,Total,79 years,Persons,56531.0
1972,Total,80 to 84 years,Persons,209849.0
1972,Total,80 years,Persons,51180.0
1972,Total,81 years,Persons,45691.0
1972,Total,82 years,Persons,41395.0
1972,Total,83 years,Persons,38361.0
1972,Total,84 years,Persons,33222.0
1972,Total,85 to 89 years,Persons,103943.0
1972,Total,85 years,Persons,27922.0
1972,Total,86 years,Persons,24712.0
1972,Total,87 years,Persons,20706.0
1972,Total,88 years,Persons,16929.0
1972,Total,89 years,Persons,13674.0
1972,Total,0 to 14 years,Persons,6338993.0
1972,Total,0 to 15 years,Persons,6795819.0
1972,Total,0 to 16 years,Persons,7247904.0
1972,Total,0 to 17 years,Persons,7700580.0
1972,Total,15 to 49 years,Persons,11174655.0
1972,Total,15 to 64 years,Persons,14072053.0
1972,Total,16 to 64 years,Persons,13615227.0
1972,Total,17 to 64 years,Persons,13163142.0
1972,Total,18 years and older,Persons,14517883.0
1972,Total,18 to 64 years,Persons,12710466.0
1972,Total,18 to 24 years,Persons,2849457.0
1972,Total,25 to 44 years,Persons,5712306.0
1972,Total,45 to 64 years,Persons,4148703.0
1972,Total,65 years and older,Persons,1807417.0
1972,Total,90 years and older,Persons,40644.0
1972,Total,Median age,Years,26.4
1972,Total,Average age,Years,31.0
1972,Women,All ages,Persons,11074522.0
1972,Women,0 to 4 years,Persons,879950.0
1972,Women,0 years,Persons,168273.0
1972,Women,1 year,Persons,177253.0
1972,Women,2 years,Persons,179611.0
1972,Women,3 years,Persons,176317.0
1972,Women,4 years,Persons,178496.0
1972,Women,5 to 9 years,Persons,1068703.0
1972,Women,5 years,Persons,189610.0
1972,Women,6 years,Persons,203369.0
1972,Women,7 years,Persons,217653.0
1972,Women,8 years,Persons,226462.0
1972,Women,9 years,Persons,231609.0
1972,Women,10 to 14 years,Persons,1148118.0
1972,Women,10 years,Persons,229624.0
1972,Women,11 years,Persons,233237.0
1972,Women,12 years,Persons,230948.0
1972,Women,13 years,Persons,228068.0
1972,Women,14 years,Persons,226241.0
1972,Women,15 to 19 years,Persons,1091745.0
1972,Women,15 years,Persons,224044.0
1972,Women,16 years,Persons,221342.0
1972,Women,17 years,Persons,222199.0
1972,Women,18 years,Persons,215274.0
1972,Women,19 years,Persons,208886.0
1972,Women,20 to 24 years,Persons,987680.0
1972,Women,20 years,Persons,202865.0
1972,Women,21 years,Persons,198960.0
1972,Women,22 years,Persons,195054.0
1972,Women,23 years,Persons,194793.0
1972,Women,24 years,Persons,196008.0
1972,Women,25 to 29 years,Persons,865827.0
1972,Women,25 years,Persons,205015.0
1972,Women,26 years,Persons,172462.0
1972,Women,27 years,Persons,167645.0
1972,Women,28 years,Persons,161148.0
1972,Women,29 years,Persons,159557.0
1972,Women,30 to 34 years,Persons,680338.0
1972,Women,30 years,Persons,147335.0
1972,Women,31 years,Persons,140910.0
1972,Women,32 years,Persons,133751.0
1972,Women,33 years,Persons,131460.0
1972,Women,34 years,Persons,126882.0
1972,Women,35 to 39 years,Persons,623562.0
1972,Women,35 years,Persons,124320.0
1972,Women,36 years,Persons,125370.0
1972,Women,37 years,Persons,123702.0
1972,Women,38 years,Persons,122551.0
1972,Women,39 years,Persons,127619.0
1972,Women,40 to 44 years,Persons,629301.0
1972,Women,40 years,Persons,126244.0
1972,Women,41 years,Persons,125517.0
1972,Women,42 years,Persons,126751.0
1972,Women,43 years,Persons,124514.0
1972,Women,44 years,Persons,126275.0
1972,Women,45 to 49 years,Persons,628019.0
1972,Women,45 years,Persons,124892.0
1972,Women,46 years,Persons,126620.0
1972,Women,47 years,Persons,126395.0
1972,Women,48 years,Persons,125917.0
1972,Women,49 years,Persons,124195.0
1972,Women,50 to 54 years,Persons,563871.0
1972,Women,50 years,Persons,125731.0
1972,Women,51 years,Persons,118808.0
1972,Women,52 years,Persons,114338.0
1972,Women,53 years,Persons,104527.0
