year,fiscal_year,agency,agency_full,component,ftes
2001,2001/02,Health Canada,Health Canada,Related scientific activities,1806.0
2001,2001/02,Health Canada,Health Canada,Research and development,665.0
2001,2001/02,Health Canada,Health Canada,"Total, science and technology",2471.0
2001,2001/02,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,528.0
2001,2001/02,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,422.0
2001,2001/02,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",950.0
2001,2001/02,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,31.0
2001,2001/02,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,233.0
2001,2001/02,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",264.0
2001,2001/02,National Defence,National Defence,Related scientific activities,130.0
2001,2001/02,National Defence,National Defence,Research and development,1298.0
2001,2001/02,National Defence,National Defence,"Total, science and technology",1428.0
2001,2001/02,National Research Council,National Research Council Canada,Related scientific activities,1105.0
2001,2001/02,National Research Council,National Research Council Canada,Research and development,2507.0
2001,2001/02,National Research Council,National Research Council Canada,"Total, science and technology",3612.0
2001,2001/02,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1472.0
2001,2001/02,Natural Resources Canada,Natural Resources Canada,Research and development,1689.0
2001,2001/02,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3161.0
2001,2001/02,Other departments & agencies,Other departments and agencies,Related scientific activities,5095.0
2001,2001/02,Other departments & agencies,Other departments and agencies,Research and development,663.0
2001,2001/02,Other departments & agencies,Other departments and agencies,"Total, science and technology",5758.0
2001,2001/02,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,71.0
2001,2001/02,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,77.0
2001,2001/02,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",148.0
2001,2001/02,Statistics Canada,Statistics Canada,Related scientific activities,6126.0
2001,2001/02,Statistics Canada,Statistics Canada,Research and development,194.0
2001,2001/02,Statistics Canada,Statistics Canada,"Total, science and technology",6320.0
2002,2002/03,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,483.0
2002,2002/03,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1810.0
2002,2002/03,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2293.0
2002,2002/03,All federal agencies,Total departments and agencies,Related scientific activities,21159.0
2002,2002/03,All federal agencies,Total departments and agencies,Research and development,13966.0
2002,2002/03,All federal agencies,Total departments and agencies,"Total, science and technology",35125.0
2002,2002/03,CFI,Canada Foundation for Innovation,Research and development,40.0
2002,2002/03,CFI,Canada Foundation for Innovation,"Total, science and technology",40.0
2002,2002/03,CIHR,Canadian Institutes of Health Research,Related scientific activities,5.0
2002,2002/03,CIHR,Canadian Institutes of Health Research,Research and development,222.0
2002,2002/03,CIHR,Canadian Institutes of Health Research,"Total, science and technology",227.0
2002,2002/03,Canadian Space Agency,Canadian Space Agency,Related scientific activities,57.0
2002,2002/03,Canadian Space Agency,Canadian Space Agency,Research and development,464.0
2002,2002/03,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",521.0
2002,2002/03,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,218.0
2002,2002/03,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,29.0
2002,2002/03,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",247.0
2002,2002/03,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2272.0
2002,2002/03,Environment & Climate Change,Environment and Climate Change Canada,Research and development,885.0
2002,2002/03,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3157.0
2002,2002/03,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1481.0
2002,2002/03,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,891.0
2002,2002/03,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",2371.0
2002,2002/03,Health Canada,Health Canada,Related scientific activities,1809.0
2002,2002/03,Health Canada,Health Canada,Research and development,699.0
2002,2002/03,Health Canada,Health Canada,"Total, science and technology",2507.0
2002,2002/03,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,582.0
2002,2002/03,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,479.0
2002,2002/03,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",1061.0
2002,2002/03,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,34.0
2002,2002/03,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,246.0
2002,2002/03,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",280.0
2002,2002/03,National Defence,National Defence,Related scientific activities,344.0
2002,2002/03,National Defence,National Defence,Research and development,1484.0
2002,2002/03,National Defence,National Defence,"Total, science and technology",1828.0
2002,2002/03,National Research Council,National Research Council Canada,Related scientific activities,1167.0
2002,2002/03,National Research Council,National Research Council Canada,Research and development,2723.0
2002,2002/03,National Research Council,National Research Council Canada,"Total, science and technology",3890.0
2002,2002/03,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1687.0
2002,2002/03,Natural Resources Canada,Natural Resources Canada,Research and development,1845.0
2002,2002/03,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3532.0
2002,2002/03,Other departments & agencies,Other departments and agencies,Related scientific activities,5191.0
2002,2002/03,Other departments & agencies,Other departments and agencies,Research and development,1856.0
2002,2002/03,Other departments & agencies,Other departments and agencies,"Total, science and technology",7047.0
2002,2002/03,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,68.0
2002,2002/03,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,90.0
2002,2002/03,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",158.0
2002,2002/03,Statistics Canada,Statistics Canada,Related scientific activities,5761.0
2002,2002/03,Statistics Canada,Statistics Canada,Research and development,203.0
2002,2002/03,Statistics Canada,Statistics Canada,"Total, science and technology",5964.0
2003,2003/04,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,638.0
2003,2003/04,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1737.0
2003,2003/04,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2375.0
2003,2003/04,All federal agencies,Total departments and agencies,Related scientific activities,21123.0
2003,2003/04,All federal agencies,Total departments and agencies,Research and development,13585.0
2003,2003/04,All federal agencies,Total departments and agencies,"Total, science and technology",34707.0
2003,2003/04,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,1002.0
2003,2003/04,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",1002.0
2003,2003/04,CFI,Canada Foundation for Innovation,Research and development,43.0
2003,2003/04,CFI,Canada Foundation for Innovation,"Total, science and technology",43.0
2003,2003/04,CIHR,Canadian Institutes of Health Research,Related scientific activities,6.0
2003,2003/04,CIHR,Canadian Institutes of Health Research,Research and development,269.0
2003,2003/04,CIHR,Canadian Institutes of Health Research,"Total, science and technology",275.0
2003,2003/04,Canadian Space Agency,Canadian Space Agency,Related scientific activities,68.0
2003,2003/04,Canadian Space Agency,Canadian Space Agency,Research and development,482.0
2003,2003/04,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",550.0
2003,2003/04,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,211.0
2003,2003/04,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,27.0
2003,2003/04,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",238.0
