year,fiscal_year,agency,agency_full,component,ftes
2006,2006/07,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",308.0
2006,2006/07,National Defence,National Defence,Related scientific activities,336.0
2006,2006/07,National Defence,National Defence,Research and development,1538.0
2006,2006/07,National Defence,National Defence,"Total, science and technology",1873.0
2006,2006/07,National Research Council,National Research Council Canada,Related scientific activities,506.0
2006,2006/07,National Research Council,National Research Council Canada,Research and development,3684.0
2006,2006/07,National Research Council,National Research Council Canada,"Total, science and technology",4190.0
2006,2006/07,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1597.0
2006,2006/07,Natural Resources Canada,Natural Resources Canada,Research and development,1435.0
2006,2006/07,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3032.0
2006,2006/07,Other departments & agencies,Other departments and agencies,Related scientific activities,5057.0
2006,2006/07,Other departments & agencies,Other departments and agencies,Research and development,1108.0
2006,2006/07,Other departments & agencies,Other departments and agencies,"Total, science and technology",6165.0
2006,2006/07,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,54.0
2006,2006/07,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,127.0
2006,2006/07,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",181.0
2006,2006/07,Statistics Canada,Statistics Canada,Related scientific activities,5937.0
2006,2006/07,Statistics Canada,Statistics Canada,Research and development,393.0
2006,2006/07,Statistics Canada,Statistics Canada,"Total, science and technology",6330.0
2007,2007/08,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,286.0
2007,2007/08,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2076.0
2007,2007/08,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2362.0
2007,2007/08,All federal agencies,Total departments and agencies,Related scientific activities,20405.0
2007,2007/08,All federal agencies,Total departments and agencies,Research and development,15632.0
2007,2007/08,All federal agencies,Total departments and agencies,"Total, science and technology",36037.0
2007,2007/08,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,1400.0
2007,2007/08,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",1400.0
2007,2007/08,CFI,Canada Foundation for Innovation,Research and development,60.0
2007,2007/08,CFI,Canada Foundation for Innovation,"Total, science and technology",60.0
2007,2007/08,CIHR,Canadian Institutes of Health Research,Related scientific activities,7.0
2007,2007/08,CIHR,Canadian Institutes of Health Research,Research and development,354.0
2007,2007/08,CIHR,Canadian Institutes of Health Research,"Total, science and technology",361.0
2007,2007/08,Canadian Space Agency,Canadian Space Agency,Related scientific activities,36.0
2007,2007/08,Canadian Space Agency,Canadian Space Agency,Research and development,568.0
2007,2007/08,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",604.0
2007,2007/08,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,198.0
2007,2007/08,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,33.0
2007,2007/08,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",231.0
2007,2007/08,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2477.0
2007,2007/08,Environment & Climate Change,Environment and Climate Change Canada,Research and development,962.0
2007,2007/08,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3439.0
2007,2007/08,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1314.0
2007,2007/08,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,489.0
2007,2007/08,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1803.0
2007,2007/08,Health Canada,Health Canada,Related scientific activities,2700.0
2007,2007/08,Health Canada,Health Canada,Research and development,468.0
2007,2007/08,Health Canada,Health Canada,"Total, science and technology",3168.0
2007,2007/08,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,660.0
2007,2007/08,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,350.0
2007,2007/08,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",1010.0
2007,2007/08,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,41.0
2007,2007/08,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,286.0
2007,2007/08,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",327.0
2007,2007/08,National Defence,National Defence,Related scientific activities,219.0
2007,2007/08,National Defence,National Defence,Research and development,1679.0
2007,2007/08,National Defence,National Defence,"Total, science and technology",1898.0
2007,2007/08,National Research Council,National Research Council Canada,Related scientific activities,448.0
2007,2007/08,National Research Council,National Research Council Canada,Research and development,3833.0
2007,2007/08,National Research Council,National Research Council Canada,"Total, science and technology",4281.0
2007,2007/08,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1659.0
2007,2007/08,Natural Resources Canada,Natural Resources Canada,Research and development,1464.0
2007,2007/08,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3123.0
2007,2007/08,Other departments & agencies,Other departments and agencies,Related scientific activities,4946.0
2007,2007/08,Other departments & agencies,Other departments and agencies,Research and development,1164.0
2007,2007/08,Other departments & agencies,Other departments and agencies,"Total, science and technology",6110.0
2007,2007/08,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,55.0
2007,2007/08,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,129.0
2007,2007/08,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",184.0
2007,2007/08,Statistics Canada,Statistics Canada,Related scientific activities,5359.0
2007,2007/08,Statistics Canada,Statistics Canada,Research and development,317.0
2007,2007/08,Statistics Canada,Statistics Canada,"Total, science and technology",5676.0
2008,2008/09,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,208.0
2008,2008/09,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,1982.0
2008,2008/09,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2190.0
2008,2008/09,All federal agencies,Total departments and agencies,Related scientific activities,21061.0
2008,2008/09,All federal agencies,Total departments and agencies,Research and development,16272.0
2008,2008/09,All federal agencies,Total departments and agencies,"Total, science and technology",37333.0
2008,2008/09,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,2061.0
2008,2008/09,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",2061.0
2008,2008/09,CFI,Canada Foundation for Innovation,Research and development,64.0
2008,2008/09,CFI,Canada Foundation for Innovation,"Total, science and technology",64.0
2008,2008/09,CIHR,Canadian Institutes of Health Research,Related scientific activities,10.0
2008,2008/09,CIHR,Canadian Institutes of Health Research,Research and development,393.0
2008,2008/09,CIHR,Canadian Institutes of Health Research,"Total, science and technology",403.0
2008,2008/09,Canadian Space Agency,Canadian Space Agency,Related scientific activities,31.0
2008,2008/09,Canadian Space Agency,Canadian Space Agency,Research and development,589.0
2008,2008/09,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",621.0
2008,2008/09,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,225.0
2008,2008/09,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,28.0
2008,2008/09,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",253.0
2008,2008/09,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2487.0
2008,2008/09,Environment & Climate Change,Environment and Climate Change Canada,Research and development,966.0
2008,2008/09,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3453.0
2008,2008/09,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1777.0
2008,2008/09,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,84.0
2008,2008/09,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1861.0
2008,2008/09,Health Canada,Health Canada,Related scientific activities,2620.0
2008,2008/09,Health Canada,Health Canada,Research and development,458.0
2008,2008/09,Health Canada,Health Canada,"Total, science and technology",3078.0
2008,2008/09,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,625.0
2008,2008/09,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,331.0
2008,2008/09,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",956.0
2008,2008/09,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,48.0
2008,2008/09,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,304.0
2008,2008/09,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",352.0
2008,2008/09,National Defence,National Defence,Related scientific activities,201.0
2008,2008/09,National Defence,National Defence,Research and development,1678.0
2008,2008/09,National Defence,National Defence,"Total, science and technology",1879.0
2008,2008/09,National Research Council,National Research Council Canada,Related scientific activities,447.0
2008,2008/09,National Research Council,National Research Council Canada,Research and development,3989.0
2008,2008/09,National Research Council,National Research Council Canada,"Total, science and technology",4436.0
2008,2008/09,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1641.0
2008,2008/09,Natural Resources Canada,Natural Resources Canada,Research and development,1411.0
2008,2008/09,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3052.0
2008,2008/09,Other departments & agencies,Other departments and agencies,Related scientific activities,5454.0
2008,2008/09,Other departments & agencies,Other departments and agencies,Research and development,1369.0
2008,2008/09,Other departments & agencies,Other departments and agencies,"Total, science and technology",6823.0
2008,2008/09,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,60.0
2008,2008/09,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,139.0
2008,2008/09,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",199.0
2008,2008/09,Statistics Canada,Statistics Canada,Related scientific activities,5226.0
2008,2008/09,Statistics Canada,Statistics Canada,Research and development,426.0
2008,2008/09,Statistics Canada,Statistics Canada,"Total, science and technology",5652.0
2009,2009/10,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,239.0
2009,2009/10,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2148.0
2009,2009/10,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2387.0
2009,2009/10,All federal agencies,Total departments and agencies,Related scientific activities,21696.0
2009,2009/10,All federal agencies,Total departments and agencies,Research and development,17272.0
2009,2009/10,All federal agencies,Total departments and agencies,"Total, science and technology",38968.0
2009,2009/10,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,2422.0
2009,2009/10,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",2422.0
2009,2009/10,CFI,Canada Foundation for Innovation,Research and development,61.0
2009,2009/10,CFI,Canada Foundation for Innovation,"Total, science and technology",61.0
2009,2009/10,CIHR,Canadian Institutes of Health Research,Related scientific activities,16.0
2009,2009/10,CIHR,Canadian Institutes of Health Research,Research and development,380.0
2009,2009/10,CIHR,Canadian Institutes of Health Research,"Total, science and technology",396.0
2009,2009/10,Canadian Space Agency,Canadian Space Agency,Related scientific activities,410.0
2009,2009/10,Canadian Space Agency,Canadian Space Agency,Research and development,252.0
2009,2009/10,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",661.0
2009,2009/10,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,183.0
2009,2009/10,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,52.0
2009,2009/10,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",235.0
2009,2009/10,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2622.0
2009,2009/10,Environment & Climate Change,Environment and Climate Change Canada,Research and development,1018.0
2009,2009/10,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3640.0
2009,2009/10,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1765.0
2009,2009/10,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,87.0
2009,2009/10,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1851.0
2009,2009/10,Health Canada,Health Canada,Related scientific activities,2698.0
2009,2009/10,Health Canada,Health Canada,Research and development,440.0
2009,2009/10,Health Canada,Health Canada,"Total, science and technology",3138.0
2009,2009/10,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,690.0
2009,2009/10,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,344.0
2009,2009/10,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",1034.0
2009,2009/10,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,51.0
2009,2009/10,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,320.0
2009,2009/10,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",371.0
2009,2009/10,National Defence,National Defence,Related scientific activities,242.0
2009,2009/10,National Defence,National Defence,Research and development,1887.0
2009,2009/10,National Defence,National Defence,"Total, science and technology",2130.0
2009,2009/10,National Research Council,National Research Council Canada,Related scientific activities,395.0
2009,2009/10,National Research Council,National Research Council Canada,Research and development,4249.0
2009,2009/10,National Research Council,National Research Council Canada,"Total, science and technology",4644.0
2009,2009/10,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1667.0
2009,2009/10,Natural Resources Canada,Natural Resources Canada,Research and development,1357.0
2009,2009/10,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",3024.0
2009,2009/10,Other departments & agencies,Other departments and agencies,Related scientific activities,5566.0
2009,2009/10,Other departments & agencies,Other departments and agencies,Research and development,1636.0
2009,2009/10,Other departments & agencies,Other departments and agencies,"Total, science and technology",7202.0
2009,2009/10,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,68.0
2009,2009/10,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,158.0
2009,2009/10,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",226.0
2009,2009/10,Statistics Canada,Statistics Canada,Related scientific activities,5084.0
2009,2009/10,Statistics Canada,Statistics Canada,Research and development,461.0
2009,2009/10,Statistics Canada,Statistics Canada,"Total, science and technology",5545.0
2010,2010/11,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,288.0
2010,2010/11,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2134.0
2010,2010/11,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2422.0
2010,2010/11,All federal agencies,Total departments and agencies,Related scientific activities,21512.0
2010,2010/11,All federal agencies,Total departments and agencies,Research and development,17082.0
2010,2010/11,All federal agencies,Total departments and agencies,"Total, science and technology",38594.0
2010,2010/11,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,2372.0
2010,2010/11,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",2372.0
2010,2010/11,CFI,Canada Foundation for Innovation,Research and development,64.0
2010,2010/11,CFI,Canada Foundation for Innovation,"Total, science and technology",64.0
2010,2010/11,CIHR,Canadian Institutes of Health Research,Related scientific activities,19.0
2010,2010/11,CIHR,Canadian Institutes of Health Research,Research and development,413.0
2010,2010/11,CIHR,Canadian Institutes of Health Research,"Total, science and technology",432.0
2010,2010/11,Canadian Space Agency,Canadian Space Agency,Related scientific activities,424.0
2010,2010/11,Canadian Space Agency,Canadian Space Agency,Research and development,269.0
2010,2010/11,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",693.0
2010,2010/11,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,209.0
2010,2010/11,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,23.0
2010,2010/11,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",232.0
2010,2010/11,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2618.0
2010,2010/11,Environment & Climate Change,Environment and Climate Change Canada,Research and development,1017.0
2010,2010/11,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3635.0
2010,2010/11,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1767.0
2010,2010/11,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,83.0
2010,2010/11,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1851.0
2010,2010/11,Health Canada,Health Canada,Related scientific activities,2621.0
2010,2010/11,Health Canada,Health Canada,Research and development,453.0
2010,2010/11,Health Canada,Health Canada,"Total, science and technology",3074.0
2010,2010/11,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,688.0
2010,2010/11,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,341.0
2010,2010/11,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",1029.0
2010,2010/11,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,48.0
2010,2010/11,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,324.0
2010,2010/11,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",372.0
2010,2010/11,National Defence,National Defence,Related scientific activities,284.0
2010,2010/11,National Defence,National Defence,Research and development,1966.0
2010,2010/11,National Defence,National Defence,"Total, science and technology",2250.0
2010,2010/11,National Research Council,National Research Council Canada,Related scientific activities,251.0
2010,2010/11,National Research Council,National Research Council Canada,Research and development,4114.0
2010,2010/11,National Research Council,National Research Council Canada,"Total, science and technology",4365.0
2010,2010/11,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1514.0
2010,2010/11,Natural Resources Canada,Natural Resources Canada,Research and development,1247.0
2010,2010/11,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2760.0
2010,2010/11,Other departments & agencies,Other departments and agencies,Related scientific activities,5602.0
2010,2010/11,Other departments & agencies,Other departments and agencies,Research and development,1537.0
2010,2010/11,Other departments & agencies,Other departments and agencies,"Total, science and technology",7139.0
2010,2010/11,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,65.0
2010,2010/11,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,148.0
2010,2010/11,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",213.0
2010,2010/11,Statistics Canada,Statistics Canada,Related scientific activities,5114.0
2010,2010/11,Statistics Canada,Statistics Canada,Research and development,577.0
2010,2010/11,Statistics Canada,Statistics Canada,"Total, science and technology",5691.0
2011,2011/12,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,329.0
2011,2011/12,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2112.0
2011,2011/12,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2442.0
2011,2011/12,All federal agencies,Total departments and agencies,Related scientific activities,22227.0
2011,2011/12,All federal agencies,Total departments and agencies,Research and development,16962.0
2011,2011/12,All federal agencies,Total departments and agencies,"Total, science and technology",39189.0
2011,2011/12,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,3016.0
2011,2011/12,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",3016.0
2011,2011/12,CFI,Canada Foundation for Innovation,Research and development,64.0
2011,2011/12,CFI,Canada Foundation for Innovation,"Total, science and technology",64.0
2011,2011/12,CIHR,Canadian Institutes of Health Research,Related scientific activities,17.0
2011,2011/12,CIHR,Canadian Institutes of Health Research,Research and development,415.0
2011,2011/12,CIHR,Canadian Institutes of Health Research,"Total, science and technology",432.0
2011,2011/12,Canadian Space Agency,Canadian Space Agency,Related scientific activities,416.0
2011,2011/12,Canadian Space Agency,Canadian Space Agency,Research and development,284.0
2011,2011/12,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",700.0
2011,2011/12,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,209.0
2011,2011/12,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,19.0
2011,2011/12,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",228.0
2011,2011/12,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2466.0
2011,2011/12,Environment & Climate Change,Environment and Climate Change Canada,Research and development,957.0
2011,2011/12,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3423.0
2011,2011/12,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1718.0
2011,2011/12,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,81.0
2011,2011/12,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1799.0
2011,2011/12,Health Canada,Health Canada,Related scientific activities,2799.0
2011,2011/12,Health Canada,Health Canada,Research and development,423.0
2011,2011/12,Health Canada,Health Canada,"Total, science and technology",3221.0
2011,2011/12,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,654.0
2011,2011/12,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,334.0
2011,2011/12,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",988.0
2011,2011/12,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,45.0
2011,2011/12,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,343.0
2011,2011/12,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",388.0
2011,2011/12,National Defence,National Defence,Related scientific activities,248.0
2011,2011/12,National Defence,National Defence,Research and development,1594.0
2011,2011/12,National Defence,National Defence,"Total, science and technology",1841.0
2011,2011/12,National Research Council,National Research Council Canada,Related scientific activities,204.0
2011,2011/12,National Research Council,National Research Council Canada,Research and development,3888.0
2011,2011/12,National Research Council,National Research Council Canada,"Total, science and technology",4092.0
2011,2011/12,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1489.0
2011,2011/12,Natural Resources Canada,Natural Resources Canada,Research and development,1353.0
2011,2011/12,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2842.0
2011,2011/12,Other departments & agencies,Other departments and agencies,Related scientific activities,5560.0
2011,2011/12,Other departments & agencies,Other departments and agencies,Research and development,1593.0
2011,2011/12,Other departments & agencies,Other departments and agencies,"Total, science and technology",7152.0
2011,2011/12,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,41.0
2011,2011/12,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,175.0
2011,2011/12,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",216.0
2011,2011/12,Statistics Canada,Statistics Canada,Related scientific activities,6033.0
2011,2011/12,Statistics Canada,Statistics Canada,Research and development,312.0
2011,2011/12,Statistics Canada,Statistics Canada,"Total, science and technology",6345.0
2012,2012/13,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,343.0
2012,2012/13,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2309.0
2012,2012/13,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2652.0
2012,2012/13,All federal agencies,Total departments and agencies,Related scientific activities,20694.0
2012,2012/13,All federal agencies,Total departments and agencies,Research and development,16289.0
2012,2012/13,All federal agencies,Total departments and agencies,"Total, science and technology",36982.0
2012,2012/13,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,2844.0
2012,2012/13,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",2844.0
2012,2012/13,CFI,Canada Foundation for Innovation,Research and development,62.0
2012,2012/13,CFI,Canada Foundation for Innovation,"Total, science and technology",62.0
2012,2012/13,CIHR,Canadian Institutes of Health Research,Related scientific activities,12.0
2012,2012/13,CIHR,Canadian Institutes of Health Research,Research and development,392.0
2012,2012/13,CIHR,Canadian Institutes of Health Research,"Total, science and technology",404.0
2012,2012/13,Canadian Space Agency,Canadian Space Agency,Related scientific activities,383.0
2012,2012/13,Canadian Space Agency,Canadian Space Agency,Research and development,261.0
2012,2012/13,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",644.0
2012,2012/13,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,196.0
2012,2012/13,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,24.0
2012,2012/13,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",220.0
2012,2012/13,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,3038.0
2012,2012/13,Environment & Climate Change,Environment and Climate Change Canada,Research and development,692.0
2012,2012/13,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",3730.0
2012,2012/13,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1750.0
2012,2012/13,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,84.0
2012,2012/13,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",1834.0
2012,2012/13,Health Canada,Health Canada,Related scientific activities,2786.0
2012,2012/13,Health Canada,Health Canada,Research and development,320.0
2012,2012/13,Health Canada,Health Canada,"Total, science and technology",3106.0
2012,2012/13,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,654.0
2012,2012/13,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,272.0
2012,2012/13,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",926.0
2012,2012/13,Int'l Development Research Centre,International Development Research Centre,Related scientific activities,40.0
2012,2012/13,Int'l Development Research Centre,International Development Research Centre,Research and development,212.0
2012,2012/13,Int'l Development Research Centre,International Development Research Centre,"Total, science and technology",252.0
2012,2012/13,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,42.0
2012,2012/13,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,338.0
2012,2012/13,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",380.0
2012,2012/13,National Defence,National Defence,Related scientific activities,329.0
2012,2012/13,National Defence,National Defence,Research and development,1715.0
2012,2012/13,National Defence,National Defence,"Total, science and technology",2044.0
2012,2012/13,National Research Council,National Research Council Canada,Related scientific activities,254.0
2012,2012/13,National Research Council,National Research Council Canada,Research and development,3485.0
2012,2012/13,National Research Council,National Research Council Canada,"Total, science and technology",3739.0
2012,2012/13,Natural Resources Canada,Natural Resources Canada,Related scientific activities,1379.0
2012,2012/13,Natural Resources Canada,Natural Resources Canada,Research and development,1343.0
2012,2012/13,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2722.0
2012,2012/13,Other departments & agencies,Other departments and agencies,Related scientific activities,5049.0
2012,2012/13,Other departments & agencies,Other departments and agencies,Research and development,1458.0
2012,2012/13,Other departments & agencies,Other departments and agencies,"Total, science and technology",6506.0
2012,2012/13,SSHRC,Social Sciences and Humanities Research Council of Canada,Related scientific activities,35.0
2012,2012/13,SSHRC,Social Sciences and Humanities Research Council of Canada,Research and development,162.0
2012,2012/13,SSHRC,Social Sciences and Humanities Research Council of Canada,"Total, science and technology",197.0
2012,2012/13,Statistics Canada,Statistics Canada,Related scientific activities,4406.0
2012,2012/13,Statistics Canada,Statistics Canada,Research and development,318.0
2012,2012/13,Statistics Canada,Statistics Canada,"Total, science and technology",4723.0
2013,2013/14,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,303.0
2013,2013/14,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2051.0
2013,2013/14,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2353.0
2013,2013/14,All federal agencies,Total departments and agencies,Related scientific activities,19889.0
2013,2013/14,All federal agencies,Total departments and agencies,Research and development,15477.0
2013,2013/14,All federal agencies,Total departments and agencies,"Total, science and technology",35366.0
2013,2013/14,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,2872.0
2013,2013/14,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",2872.0
2013,2013/14,CFI,Canada Foundation for Innovation,Research and development,65.0
