year,fiscal_year,agency,nominal,real
2025,2025/26,All federal agencies,10878.0,8387.0
2025,2025/26,CFI,575.0,443.3
2025,2025/26,CIHR,1276.0,983.8
2025,2025/26,NSERC,1323.0,1020.0
2025,2025/26,SSHRC,1133.0,873.5
2026,2026/27,All federal agencies,10838.0,
2026,2026/27,CFI,620.0,
2026,2026/27,CIHR,1332.0,
2026,2026/27,NSERC,1341.0,
2026,2026/27,SSHRC,1164.0,
