year,fiscal_year,agency,agency_full,nominal
2024,2024/25,Fisheries & Oceans,Fisheries and Oceans Canada,41.0
2024,2024/25,Global Affairs Canada,Global Affairs Canada,18.0
2025,2025/26,National Research Council,National Research Council Canada,1657.0
2025,2025/26,NSERC,Natural Sciences and Engineering Research Council of Canada,1323.0
2025,2025/26,CIHR,Canadian Institutes of Health Research,1276.0
2025,2025/26,Other departments & agencies,Other departments and agencies,1167.0
2025,2025/26,SSHRC,Social Sciences and Humanities Research Council of Canada,1133.0
2025,2025/26,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",1050.0
2025,2025/26,National Defence,National Defence,620.0
2025,2025/26,CFI,Canada Foundation for Innovation,575.0
2025,2025/26,Canadian Space Agency,Canadian Space Agency,568.0
2025,2025/26,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,510.0
2025,2025/26,Natural Resources Canada,Natural Resources Canada,469.0
2025,2025/26,Environment & Climate Change,Environment and Climate Change Canada,163.0
2025,2025/26,Health Canada,Health Canada,152.0
2025,2025/26,Public Health Agency,Public Health Agency of Canada,101.0
2025,2025/26,Statistics Canada,Statistics Canada,57.0
2025,2025/26,Fisheries & Oceans,Fisheries and Oceans Canada,39.0
2025,2025/26,Global Affairs Canada,Global Affairs Canada,18.0
2026,2026/27,National Research Council,National Research Council Canada,1611.0
2026,2026/27,Other departments & agencies,Other departments and agencies,1365.0
2026,2026/27,NSERC,Natural Sciences and Engineering Research Council of Canada,1341.0
2026,2026/27,CIHR,Canadian Institutes of Health Research,1332.0
2026,2026/27,SSHRC,Social Sciences and Humanities Research Council of Canada,1164.0
2026,2026/27,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",828.0
2026,2026/27,National Defence,National Defence,629.0
2026,2026/27,CFI,Canada Foundation for Innovation,620.0
2026,2026/27,Canadian Space Agency,Canadian Space Agency,536.0
2026,2026/27,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,475.0
2026,2026/27,Natural Resources Canada,Natural Resources Canada,433.0
2026,2026/27,Environment & Climate Change,Environment and Climate Change Canada,161.0
2026,2026/27,Health Canada,Health Canada,113.0
2026,2026/27,Public Health Agency,Public Health Agency of Canada,108.0
2026,2026/27,Statistics Canada,Statistics Canada,71.0
2026,2026/27,Fisheries & Oceans,Fisheries and Oceans Canada,39.0
2026,2026/27,Global Affairs Canada,Global Affairs Canada,14.0
