country_code,year,hours_per_capita,country_name
AUS,2000,830.3049971461759,Australia
AUS,2001,821.3361043158963,Australia
AUS,2002,829.6405136332966,Australia
AUS,2003,831.7432619339735,Australia
AUS,2004,846.0933167612009,Australia
AUS,2005,851.7891819340688,Australia
AUS,2006,864.8555530478224,Australia
AUS,2007,875.8058683699304,Australia
AUS,2008,866.5404673593142,Australia
AUS,2009,849.6609646427636,Australia
AUS,2010,860.3867006623005,Australia
AUS,2011,858.7018391197236,Australia
AUS,2012,848.8970313308255,Australia
AUS,2013,839.3103544983148,Australia
AUS,2014,834.1527830000613,Australia
AUS,2015,836.9576533216574,Australia
AUS,2016,836.7902212768257,Australia
AUS,2017,844.513027236406,Australia
AUS,2018,848.7645137540658,Australia
AUS,2019,822.1258447912894,Australia
AUS,2020,816.6098427811121,Australia
AUS,2021,836.1796464580233,Australia
AUS,2022,885.4862062568716,Australia
AUS,2023,875.6488203521576,Australia
AUS,2024,875.693842487264,Australia
CAN,2000,879.2223810176393,Canada
CAN,2001,871.5945407522448,Canada
CAN,2002,874.1533287125612,Canada
CAN,2003,879.7521027283256,Canada
CAN,2004,891.0289848711888,Canada
CAN,2005,891.1874396405293,Canada
CAN,2006,894.2262821517833,Canada
CAN,2007,903.4320992916006,Canada
CAN,2008,904.8686275395714,Canada
CAN,2009,865.535492016604,Canada
CAN,2010,877.1731915958716,Canada
CAN,2011,880.5191189119058,Canada
CAN,2012,887.3332064008586,Canada
CAN,2013,886.2196493511684,Canada
CAN,2014,877.5226057667311,Canada
CAN,2015,878.753184869592,Canada
CAN,2016,873.815851882671,Canada
CAN,2017,877.0434286998242,Canada
CAN,2018,886.1364305728558,Canada
CAN,2019,887.1128898261759,Canada
CAN,2020,772.9652506197726,Canada
CAN,2021,848.3106778845148,Canada
CAN,2022,875.2303766338334,Canada
CAN,2023,881.0006159794073,Canada
CAN,2024,873.1839738507409,Canada
CAN,2025,870.4605351717241,Canada
CHE,2000,949.7682691849506,Switzerland
CHE,2001,938.4342216461364,Switzerland
