year,geo,partner,exports_millions,share_pct
2004,Newfoundland and Labrador,United Kingdom,187.438,2.64
2004,Newfoundland and Labrador,United States,5330.263,75.075
2004,Northwest Territories,All countries,1973.78,100.0
2004,Northwest Territories,China,0.276,0.014
2004,Northwest Territories,European Union (27 members),827.252,41.912
2004,Northwest Territories,Japan,0.376,0.019
2004,Northwest Territories,Mexico,0.239,0.012
2004,Northwest Territories,Other countries,3.823,0.194
2004,Northwest Territories,United Kingdom,1092.065,55.329
2004,Northwest Territories,United States,49.749,2.52
2004,Nova Scotia,All countries,5430.49,100.0
2004,Nova Scotia,China,68.327,1.258
2004,Nova Scotia,European Union (27 members),335.149,6.172
2004,Nova Scotia,Japan,136.135,2.507
2004,Nova Scotia,Mexico,22.989,0.423
2004,Nova Scotia,Other countries,393.364,7.244
2004,Nova Scotia,United Kingdom,106.83,1.967
2004,Nova Scotia,United States,4367.697,80.429
2004,Nunavut,All countries,2.844,100.0
2004,Nunavut,China,0.182,6.406
2004,Nunavut,European Union (27 members),0.322,11.338
2004,Nunavut,Japan,0.054,1.906
2004,Nunavut,Mexico,0.043,1.505
2004,Nunavut,Other countries,1.507,52.98
2004,Nunavut,United Kingdom,0.105,3.685
2004,Nunavut,United States,0.631,22.181
2004,Ontario,All countries,179053.713,100.0
2004,Ontario,China,809.36,0.452
2004,Ontario,European Union (27 members),3770.656,2.106
2004,Ontario,Japan,908.132,0.507
2004,Ontario,Mexico,1110.648,0.62
2004,Ontario,Other countries,6657.268,3.718
2004,Ontario,United Kingdom,3732.476,2.085
2004,Ontario,United States,162065.174,90.512
2004,Prince Edward Island,All countries,644.503,100.0
2004,Prince Edward Island,China,3.143,0.488
2004,Prince Edward Island,European Union (27 members),27.459,4.26
2004,Prince Edward Island,Japan,13.703,2.126
2004,Prince Edward Island,Mexico,0.333,0.052
2004,Prince Edward Island,Other countries,42.278,6.56
2004,Prince Edward Island,United Kingdom,5.427,0.842
2004,Prince Edward Island,United States,552.16,85.672
2004,Quebec,All countries,64568.233,100.0
2004,Quebec,China,645.869,1.0
2004,Quebec,European Union (27 members),3795.01,5.878
2004,Quebec,Japan,1056.481,1.636
2004,Quebec,Mexico,348.845,0.54
2004,Quebec,Other countries,3833.472,5.937
2004,Quebec,United Kingdom,1377.494,2.133
2004,Quebec,United States,53511.062,82.875
2004,Saskatchewan,All countries,13318.086,100.0
2004,Saskatchewan,China,772.088,5.797
2004,Saskatchewan,European Union (27 members),690.942,5.188
2004,Saskatchewan,Japan,516.706,3.88
2004,Saskatchewan,Mexico,322.032,2.418
2004,Saskatchewan,Other countries,2045.379,15.358
2004,Saskatchewan,United Kingdom,62.316,0.468
2004,Saskatchewan,United States,8908.624,66.891
2004,Yukon,All countries,4.254,100.0
2004,Yukon,China,0.0,0.0
2004,Yukon,European Union (27 members),0.042,0.987
2004,Yukon,Japan,0.198,4.66
2004,Yukon,Mexico,0.082,1.928
2004,Yukon,Other countries,0.166,3.912
2004,Yukon,United Kingdom,0.0,0.0
2004,Yukon,United States,3.765,88.513
2005,Alberta,All countries,76279.728,100.0
2005,Alberta,China,2015.224,2.642
2005,Alberta,European Union (27 members),968.797,1.27
2005,Alberta,Japan,1343.525,1.761
2005,Alberta,Mexico,528.792,0.693
2005,Alberta,Other countries,3077.189,4.034
2005,Alberta,United Kingdom,213.341,0.28
2005,Alberta,United States,68132.861,89.32
2005,British Columbia,All countries,34167.276,100.0
2005,British Columbia,China,1325.453,3.879
2005,British Columbia,European Union (27 members),2033.173,5.951
2005,British Columbia,Japan,4163.763,12.186
2005,British Columbia,Mexico,236.979,0.694
2005,British Columbia,Other countries,3885.462,11.372
2005,British Columbia,United Kingdom,420.97,1.232
2005,British Columbia,United States,22101.476,64.686
2005,Canada,All countries,408550.274,100.0
2005,Canada,China,6756.266,1.654
2005,Canada,European Union (27 members),15082.474,3.692
2005,Canada,Japan,8966.527,2.195
2005,Canada,Mexico,3216.2,0.787
2005,Canada,Other countries,23605.153,5.778
2005,Canada,United Kingdom,7631.833,1.868
2005,Canada,United States,343291.822,84.027
2005,Manitoba,All countries,9300.502,100.0
2005,Manitoba,China,317.624,3.415
2005,Manitoba,European Union (27 members),297.203,3.196
2005,Manitoba,Japan,476.558,5.124
2005,Manitoba,Mexico,176.231,1.895
2005,Manitoba,Other countries,976.546,10.5
2005,Manitoba,United Kingdom,83.557,0.898
2005,Manitoba,United States,6972.783,74.972
2005,New Brunswick,All countries,10677.897,100.0
2005,New Brunswick,China,20.055,0.188
2005,New Brunswick,European Union (27 members),345.117,3.232
2005,New Brunswick,Japan,88.455,0.828
2005,New Brunswick,Mexico,20.406,0.191
2005,New Brunswick,Other countries,458.91,4.298
2005,New Brunswick,United Kingdom,73.436,0.688
2005,New Brunswick,United States,9671.518,90.575
2005,Newfoundland and Labrador,All countries,8060.666,100.0
2005,Newfoundland and Labrador,China,414.488,5.142
2005,Newfoundland and Labrador,European Union (27 members),863.514,10.713
2005,Newfoundland and Labrador,Japan,135.234,1.678
2005,Newfoundland and Labrador,Mexico,0.185,0.002
2005,Newfoundland and Labrador,Other countries,562.5,6.978
2005,Newfoundland and Labrador,United Kingdom,211.009,2.618
2005,Newfoundland and Labrador,United States,5873.738,72.869
2005,Northwest Territories,All countries,1684.598,100.0
2005,Northwest Territories,China,0.0,0.0
2005,Northwest Territories,European Union (27 members),860.077,51.055
2005,Northwest Territories,Japan,0.028,0.002
2005,Northwest Territories,Mexico,0.0,0.0
2005,Northwest Territories,Other countries,24.691,1.466
2005,Northwest Territories,United Kingdom,786.476,46.686
2005,Northwest Territories,United States,13.326,0.791
2005,Nova Scotia,All countries,5654.011,100.0
2005,Nova Scotia,China,78.352,1.386
2005,Nova Scotia,European Union (27 members),343.051,6.067
2005,Nova Scotia,Japan,111.254,1.968
2005,Nova Scotia,Mexico,38.49,0.681
2005,Nova Scotia,Other countries,405.731,7.176
2005,Nova Scotia,United Kingdom,102.131,1.806
2005,Nova Scotia,United States,4575.0,80.916
2005,Nunavut,All countries,3.233,100.0
2005,Nunavut,China,0.202,6.242
2005,Nunavut,European Union (27 members),0.702,21.7
2005,Nunavut,Japan,0.049,1.513
2005,Nunavut,Mexico,0.066,2.042
2005,Nunavut,Other countries,1.273,39.385
2005,Nunavut,United Kingdom,0.189,5.856
2005,Nunavut,United States,0.752,23.262
2005,Ontario,All countries,180233.511,100.0
2005,Ontario,China,1065.827,0.591
2005,Ontario,European Union (27 members),4392.883,2.437
2005,Ontario,Japan,1012.228,0.562
2005,Ontario,Mexico,1572.57,0.873
2005,Ontario,Other countries,7775.161,4.314
2005,Ontario,United Kingdom,4287.335,2.379
2005,Ontario,United States,160127.506,88.844
2005,Prince Edward Island,All countries,772.632,100.0
2005,Prince Edward Island,China,4.679,0.606
2005,Prince Edward Island,European Union (27 members),37.959,4.913
2005,Prince Edward Island,Japan,13.789,1.785
2005,Prince Edward Island,Mexico,0.815,0.106
2005,Prince Edward Island,Other countries,51.799,6.704
2005,Prince Edward Island,United Kingdom,25.007,3.237
2005,Prince Edward Island,United States,638.584,82.65
2005,Quebec,All countries,66883.867,100.0
2005,Quebec,China,757.678,1.133
2005,Quebec,European Union (27 members),4221.843,6.312
2005,Quebec,Japan,1107.76,1.656
2005,Quebec,Mexico,359.855,0.538
2005,Quebec,Other countries,4269.627,6.384
2005,Quebec,United Kingdom,1276.138,1.908
2005,Quebec,United States,54890.966,82.069
2005,Saskatchewan,All countries,14822.098,100.0
2005,Saskatchewan,China,751.755,5.072
2005,Saskatchewan,European Union (27 members),717.693,4.842
2005,Saskatchewan,Japan,513.816,3.467
2005,Saskatchewan,Mexico,281.612,1.9
2005,Saskatchewan,Other countries,2115.88,14.275
2005,Saskatchewan,United Kingdom,152.189,1.027
2005,Saskatchewan,United States,10289.153,69.418
2005,Yukon,All countries,10.255,100.0
2005,Yukon,China,4.929,48.067
2005,Yukon,European Union (27 members),0.463,4.511
2005,Yukon,Japan,0.069,0.671
2005,Yukon,Mexico,0.198,1.926
2005,Yukon,Other countries,0.385,3.754
2005,Yukon,United Kingdom,0.054,0.53
2005,Yukon,United States,4.158,40.54
2006,Alberta,All countries,77743.862,100.0
2006,Alberta,China,2174.307,2.797
2006,Alberta,European Union (27 members),969.043,1.246
2006,Alberta,Japan,1299.381,1.671
2006,Alberta,Mexico,615.278,0.791
2006,Alberta,Other countries,3739.345,4.81
2006,Alberta,United Kingdom,239.343,0.308
2006,Alberta,United States,68707.165,88.376
2006,British Columbia,All countries,33466.008,100.0
2006,British Columbia,China,1485.57,4.439
2006,British Columbia,European Union (27 members),1871.603,5.593
2006,British Columbia,Japan,4709.846,14.074
2006,British Columbia,Mexico,185.277,0.554
2006,British Columbia,Other countries,4310.195,12.879
2006,British Columbia,United Kingdom,386.23,1.154
2006,British Columbia,United States,20517.288,61.308
2006,Canada,All countries,411493.463,100.0
2006,Canada,China,7325.136,1.78
2006,Canada,European Union (27 members),17309.58,4.207
2006,Canada,Japan,9225.436,2.242
2006,Canada,Mexico,4021.638,0.977
2006,Canada,Other countries,27797.849,6.755
2006,Canada,United Kingdom,9222.282,2.241
2006,Canada,United States,336591.542,81.798
2006,Manitoba,All countries,10195.188,100.0
2006,Manitoba,China,430.968,4.227
2006,Manitoba,European Union (27 members),265.343,2.603
2006,Manitoba,Japan,386.644,3.792
2006,Manitoba,Mexico,152.949,1.5
2006,Manitoba,Other countries,1216.717,11.934
2006,Manitoba,United Kingdom,71.731,0.704
2006,Manitoba,United States,7670.836,75.24
2006,New Brunswick,All countries,10377.526,100.0
2006,New Brunswick,China,36.522,0.352
2006,New Brunswick,European Union (27 members),264.447,2.548
2006,New Brunswick,Japan,55.413,0.534
2006,New Brunswick,Mexico,20.324,0.196
2006,New Brunswick,Other countries,590.673,5.692
2006,New Brunswick,United Kingdom,59.606,0.574
2006,New Brunswick,United States,9350.542,90.104
2006,Newfoundland and Labrador,All countries,9520.062,100.0
2006,Newfoundland and Labrador,China,412.295,4.331
2006,Newfoundland and Labrador,European Union (27 members),931.432,9.784
2006,Newfoundland and Labrador,Japan,132.981,1.397
2006,Newfoundland and Labrador,Mexico,21.608,0.227
2006,Newfoundland and Labrador,Other countries,601.547,6.319
2006,Newfoundland and Labrador,United Kingdom,174.633,1.834
2006,Newfoundland and Labrador,United States,7245.565,76.108
2006,Northwest Territories,All countries,1609.285,100.0
2006,Northwest Territories,China,6.67,0.414
2006,Northwest Territories,European Union (27 members),1021.914,63.501
2006,Northwest Territories,Japan,0.579,0.036
2006,Northwest Territories,Mexico,0.263,0.016
2006,Northwest Territories,Other countries,34.091,2.118
2006,Northwest Territories,United Kingdom,542.978,33.74
2006,Northwest Territories,United States,2.79,0.173
2006,Nova Scotia,All countries,5070.675,100.0
2006,Nova Scotia,China,87.534,1.726
2006,Nova Scotia,European Union (27 members),367.065,7.239
2006,Nova Scotia,Japan,91.19,1.798
2006,Nova Scotia,Mexico,33.928,0.669
2006,Nova Scotia,Other countries,456.196,8.997
2006,Nova Scotia,United Kingdom,153.768,3.032
2006,Nova Scotia,United States,3880.994,76.538
2006,Nunavut,All countries,5.362,100.0
2006,Nunavut,China,0.559,10.421
2006,Nunavut,European Union (27 members),0.527,9.828
2006,Nunavut,Japan,0.053,0.99
2006,Nunavut,Mexico,0.258,4.804
2006,Nunavut,Other countries,2.895,53.996
2006,Nunavut,United Kingdom,0.457,8.525
2006,Nunavut,United States,0.613,11.436
2006,Ontario,All countries,177472.879,100.0
2006,Ontario,China,1310.652,0.739
2006,Ontario,European Union (27 members),5103.908,2.876
2006,Ontario,Japan,1085.447,0.612
2006,Ontario,Mexico,1970.439,1.11
2006,Ontario,Other countries,8628.608,4.862
2006,Ontario,United Kingdom,5881.23,3.314
2006,Ontario,United States,153492.596,86.488
2006,Prince Edward Island,All countries,786.463,100.0
2006,Prince Edward Island,China,3.457,0.44
2006,Prince Edward Island,European Union (27 members),41.503,5.277
2006,Prince Edward Island,Japan,15.313,1.947
2006,Prince Edward Island,Mexico,2.315,0.294
2006,Prince Edward Island,Other countries,81.331,10.341
2006,Prince Edward Island,United Kingdom,19.037,2.421
2006,Prince Edward Island,United States,623.506,79.28
2006,Quebec,All countries,69060.303,100.0
2006,Quebec,China,836.131,1.211
2006,Quebec,European Union (27 members),5713.402,8.273
2006,Quebec,Japan,897.016,1.299
2006,Quebec,Mexico,664.564,0.962
2006,Quebec,Other countries,5221.954,7.561
2006,Quebec,United Kingdom,1405.258,2.035
2006,Quebec,United States,54321.978,78.659
2006,Saskatchewan,All countries,16147.743,100.0
2006,Saskatchewan,China,508.472,3.149
2006,Saskatchewan,European Union (27 members),759.045,4.701
2006,Saskatchewan,Japan,551.544,3.416
2006,Saskatchewan,Mexico,354.434,2.195
2006,Saskatchewan,Other countries,2914.229,18.047
2006,Saskatchewan,United Kingdom,287.998,1.784
2006,Saskatchewan,United States,10772.023,66.709
2006,Yukon,All countries,38.108,100.0
2006,Yukon,China,31.999,83.969
2006,Yukon,European Union (27 members),0.35,0.918
2006,Yukon,Japan,0.029,0.075
2006,Yukon,Mexico,0.003,0.008
2006,Yukon,Other countries,0.067,0.176
2006,Yukon,United Kingdom,0.014,0.037
2006,Yukon,United States,5.646,14.817
2007,Alberta,All countries,81558.818,100.0
2007,Alberta,China,2816.934,3.454
2007,Alberta,European Union (27 members),1430.305,1.754
2007,Alberta,Japan,1458.971,1.789
2007,Alberta,Mexico,720.023,0.883
2007,Alberta,Other countries,4310.975,5.286
2007,Alberta,United Kingdom,248.204,0.304
2007,Alberta,United States,70573.406,86.531
2007,British Columbia,All countries,31523.637,100.0
2007,British Columbia,China,1722.832,5.465
2007,British Columbia,European Union (27 members),1919.702,6.09
2007,British Columbia,Japan,4134.523,13.116
2007,British Columbia,Mexico,195.764,0.621
2007,British Columbia,Other countries,4072.721,12.92
2007,British Columbia,United Kingdom,401.3,1.273
2007,British Columbia,United States,19076.795,60.516
2007,Canada,All countries,419943.812,100.0
2007,Canada,China,9016.245,2.147
2007,Canada,European Union (27 members),20076.722,4.781
2007,Canada,Japan,8941.28,2.129
2007,Canada,Mexico,4300.11,1.024
2007,Canada,Other countries,33262.349,7.921
2007,Canada,United Kingdom,11381.767,2.71
2007,Canada,United States,332965.339,79.288
2007,Manitoba,All countries,12196.02,100.0
2007,Manitoba,China,764.829,6.271
2007,Manitoba,European Union (27 members),353.302,2.897
2007,Manitoba,Japan,517.483,4.243
2007,Manitoba,Mexico,218.782,1.794
2007,Manitoba,Other countries,1876.265,15.384
2007,Manitoba,United Kingdom,117.815,0.966
2007,Manitoba,United States,8347.544,68.445
2007,New Brunswick,All countries,11182.641,100.0
2007,New Brunswick,China,48.435,0.433
2007,New Brunswick,European Union (27 members),440.148,3.936
2007,New Brunswick,Japan,68.542,0.613
2007,New Brunswick,Mexico,34.776,0.311
2007,New Brunswick,Other countries,657.966,5.884
2007,New Brunswick,United Kingdom,82.89,0.741
2007,New Brunswick,United States,9849.884,88.082
2007,Newfoundland and Labrador,All countries,11686.174,100.0
2007,Newfoundland and Labrador,China,359.258,3.074
2007,Newfoundland and Labrador,European Union (27 members),1256.538,10.752
2007,Newfoundland and Labrador,Japan,160.437,1.373
2007,Newfoundland and Labrador,Mexico,0.153,0.001
2007,Newfoundland and Labrador,Other countries,778.295,6.66
2007,Newfoundland and Labrador,United Kingdom,180.695,1.546
2007,Newfoundland and Labrador,United States,8950.798,76.593
2007,Northwest Territories,All countries,1882.262,100.0
2007,Northwest Territories,China,34.55,1.836
2007,Northwest Territories,European Union (27 members),1147.332,60.955
2007,Northwest Territories,Japan,0.033,0.002
2007,Northwest Territories,Mexico,0.08,0.004
2007,Northwest Territories,Other countries,27.805,1.477
2007,Northwest Territories,United Kingdom,657.507,34.932
2007,Northwest Territories,United States,14.955,0.795
2007,Nova Scotia,All countries,5287.679,100.0
2007,Nova Scotia,China,78.309,1.481
2007,Nova Scotia,European Union (27 members),386.594,7.311
2007,Nova Scotia,Japan,83.769,1.584
2007,Nova Scotia,Mexico,52.184,0.987
2007,Nova Scotia,Other countries,417.147,7.889
2007,Nova Scotia,United Kingdom,115.251,2.18
2007,Nova Scotia,United States,4154.424,78.568
2007,Nunavut,All countries,4.947,100.0
2007,Nunavut,China,0.374,7.552
2007,Nunavut,European Union (27 members),1.332,26.923
2007,Nunavut,Japan,0.711,14.368
2007,Nunavut,Mexico,0.153,3.085
2007,Nunavut,Other countries,1.024,20.689
2007,Nunavut,United Kingdom,0.61,12.331
2007,Nunavut,United States,0.745,15.052
2007,Ontario,All countries,177379.028,100.0
2007,Ontario,China,1439.278,0.811
2007,Ontario,European Union (27 members),5503.431,3.103
2007,Ontario,Japan,1136.98,0.641
2007,Ontario,Mexico,2127.533,1.199
2007,Ontario,Other countries,11634.87,6.559
2007,Ontario,United Kingdom,7420.32,4.183
2007,Ontario,United States,148116.616,83.503
2007,Prince Edward Island,All countries,738.418,100.0
2007,Prince Edward Island,China,2.969,0.402
2007,Prince Edward Island,European Union (27 members),50.702,6.866
2007,Prince Edward Island,Japan,15.63,2.117
2007,Prince Edward Island,Mexico,3.146,0.426
2007,Prince Edward Island,Other countries,91.054,12.331
2007,Prince Edward Island,United Kingdom,14.208,1.924
2007,Prince Edward Island,United States,560.71,75.934
2007,Quebec,All countries,67154.409,100.0
2007,Quebec,China,902.222,1.344
2007,Quebec,European Union (27 members),6666.513,9.927
2007,Quebec,Japan,750.267,1.117
2007,Quebec,Mexico,589.755,0.878
2007,Quebec,Other countries,5549.309,8.264
2007,Quebec,United Kingdom,1445.318,2.152
2007,Quebec,United States,51251.025,76.318
2007,Saskatchewan,All countries,19328.177,100.0
2007,Saskatchewan,China,846.206,4.378
2007,Saskatchewan,European Union (27 members),920.644,4.763
2007,Saskatchewan,Japan,613.835,3.176
2007,Saskatchewan,Mexico,357.743,1.851
2007,Saskatchewan,Other countries,3843.857,19.887
2007,Saskatchewan,United Kingdom,697.521,3.609
2007,Saskatchewan,United States,12048.371,62.336
2007,Yukon,All countries,21.604,100.0
2007,Yukon,China,0.048,0.221
2007,Yukon,European Union (27 members),0.18,0.831
2007,Yukon,Japan,0.099,0.458
2007,Yukon,Mexico,0.02,0.092
2007,Yukon,Other countries,1.061,4.911
2007,Yukon,United Kingdom,0.129,0.597
2007,Yukon,United States,20.068,92.89
2008,Alberta,All countries,110248.21,100.0
2008,Alberta,China,3117.521,2.828
2008,Alberta,European Union (27 members),1036.565,0.94
2008,Alberta,Japan,2030.755,1.842
2008,Alberta,Mexico,1077.123,0.977
2008,Alberta,Other countries,6081.284,5.516
2008,Alberta,United Kingdom,218.36,0.198
2008,Alberta,United States,96686.603,87.699
2008,British Columbia,All countries,33124.055,100.0
2008,British Columbia,China,1961.747,5.922
2008,British Columbia,European Union (27 members),2213.597,6.683
2008,British Columbia,Japan,5026.083,15.174
2008,British Columbia,Mexico,343.616,1.037
2008,British Columbia,Other countries,5591.834,16.881
2008,British Columbia,United Kingdom,405.163,1.223
2008,British Columbia,United States,17582.015,53.079
2008,Canada,All countries,455337.017,100.0
2008,Canada,China,10084.263,2.215
2008,Canada,European Union (27 members),21778.042,4.783
2008,Canada,Japan,10889.146,2.391
2008,Canada,Mexico,5152.128,1.131
2008,Canada,Other countries,41751.513,9.169
2008,Canada,United Kingdom,12388.539,2.721
2008,Canada,United States,353293.386,77.589
2008,Manitoba,All countries,12971.866,100.0
2008,Manitoba,China,622.22,4.797
2008,Manitoba,European Union (27 members),318.699,2.457
2008,Manitoba,Japan,660.519,5.092
2008,Manitoba,Mexico,320.809,2.473
2008,Manitoba,Other countries,2045.191,15.766
2008,Manitoba,United Kingdom,99.827,0.77
2008,Manitoba,United States,8904.601,68.645
2008,New Brunswick,All countries,12808.246,100.0
2008,New Brunswick,China,45.675,0.357
2008,New Brunswick,European Union (27 members),1063.66,8.304
2008,New Brunswick,Japan,55.817,0.436
2008,New Brunswick,Mexico,61.065,0.477
2008,New Brunswick,Other countries,972.263,7.591
2008,New Brunswick,United Kingdom,26.806,0.209
2008,New Brunswick,United States,10582.96,82.626
2008,Newfoundland and Labrador,All countries,15047.602,100.0
2008,Newfoundland and Labrador,China,480.847,3.196
2008,Newfoundland and Labrador,European Union (27 members),2282.785,15.17
2008,Newfoundland and Labrador,Japan,219.369,1.458
2008,Newfoundland and Labrador,Mexico,3.392,0.023
2008,Newfoundland and Labrador,Other countries,1123.509,7.466
2008,Newfoundland and Labrador,United Kingdom,169.543,1.127
2008,Newfoundland and Labrador,United States,10768.157,71.561
2008,Northwest Territories,All countries,2338.945,100.0
2008,Northwest Territories,China,38.438,1.643
2008,Northwest Territories,European Union (27 members),1131.814,48.39
2008,Northwest Territories,Japan,0.96,0.041
2008,Northwest Territories,Mexico,0.0,0.0
2008,Northwest Territories,Other countries,36.059,1.542
2008,Northwest Territories,United Kingdom,1099.886,47.025
2008,Northwest Territories,United States,31.788,1.359
2008,Nova Scotia,All countries,5644.725,100.0
2008,Nova Scotia,China,63.793,1.13
2008,Nova Scotia,European Union (27 members),374.46,6.634
2008,Nova Scotia,Japan,82.717,1.465
2008,Nova Scotia,Mexico,34.984,0.62
2008,Nova Scotia,Other countries,462.913,8.201
2008,Nova Scotia,United Kingdom,110.178,1.952
2008,Nova Scotia,United States,4515.681,79.998
2008,Nunavut,All countries,22.887,100.0
2008,Nunavut,China,0.237,1.036
2008,Nunavut,European Union (27 members),17.856,78.019
2008,Nunavut,Japan,0.907,3.963
2008,Nunavut,Mexico,0.072,0.314
2008,Nunavut,Other countries,3.055,13.35
2008,Nunavut,United Kingdom,0.183,0.799
2008,Nunavut,United States,0.576,2.518
2008,Ontario,All countries,163649.371,100.0
2008,Ontario,China,1676.346,1.024
2008,Ontario,European Union (27 members),5597.185,3.42
2008,Ontario,Japan,1030.975,0.63
2008,Ontario,Mexico,2041.761,1.248
2008,Ontario,Other countries,11888.859,7.265
2008,Ontario,United Kingdom,7686.155,4.697
2008,Ontario,United States,133728.089,81.716
2008,Prince Edward Island,All countries,785.658,100.0
2008,Prince Edward Island,China,2.882,0.367
2008,Prince Edward Island,European Union (27 members),35.517,4.521
2008,Prince Edward Island,Japan,12.059,1.535
2008,Prince Edward Island,Mexico,3.522,0.448
2008,Prince Edward Island,Other countries,84.293,10.729
2008,Prince Edward Island,United Kingdom,10.542,1.342
2008,Prince Edward Island,United States,636.844,81.059
2008,Quebec,All countries,69071.596,100.0
2008,Quebec,China,923.852,1.338
2008,Quebec,European Union (27 members),6807.875,9.856
2008,Quebec,Japan,827.087,1.197
2008,Quebec,Mexico,758.434,1.098
2008,Quebec,Other countries,7116.752,10.303
2008,Quebec,United Kingdom,1650.696,2.39
2008,Quebec,United States,50986.9,73.817
2008,Saskatchewan,All countries,29491.857,100.0
2008,Saskatchewan,China,1149.716,3.898
2008,Saskatchewan,European Union (27 members),897.906,3.045
2008,Saskatchewan,Japan,941.749,3.193
2008,Saskatchewan,Mexico,507.334,1.72
2008,Saskatchewan,Other countries,6342.971,21.508
2008,Saskatchewan,United Kingdom,911.178,3.09
2008,Saskatchewan,United States,18741.002,63.546
2008,Yukon,All countries,132.001,100.0
2008,Yukon,China,0.992,0.751
2008,Yukon,European Union (27 members),0.123,0.093
2008,Yukon,Japan,0.152,0.115
2008,Yukon,Mexico,0.016,0.012
2008,Yukon,Other countries,2.529,1.916
2008,Yukon,United Kingdom,0.022,0.017
2008,Yukon,United States,128.169,97.096
2009,Alberta,All countries,69846.341,100.0
2009,Alberta,China,2706.496,3.875
2009,Alberta,European Union (27 members),862.003,1.234
2009,Alberta,Japan,1491.322,2.135
2009,Alberta,Mexico,977.343,1.399
2009,Alberta,Other countries,4735.125,6.779
2009,Alberta,United Kingdom,161.244,0.231
2009,Alberta,United States,58912.808,84.346
2009,British Columbia,All countries,25240.295,100.0
2009,British Columbia,China,2501.363,9.91
2009,British Columbia,European Union (27 members),1423.995,5.642
2009,British Columbia,Japan,3551.032,14.069
2009,British Columbia,Mexico,162.086,0.642
2009,British Columbia,Other countries,4415.387,17.493
2009,British Columbia,United Kingdom,266.201,1.055
2009,British Columbia,United States,12920.231,51.189
2009,Canada,All countries,334448.413,100.0
2009,Canada,China,10935.79,3.27
2009,Canada,European Union (27 members),16239.076,4.855
2009,Canada,Japan,8071.439,2.413
2009,Canada,Mexico,3837.15,1.147
2009,Canada,Other countries,32792.705,9.805
2009,Canada,United Kingdom,11473.445,3.431
2009,Canada,United States,251098.808,75.078
2009,Manitoba,All countries,10566.632,100.0
2009,Manitoba,China,634.343,6.003
2009,Manitoba,European Union (27 members),216.335,2.047
2009,Manitoba,Japan,498.01,4.713
2009,Manitoba,Mexico,259.667,2.457
2009,Manitoba,Other countries,1727.426,16.348
2009,Manitoba,United Kingdom,92.416,0.875
2009,Manitoba,United States,7138.435,67.556
2009,New Brunswick,All countries,9825.207,100.0
2009,New Brunswick,China,117.315,1.194
2009,New Brunswick,European Union (27 members),490.834,4.996
2009,New Brunswick,Japan,53.992,0.55
2009,New Brunswick,Mexico,32.192,0.328
2009,New Brunswick,Other countries,681.611,6.937
2009,New Brunswick,United Kingdom,10.254,0.104
2009,New Brunswick,United States,8439.009,85.891
2009,Newfoundland and Labrador,All countries,8617.396,100.0
2009,Newfoundland and Labrador,China,1012.844,11.753
2009,Newfoundland and Labrador,European Union (27 members),817.487,9.486
2009,Newfoundland and Labrador,Japan,85.839,0.996
2009,Newfoundland and Labrador,Mexico,0.042,0.0
2009,Newfoundland and Labrador,Other countries,563.209,6.536
2009,Newfoundland and Labrador,United Kingdom,151.36,1.756
2009,Newfoundland and Labrador,United States,5986.615,69.471
2009,Northwest Territories,All countries,1528.584,100.0
2009,Northwest Territories,China,26.208,1.715
2009,Northwest Territories,European Union (27 members),524.354,34.303
2009,Northwest Territories,Japan,0.01,0.001
2009,Northwest Territories,Mexico,0.003,0.0
2009,Northwest Territories,Other countries,24.546,1.606
2009,Northwest Territories,United Kingdom,927.955,60.707
2009,Northwest Territories,United States,25.507,1.669
2009,Nova Scotia,All countries,4236.599,100.0
2009,Nova Scotia,China,54.381,1.284
2009,Nova Scotia,European Union (27 members),292.061,6.894
2009,Nova Scotia,Japan,61.779,1.458
2009,Nova Scotia,Mexico,28.29,0.668
2009,Nova Scotia,Other countries,337.848,7.975
2009,Nova Scotia,United Kingdom,106.388,2.511
2009,Nova Scotia,United States,3355.852,79.211
2009,Nunavut,All countries,3.536,100.0
2009,Nunavut,China,0.274,7.749
2009,Nunavut,European Union (27 members),0.514,14.55
2009,Nunavut,Japan,0.08,2.271
2009,Nunavut,Mexico,0.166,4.7
2009,Nunavut,Other countries,1.775,50.209
2009,Nunavut,United Kingdom,0.133,3.758
2009,Nunavut,United States,0.593,16.762
2009,Ontario,All countries,125597.767,100.0
2009,Ontario,China,1641.897,1.307
2009,Ontario,European Union (27 members),4642.902,3.697
2009,Ontario,Japan,877.097,0.698
2009,Ontario,Mexico,1435.502,1.143
2009,Ontario,Other countries,9186.539,7.314
2009,Ontario,United Kingdom,7561.582,6.02
2009,Ontario,United States,100252.248,79.82
2009,Prince Edward Island,All countries,759.156,100.0
2009,Prince Edward Island,China,3.933,0.518
2009,Prince Edward Island,European Union (27 members),40.214,5.297
2009,Prince Edward Island,Japan,21.291,2.805
2009,Prince Edward Island,Mexico,2.253,0.297
2009,Prince Edward Island,Other countries,94.828,12.491
2009,Prince Edward Island,United Kingdom,11.864,1.563
2009,Prince Edward Island,United States,584.774,77.03
2009,Quebec,All countries,56339.801,100.0
2009,Quebec,China,1066.417,1.893
2009,Quebec,European Union (27 members),6103.644,10.834
2009,Quebec,Japan,762.467,1.353
2009,Quebec,Mexico,542.625,0.963
2009,Quebec,Other countries,6018.464,10.682
2009,Quebec,United Kingdom,1635.038,2.902
2009,Quebec,United States,40211.146,71.373
