country_code,year,real_gdp_growth,country_name
AUS,1961,0.0062600234899861,Australia
AUS,1962,5.47091804949878,Australia
AUS,1963,6.14887646006494,Australia
AUS,1964,6.19179220115338,Australia
AUS,1965,5.01742509715432,Australia
AUS,1966,2.93246940519789,Australia
AUS,1967,7.19247584919226,Australia
AUS,1968,5.34019971654531,Australia
AUS,1969,6.2144258321608,Australia
AUS,1970,6.95605592074092,Australia
AUS,1971,3.88458353373426,Australia
AUS,1972,2.27450734672139,Australia
AUS,1973,4.36054525961097,Australia
AUS,1974,1.61553601975106,Australia
AUS,1975,2.4782552877363,Australia
AUS,1976,3.83333098438261,Australia
AUS,1977,1.48342085657148,Australia
AUS,1978,2.02125730794266,Australia
AUS,1979,4.58631403687406,Australia
AUS,1980,2.71705219057806,Australia
AUS,1981,4.18485895440222,Australia
AUS,1982,-0.364414886348101,Australia
AUS,1983,-0.192670676829351,Australia
AUS,1984,6.57640561197793,Australia
AUS,1985,5.04710012783531,Australia
AUS,1986,1.77302850382674,Australia
AUS,1987,5.32520250495064,Australia
AUS,1988,4.45964205518906,Australia
AUS,1989,4.31361904264769,Australia
AUS,1990,1.40667034973087,Australia
AUS,1991,-1.33998142560898,Australia
AUS,1992,3.03277360185486,Australia
AUS,1993,4.08917601894437,Australia
AUS,1994,4.74750018655324,Australia
AUS,1995,3.16622691292876,Australia
AUS,1996,3.92746689131859,Australia
AUS,1997,4.24107624867736,Australia
AUS,1998,4.96742087072086,Australia
AUS,1999,4.22537883963189,Australia
AUS,2000,3.35967012135217,Australia
AUS,2001,2.69700114779499,Australia
AUS,2002,3.99884735715462,Australia
AUS,2003,3.11801525790933,Australia
AUS,2004,3.95702807365264,Australia
AUS,2005,3.0432304891693,Australia
AUS,2006,2.70615539714089,Australia
AUS,2007,4.3782589657721,Australia
AUS,2008,2.53614125242134,Australia
AUS,2009,1.99902852169038,Australia
AUS,2010,2.4812948053733,Australia
AUS,2011,2.66494513394117,Australia
AUS,2012,4.01435444731176,Australia
AUS,2013,2.19501700231598,Australia
AUS,2014,2.53091062199425,Australia
AUS,2015,2.30180548884216,Australia
AUS,2016,2.69279741059881,Australia
AUS,2017,2.43987532218532,Australia
AUS,2018,2.83180248346022,Australia
AUS,2019,1.95240631811983,Australia
AUS,2020,-2.10317592657782,Australia
AUS,2021,5.388563250272,Australia
AUS,2022,4.20564551851949,Australia
AUS,2023,2.06515466065265,Australia
AUS,2024,1.06582759227499,Australia
AUS,2025,1.9858069138855,Australia
AUS,2026,1.94739379230805,Australia
CAN,1962,7.42783718292397,Canada
CAN,1963,5.29744002886423,Canada
CAN,1964,6.65599988734755,Canada
CAN,1965,6.31720008647821,Canada
CAN,1966,6.75969001874644,Canada
CAN,1967,3.06542081440507,Canada
CAN,1968,5.0082740777072,Canada
CAN,1969,5.0670324488373,Canada
CAN,1970,2.91871308613055,Canada
CAN,1971,4.01884497498394,Canada
CAN,1972,5.51967002297258,Canada
CAN,1973,6.72864140915442,Canada
CAN,1974,3.35777601958243,Canada
CAN,1975,1.54540336389115,Canada
CAN,1976,5.88927587391623,Canada
CAN,1977,3.53482658122915,Canada
CAN,1978,3.73597641626098,Canada
CAN,1979,3.72519942198501,Canada
CAN,1980,2.17719921419923,Canada
CAN,1981,3.41506518679111,Canada
CAN,1982,-3.1661502658748,Canada
CAN,1983,2.56225360665303,Canada
CAN,1984,5.8985694633093,Canada
CAN,1985,4.73768079152077,Canada
CAN,1986,2.12148084912221,Canada
CAN,1987,4.07201569280838,Canada
CAN,1988,4.41083906278239,Canada
CAN,1989,2.33732976267692,Canada
CAN,1990,0.20294785266266,Canada
CAN,1991,-2.0910551165282,Canada
CAN,1992,0.890466185756509,Canada
CAN,1993,2.65770688949279,Canada
CAN,1994,4.49404928307163,Canada
CAN,1995,2.68232829774568,Canada
CAN,1996,1.6889612028707,Canada
CAN,1997,4.28016686248263,Canada
CAN,1998,3.89288653082822,Canada
CAN,1999,5.14100352259274,Canada
CAN,2000,5.13853916346076,Canada
CAN,2001,1.87509812231511,Canada
CAN,2002,2.99925534033406,Canada
CAN,2003,1.80638513352183,Canada
CAN,2004,3.0923638326293,Canada
CAN,2005,3.21045438879788,Canada
CAN,2006,2.63794374844703,Canada
CAN,2007,2.04990462170888,Canada
CAN,2008,0.995406342461436,Canada
CAN,2009,-2.91508625839376,Canada
CAN,2010,3.09080636493577,Canada
CAN,2011,3.13719441180021,Canada
CAN,2012,1.75566131368798,Canada
CAN,2013,2.3258135613525,Canada
CAN,2014,2.87346677753096,Canada
CAN,2015,0.649971004305854,Canada
CAN,2016,1.03855091867275,Canada
CAN,2017,3.03383491533961,Canada
CAN,2018,2.74296343945575,Canada
CAN,2019,1.9084319151316,Canada
CAN,2020,-5.03823341596652,Canada
CAN,2021,5.95052804144319,Canada
CAN,2022,4.69541986535387,Canada
