year,geo,partner,section,exports_millions,share_of_partner_exports_pct
2025,British Columbia,United Kingdom,"Industrial machinery, equipment and parts",34.181,9.967
2025,British Columbia,United Kingdom,Metal and non-metallic mineral products,5.747,1.676
2025,British Columbia,United Kingdom,Metal ores and non-metallic minerals,0.0,0.0
2025,British Columbia,United Kingdom,Motor vehicles and parts,1.677,0.489
2025,British Columbia,United Kingdom,Special transactions trade,15.252,4.448
2025,British Columbia,United States,Aircraft and other transportation equipment and parts,473.133,1.695
2025,British Columbia,United States,"Basic and industrial chemical, plastic and rubber products",918.318,3.29
2025,British Columbia,United States,Consumer goods,3109.268,11.138
2025,British Columbia,United States,Electronic and electrical equipment and parts,2475.927,8.869
2025,British Columbia,United States,Energy products,6133.271,21.97
2025,British Columbia,United States,"Farm, fishing and intermediate food products",2159.592,7.736
2025,British Columbia,United States,Forestry products and building and packaging materials,6481.619,23.218
2025,British Columbia,United States,"Industrial machinery, equipment and parts",2014.632,7.217
2025,British Columbia,United States,Metal and non-metallic mineral products,2977.147,10.665
2025,British Columbia,United States,Metal ores and non-metallic minerals,115.846,0.415
2025,British Columbia,United States,Motor vehicles and parts,625.276,2.24
2025,British Columbia,United States,Special transactions trade,432.183,1.548
2025,Canada,China,Aircraft and other transportation equipment and parts,147.461,0.429
2025,Canada,China,"Basic and industrial chemical, plastic and rubber products",1542.916,4.489
2025,Canada,China,Consumer goods,1739.549,5.061
2025,Canada,China,Electronic and electrical equipment and parts,842.686,2.452
2025,Canada,China,Energy products,10303.546,29.98
2025,Canada,China,"Farm, fishing and intermediate food products",5877.843,17.102
2025,Canada,China,Forestry products and building and packaging materials,3551.361,10.333
2025,Canada,China,"Industrial machinery, equipment and parts",677.055,1.97
2025,Canada,China,Metal and non-metallic mineral products,1440.788,4.192
2025,Canada,China,Metal ores and non-metallic minerals,7947.91,23.126
2025,Canada,China,Motor vehicles and parts,250.386,0.729
2025,Canada,China,Special transactions trade,46.884,0.136
2025,Canada,European Union (27 members),Aircraft and other transportation equipment and parts,5084.712,13.166
2025,Canada,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",1388.954,3.597
2025,Canada,European Union (27 members),Consumer goods,4261.523,11.035
2025,Canada,European Union (27 members),Electronic and electrical equipment and parts,2227.702,5.768
2025,Canada,European Union (27 members),Energy products,6312.662,16.346
2025,Canada,European Union (27 members),"Farm, fishing and intermediate food products",5548.012,14.366
2025,Canada,European Union (27 members),Forestry products and building and packaging materials,595.872,1.543
2025,Canada,European Union (27 members),"Industrial machinery, equipment and parts",2265.108,5.865
2025,Canada,European Union (27 members),Metal and non-metallic mineral products,4411.917,11.424
2025,Canada,European Union (27 members),Metal ores and non-metallic minerals,5367.505,13.898
2025,Canada,European Union (27 members),Motor vehicles and parts,666.046,1.725
2025,Canada,European Union (27 members),Special transactions trade,489.418,1.267
2025,Canada,United Kingdom,Aircraft and other transportation equipment and parts,457.085,1.0
2025,Canada,United Kingdom,"Basic and industrial chemical, plastic and rubber products",228.095,0.499
2025,Canada,United Kingdom,Consumer goods,711.687,1.557
2025,Canada,United Kingdom,Electronic and electrical equipment and parts,414.784,0.908
2025,Canada,United Kingdom,Energy products,1673.913,3.663
2025,Canada,United Kingdom,"Farm, fishing and intermediate food products",792.887,1.735
2025,Canada,United Kingdom,Forestry products and building and packaging materials,222.204,0.486
2025,Canada,United Kingdom,"Industrial machinery, equipment and parts",388.152,0.849
2025,Canada,United Kingdom,Metal and non-metallic mineral products,40556.872,88.749
2025,Canada,United Kingdom,Metal ores and non-metallic minerals,75.209,0.165
2025,Canada,United Kingdom,Motor vehicles and parts,45.681,0.1
2025,Canada,United Kingdom,Special transactions trade,131.588,0.288
2025,Canada,United States,Aircraft and other transportation equipment and parts,18148.377,3.508
2025,Canada,United States,"Basic and industrial chemical, plastic and rubber products",31371.956,6.065
2025,Canada,United States,Consumer goods,63093.757,12.197
2025,Canada,United States,Electronic and electrical equipment and parts,19157.71,3.704
2025,Canada,United States,Energy products,159262.208,30.788
2025,Canada,United States,"Farm, fishing and intermediate food products",26580.312,5.138
2025,Canada,United States,Forestry products and building and packaging materials,35475.864,6.858
2025,Canada,United States,"Industrial machinery, equipment and parts",30758.376,5.946
2025,Canada,United States,Metal and non-metallic mineral products,48441.707,9.365
2025,Canada,United States,Metal ores and non-metallic minerals,6384.227,1.234
2025,Canada,United States,Motor vehicles and parts,71347.882,13.793
2025,Canada,United States,Special transactions trade,7260.356,1.404
2025,Manitoba,China,Aircraft and other transportation equipment and parts,0.342,0.029
2025,Manitoba,China,"Basic and industrial chemical, plastic and rubber products",0.962,0.081
2025,Manitoba,China,Consumer goods,117.335,9.851
2025,Manitoba,China,Electronic and electrical equipment and parts,58.885,4.944
2025,Manitoba,China,Energy products,0.0,0.0
2025,Manitoba,China,"Farm, fishing and intermediate food products",900.23,75.584
2025,Manitoba,China,Forestry products and building and packaging materials,0.027,0.002
