year,geo,partner,section,exports_millions,share_of_partner_exports_pct
2025,Prince Edward Island,China,Aircraft and other transportation equipment and parts,0.024,0.119
2025,Prince Edward Island,China,"Basic and industrial chemical, plastic and rubber products",2.42,11.821
2025,Prince Edward Island,China,Consumer goods,1.625,7.935
2025,Prince Edward Island,China,Electronic and electrical equipment and parts,0.055,0.271
2025,Prince Edward Island,China,Energy products,0.0,0.0
2025,Prince Edward Island,China,"Farm, fishing and intermediate food products",15.774,77.044
2025,Prince Edward Island,China,Forestry products and building and packaging materials,0.138,0.675
2025,Prince Edward Island,China,"Industrial machinery, equipment and parts",0.021,0.102
2025,Prince Edward Island,China,Metal and non-metallic mineral products,0.416,2.034
2025,Prince Edward Island,China,Metal ores and non-metallic minerals,0.0,0.0
2025,Prince Edward Island,China,Motor vehicles and parts,0.0,0.0
2025,Prince Edward Island,China,Special transactions trade,0.0,0.0
2025,Prince Edward Island,European Union (27 members),Aircraft and other transportation equipment and parts,3.8,1.691
2025,Prince Edward Island,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",27.269,12.132
2025,Prince Edward Island,European Union (27 members),Consumer goods,85.982,38.252
2025,Prince Edward Island,European Union (27 members),Electronic and electrical equipment and parts,20.63,9.178
2025,Prince Edward Island,European Union (27 members),Energy products,0.0,0.0
2025,Prince Edward Island,European Union (27 members),"Farm, fishing and intermediate food products",58.145,25.867
2025,Prince Edward Island,European Union (27 members),Forestry products and building and packaging materials,0.013,0.006
2025,Prince Edward Island,European Union (27 members),"Industrial machinery, equipment and parts",1.728,0.769
2025,Prince Edward Island,European Union (27 members),Metal and non-metallic mineral products,0.044,0.02
2025,Prince Edward Island,European Union (27 members),Metal ores and non-metallic minerals,0.027,0.012
2025,Prince Edward Island,European Union (27 members),Motor vehicles and parts,0.175,0.078
2025,Prince Edward Island,European Union (27 members),Special transactions trade,26.967,11.997
2025,Prince Edward Island,United Kingdom,Aircraft and other transportation equipment and parts,4.353,18.605
2025,Prince Edward Island,United Kingdom,"Basic and industrial chemical, plastic and rubber products",9.074,38.786
2025,Prince Edward Island,United Kingdom,Consumer goods,0.79,3.375
2025,Prince Edward Island,United Kingdom,Electronic and electrical equipment and parts,0.167,0.716
2025,Prince Edward Island,United Kingdom,Energy products,0.0,0.0
2025,Prince Edward Island,United Kingdom,"Farm, fishing and intermediate food products",3.265,13.957
2025,Prince Edward Island,United Kingdom,Forestry products and building and packaging materials,0.003,0.011
2025,Prince Edward Island,United Kingdom,"Industrial machinery, equipment and parts",1.965,8.401
2025,Prince Edward Island,United Kingdom,Metal and non-metallic mineral products,0.0,0.0
2025,Prince Edward Island,United Kingdom,Metal ores and non-metallic minerals,0.0,0.0
2025,Prince Edward Island,United Kingdom,Motor vehicles and parts,0.005,0.021
2025,Prince Edward Island,United Kingdom,Special transactions trade,3.774,16.129
2025,Prince Edward Island,United States,Aircraft and other transportation equipment and parts,240.719,11.826
2025,Prince Edward Island,United States,"Basic and industrial chemical, plastic and rubber products",26.05,1.28
2025,Prince Edward Island,United States,Consumer goods,1005.433,49.397
2025,Prince Edward Island,United States,Electronic and electrical equipment and parts,6.253,0.307
2025,Prince Edward Island,United States,Energy products,0.046,0.002
2025,Prince Edward Island,United States,"Farm, fishing and intermediate food products",453.263,22.269
2025,Prince Edward Island,United States,Forestry products and building and packaging materials,48.766,2.396
2025,Prince Edward Island,United States,"Industrial machinery, equipment and parts",34.651,1.702
2025,Prince Edward Island,United States,Metal and non-metallic mineral products,3.656,0.18
2025,Prince Edward Island,United States,Metal ores and non-metallic minerals,2.045,0.1
2025,Prince Edward Island,United States,Motor vehicles and parts,11.743,0.577
2025,Prince Edward Island,United States,Special transactions trade,202.801,9.964
2025,Quebec,China,Aircraft and other transportation equipment and parts,113.009,2.476
2025,Quebec,China,"Basic and industrial chemical, plastic and rubber products",27.838,0.61
2025,Quebec,China,Consumer goods,337.487,7.393
2025,Quebec,China,Electronic and electrical equipment and parts,181.037,3.966
2025,Quebec,China,Energy products,0.433,0.009
2025,Quebec,China,"Farm, fishing and intermediate food products",197.833,4.334
2025,Quebec,China,Forestry products and building and packaging materials,224.191,4.911
2025,Quebec,China,"Industrial machinery, equipment and parts",228.021,4.995
2025,Quebec,China,Metal and non-metallic mineral products,314.329,6.886
2025,Quebec,China,Metal ores and non-metallic minerals,2806.122,61.47
2025,Quebec,China,Motor vehicles and parts,129.278,2.832
2025,Quebec,China,Special transactions trade,5.483,0.12
2025,Quebec,European Union (27 members),Aircraft and other transportation equipment and parts,4017.296,32.139
2025,Quebec,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",367.337,2.939
2025,Quebec,European Union (27 members),Consumer goods,851.083,6.809
2025,Quebec,European Union (27 members),Electronic and electrical equipment and parts,772.404,6.179
2025,Quebec,European Union (27 members),Energy products,372.09,2.977
2025,Quebec,European Union (27 members),"Farm, fishing and intermediate food products",565.203,4.522
2025,Quebec,European Union (27 members),Forestry products and building and packaging materials,297.97,2.384
2025,Quebec,European Union (27 members),"Industrial machinery, equipment and parts",823.205,6.586
2025,Quebec,European Union (27 members),Metal and non-metallic mineral products,2009.727,16.078
2025,Quebec,European Union (27 members),Metal ores and non-metallic minerals,2009.916,16.08
2025,Quebec,European Union (27 members),Motor vehicles and parts,281.835,2.255
2025,Quebec,European Union (27 members),Special transactions trade,131.681,1.053
2025,Quebec,United Kingdom,Aircraft and other transportation equipment and parts,341.837,26.985
2025,Quebec,United Kingdom,"Basic and industrial chemical, plastic and rubber products",27.139,2.142
2025,Quebec,United Kingdom,Consumer goods,116.06,9.162
2025,Quebec,United Kingdom,Electronic and electrical equipment and parts,116.753,9.217
2025,Quebec,United Kingdom,Energy products,48.674,3.842
2025,Quebec,United Kingdom,"Farm, fishing and intermediate food products",57.542,4.542
2025,Quebec,United Kingdom,Forestry products and building and packaging materials,87.994,6.946
2025,Quebec,United Kingdom,"Industrial machinery, equipment and parts",97.539,7.7
2025,Quebec,United Kingdom,Metal and non-metallic mineral products,293.003,23.13
2025,Quebec,United Kingdom,Metal ores and non-metallic minerals,30.567,2.413
2025,Quebec,United Kingdom,Motor vehicles and parts,2.94,0.232
2025,Quebec,United Kingdom,Special transactions trade,46.71,3.687
2025,Quebec,United States,Aircraft and other transportation equipment and parts,13312.685,15.785
2025,Quebec,United States,"Basic and industrial chemical, plastic and rubber products",4370.019,5.181
2025,Quebec,United States,Consumer goods,14426.672,17.106
2025,Quebec,United States,Electronic and electrical equipment and parts,4465.192,5.294
2025,Quebec,United States,Energy products,3972.882,4.711
2025,Quebec,United States,"Farm, fishing and intermediate food products",2316.208,2.746
2025,Quebec,United States,Forestry products and building and packaging materials,10531.814,12.487
2025,Quebec,United States,"Industrial machinery, equipment and parts",5848.484,6.934
2025,Quebec,United States,Metal and non-metallic mineral products,18323.011,21.725
2025,Quebec,United States,Metal ores and non-metallic minerals,658.081,0.78
2025,Quebec,United States,Motor vehicles and parts,4940.292,5.858
2025,Quebec,United States,Special transactions trade,1173.672,1.392
2025,Saskatchewan,China,Aircraft and other transportation equipment and parts,0.0,0.0
2025,Saskatchewan,China,"Basic and industrial chemical, plastic and rubber products",20.03,0.698
2025,Saskatchewan,China,Consumer goods,1.39,0.048
2025,Saskatchewan,China,Electronic and electrical equipment and parts,4.414,0.154
2025,Saskatchewan,China,Energy products,2.732,0.095
2025,Saskatchewan,China,"Farm, fishing and intermediate food products",2303.248,80.287
2025,Saskatchewan,China,Forestry products and building and packaging materials,93.967,3.276
2025,Saskatchewan,China,"Industrial machinery, equipment and parts",1.789,0.062
2025,Saskatchewan,China,Metal and non-metallic mineral products,0.41,0.014
2025,Saskatchewan,China,Metal ores and non-metallic minerals,440.782,15.365
2025,Saskatchewan,China,Motor vehicles and parts,0.004,0.0
2025,Saskatchewan,China,Special transactions trade,0.0,0.0
2025,Saskatchewan,European Union (27 members),Aircraft and other transportation equipment and parts,2.811,0.076
2025,Saskatchewan,European Union (27 members),"Basic and industrial chemical, plastic and rubber products",2.258,0.061
2025,Saskatchewan,European Union (27 members),Consumer goods,3.481,0.094
2025,Saskatchewan,European Union (27 members),Electronic and electrical equipment and parts,8.505,0.23
2025,Saskatchewan,European Union (27 members),Energy products,1156.723,31.322
2025,Saskatchewan,European Union (27 members),"Farm, fishing and intermediate food products",2010.384,54.438
2025,Saskatchewan,European Union (27 members),Forestry products and building and packaging materials,0.158,0.004
2025,Saskatchewan,European Union (27 members),"Industrial machinery, equipment and parts",20.919,0.566
2025,Saskatchewan,European Union (27 members),Metal and non-metallic mineral products,1.494,0.04
2025,Saskatchewan,European Union (27 members),Metal ores and non-metallic minerals,484.233,13.112
2025,Saskatchewan,European Union (27 members),Motor vehicles and parts,2.019,0.055
2025,Saskatchewan,European Union (27 members),Special transactions trade,0.008,0.0
2025,Saskatchewan,United Kingdom,Aircraft and other transportation equipment and parts,0.026,0.004
2025,Saskatchewan,United Kingdom,"Basic and industrial chemical, plastic and rubber products",0.285,0.049
2025,Saskatchewan,United Kingdom,Consumer goods,0.348,0.059
2025,Saskatchewan,United Kingdom,Electronic and electrical equipment and parts,0.493,0.084
2025,Saskatchewan,United Kingdom,Energy products,336.605,57.439
2025,Saskatchewan,United Kingdom,"Farm, fishing and intermediate food products",246.799,42.114
2025,Saskatchewan,United Kingdom,Forestry products and building and packaging materials,0.078,0.013
2025,Saskatchewan,United Kingdom,"Industrial machinery, equipment and parts",1.199,0.205
2025,Saskatchewan,United Kingdom,Metal and non-metallic mineral products,0.171,0.029
2025,Saskatchewan,United Kingdom,Metal ores and non-metallic minerals,0.0,0.0
2025,Saskatchewan,United Kingdom,Motor vehicles and parts,0.0,0.0
2025,Saskatchewan,United Kingdom,Special transactions trade,0.018,0.003
2025,Saskatchewan,United States,Aircraft and other transportation equipment and parts,6.248,0.026
2025,Saskatchewan,United States,"Basic and industrial chemical, plastic and rubber products",300.268,1.268
2025,Saskatchewan,United States,Consumer goods,163.129,0.689
2025,Saskatchewan,United States,Electronic and electrical equipment and parts,146.317,0.618
2025,Saskatchewan,United States,Energy products,12729.194,53.747
2025,Saskatchewan,United States,"Farm, fishing and intermediate food products",4863.944,20.537
2025,Saskatchewan,United States,Forestry products and building and packaging materials,315.923,1.334
2025,Saskatchewan,United States,"Industrial machinery, equipment and parts",485.769,2.051
2025,Saskatchewan,United States,Metal and non-metallic mineral products,243.041,1.026
2025,Saskatchewan,United States,Metal ores and non-metallic minerals,4161.479,17.571
2025,Saskatchewan,United States,Motor vehicles and parts,184.446,0.779
2025,Saskatchewan,United States,Special transactions trade,83.694,0.353
